Month,"Heating Degree-Days, New England","Heating Degree-Days, Middle Atlantic","Heating Degree-Days, East North Central","Heating Degree-Days, West North Central","Heating Degree-Days, South Atlantic","Heating Degree-Days, East South Central","Heating Degree-Days, West South Central","Heating Degree-Days, Mountain","Heating Degree-Days, Pacific","Heating Degree-Days, United States"
1973-01-01,1171,1088,1173,1329,683,834,710,1139,706,964
1973-02-01,1109,1065,1071,1065,636,695,512,861,504,842
1973-03-01,773,685,653,690,321,307,226,815,591,552
1973-04-01,536,485,517,526,229,256,157,603,372,401
1973-05-01,340,305,312,256,95,109,21,288,180,214
1973-06-01,31,14,24,36,1,1,0,110,70,26
1973-07-01,3,3,5,14,0,0,0,35,25,8
1973-08-01,6,4,12,12,0,0,0,32,40,11
1973-09-01,151,86,86,143,9,8,5,199,83,74
1973-10-01,439,338,290,292,134,121,47,384,238,245
1973-11-01,744,662,728,787,331,361,186,730,511,554
1973-12-01,977,976,1167,1299,623,728,528,943,568,868
1974-01-01,1191,1079,1225,1444,460,576,573,1094,678,911
1974-02-01,1133,1066,1107,1055,558,614,390,842,537,822
1974-03-01,934,850,846,828,343,333,173,649,503,618
1974-04-01,532,450,448,428,176,202,77,498,387,351
1974-05-01,374,272,287,233,61,53,4,252,246,200
1974-06-01,79,56,77,64,15,17,2,77,72,51
1974-07-01,11,6,5,4,1,0,0,21,30,8
1974-08-01,20,12,26,47,1,1,1,64,24,18
1974-09-01,160,133,194,227,34,61,34,190,40,114
1974-10-01,602,516,460,383,230,259,79,377,216,349
1974-11-01,734,679,750,811,395,464,321,714,433,581
1974-12-01,1038,977,1099,1167,604,713,551,1041,628,857
1975-01-01,1123,1047,1168,1308,580,673,501,1051,629,887
1975-02-01,1078,971,1067,1201,492,564,466,890,567,803
1975-03-01,1001,928,1009,1085,467,539,338,797,577,750
1975-04-01,713,665,667,585,257,254,104,635,528,495
1975-05-01,192,142,152,160,38,37,11,351,239,134
1975-06-01,63,30,33,46,4,3,0,149,115,42
1975-07-01,2,3,7,6,0,0,0,19,27,7
1975-08-01,23,11,14,19,0,0,0,57,45,16
1975-09-01,206,169,204,196,34,52,16,182,52,121
1975-10-01,397,315,370,348,126,172,68,408,270,267
1975-11-01,606,546,613,748,322,415,280,772,481,509
1975-12-01,1141,1052,1102,1182,633,732,527,925,591,869
1976-01-01,1397,1327,1410,1387,779,911,616,1005,575,1050
1976-02-01,950,856,886,851,416,461,269,732,521,661
1976-03-01,896,764,739,836,319,350,234,805,542,593
1976-04-01,483,435,447,380,172,202,77,494,438,346
1976-05-01,307,274,302,252,90,130,40,259,199,206
1976-06-01,20,14,28,36,4,6,1,128,102,32
1976-07-01,19,14,8,8,1,1,0,21,27,10
1976-08-01,33,23,39,18,3,3,0,56,48,24
1976-09-01,183,140,156,124,34,46,9,155,64,99
1976-10-01,555,528,586,581,274,342,209,477,197,413
1976-11-01,878,866,1002,1023,546,700,501,728,351,729
1976-12-01,1315,1240,1399,1377,727,856,616,966,576,1012
1977-01-01,1497,1499,1737,1743,1001,1210,861,1094,653,1266
1977-02-01,1113,1035,1130,1016,616,699,427,750,425,809
1977-03-01,785,709,712,719,323,370,253,807,583,572
1977-04-01,556,458,367,315,140,137,77,425,315,304
1977-05-01,226,159,108,87,40,33,4,296,340,136
1977-06-01,91,60,66,33,9,4,0,57,69,44
1977-07-01,10,3,1,7,0,0,0,25,29,7
1977-08-01,24,15,36,52,0,0,0,44,10,18
1977-09-01,157,83,92,116,10,11,2,140,89,70
1977-10-01,478,451,481,434,222,273,70,370,205,332
1977-11-01,680,641,747,842,338,399,249,686,405,544
1977-12-01,1171,1112,1260,1327,667,786,507,866,508,910
1978-01-01,1315,1298,1528,1679,867,1108,871,1004,561,1131
1978-02-01,1274,1268,1415,1414,785,940,712,838,484,1023
1978-03-01,1049,980,1072,992,497,577,356,632,398,737
1978-04-01,651,560,527,463,187,167,58,465,410,389
1978-05-01,282,257,240,199,78,79,12,321,208,182
1978-06-01,65,41,43,44,3,3,0,103,69,37
1978-07-01,15,9,12,16,0,0,0,26,21,10
1978-08-01,21,8,18,22,0,0,0,55,26,14
1978-09-01,229,132,54,65,11,8,2,159,84,71
1978-10-01,508,447,475,430,198,247,77,363,163,320
1978-11-01,771,680,739,853,305,339,240,768,529,565
1978-12-01,1103,1010,1173,1346,566,711,559,1151,727,901
1979-01-01,1202,1202,1574,1794,767,1039,874,1274,738,1141
1979-02-01,1326,1310,1400,1427,728,807,582,867,582,1012
1979-03-01,820,754,856,935,381,431,272,736,482,620
1979-04-01,606,542,584,567,190,203,92,490,370,403
1979-05-01,219,198,256,258,60,79,24,297,190,170
1979-06-01,72,57,45,51,13,6,0,109,74,44
1979-07-01,3,5,14,15,1,1,0,24,20,9
1979-08-01,31,16,32,34,0,1,0,46,29,19
1979-09-01,158,105,105,105,23,31,8,110,38,71
1979-10-01,476,431,445,411,193,213,49,339,192,304
1979-11-01,616,590,771,886,319,485,393,856,469,572
1979-12-01,1007,952,1036,1079,586,721,522,899,532,799
1980-01-01,1205,1157,1278,1347,668,754,550,1001,593,940
1980-02-01,1174,1128,1232,1234,681,801,516,758,437,884
1980-03-01,973,928,1015,1007,472,565,335,786,526,729
1980-04-01,559,484,545,446,184,252,123,487,335,374
1980-05-01,261,180,201,169,52,65,13,308,282,162
1980-06-01,103,67,72,39,8,4,0,97,132,58
1980-07-01,6,3,4,6,0,0,0,20,25,7
1980-08-01,12,3,10,21,0,0,0,51,38,13
1980-09-01,126,64,95,116,6,7,2,141,76,63
1980-10-01,533,470,538,488,207,265,108,416,188,350
1980-11-01,837,796,805,766,432,509,354,688,398,611
1980-12-01,1281,1182,1181,1201,651,746,495,779,514,886
1981-01-01,1512,1401,1378,1257,854,950,622,852,520,1038
1981-02-01,906,883,1028,1010,534,641,436,741,453,732
