Month,"Cooling Degree-Days, New England","Cooling Degree-Days, Middle Atlantic","Cooling Degree-Days, East North Central","Cooling Degree-Days, West North Central","Cooling Degree-Days, South Atlantic","Cooling Degree-Days, East South Central","Cooling Degree-Days, West South Central","Cooling Degree-Days, Mountain","Cooling Degree-Days, Pacific","Cooling Degree-Days, United States"
1973-01-01,0,0,0,0,23,2,4,0,7,5
1973-02-01,0,0,0,0,9,0,3,1,6,3
1973-03-01,0,0,4,7,53,39,62,1,10,19
1973-04-01,0,0,0,0,41,12,40,13,12,13
1973-05-01,0,4,20,35,127,86,201,84,46,62
1973-06-01,94,151,180,204,319,316,383,180,120,214
1973-07-01,193,238,249,290,394,407,516,270,177,297
1973-08-01,209,246,229,292,373,339,461,259,163,281
1973-09-01,16,56,78,78,280,273,340,118,82,143
1973-10-01,0,4,16,24,104,86,167,44,29,50
1973-11-01,0,0,0,0,50,12,70,3,11,17
1973-12-01,0,0,0,0,13,1,6,0,8,4
1974-01-01,0,0,0,0,68,24,20,0,9,15
1974-02-01,0,0,0,0,17,2,12,1,8,5
1974-03-01,0,0,1,5,58,37,90,8,9,22
1974-04-01,0,0,1,6,55,23,96,23,15,23
1974-05-01,0,8,29,62,168,160,315,90,33,88
1974-06-01,37,62,85,130,228,188,371,242,106,149
1974-07-01,159,209,257,397,359,375,540,287,183,297
1974-08-01,144,188,173,179,349,331,459,209,175,242
1974-09-01,13,30,18,28,208,121,199,135,146,97
1974-10-01,0,0,2,10,65,24,110,47,31,30
1974-11-01,0,0,0,0,32,2,18,3,10,8
1974-12-01,0,0,0,0,17,1,5,0,10,5
1975-01-01,0,0,0,0,40,10,20,0,7,10
1975-02-01,0,0,0,0,37,5,11,0,7,8
1975-03-01,0,0,0,0,38,8,34,3,7,11
1975-04-01,0,0,0,2,61,15,75,6,9,20
1975-05-01,17,41,83,84,205,181,253,51,27,106
1975-06-01,51,99,157,178,296,284,402,155,68,185
1975-07-01,215,229,222,327,352,366,480,296,161,282
1975-08-01,135,195,233,289,400,388,488,233,139,275
1975-09-01,5,16,18,44,206,126,244,133,132,99
1975-10-01,0,6,6,14,116,51,124,34,22,42
1975-11-01,0,0,0,0,35,4,26,3,11,10
1975-12-01,0,0,0,0,16,0,5,0,8,4
1976-01-01,0,0,0,0,11,2,7,0,8,4
1976-02-01,0,0,0,2,22,10,32,3,6,9
1976-03-01,0,0,3,4,58,29,56,4,8,19
1976-04-01,0,0,1,8,54,27,95,16,10,23
1976-05-01,1,9,21,30,123,59,143,86,43,56
1976-06-01,115,150,159,175,266,238,363,173,90,190
1976-07-01,129,157,224,319,361,344,450,290,181,264
1976-08-01,109,148,133,255,321,295,480,216,122,222
1976-09-01,8,27,29,83,193,150,300,114,103,107
1976-10-01,0,0,0,0,58,10,26,28,42,20
1976-11-01,0,0,0,0,24,0,3,5,15,6
1976-12-01,0,0,0,0,15,0,1,0,10,4
1977-01-01,0,0,0,0,5,0,1,0,8,2
1977-02-01,0,0,0,0,11,1,8,3,9,4
1977-03-01,0,0,2,6,58,25,46,2,11,18
1977-04-01,0,0,6,16,68,47,87,29,19,29
1977-05-01,10,34,124,143,174,190,280,45,15,114
1977-06-01,32,62,104,217,296,323,472,237,106,191
1977-07-01,167,240,302,363,447,458,569,308,186,334
1977-08-01,140,181,157,202,395,393,543,267,221,270
1977-09-01,15,57,74,103,278,259,440,150,92,158
1977-10-01,0,0,0,6,63,22,130,61,43,34
1977-11-01,0,0,0,0,40,6,37,7,17,13
1977-12-01,0,0,0,0,17,1,7,1,10,5
1978-01-01,0,0,0,0,9,0,1,0,9,3
1978-02-01,0,0,0,0,5,0,1,1,7,2
1978-03-01,0,0,0,0,24,4,21,10,13,9
1978-04-01,0,0,0,6,59,37,113,19,11,27
1978-05-01,3,10,35,51,152,122,281,67,40,82
1978-06-01,50,87,141,190,310,312,447,209,99,198
1978-07-01,130,171,208,308,384,426,611,315,185,291
1978-08-01,145,219,194,251,405,382,528,229,177,280
1978-09-01,2,31,112,154,268,278,382,130,104,159
1978-10-01,0,0,1,6,89,30,114,66,58,40
1978-11-01,0,0,0,0,59,16,45,3,9,17
1978-12-01,0,0,0,0,37,1,5,0,7,8
1979-01-01,0,0,0,0,14,0,1,0,5,3
1979-02-01,0,0,0,0,13,0,3,1,6,3
1979-03-01,0,0,0,1,30,16,42,4,7,12
1979-04-01,0,0,0,2,73,31,93,22,14,27
1979-05-01,12,22,34,44,152,111,177,69,39,73
1979-06-01,42,60,135,167,240,252,386,182,105,169
1979-07-01,203,205,186,268,366,359,516,298,185,277
1979-08-01,119,171,159,224,372,349,478,214,154,246
1979-09-01,13,41,55,95,230,170,283,184,177,137
1979-10-01,0,0,1,12,91,38,157,57,36,43
1979-11-01,0,0,0,0,46,2,10,2,11,10
1979-12-01,0,0,0,0,22,0,4,0,10,5
1980-01-01,0,0,0,0,21,6,15,1,6,6
1980-02-01,0,0,0,0,8,0,4,3,6,3
1980-03-01,0,0,0,0,41,6,30,3,9,12
1980-04-01,0,0,0,2,55,13,56,22,16,19
1980-05-01,6,27,52,68,168,132,250,49,22,87
1980-06-01,26,57,98,212,282,292,508,206,60,182
1980-07-01,200,255,283,430,453,503,658,347,204,359
