Month,Coal Non-Combustion Consumption,Natural Gas Non-Combustion Consumption,Asphalt & Road Oil Non-Combustion Consumption,Hydrocarbon Gas Liquids Non-Combustion Consumption,Lubricants Non-Combustion Consumption,Petrochemical Feedstocks Non-Combustion Consumption,Petroleum Coke Non-Combustion Consumption,Special Naphthas Non-Combustion Consumption,Other Petroleum Non-Combusiton Consumption,Total Petroleum Non-Combustion Consumption
1973-01-01,294.463,71.438,183.645,742.871,148.903,351.798,46.282,90.097,82.187,1645.782
1973-02-01,270.315,61.609,216.643,677.052,162.929,349.738,42.164,96.321,81.816,1626.663
1973-03-01,299.218,64.511,255.645,633.356,158.645,340.245,41.889,90.516,84.419,1604.714
1973-04-01,290.644,71.193,377.733,615.39,145.333,372.674,41.004,68.167,76.923,1697.225
1973-05-01,302.737,75.137,543.613,663.713,166.065,324.873,43.879,100.935,97.968,1941.046
1973-06-01,292.591,67.722,710.233,648.502,149.3,352.01,47.607,87.667,87.376,2082.695
1973-07-01,299.518,72.652,797.0,643.662,175.161,355.619,45.599,87.548,80.797,2185.386
1973-08-01,296.972,75.922,892.355,723.701,170.484,359.815,47.471,95.355,96.533,2385.714
1973-09-01,286.002,75.673,734.5,697.743,154.3,355.212,42.784,83.3,86.224,2154.063
1973-10-01,296.56,87.353,702.935,767.218,183.839,351.039,49.392,96.613,95.394,2246.431
1973-11-01,291.243,86.371,519.6,745.637,168.4,376.416,43.725,81.767,101.532,2037.077
1973-12-01,302.85,88.461,305.645,644.151,161.065,382.643,43.031,81.065,85.153,1702.752
1974-01-01,289.683,63.277,225.419,716.338,168.71,343.243,42.472,86.032,91.383,1673.597
1974-02-01,265.296,67.36,277.643,671.83,155.714,361.564,42.228,95.286,85.11,1689.375
1974-03-01,278.158,69.399,304.968,658.65,158.548,329.452,44.842,88.065,78.137,1662.662
1974-04-01,282.06,57.685,413.867,670.125,156.567,311.382,40.156,100.467,76.287,1768.85
1974-05-01,286.902,67.947,560.968,623.217,168.097,322.033,36.522,92.935,111.443,1915.215
1974-06-01,278.772,62.096,635.3,722.087,136.433,348.734,40.943,81.7,112.477,2077.674
1974-07-01,281.952,69.384,685.71,674.521,161.194,408.488,39.031,90.871,126.016,2185.831
1974-08-01,280.254,73.362,693.129,676.242,145.645,405.065,39.867,90.968,113.444,2164.361
1974-09-01,273.425,80.73,672.2,708.799,162.3,386.048,44.575,86.733,92.265,2152.92
1974-10-01,279.892,86.134,655.806,734.907,161.71,379.792,34.714,91.71,114.63,2173.268
1974-11-01,239.03,85.894,415.7,735.898,145.167,401.21,38.814,79.7,103.58,1920.068
