Month,Coal Non-Combustion Consumption,Natural Gas Non-Combustion Consumption,Asphalt & Road Oil Non-Combustion Consumption,Hydrocarbon Gas Liquids Non-Combustion Consumption,Lubricants Non-Combustion Consumption,Petrochemical Feedstocks Non-Combustion Consumption,Petroleum Coke Non-Combustion Consumption,Special Naphthas Non-Combustion Consumption,Other Petroleum Non-Combustion Consumption,Total Petroleum Non-Combustion Consumption,Total Fossil Fuels Non-Combustion Consumption,Total Fossil Fuels Non-Combustion Consumption Percent of Total Energy Consumption
1973-01-01,0.009425,0.072867,0.037779,0.082303,0.027996,0.060855,0.008205,0.014658,0.014676,0.246473,0.328764,4.7
1973-02-01,0.008652,0.062841,0.040254,0.066042,0.027669,0.054637,0.006752,0.014154,0.013199,0.222706,0.294199,4.6
1973-03-01,0.009577,0.065801,0.05259,0.067431,0.029828,0.059097,0.007426,0.014726,0.015065,0.246164,0.321542,5.1
1973-04-01,0.009303,0.072617,0.075199,0.063325,0.026443,0.06259,0.007035,0.010732,0.013292,0.258617,0.340536,5.9
1973-05-01,0.00969,0.07664,0.11183,0.071796,0.031223,0.056376,0.007779,0.016421,0.017478,0.312902,0.399232,6.8
1973-06-01,0.009365,0.069077,0.141393,0.066968,0.027165,0.059265,0.008168,0.013802,0.015086,0.331848,0.41029,7.3
1973-07-01,0.009587,0.074105,0.163956,0.069411,0.032933,0.061691,0.008084,0.014243,0.014413,0.364731,0.448422,7.7
1973-08-01,0.009505,0.07744,0.183572,0.078797,0.032054,0.062415,0.008416,0.015513,0.01721,0.397976,0.484921,8.0
1973-09-01,0.009154,0.077187,0.146224,0.073337,0.028075,0.059488,0.00734,0.013115,0.014879,0.342458,0.428799,7.6
1973-10-01,0.009492,0.0891,0.144605,0.085086,0.034564,0.060793,0.008757,0.015718,0.017007,0.366531,0.465122,7.7
1973-11-01,0.009322,0.088099,0.103442,0.077942,0.03064,0.062862,0.007502,0.012873,0.017526,0.312788,0.410209,6.4
