Month,Coal Consumption,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Petroleum Consumption (Excluding Biofuels),Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar Energy Consumption,Wind Energy Consumption,Biomass Energy Consumption,Total Renewable Energy Consumption,Total Primary Energy Consumption
1973-01-01,1.166191,2.397308,3.185268,6.747651,0.068103,0.089562,0.00049,Not Available,Not Available,0.129787,0.219839,7.039731
1973-02-01,1.050588,2.170646,2.941986,6.163095,0.064634,0.079544,0.000448,Not Available,Not Available,0.117338,0.19733,6.428796
1973-03-01,1.046856,2.057315,2.942485,6.044647,0.072494,0.088284,0.000464,Not Available,Not Available,0.129938,0.218686,6.339964
1973-04-01,0.998979,1.873535,2.621315,5.493184,0.06407,0.083152,0.000542,Not Available,Not Available,0.125636,0.20933,5.770589
1973-05-01,1.014502,1.765309,2.836567,5.613551,0.062111,0.085643,0.000505,Not Available,Not Available,0.129834,0.215982,5.895781
1973-06-01,1.050077,1.566214,2.731435,5.347479,0.073968,0.08206,0.000579,Not Available,Not Available,0.125611,0.208249,5.6337
1973-07-01,1.110438,1.590718,2.80454,5.504556,0.07589,0.0774,0.000614,Not Available,Not Available,0.129787,0.2078,5.792383
1973-08-01,1.135679,1.615222,2.999441,5.748879,0.084883,0.072936,0.000579,Not Available,Not Available,0.129918,0.203432,6.041332
1973-09-01,1.057732,1.559067,2.761173,5.376782,0.085724,0.059029,0.00049,Not Available,Not Available,0.125782,0.1853,5.651809
1973-10-01,1.083177,1.743868,2.936519,5.7653,0.081971,0.062967,0.000578,Not Available,Not Available,0.12997,0.193514,6.044923
1973-11-01,1.08859,1.945005,3.053629,6.08844,0.088773,0.069063,0.00062,Not Available,Not Available,0.125643,0.195326,6.376542
1973-12-01,1.16868,2.227822,2.991666,6.388515,0.087557,0.090131,0.0008,Not Available,Not Available,0.129824,0.220755,6.700965
1974-01-01,1.145845,2.28352,2.944909,6.378043,0.084855,0.0995,0.000704,Not Available,Not Available,0.130807,0.23101,6.697586
1974-02-01,1.036439,2.103296,2.677772,5.820458,0.090577,0.091476,0.000621,Not Available,Not Available,0.118091,0.210188,6.124546
1974-03-01,1.050801,2.051072,2.740105,5.845649,0.097966,0.09495,0.000707,Not Available,Not Available,0.130727,0.226384,6.173677
1974-04-01,0.994963,1.731584,2.624656,5.355618,0.079566,0.095969,0.000666,Not Available,Not Available,0.126583,0.223218,5.661961
1974-05-01,1.029181,1.646592,2.678975,5.359907,0.073242,0.096337,0.000667,Not Available,Not Available,0.130789,0.227793,5.66462
1974-06-01,1.014433,1.473536,2.65905,5.150392,0.079015,0.091719,0.000645,Not Available,Not Available,0.126611,0.218976,5.451943
1974-07-01,1.110438,1.550336,2.793658,5.458003,0.113953,0.090437,0.000716,Not Available,Not Available,0.130756,0.221909,5.797544
