Month,Coal Imports,Coal Coke Imports,Natural Gas Imports,Crude Oil Imports,"Petroleum Products, Excluding Biofuels, Imports","Total Petroleum, Excluding Biofuels, Imports",Biomass Imports,Electricity Imports,Total Primary Energy Imports
1973-01-01,5e-05,0.000769,0.095105,0.492659,0.579615,1.072274,Not Available,0.004882,1.17308
1973-02-01,5e-05,0.000719,0.086051,0.467879,0.608896,1.076775,Not Available,0.00441,1.168005
1973-03-01,7.5e-05,0.000818,0.093962,0.570188,0.639547,1.209735,Not Available,0.004882,1.309473
1973-04-01,0.0001,0.000868,0.090705,0.532017,0.456754,0.988771,Not Available,0.004725,1.085169
1973-05-01,0.00025,0.002802,0.088076,0.579687,0.487106,1.066793,Not Available,0.004882,1.162804
1973-06-01,7.5e-05,0.00243,0.081178,0.561998,0.479208,1.041206,Not Available,0.004725,1.129614
1973-07-01,5e-05,0.00181,0.081493,0.631319,0.496691,1.12801,Not Available,0.004882,1.216246
1973-08-01,0.0002,0.002182,0.086594,0.647828,0.556162,1.203989,Not Available,0.004882,1.297848
1973-09-01,0.0006,0.004042,0.083267,0.605649,0.527862,1.133511,Not Available,0.004725,1.226145
1973-10-01,0.000975,0.004439,0.094547,0.674219,0.536711,1.21093,Not Available,0.004882,1.315774
1973-11-01,0.000375,0.003398,0.088015,0.602467,0.62283,1.225297,Not Available,0.004725,1.321809
1973-12-01,0.000375,0.002852,0.090766,0.521395,0.586908,1.108304,Not Available,0.004882,1.207179
1974-01-01,0.00275,0.005506,0.088132,0.43026,0.552119,0.982379,Not Available,0.004468,1.083235
1974-02-01,0.004175,0.004365,0.08105,0.366751,0.495247,0.861998,Not Available,0.004036,0.955624
1974-03-01,0.001075,0.007366,0.08749,0.444769,0.51938,0.96415,Not Available,0.004468,1.064548
1974-04-01,0.00285,0.007638,0.085622,0.57111,0.484932,1.056042,Not Available,0.004324,1.156477
1974-05-01,0.0023,0.008506,0.081917,0.705877,0.477644,1.183521,Not Available,0.004468,1.280713
