Month,Coal Exports,Coal Coke Exports,Natural Gas Exports,Crude Oil Exports,"Petroleum Products, Excluding Biofuels, Exports","Total Petroleum, Excluding Biofuels, Exports",Biomass Exports,Electricity Exports,Total Energy Exports
1973-01-01,0.079655,0.001885,0.005941,0.0,0.037555,0.037555,Not Available,0.000745,0.125781
1973-02-01,0.071118,0.000843,0.006219,0.0,0.04203,0.04203,Not Available,0.000673,0.120883
1973-03-01,0.092288,0.002827,0.004113,0.0,0.039976,0.039976,Not Available,0.000745,0.13995
1973-04-01,0.136198,0.001513,0.008201,0.0,0.047552,0.047552,Not Available,0.000721,0.194185
1973-05-01,0.139124,0.00563,0.008942,0.000742,0.041593,0.042335,Not Available,0.000745,0.196775
1973-06-01,0.13407,0.002678,0.004226,0.0,0.037175,0.037175,Not Available,0.000721,0.178871
1973-07-01,0.111623,0.002951,0.005876,0.001346,0.041593,0.042938,Not Available,0.000745,0.164134
1973-08-01,0.138831,0.003646,0.008927,0.0,0.038901,0.038901,Not Available,0.000745,0.191049
1973-09-01,0.092049,0.005233,0.00655,0.000928,0.041012,0.04194,Not Available,0.000721,0.146492
1973-10-01,0.159017,0.002703,0.005598,0.0,0.039591,0.039591,Not Available,0.000745,0.207655
1973-11-01,0.139922,0.002182,0.005673,0.0,0.034955,0.034955,Not Available,0.000721,0.183453
1973-12-01,0.131304,0.002505,0.008676,0.001027,0.039603,0.040629,Not Available,0.000745,0.183859
1974-01-01,0.076175,0.001736,0.005752,0.003097,0.033911,0.037008,Not Available,0.00079,0.121461
1974-02-01,0.123861,0.001414,0.006044,0.00163,0.031168,0.032798,Not Available,0.000714,0.164831
1974-03-01,0.085947,0.003695,0.006783,0.0,0.035007,0.035007,Not Available,0.00079,0.132223
1974-04-01,0.134141,0.003224,0.006373,8.7e-05,0.042056,0.042143,Not Available,0.000765,0.186646
1974-05-01,0.163858,0.003348,0.005569,0.00116,0.042968,0.044128,Not Available,0.00079,0.217693
1974-06-01,0.1712,0.004439,0.007732,0.000255,0.041034,0.04129,Not Available,0.000765,0.225425
1974-07-01,0.143005,0.003323,0.008201,0.0,0.045312,0.045312,Not Available,0.00079,0.200632
1974-08-01,0.137425,0.002703,0.005417,0.0,0.044244,0.044244,Not Available,0.00079,0.19058
1974-09-01,0.131631,0.001091,0.006499,0.0,0.029592,0.029592,Not Available,0.000765,0.169578
1974-10-01,0.198114,0.002455,0.005417,0.0,0.039528,0.039528,Not Available,0.00079,0.246304
1974-11-01,0.182441,0.002654,0.007152,0.0,0.032294,0.032294,Not Available,0.000765,0.225305
1974-12-01,0.07185,0.001612,0.007078,0.0,0.041358,0.041358,Not Available,0.00079,0.122687
1975-01-01,0.114031,0.002579,0.004014,0.004849,0.035827,0.040676,Not Available,0.001473,0.162773
1975-02-01,0.119901,0.00315,0.00708,0.005464,0.034493,0.039957,Not Available,0.00133,0.171418
1975-03-01,0.151005,0.002703,0.006352,0.002024,0.035959,0.037983,Not Available,0.001473,0.199517
1975-04-01,0.165402,0.003274,0.005896,0.00011,0.032723,0.032834,Not Available,0.001426,0.208831
1975-05-01,0.186625,0.003298,0.006771,0.0,0.036062,0.036062,Not Available,0.001473,0.234229
1975-06-01,0.16827,0.003422,0.003675,0.0,0.038695,0.038695,Not Available,0.001426,0.215488
1975-07-01,0.126966,0.002604,0.008204,0.0,0.03308,0.03308,Not Available,0.001473,0.172327
1975-08-01,0.156822,0.002207,0.006376,0.0,0.036143,0.036143,Not Available,0.001473,0.203021
1975-09-01,0.123009,0.002902,0.006122,0.0,0.035396,0.035396,Not Available,0.001426,0.168853
1975-10-01,0.124921,0.002306,0.00607,0.0,0.03331,0.03331,Not Available,0.001473,0.16808
1975-11-01,0.202243,0.00129,0.005275,0.0,0.028603,0.028603,Not Available,0.001426,0.238836
1975-12-01,0.122106,0.001835,0.007856,0.0,0.046608,0.046608,Not Available,0.001473,0.179878
1976-01-01,0.098716,0.001389,0.005392,0.0,0.027733,0.027733,Not Available,0.000687,0.133918
1976-02-01,0.081771,0.002282,0.005406,0.0,0.040184,0.040184,Not Available,0.000643,0.130286
1976-03-01,0.106404,0.002158,0.006085,0.000261,0.03262,0.032881,Not Available,0.000687,0.148215
1976-04-01,0.155509,0.002877,0.005714,0.0,0.038248,0.038248,Not Available,0.000665,0.203014
1976-05-01,0.152876,0.003298,0.004725,6e-06,0.031937,0.031943,Not Available,0.000687,0.193529
1976-06-01,0.176737,0.003398,0.004816,0.0,0.036658,0.036658,Not Available,0.000665,0.222274
1976-07-01,0.131063,0.002505,0.006075,0.0,0.04317,0.04317,Not Available,0.000687,0.1835
1976-08-01,0.113586,0.005208,0.00565,0.002204,0.036985,0.039189,Not Available,0.000687,0.164321
1976-09-01,0.15253,0.004216,0.006625,0.0,0.033752,0.033752,Not Available,0.000665,0.197788
1976-10-01,0.157292,0.002257,0.004933,0.003265,0.031977,0.035242,Not Available,0.000687,0.200412
1976-11-01,0.146492,0.002232,0.00523,0.00522,0.054754,0.059974,Not Available,0.000665,0.214592
1976-12-01,0.123641,0.000794,0.0049,0.006102,0.043716,0.049817,Not Available,0.000687,0.179839
1977-01-01,0.057875,0.002257,0.004848,0.00239,0.032116,0.034505,Not Available,0.000795,0.100279
1977-02-01,0.082856,0.001265,0.004633,0.009576,0.02847,0.038046,Not Available,0.000718,0.127518
1977-03-01,0.091564,0.002678,0.004345,0.005771,0.031391,0.037162,Not Available,0.000795,0.136544
1977-04-01,0.150129,0.002678,0.003229,0.002929,0.035912,0.038841,Not Available,0.000769,0.195647
1977-05-01,0.152837,0.002356,0.003199,0.016008,0.035796,0.051804,Not Available,0.000795,0.210991
1977-06-01,0.160483,0.003968,0.00466,0.001694,0.037425,0.039118,Not Available,0.000769,0.208999
1977-07-01,0.138634,0.003125,0.007108,0.009547,0.036034,0.045581,Not Available,0.000795,0.195242
1977-08-01,0.115059,0.003373,0.005208,0.006641,0.034643,0.041284,Not Available,0.000795,0.165718
1977-09-01,0.136218,0.0,0.004681,0.01577,0.035367,0.051137,Not Available,0.000769,0.192805
1977-10-01,0.130908,0.003918,0.004682,0.015341,0.03051,0.045851,Not Available,0.000795,0.186155
1977-11-01,0.121218,0.003522,0.004797,0.007859,0.033037,0.040896,Not Available,0.000769,0.171202
1977-12-01,0.104095,0.001637,0.00496,0.012354,0.03695,0.049304,Not Available,0.000795,0.16079
1978-01-01,0.023715,0.001325,0.00507,0.017678,0.028518,0.046196,Not Available,0.000428,0.076735
1978-02-01,0.015605,0.001936,0.004972,0.001311,0.032587,0.033898,Not Available,0.000387,0.056798
1978-03-01,0.010011,0.000935,0.004837,0.010759,0.037634,0.048393,Not Available,0.000428,0.064605
1978-04-01,0.069249,0.00056,0.003223,0.015944,0.042797,0.058741,Not Available,0.000414,0.132187
1978-05-01,0.118514,0.001997,0.004675,0.022237,0.034111,0.056348,Not Available,0.000428,0.181963
1978-06-01,0.143844,0.001328,0.004652,0.033936,0.035506,0.069442,Not Available,0.000414,0.21968
1978-07-01,0.094685,0.000951,0.004676,0.024801,0.034587,0.059388,Not Available,0.000428,0.160129
1978-08-01,0.096262,0.000778,0.004675,0.032689,0.041274,0.073962,Not Available,0.000428,0.176105
1978-09-01,0.091512,0.002768,0.006176,0.043709,0.039367,0.083075,Not Available,0.000414,0.183946
1978-10-01,0.133835,0.000835,0.003278,0.048824,0.035558,0.084383,Not Available,0.000428,0.222759
1978-11-01,0.159672,0.002034,0.00335,0.037891,0.033297,0.071188,Not Available,0.000414,0.236659
1978-12-01,0.121124,0.001733,0.003631,0.045043,0.036913,0.081956,Not Available,0.000428,0.208871
1979-01-01,0.095757,0.000527,0.006674,0.031807,0.039172,0.070979,Not Available,0.000632,0.174569
1979-02-01,0.072422,0.002056,0.004962,0.046841,0.032428,0.079269,Not Available,0.000571,0.15928
1979-03-01,0.123301,0.001952,0.004851,0.066456,0.043851,0.110307,Not Available,0.000632,0.241045
1979-04-01,0.139935,0.00229,0.004724,0.045182,0.04113,0.086312,Not Available,0.000612,0.233873
1979-05-01,0.165057,0.002116,0.004713,0.030821,0.046806,0.077628,Not Available,0.000632,0.250145
1979-06-01,0.158705,0.004847,0.00467,0.04082,0.041019,0.081839,Not Available,0.000612,0.250673
1979-07-01,0.167239,0.003842,0.006154,0.043958,0.04391,0.087868,Not Available,0.000632,0.265735
1979-08-01,0.165911,0.003948,0.004688,0.044034,0.040239,0.084272,Not Available,0.000632,0.259451
1979-09-01,0.13664,0.00418,0.004705,0.030398,0.042051,0.072449,Not Available,0.000612,0.218586
1979-10-01,0.197723,0.003982,0.003221,0.032115,0.044807,0.076921,Not Available,0.000632,0.28248
1979-11-01,0.163875,0.004301,0.003439,0.045965,0.043194,0.089159,Not Available,0.000612,0.261386
1979-12-01,0.166711,0.001677,0.003594,0.038703,0.046572,0.085275,Not Available,0.000632,0.25789
1980-01-01,0.117686,0.001061,0.006528,0.057855,0.041273,0.099128,Not Available,0.001184,0.225585
1980-02-01,0.106608,0.001846,0.00492,0.055761,0.03841,0.094172,Not Available,0.001107,0.208653
1980-03-01,0.148627,0.004486,0.004861,0.059264,0.044053,0.103317,Not Available,0.001184,0.262475
1980-04-01,0.199529,0.006066,0.003287,0.033466,0.042301,0.075767,Not Available,0.001145,0.285794
1980-05-01,0.226811,0.005474,0.003185,0.058563,0.048083,0.106646,Not Available,0.001184,0.343299
1980-06-01,0.234795,0.005442,0.003188,0.063568,0.050612,0.11418,Not Available,0.001145,0.358751
1980-07-01,0.217599,0.004833,0.002619,0.042729,0.053054,0.095782,Not Available,0.001184,0.322017
1980-08-01,0.244568,0.005933,0.002632,0.01399,0.043586,0.057575,Not Available,0.001184,0.311891
1980-09-01,0.220682,0.004933,0.005117,0.055953,0.041226,0.097178,Not Available,0.001145,0.329056
1980-10-01,0.249435,0.006289,0.004605,0.055599,0.052201,0.1078,Not Available,0.001184,0.369312
1980-11-01,0.237098,0.00359,0.003546,0.05028,0.045531,0.095811,Not Available,0.001145,0.34119
1980-12-01,0.21708,0.001409,0.004881,0.061596,0.050601,0.112197,Not Available,0.001184,0.33675
1981-01-01,0.151593,0.002343,0.005528,0.060879,0.039679,0.100557,Not Available,0.000887,0.260909
1981-02-01,0.177128,0.001173,0.004748,0.032147,0.060665,0.092812,Not Available,0.000801,0.276662
1981-03-01,0.254017,0.003088,0.005379,0.037808,0.068005,0.105813,Not Available,0.000887,0.369183
1981-04-01,0.216368,0.00277,0.004589,0.034401,0.065151,0.099553,Not Available,0.000858,0.324137
1981-05-01,0.159197,0.002055,0.003563,0.05614,0.051182,0.107322,Not Available,0.000887,0.273023
1981-06-01,0.161088,0.004969,0.005007,0.021448,0.052027,0.073474,Not Available,0.000858,0.245397
1981-07-01,0.281551,0.001719,0.005395,0.046261,0.056832,0.103093,Not Available,0.000887,0.392644
1981-08-01,0.29601,0.001335,0.00503,0.036656,0.079622,0.116278,Not Available,0.000887,0.41954
1981-09-01,0.311293,0.002153,0.00584,0.033716,0.056997,0.090712,Not Available,0.000858,0.410856
1981-10-01,0.323335,0.00285,0.005164,0.040577,0.092689,0.133266,Not Available,0.000887,0.465502
1981-11-01,0.30997,0.001344,0.005197,0.048358,0.074045,0.122403,Not Available,0.000858,0.439771
1981-12-01,0.30252,0.003221,0.004589,0.033973,0.084429,0.118401,Not Available,0.000887,0.429619
1982-01-01,0.161968,0.001056,0.003208,0.042819,0.106731,0.14955,Not Available,0.000658,0.316441
1982-02-01,0.235078,0.002517,0.004613,0.049422,0.081521,0.130944,Not Available,0.000785,0.373937
1982-03-01,0.273329,0.002101,0.00465,0.057709,0.101385,0.159094,Not Available,0.000874,0.440048
1982-04-01,0.284029,0.000784,0.001632,0.03036,0.106849,0.137209,Not Available,0.001364,0.425018
1982-05-01,0.265107,0.003245,0.003108,0.047042,0.097912,0.144954,Not Available,0.00151,0.417923
1982-06-01,0.280057,0.003695,0.006047,0.016352,0.106518,0.122871,Not Available,0.002128,0.414798
