Month,Coal Net Imports,Coal Coke Net Imports,Natural Gas Net Imports,Crude Oil Net Imports,"Petroleum Products, Excluding Biofuels, Net Imports","Total Petroleum, Excluding Biofuels, Net Imports",Biomass Net Imports,Electricity Net Imports,Total Energy Net Imports
1973-01-01,-0.079605,-0.001116,0.089163,0.492659,0.54206,1.034719,Not Available,0.004137,1.047299
1973-02-01,-0.071068,-0.000124,0.079832,0.467879,0.566866,1.034745,Not Available,0.003737,1.047122
1973-03-01,-0.092213,-0.002009,0.089849,0.570188,0.59957,1.169759,Not Available,0.004137,1.169523
1973-04-01,-0.136098,-0.000645,0.082504,0.532017,0.409202,0.941219,Not Available,0.004004,0.890984
1973-05-01,-0.138874,-0.002827,0.079134,0.578945,0.445513,1.024458,Not Available,0.004137,0.966029
1973-06-01,-0.133995,-0.000248,0.076951,0.561998,0.442033,1.004031,Not Available,0.004004,0.950743
1973-07-01,-0.111573,-0.001141,0.075617,0.629973,0.455098,1.085071,Not Available,0.004137,1.052112
1973-08-01,-0.138631,-0.001463,0.077667,0.647828,0.517261,1.165089,Not Available,0.004137,1.106799
1973-09-01,-0.091449,-0.00119,0.076717,0.604721,0.48685,1.091571,Not Available,0.004004,1.079652
1973-10-01,-0.158042,0.001736,0.088949,0.674219,0.49712,1.171339,Not Available,0.004137,1.108119
1973-11-01,-0.139547,0.001215,0.082342,0.602467,0.587875,1.190342,Not Available,0.004004,1.138356
1973-12-01,-0.130929,0.000347,0.08209,0.520369,0.547306,1.067674,Not Available,0.004137,1.023319
1974-01-01,-0.073425,0.00377,0.08238,0.427163,0.518209,0.945371,Not Available,0.003678,0.961774
1974-02-01,-0.119686,0.002951,0.075006,0.365122,0.464078,0.8292,Not Available,0.003322,0.790793
1974-03-01,-0.084872,0.00367,0.080706,0.444769,0.484373,0.929142,Not Available,0.003678,0.932325
1974-04-01,-0.131291,0.004414,0.079249,0.571023,0.442875,1.013898,Not Available,0.00356,0.969831
1974-05-01,-0.161558,0.005158,0.076349,0.704717,0.434675,1.139392,Not Available,0.003678,1.06302
1974-06-01,-0.16945,0.003373,0.068518,0.685857,0.394282,1.080139,Not Available,0.00356,0.986139
1974-07-01,-0.140005,0.003571,0.067023,0.739068,0.406362,1.14543,Not Available,0.003678,1.079698
1974-08-01,-0.125175,0.003844,0.072673,0.708761,0.406036,1.114797,Not Available,0.003678,1.069817
1974-09-01,-0.128406,0.006522,0.065915,0.663736,0.373516,1.037252,Not Available,0.00356,0.984844
1974-10-01,-0.191489,0.009077,0.079438,0.688145,0.39747,1.085615,Not Available,0.003678,0.98632
1974-11-01,-0.174216,0.004861,0.078199,0.691892,0.47549,1.167382,Not Available,0.00356,1.079786
1974-12-01,-0.068075,0.004886,0.081711,0.698885,0.475478,1.174363,Not Available,0.003678,1.196563
