Month,Petroleum Exports,Petroleum Imports,Petroleum Balance,Energy Exports,Energy Imports,Energy Balance,Non-Energy Balance,Total Merchandise Exports,Total Merchandise Imports,Total Merchandise Balance
1974-01-01,59.2,1273.5,-1214.3,144.2,1325.6,-1181.4,1333.3,6872.3,6720.4,151.9
1974-02-01,46.4,1542.3,-1495.9,178.8,1588.1,-1409.3,1999.7,7334.4,6744.0,590.4
1974-03-01,60.5,1765.9,-1705.4,162.3,1820.0,-1657.7,2237.2,8529.6,7950.1,579.5
1974-04-01,65.5,2240.0,-2174.5,223.2,2294.2,-2071.0,2011.8,8413.1,8472.3,-59.2
1974-05-01,72.8,2232.4,-2159.6,281.0,2290.8,-2009.8,1564.9,8491.1,8936.0,-444.9
1974-06-01,67.8,2039.8,-1972.0,310.4,2090.2,-1779.8,1472.8,8394.0,8701.0,-307.0
1974-07-01,78.4,2356.1,-2277.7,306.7,2417.2,-2110.5,619.0,7695.6,9187.1,-1491.5
1974-08-01,75.8,2432.1,-2356.3,338.0,2508.5,-2170.5,946.3,7999.3,9223.5,-1224.2
1974-09-01,60.1,2060.0,-1999.9,332.8,2128.9,-1796.1,908.2,7676.8,8564.7,-887.9
1974-10-01,72.5,2191.1,-2118.6,450.3,2278.1,-1827.8,1612.2,9001.5,9217.1,-215.6
1974-11-01,66.1,2129.7,-2063.6,464.4,2214.7,-1750.3,2129.4,9400.4,9021.3,379.1
1974-12-01,67.4,2404.9,-2337.5,251.9,2497.6,-2245.7,1564.4,8743.6,9424.9,-681.3
1975-01-01,72.4,3313.0,-3240.6,357.4,3421.0,-3063.6,2097.9,9324.0,10289.7,-965.7
1975-02-01,67.2,1810.5,-1743.3,337.4,1940.1,-1602.7,2868.5,8599.8,7334.0,1265.8
1975-03-01,73.9,1375.3,-1301.4,399.6,1480.7,-1081.1,2992.2,9479.7,7568.6,1911.1
1975-04-01,68.4,2340.2,-2271.8,391.4,2441.3,-2049.9,2826.3,9151.8,8375.4,776.4
