Month,Consumer Price Index (Urban),Cost of Motor Gasoline,Cost of Motor Gasoline.1,Cost of Residential Heating Oil,Cost of Residential Heating Oil.1,Cost of Residential Natural Gas,Cost of Residential Natural Gas.1,Cost of Residential Electricity,Cost of Residential Electricity.1
1995-01-01,150.3,0.792,6.39,0.578,4.169,3.892,3.79,5.223,15.307
1995-02-01,150.9,0.783,6.316,0.579,4.176,3.817,3.717,5.308,15.557
1995-03-01,151.4,0.775,6.253,0.572,4.124,3.857,3.756,5.376,15.758
1995-04-01,151.9,0.788,6.36,0.562,4.054,3.989,3.885,5.537,16.227
1995-05-01,152.2,0.825,6.66,0.568,4.093,4.297,4.184,5.604,16.426
1995-06-01,152.5,0.84,6.779,0.555,4,4.911,4.782,5.718,16.759
1995-07-01,152.5,0.821,6.626,0.538,3.877,5.128,4.993,5.77,16.912
1995-08-01,152.9,0.799,6.45,0.528,3.806,5.317,5.177,5.742,16.83
1995-09-01,153.2,0.787,6.353,0.537,3.873,5.046,4.913,5.594,16.395
1995-10-01,153.7,0.771,6.222,0.547,3.941,4.307,4.194,5.628,16.494
1995-11-01,153.6,0.756,6.1,0.562,4.051,3.652,3.556,5.378,15.761
1995-12-01,153.5,0.756,6.099,0.593,4.279,3.609,3.514,5.225,15.313
1996-01-01,154.4,0.768,6.191,0.613,4.418,3.653,3.557,5.019,14.711
1996-02-01,154.9,0.762,6.145,0.619,4.464,3.757,3.658,5.042,14.777
1996-03-01,155.7,0.783,6.31,0.636,4.589,3.809,3.708,5.196,15.228
1996-04-01,156.3,0.835,6.729,0.649,4.682,4.012,3.906,5.272,15.451
1996-05-01,156.6,0.88,7.092,0.625,4.503,4.368,4.253,5.453,15.983
1996-06-01,156.7,0.864,6.964,0.581,4.187,4.997,4.865,5.52,16.178
1996-07-01,157.0,0.846,6.818,0.56,4.037,5.503,5.359,5.561,16.297
1996-08-01,157.3,0.825,6.651,0.56,4.038,5.55,5.404,5.633,16.508
1996-09-01,157.8,0.819,6.604,0.599,4.318,5.063,4.93,5.57,16.326
1996-10-01,158.3,0.813,6.553,0.648,4.673,4.454,4.336,5.477,16.052
1996-11-01,158.6,0.825,6.647,0.665,4.792,4.016,3.911,5.202,15.246
1996-12-01,158.6,0.831,6.698,0.678,4.887,4.079,3.972,5.038,14.765
1997-01-01,159.1,0.828,6.685,0.678,4.89,4.236,4.125,4.947,14.498
1997-02-01,159.6,0.822,6.633,0.659,4.748,4.254,4.143,5,14.654
1997-03-01,160.0,0.808,6.521,0.635,4.579,4.075,3.968,5.15,15.094
1997-04-01,160.2,0.804,6.488,0.619,4.465,4.076,3.969,5.231,15.331
1997-05-01,160.1,0.802,6.471,0.602,4.341,4.266,4.154,5.403,15.835
1997-06-01,160.3,0.802,6.473,0.576,4.152,5.178,5.042,5.558,16.291
1997-07-01,160.5,0.787,6.35,0.55,3.967,5.47,5.327,5.445,15.96
1997-08-01,160.8,0.815,6.574,0.54,3.897,5.591,5.444,5.473,16.039
1997-09-01,161.2,0.828,6.678,0.55,3.967,5.484,5.34,5.428,15.909
1997-10-01,161.6,0.804,6.491,0.571,4.118,4.759,4.634,5.316,15.579
1997-11-01,161.5,0.787,6.35,0.583,4.201,4.248,4.136,5.108,14.972
1997-12-01,161.3,0.766,6.183,0.582,4.193,4.055,3.948,4.978,14.591
1998-01-01,161.6,0.734,5.924,0.572,4.127,3.967,3.84,4.87,14.273
1998-02-01,161.9,0.702,5.669,0.566,4.079,3.959,3.833,4.923,14.428
1998-03-01,162.2,0.676,5.459,0.552,3.983,3.878,3.754,4.938,14.473
1998-04-01,162.5,0.681,5.494,0.54,3.891,4.191,4.057,5.065,14.844
1998-05-01,162.8,0.704,5.682,0.521,3.76,4.73,4.579,5.215,15.284
1998-06-01,163.0,0.704,5.685,0.498,3.592,5.221,5.054,5.233,15.337
1998-07-01,163.2,0.695,5.609,0.476,3.433,5.227,5.06,5.257,15.408
1998-08-01,163.4,0.678,5.474,0.462,3.332,5.661,5.48,5.245,15.372
1998-09-01,163.6,0.667,5.383,0.471,3.394,5.477,5.302,5.153,15.102
1998-10-01,164.0,0.67,5.409,0.479,3.456,4.634,4.486,5.03,14.744
1998-11-01,164.0,0.662,5.345,0.487,3.513,4.012,3.884,4.902,14.368
1998-12-01,163.9,0.638,5.152,0.481,3.471,3.868,3.745,4.832,14.162
1999-01-01,164.3,0.628,5.066,0.49,3.533,3.652,3.552,4.614,13.521
1999-02-01,164.5,0.616,4.977,0.486,3.507,3.824,3.72,4.815,14.111
1999-03-01,165.0,0.635,5.128,0.491,3.54,3.673,3.573,4.788,14.032
