Month,Geothermal Energy Consumed by the Residential Sector,Solar Energy Consumed by the Residential Sector,Wood Energy Consumed by the Residential Sector,Total Renewable Energy Consumed by the Residential Sector,Hydroelectric Power Consumed by the Commercial Sector,Geothermal Energy Consumed by the Commercial Sector,Solar Energy Consumed by the Commercial Sector,Wind Energy Consumed by the Commercial Sector,Wood Energy Consumed by the Commercial Sector,Waste Energy Consumed by the Commercial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Commercial Sector",Biomass Energy Consumed by the Commercial Sector,Total Renewable Energy Consumed by the Commercial Sector
1973-01-01,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57
1973-02-01,Not Available,Not Available,27.164,27.164,Not Available,Not Available,Not Available,Not Available,0.515,Not Available,Not Available,0.515,0.515
1973-03-01,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57
1973-04-01,Not Available,Not Available,29.104,29.104,Not Available,Not Available,Not Available,Not Available,0.551,Not Available,Not Available,0.551,0.551
1973-05-01,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57
1973-06-01,Not Available,Not Available,29.104,29.104,Not Available,Not Available,Not Available,Not Available,0.551,Not Available,Not Available,0.551,0.551
1973-07-01,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57
1973-08-01,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57
1973-09-01,Not Available,Not Available,29.104,29.104,Not Available,Not Available,Not Available,Not Available,0.551,Not Available,Not Available,0.551,0.551
1973-10-01,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57
1973-11-01,Not Available,Not Available,29.104,29.104,Not Available,Not Available,Not Available,Not Available,0.551,Not Available,Not Available,0.551,0.551
1973-12-01,Not Available,Not Available,30.074,30.074,Not Available,Not Available,Not Available,Not Available,0.57,Not Available,Not Available,0.57,0.57
1974-01-01,Not Available,Not Available,31.506,31.506,Not Available,Not Available,Not Available,Not Available,0.596,Not Available,Not Available,0.596,0.596
1974-02-01,Not Available,Not Available,28.457,28.457,Not Available,Not Available,Not Available,Not Available,0.538,Not Available,Not Available,0.538,0.538
1974-03-01,Not Available,Not Available,31.506,31.506,Not Available,Not Available,Not Available,Not Available,0.596,Not Available,Not Available,0.596,0.596
1974-04-01,Not Available,Not Available,30.489,30.489,Not Available,Not Available,Not Available,Not Available,0.577,Not Available,Not Available,0.577,0.577
1974-05-01,Not Available,Not Available,31.506,31.506,Not Available,Not Available,Not Available,Not Available,0.596,Not Available,Not Available,0.596,0.596
1974-06-01,Not Available,Not Available,30.489,30.489,Not Available,Not Available,Not Available,Not Available,0.577,Not Available,Not Available,0.577,0.577
1974-07-01,Not Available,Not Available,31.506,31.506,Not Available,Not Available,Not Available,Not Available,0.596,Not Available,Not Available,0.596,0.596
1974-08-01,Not Available,Not Available,31.506,31.506,Not Available,Not Available,Not Available,Not Available,0.596,Not Available,Not Available,0.596,0.596
1974-09-01,Not Available,Not Available,30.489,30.489,Not Available,Not Available,Not Available,Not Available,0.577,Not Available,Not Available,0.577,0.577
1974-10-01,Not Available,Not Available,31.506,31.506,Not Available,Not Available,Not Available,Not Available,0.596,Not Available,Not Available,0.596,0.596
1974-11-01,Not Available,Not Available,30.489,30.489,Not Available,Not Available,Not Available,Not Available,0.577,Not Available,Not Available,0.577,0.577
1974-12-01,Not Available,Not Available,31.506,31.506,Not Available,Not Available,Not Available,Not Available,0.596,Not Available,Not Available,0.596,0.596
1975-01-01,Not Available,Not Available,36.131,36.131,Not Available,Not Available,Not Available,Not Available,0.685,Not Available,Not Available,0.685,0.685
1975-02-01,Not Available,Not Available,32.634,32.634,Not Available,Not Available,Not Available,Not Available,0.619,Not Available,Not Available,0.619,0.619
1975-03-01,Not Available,Not Available,36.131,36.131,Not Available,Not Available,Not Available,Not Available,0.685,Not Available,Not Available,0.685,0.685
1975-04-01,Not Available,Not Available,34.965,34.965,Not Available,Not Available,Not Available,Not Available,0.663,Not Available,Not Available,0.663,0.663
1975-05-01,Not Available,Not Available,36.131,36.131,Not Available,Not Available,Not Available,Not Available,0.685,Not Available,Not Available,0.685,0.685
1975-06-01,Not Available,Not Available,34.965,34.965,Not Available,Not Available,Not Available,Not Available,0.663,Not Available,Not Available,0.663,0.663
1975-07-01,Not Available,Not Available,36.131,36.131,Not Available,Not Available,Not Available,Not Available,0.685,Not Available,Not Available,0.685,0.685
1975-08-01,Not Available,Not Available,36.131,36.131,Not Available,Not Available,Not Available,Not Available,0.685,Not Available,Not Available,0.685,0.685
1975-09-01,Not Available,Not Available,34.965,34.965,Not Available,Not Available,Not Available,Not Available,0.663,Not Available,Not Available,0.663,0.663
1975-10-01,Not Available,Not Available,36.131,36.131,Not Available,Not Available,Not Available,Not Available,0.685,Not Available,Not Available,0.685,0.685
1975-11-01,Not Available,Not Available,34.965,34.965,Not Available,Not Available,Not Available,Not Available,0.663,Not Available,Not Available,0.663,0.663
1975-12-01,Not Available,Not Available,36.131,36.131,Not Available,Not Available,Not Available,Not Available,0.685,Not Available,Not Available,0.685,0.685
1976-01-01,Not Available,Not Available,40.794,40.794,Not Available,Not Available,Not Available,Not Available,0.771,Not Available,Not Available,0.771,0.771
1976-02-01,Not Available,Not Available,38.162,38.162,Not Available,Not Available,Not Available,Not Available,0.721,Not Available,Not Available,0.721,0.721
1976-03-01,Not Available,Not Available,40.794,40.794,Not Available,Not Available,Not Available,Not Available,0.771,Not Available,Not Available,0.771,0.771
1976-04-01,Not Available,Not Available,39.478,39.478,Not Available,Not Available,Not Available,Not Available,0.746,Not Available,Not Available,0.746,0.746
1976-05-01,Not Available,Not Available,40.794,40.794,Not Available,Not Available,Not Available,Not Available,0.771,Not Available,Not Available,0.771,0.771
