Month,Hydroelectric Power Consumed by the Industrial Sector,Geothermal Energy Consumed by the Industrial Sector,Solar Energy Consumed by the Industrial Sector,Wind Energy Consumed by the Industrial Sector,Wood Energy Consumed by the Industrial Sector,Waste Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Industrial Sector",Biomass Losses and Co-products in the Industrial Sector,Biomass Energy Consumed by the Industrial Sector,Total Renewable Energy Consumed by the Industrial Sector
1973-01-01,1.04,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,99.973
1973-02-01,0.962,Not Available,Not Available,Not Available,89.359,Not Available,Not Available,Not Available,89.359,90.32
1973-03-01,1.064,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,99.997
1973-04-01,1.016,Not Available,Not Available,Not Available,95.741,Not Available,Not Available,Not Available,95.741,96.758
1973-05-01,1.049,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,99.981
1973-06-01,1.018,Not Available,Not Available,Not Available,95.741,Not Available,Not Available,Not Available,95.741,96.759
1973-07-01,0.906,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,99.839
1973-08-01,0.875,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,99.808
1973-09-01,0.764,Not Available,Not Available,Not Available,95.741,Not Available,Not Available,Not Available,95.741,96.505
1973-10-01,0.832,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,99.765
1973-11-01,0.876,Not Available,Not Available,Not Available,95.741,Not Available,Not Available,Not Available,95.741,96.618
1973-12-01,1.018,Not Available,Not Available,Not Available,98.933,Not Available,Not Available,Not Available,98.933,99.951
1974-01-01,1.026,Not Available,Not Available,Not Available,98.442,Not Available,Not Available,Not Available,98.442,99.467
1974-02-01,0.937,Not Available,Not Available,Not Available,88.915,Not Available,Not Available,Not Available,88.915,89.852
1974-03-01,1.004,Not Available,Not Available,Not Available,98.442,Not Available,Not Available,Not Available,98.442,99.446
1974-04-01,0.992,Not Available,Not Available,Not Available,95.266,Not Available,Not Available,Not Available,95.266,96.258
1974-05-01,1.023,Not Available,Not Available,Not Available,98.442,Not Available,Not Available,Not Available,98.442,99.465
1974-06-01,0.953,Not Available,Not Available,Not Available,95.266,Not Available,Not Available,Not Available,95.266,96.219
1974-07-01,0.871,Not Available,Not Available,Not Available,98.442,Not Available,Not Available,Not Available,98.442,99.313
1974-08-01,0.819,Not Available,Not Available,Not Available,98.442,Not Available,Not Available,Not Available,98.442,99.261
1974-09-01,0.781,Not Available,Not Available,Not Available,95.266,Not Available,Not Available,Not Available,95.266,96.047
1974-10-01,0.742,Not Available,Not Available,Not Available,98.442,Not Available,Not Available,Not Available,98.442,99.184
1974-11-01,0.773,Not Available,Not Available,Not Available,95.266,Not Available,Not Available,Not Available,95.266,96.039
1974-12-01,0.929,Not Available,Not Available,Not Available,98.442,Not Available,Not Available,Not Available,98.442,99.371
1975-01-01,1.017,Not Available,Not Available,Not Available,90.305,Not Available,Not Available,Not Available,90.305,91.322
1975-02-01,0.905,Not Available,Not Available,Not Available,81.566,Not Available,Not Available,Not Available,81.566,82.471
1975-03-01,0.952,Not Available,Not Available,Not Available,90.305,Not Available,Not Available,Not Available,90.305,91.257
1975-04-01,0.949,Not Available,Not Available,Not Available,87.392,Not Available,Not Available,Not Available,87.392,88.341
1975-05-01,1.023,Not Available,Not Available,Not Available,90.305,Not Available,Not Available,Not Available,90.305,91.328
1975-06-01,0.938,Not Available,Not Available,Not Available,87.392,Not Available,Not Available,Not Available,87.392,88.331
1975-07-01,0.821,Not Available,Not Available,Not Available,90.305,Not Available,Not Available,Not Available,90.305,91.126
1975-08-01,0.739,Not Available,Not Available,Not Available,90.305,Not Available,Not Available,Not Available,90.305,91.044
1975-09-01,0.744,Not Available,Not Available,Not Available,87.392,Not Available,Not Available,Not Available,87.392,88.136
1975-10-01,0.816,Not Available,Not Available,Not Available,90.305,Not Available,Not Available,Not Available,90.305,91.121
1975-11-01,0.818,Not Available,Not Available,Not Available,87.392,Not Available,Not Available,Not Available,87.392,88.21
1975-12-01,0.875,Not Available,Not Available,Not Available,90.305,Not Available,Not Available,Not Available,90.305,91.18
1976-01-01,0.954,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,104.277
1976-02-01,0.963,Not Available,Not Available,Not Available,96.657,Not Available,Not Available,Not Available,96.657,97.619
1976-03-01,0.997,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,104.32
1976-04-01,1.024,Not Available,Not Available,Not Available,99.99,Not Available,Not Available,Not Available,99.99,101.013
1976-05-01,1.004,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,104.327
1976-06-01,0.962,Not Available,Not Available,Not Available,99.99,Not Available,Not Available,Not Available,99.99,100.952
1976-07-01,0.877,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,104.2
1976-08-01,0.803,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,104.125
1976-09-01,0.69,Not Available,Not Available,Not Available,99.99,Not Available,Not Available,Not Available,99.99,100.68
1976-10-01,0.899,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,104.222
1976-11-01,0.892,Not Available,Not Available,Not Available,99.99,Not Available,Not Available,Not Available,99.99,100.882
1976-12-01,0.912,Not Available,Not Available,Not Available,103.323,Not Available,Not Available,Not Available,103.323,104.235
1977-01-01,1.001,Not Available,Not Available,Not Available,108.818,Not Available,Not Available,Not Available,108.818,109.819
1977-02-01,0.732,Not Available,Not Available,Not Available,98.287,Not Available,Not Available,Not Available,98.287,99.02
1977-03-01,0.957,Not Available,Not Available,Not Available,108.818,Not Available,Not Available,Not Available,108.818,109.775
1977-04-01,0.901,Not Available,Not Available,Not Available,105.308,Not Available,Not Available,Not Available,105.308,106.209
1977-05-01,0.903,Not Available,Not Available,Not Available,108.818,Not Available,Not Available,Not Available,108.818,109.721
1977-06-01,0.833,Not Available,Not Available,Not Available,105.308,Not Available,Not Available,Not Available,105.308,106.141
1977-07-01,0.812,Not Available,Not Available,Not Available,108.818,Not Available,Not Available,Not Available,108.818,109.63
1977-08-01,0.808,Not Available,Not Available,Not Available,108.818,Not Available,Not Available,Not Available,108.818,109.626
1977-09-01,0.794,Not Available,Not Available,Not Available,105.308,Not Available,Not Available,Not Available,105.308,106.102
1977-10-01,0.831,Not Available,Not Available,Not Available,108.818,Not Available,Not Available,Not Available,108.818,109.649
1977-11-01,0.986,Not Available,Not Available,Not Available,105.308,Not Available,Not Available,Not Available,105.308,106.294
1977-12-01,1.1,Not Available,Not Available,Not Available,108.818,Not Available,Not Available,Not Available,108.818,109.918
1978-01-01,0.929,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,119.869
1978-02-01,0.823,Not Available,Not Available,Not Available,107.43,Not Available,Not Available,Not Available,107.43,108.253
1978-03-01,0.913,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,119.853
1978-04-01,0.938,Not Available,Not Available,Not Available,115.103,Not Available,Not Available,Not Available,115.103,116.041
1978-05-01,1.066,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,120.006
1978-06-01,0.931,Not Available,Not Available,Not Available,115.103,Not Available,Not Available,Not Available,115.103,116.034
1978-07-01,0.906,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,119.846
1978-08-01,0.822,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,119.762
1978-09-01,0.785,Not Available,Not Available,Not Available,115.103,Not Available,Not Available,Not Available,115.103,115.888
1978-10-01,0.722,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,119.662
1978-11-01,0.74,Not Available,Not Available,Not Available,115.103,Not Available,Not Available,Not Available,115.103,115.843
1978-12-01,0.818,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,119.759
1979-01-01,1.005,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,120.322
1979-02-01,0.854,Not Available,Not Available,Not Available,107.77,Not Available,Not Available,Not Available,107.77,108.625
1979-03-01,1.041,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,120.358
1979-04-01,1.02,Not Available,Not Available,Not Available,115.468,Not Available,Not Available,Not Available,115.468,116.488
1979-05-01,1.162,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,120.479
1979-06-01,1.003,Not Available,Not Available,Not Available,115.468,Not Available,Not Available,Not Available,115.468,116.471
1979-07-01,0.914,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,120.231
1979-08-01,0.854,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,120.171
1979-09-01,0.762,Not Available,Not Available,Not Available,115.468,Not Available,Not Available,Not Available,115.468,116.23
1979-10-01,0.81,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,120.127
1979-11-01,0.898,Not Available,Not Available,Not Available,115.468,Not Available,Not Available,Not Available,115.468,116.366
1979-12-01,0.913,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,120.23
1980-01-01,0.995,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,136.514
1980-02-01,0.841,Not Available,Not Available,Not Available,126.776,Not Available,Not Available,Not Available,126.776,127.617
1980-03-01,0.957,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,136.476
1980-04-01,1.013,Not Available,Not Available,Not Available,131.148,Not Available,Not Available,Not Available,131.148,132.16
1980-05-01,1.135,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,136.655
1980-06-01,1.088,Not Available,Not Available,Not Available,131.148,Not Available,Not Available,Not Available,131.148,132.235
1980-07-01,0.96,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,136.48
1980-08-01,0.805,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,136.325
1980-09-01,0.727,Not Available,Not Available,Not Available,131.148,Not Available,Not Available,Not Available,131.148,131.875
1980-10-01,0.703,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,136.222
1980-11-01,0.756,Not Available,Not Available,Not Available,131.148,Not Available,Not Available,Not Available,131.148,131.903
1980-12-01,0.805,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,136.324
