Month,"Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector",Biodiesel Consumed by the Transportation Sector,Renewable Diesel Fuel Consumed by the Transportation Sector ,Other Biofuels Consumed by the Transportation Sector ,Biomass Energy Consumed by the Transportation Sector,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Wood Energy Consumed by the Electric Power Sector,Waste Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector
1973-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,88.522,0.49,Not Available,Not Available,0.054,0.157,0.211,89.223
1973-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,78.582,0.448,Not Available,Not Available,0.157,0.144,0.301,79.331
1973-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,87.22,0.464,Not Available,Not Available,0.186,0.176,0.362,88.046
1973-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,82.136,0.542,Not Available,Not Available,0.066,0.174,0.24,82.917
1973-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,84.594,0.505,Not Available,Not Available,0.048,0.21,0.258,85.357
1973-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,81.042,0.579,Not Available,Not Available,0.039,0.176,0.214,81.835
1973-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,76.493,0.614,Not Available,Not Available,0.04,0.17,0.21,77.317
1973-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,72.06,0.579,Not Available,Not Available,0.157,0.184,0.341,72.98
1973-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,58.265,0.49,Not Available,Not Available,0.207,0.178,0.385,59.14
1973-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,62.134,0.578,Not Available,Not Available,0.193,0.2,0.393,63.106
1973-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,68.186,0.62,Not Available,Not Available,0.095,0.151,0.246,69.053
