Month,"Fuel Ethanol, Excluding Denaturant, Feedstock","Fuel Ethanol, Excluding Denaturant, Losses and Co-products",Fuel Ethanol Denaturant,Fuel Ethanol Production,Fuel Ethanol Production.1,Fuel Ethanol Production.2,Fuel Ethanol Net Imports,Fuel Ethanol Stocks,Fuel Ethanol Stock Change,Fuel Ethanol Consumption,Fuel Ethanol Consumption.1,Fuel Ethanol Consumption.2,"Fuel Ethanol, Excluding Denaturant, Consumption"
1981-01-01,1.08,0.498,3.36,167.991,7.056,0.599,Not Available,Not Available,Not Available,167.991,7.056,0.599,0.583
1981-02-01,0.976,0.45,3.035,151.734,6.373,0.541,Not Available,Not Available,Not Available,151.734,6.373,0.541,0.526
1981-03-01,1.08,0.498,3.36,167.991,7.056,0.599,Not Available,Not Available,Not Available,167.991,7.056,0.599,0.583
1981-04-01,1.045,0.482,3.251,162.572,6.828,0.579,Not Available,Not Available,Not Available,162.572,6.828,0.579,0.564
1981-05-01,1.08,0.498,3.36,167.991,7.056,0.599,Not Available,Not Available,Not Available,167.991,7.056,0.599,0.583
1981-06-01,1.045,0.482,3.251,162.572,6.828,0.579,Not Available,Not Available,Not Available,162.572,6.828,0.579,0.564
1981-07-01,1.08,0.498,3.36,167.991,7.056,0.599,Not Available,Not Available,Not Available,167.991,7.056,0.599,0.583
1981-08-01,1.08,0.498,3.36,167.991,7.056,0.599,Not Available,Not Available,Not Available,167.991,7.056,0.599,0.583
1981-09-01,1.045,0.482,3.251,162.572,6.828,0.579,Not Available,Not Available,Not Available,162.572,6.828,0.579,0.564
1981-10-01,1.08,0.498,3.36,167.991,7.056,0.599,Not Available,Not Available,Not Available,167.991,7.056,0.599,0.583
1981-11-01,1.045,0.482,3.251,162.572,6.828,0.579,Not Available,Not Available,Not Available,162.572,6.828,0.579,0.564
1981-12-01,1.08,0.498,3.36,167.991,7.056,0.599,Not Available,Not Available,Not Available,167.991,7.056,0.599,0.583
1982-01-01,2.922,1.341,9.12,455.976,19.151,1.625,Not Available,Not Available,Not Available,455.976,19.151,1.625,1.581
1982-02-01,2.639,1.211,8.237,411.849,17.298,1.468,Not Available,Not Available,Not Available,411.849,17.298,1.468,1.428
1982-03-01,2.922,1.341,9.12,455.976,19.151,1.625,Not Available,Not Available,Not Available,455.976,19.151,1.625,1.581
1982-04-01,2.828,1.297,8.825,441.267,18.533,1.573,Not Available,Not Available,Not Available,441.267,18.533,1.573,1.53
1982-05-01,2.922,1.341,9.12,455.976,19.151,1.625,Not Available,Not Available,Not Available,455.976,19.151,1.625,1.581
1982-06-01,2.828,1.297,8.825,441.267,18.533,1.573,Not Available,Not Available,Not Available,441.267,18.533,1.573,1.53
1982-07-01,2.922,1.341,9.12,455.976,19.151,1.625,Not Available,Not Available,Not Available,455.976,19.151,1.625,1.581
1982-08-01,2.922,1.341,9.12,455.976,19.151,1.625,Not Available,Not Available,Not Available,455.976,19.151,1.625,1.581
1982-09-01,2.828,1.297,8.825,441.267,18.533,1.573,Not Available,Not Available,Not Available,441.267,18.533,1.573,1.53
1982-10-01,2.922,1.341,9.12,455.976,19.151,1.625,Not Available,Not Available,Not Available,455.976,19.151,1.625,1.581
1982-11-01,2.828,1.297,8.825,441.267,18.533,1.573,Not Available,Not Available,Not Available,441.267,18.533,1.573,1.53
1982-12-01,2.922,1.341,9.12,455.976,19.151,1.625,Not Available,Not Available,Not Available,455.976,19.151,1.625,1.581
1983-01-01,5.363,2.45,16.799,839.956,35.278,2.994,Not Available,Not Available,Not Available,839.956,35.278,2.994,2.913
1983-02-01,4.844,2.213,15.173,758.67,31.864,2.704,Not Available,Not Available,Not Available,758.67,31.864,2.704,2.631
1983-03-01,5.363,2.45,16.799,839.956,35.278,2.994,Not Available,Not Available,Not Available,839.956,35.278,2.994,2.913
1983-04-01,5.19,2.371,16.257,812.86,34.14,2.897,Not Available,Not Available,Not Available,812.86,34.14,2.897,2.819
1983-05-01,5.363,2.45,16.799,839.956,35.278,2.994,Not Available,Not Available,Not Available,839.956,35.278,2.994,2.913
1983-06-01,5.19,2.371,16.257,812.86,34.14,2.897,Not Available,Not Available,Not Available,812.86,34.14,2.897,2.819
1983-07-01,5.363,2.45,16.799,839.956,35.278,2.994,Not Available,Not Available,Not Available,839.956,35.278,2.994,2.913
1983-08-01,5.363,2.45,16.799,839.956,35.278,2.994,Not Available,Not Available,Not Available,839.956,35.278,2.994,2.913
1983-09-01,5.19,2.371,16.257,812.86,34.14,2.897,Not Available,Not Available,Not Available,812.86,34.14,2.897,2.819
1983-10-01,5.363,2.45,16.799,839.956,35.278,2.994,Not Available,Not Available,Not Available,839.956,35.278,2.994,2.913
1983-11-01,5.19,2.371,16.257,812.86,34.14,2.897,Not Available,Not Available,Not Available,812.86,34.14,2.897,2.819
1983-12-01,5.363,2.45,16.799,839.956,35.278,2.994,Not Available,Not Available,Not Available,839.956,35.278,2.994,2.913
1984-01-01,6.547,2.978,20.583,1029.126,43.223,3.668,Not Available,Not Available,Not Available,1029.126,43.223,3.668,3.569
1984-02-01,6.125,2.786,19.255,962.731,40.435,3.431,Not Available,Not Available,Not Available,962.731,40.435,3.431,3.339
1984-03-01,6.547,2.978,20.583,1029.126,43.223,3.668,Not Available,Not Available,Not Available,1029.126,43.223,3.668,3.569
1984-04-01,6.336,2.882,19.919,995.928,41.829,3.549,Not Available,Not Available,Not Available,995.928,41.829,3.549,3.454
1984-05-01,6.547,2.978,20.583,1029.126,43.223,3.668,Not Available,Not Available,Not Available,1029.126,43.223,3.668,3.569
1984-06-01,6.336,2.882,19.919,995.928,41.829,3.549,Not Available,Not Available,Not Available,995.928,41.829,3.549,3.454
1984-07-01,6.547,2.978,20.583,1029.126,43.223,3.668,Not Available,Not Available,Not Available,1029.126,43.223,3.668,3.569
1984-08-01,6.547,2.978,20.583,1029.126,43.223,3.668,Not Available,Not Available,Not Available,1029.126,43.223,3.668,3.569
1984-09-01,6.336,2.882,19.919,995.928,41.829,3.549,Not Available,Not Available,Not Available,995.928,41.829,3.549,3.454
1984-10-01,6.547,2.978,20.583,1029.126,43.223,3.668,Not Available,Not Available,Not Available,1029.126,43.223,3.668,3.569
1984-11-01,6.336,2.882,19.919,995.928,41.829,3.549,Not Available,Not Available,Not Available,995.928,41.829,3.549,3.454
1984-12-01,6.547,2.978,20.583,1029.126,43.223,3.668,Not Available,Not Available,Not Available,1029.126,43.223,3.668,3.569
1985-01-01,7.911,3.583,24.959,1247.934,52.413,4.448,Not Available,Not Available,Not Available,1247.934,52.413,4.448,4.328
1985-02-01,7.146,3.237,22.543,1127.166,47.341,4.017,Not Available,Not Available,Not Available,1127.166,47.341,4.017,3.909
1985-03-01,7.911,3.583,24.959,1247.934,52.413,4.448,Not Available,Not Available,Not Available,1247.934,52.413,4.448,4.328
1985-04-01,7.656,3.468,24.154,1207.678,50.722,4.304,Not Available,Not Available,Not Available,1207.678,50.722,4.304,4.188
