Month,Biodiesel Feedstock,Biodiesel Losses and Co-products,Biodiesel Production,Biodiesel Production.1,Biodiesel Production.2,Biodiesel Imports,Biodiesel Exports,Biodiesel Net Imports,Biodiesel Stocks,Biodiesel Stock Change,Biodiesel Consumption,Biodiesel Consumption.1,Biodiesel Consumption.2
2001-01-01,0.094,0.001,17.343,0.728,0.093,2.984,3.219,-0.235,,,17.108,0.719,0.092
2001-02-01,0.085,0.001,15.665,0.658,0.084,1.413,5.119,-3.706,,,11.959,0.502,0.064
2001-03-01,0.094,0.001,17.343,0.728,0.093,6.948,4.956,1.992,,,19.335,0.812,0.104
2001-04-01,0.091,0.001,16.784,0.705,0.09,2.156,3.893,-1.736,,,15.047,0.632,0.081
2001-05-01,0.094,0.001,17.343,0.728,0.093,1.933,2.016,-0.083,,,17.26,0.725,0.092
2001-06-01,0.091,0.001,16.784,0.705,0.09,2.864,1.932,0.931,,,17.715,0.744,0.095
2001-07-01,0.094,0.001,17.343,0.728,0.093,13.066,2.204,10.862,,,28.205,1.185,0.151
2001-08-01,0.094,0.001,17.343,0.728,0.093,2.409,3.021,-0.612,,,16.731,0.703,0.09
2001-09-01,0.091,0.001,16.784,0.705,0.09,12.564,5.102,7.462,,,24.246,1.018,0.13
2001-10-01,0.094,0.001,17.343,0.728,0.093,13.315,3.283,10.031,,,27.375,1.15,0.147
2001-11-01,0.091,0.001,16.784,0.705,0.09,19.273,3.513,15.759,,,32.543,1.367,0.174
2001-12-01,0.094,0.001,17.343,0.728,0.093,1.998,2.388,-0.389,,,16.954,0.712,0.091
2002-01-01,0.115,0.002,21.201,0.89,0.114,13.844,3.688,10.156,,,31.357,1.317,0.168
2002-02-01,0.104,0.001,19.149,0.804,0.103,28.79,4.096,24.695,,,43.844,1.841,0.235
2002-03-01,0.115,0.002,21.201,0.89,0.114,43.526,4.906,38.62,,,59.82,2.512,0.321
2002-04-01,0.111,0.002,20.517,0.862,0.11,9.957,4.834,5.123,,,25.639,1.077,0.137
2002-05-01,0.115,0.002,21.201,0.89,0.114,16.445,6.344,10.101,,,31.301,1.315,0.168
2002-06-01,0.111,0.002,20.517,0.862,0.11,17.907,5.435,12.472,,,32.989,1.386,0.177
2002-07-01,0.115,0.002,21.201,0.89,0.114,21.85,4.417,17.433,,,38.634,1.623,0.207
2002-08-01,0.115,0.002,21.201,0.89,0.114,7.295,4.787,2.508,,,23.709,0.996,0.127
2002-09-01,0.111,0.002,20.517,0.862,0.11,7.034,3.764,3.27,,,23.787,0.999,0.127
2002-10-01,0.115,0.002,21.201,0.89,0.114,8.813,4.813,4.001,,,25.201,1.058,0.135
2002-11-01,0.111,0.002,20.517,0.862,0.11,11.5,5.157,6.343,,,26.86,1.128,0.144
2002-12-01,0.115,0.002,21.201,0.89,0.114,10.38,5.184,5.195,,,26.396,1.109,0.141
2003-01-01,0.156,0.002,28.734,1.207,0.154,14.165,8.896,5.268,,,34.002,1.428,0.182
2003-02-01,0.141,0.002,25.953,1.09,0.139,2.717,9.478,-6.761,,,19.192,0.806,0.103
2003-03-01,0.156,0.002,28.734,1.207,0.154,4.243,8.487,-4.244,,,24.49,1.029,0.131
2003-04-01,0.151,0.002,27.807,1.168,0.149,3.996,11.574,-7.578,,,20.229,0.85,0.108
2003-05-01,0.156,0.002,28.734,1.207,0.154,3.719,11.439,-7.72,,,21.014,0.883,0.113
2003-06-01,0.151,0.002,27.807,1.168,0.149,3.723,10.109,-6.386,,,21.421,0.9,0.115
2003-07-01,0.156,0.002,28.734,1.207,0.154,4.175,10.211,-6.036,,,22.698,0.953,0.122
2003-08-01,0.156,0.002,28.734,1.207,0.154,9.746,8.217,1.529,,,30.263,1.271,0.162
2003-09-01,0.151,0.002,27.807,1.168,0.149,14.551,6.481,8.07,,,35.877,1.507,0.192
2003-10-01,0.156,0.002,28.734,1.207,0.154,2.962,8.645,-5.682,,,23.052,0.968,0.124
2003-11-01,0.151,0.002,27.807,1.168,0.149,29.379,9.75,19.629,,,47.437,1.992,0.254
2003-12-01,0.156,0.002,28.734,1.207,0.154,3.428,10.179,-6.751,,,21.983,0.923,0.118
2004-01-01,0.307,0.004,56.43,2.37,0.302,10.584,5.157,5.427,,,61.857,2.598,0.331
2004-02-01,0.287,0.004,52.789,2.217,0.283,18.845,8.233,10.612,,,63.401,2.663,0.34
2004-03-01,0.307,0.004,56.43,2.37,0.302,4.235,7.835,-3.6,,,52.83,2.219,0.283
2004-04-01,0.297,0.004,54.61,2.294,0.293,15.971,10.7,5.272,,,59.881,2.515,0.321
2004-05-01,0.307,0.004,56.43,2.37,0.302,3.356,12.789,-9.433,,,46.997,1.974,0.252
2004-06-01,0.297,0.004,54.61,2.294,0.293,5.948,15.977,-10.029,,,44.58,1.872,0.239
2004-07-01,0.307,0.004,56.43,2.37,0.302,7.06,14.767,-7.707,,,48.723,2.046,0.261
2004-08-01,0.307,0.004,56.43,2.37,0.302,3.751,15.801,-12.05,,,44.38,1.864,0.238
2004-09-01,0.297,0.004,54.61,2.294,0.293,9.392,11.771,-2.38,,,52.23,2.194,0.28
2004-10-01,0.307,0.004,56.43,2.37,0.302,10.036,9.357,0.678,,,57.108,2.399,0.306
2004-11-01,0.297,0.004,54.61,2.294,0.293,6.742,8.578,-1.836,,,52.774,2.217,0.283
