Month,Renewable Diesel Fuel Feedstock,Renewable Diesel Fuel Losses and Co-products,Renewable Diesel Fuel Production,Renewable Diesel Fuel Production.1,Renewable Diesel Fuel Production.2,Renewable Diesel Fuel Imports,Renewable Diesel Fuel Stocks,Renewable Diesel Fuel Stock Change,Renewable Diesel Fuel Consumption,Renewable Diesel Fuel Consumption.1,Renewable Diesel Fuel Consumption.2
2011-01-01,Not Available,Not Available,105.425,4.428,0.579,No Data Reported,No Data Reported,No Data Reported,105.425,4.428,0.579
2011-02-01,Not Available,Not Available,22.91,0.962,0.126,No Data Reported,No Data Reported,No Data Reported,22.91,0.962,0.126
2011-03-01,Not Available,Not Available,75.033,3.151,0.412,No Data Reported,No Data Reported,No Data Reported,75.033,3.151,0.412
2011-04-01,Not Available,Not Available,46.831,1.967,0.257,No Data Reported,No Data Reported,No Data Reported,46.831,1.967,0.257
2011-05-01,Not Available,Not Available,179.182,7.526,0.984,No Data Reported,No Data Reported,No Data Reported,179.182,7.526,0.984
2011-06-01,Not Available,Not Available,108.66,4.564,0.597,No Data Reported,No Data Reported,No Data Reported,108.66,4.564,0.597
2011-07-01,Not Available,Not Available,153.961,6.466,0.846,No Data Reported,No Data Reported,No Data Reported,153.961,6.466,0.846
2011-08-01,Not Available,Not Available,201.08,8.445,1.105,No Data Reported,No Data Reported,No Data Reported,201.08,8.445,1.105
2011-09-01,Not Available,Not Available,140.454,5.899,0.772,No Data Reported,No Data Reported,No Data Reported,140.454,5.899,0.772
2011-10-01,Not Available,Not Available,164.715,6.918,0.905,No Data Reported,27,27,137.715,5.784,0.757
2011-11-01,Not Available,Not Available,124.617,5.234,0.685,No Data Reported,11,-16,140.617,5.906,0.773
2011-12-01,Not Available,Not Available,154.306,6.481,0.848,No Data Reported,7,-4,158.306,6.649,0.87
2012-01-01,Not Available,Not Available,100.413,4.217,0.552,No Data Reported,7,0,100.413,4.217,0.552
2012-02-01,Not Available,Not Available,75.94,3.189,0.417,No Data Reported,7,0,75.94,3.189,0.417
2012-03-01,Not Available,Not Available,127.483,5.354,0.7,No Data Reported,7,0,127.483,5.354,0.7
2012-04-01,Not Available,Not Available,84.58,3.552,0.465,50,10,3,131.58,5.526,0.723
2012-05-01,Not Available,Not Available,89.673,3.766,0.493,55,0,-10,154.673,6.496,0.85
2012-06-01,Not Available,Not Available,85.539,3.593,0.47,58,0,0,143.539,6.029,0.789
2012-07-01,Not Available,Not Available,149.493,6.279,0.821,No Data Reported,0,0,149.493,6.279,0.821
2012-08-01,Not Available,Not Available,130.502,5.481,0.717,No Data Reported,0,0,130.502,5.481,0.717
2012-09-01,Not Available,Not Available,89.022,3.739,0.489,56,0,0,145.022,6.091,0.797
2012-10-01,Not Available,Not Available,91.758,3.854,0.504,114,0,0,205.758,8.642,1.13
2012-11-01,Not Available,Not Available,132.874,5.581,0.73,57,0,0,189.874,7.975,1.043
2012-12-01,Not Available,Not Available,90.368,3.795,0.496,215,94,94,211.368,8.877,1.161
2013-01-01,Not Available,Not Available,30.447,1.279,0.167,No Data Reported,79,-15,45.447,1.909,0.25
2013-02-01,Not Available,Not Available,30.778,1.293,0.169,218,58,-21,269.778,11.331,1.482
2013-03-01,Not Available,Not Available,44.631,1.874,0.245,196,96,38,202.631,8.51,1.113
2013-04-01,Not Available,Not Available,39.853,1.674,0.219,148,76,-20,207.853,8.73,1.142
2013-05-01,Not Available,Not Available,66.487,2.792,0.365,136,130,54,148.487,6.236,0.816
2013-06-01,Not Available,Not Available,172.761,7.256,0.949,523,77,-53,748.761,31.448,4.114
2013-07-01,Not Available,Not Available,374.103,15.712,2.055,365,109,32,707.103,29.698,3.885
2013-08-01,Not Available,Not Available,363.244,15.256,1.996,866,546,437,792.244,33.274,4.353
2013-09-01,Not Available,Not Available,420.026,17.641,2.308,613,537,-9,1042.026,43.765,5.725
2013-10-01,Not Available,Not Available,450.756,18.932,2.476,467,486,-51,968.756,40.688,5.322
2013-11-01,Not Available,Not Available,373.307,15.679,2.051,728,665,179,922.307,38.737,5.067
2013-12-01,Not Available,Not Available,330.888,13.897,1.818,661,691,26,965.888,40.567,5.307
2014-01-01,Not Available,Not Available,245.922,10.329,1.351,267,670,-21,533.922,22.425,2.933
2014-02-01,Not Available,Not Available,292.696,12.293,1.608,133,627,-43,468.696,19.685,2.575
2014-03-01,Not Available,Not Available,356.032,14.953,1.956,267,599,-28,651.032,27.343,3.577
2014-04-01,Not Available,Not Available,325.627,13.676,1.789,247,374,-225,797.627,33.5,4.382
2014-05-01,Not Available,Not Available,386.163,16.219,2.122,409,392,18,777.163,32.641,4.27
2014-06-01,Not Available,Not Available,372.974,15.665,2.049,No Data Reported,346,-46,418.974,17.597,2.302
2014-07-01,Not Available,Not Available,333.275,13.998,1.831,603,595,249,687.275,28.866,3.776
2014-08-01,Not Available,Not Available,48.646,2.043,0.267,178,363,-232,458.646,19.263,2.52
2014-09-01,Not Available,Not Available,141.653,5.949,0.778,267,374,11,397.653,16.701,2.185
2014-10-01,Not Available,Not Available,350.52,14.722,1.926,235,223,-151,736.52,30.934,4.046
2014-11-01,Not Available,Not Available,391.971,16.463,2.153,No Data Reported,222,-1,392.971,16.505,2.159
2014-12-01,Not Available,Not Available,543.598,22.831,2.987,267,350,128,682.598,28.669,3.75
2015-01-01,Not Available,Not Available,416.778,17.505,2.29,134,403,53,497.778,20.907,2.735
2015-02-01,Not Available,Not Available,320.978,13.481,1.763,199,382,-21,540.978,22.721,2.972
2015-03-01,Not Available,Not Available,383.57,16.11,2.107,429,532,150,662.57,27.828,3.64
2015-04-01,Not Available,Not Available,374.587,15.733,2.058,266,467,-65,705.587,29.635,3.876
2015-05-01,Not Available,Not Available,374.79,15.741,2.059,539,716,249,664.79,27.921,3.652
2015-06-01,Not Available,Not Available,343.333,14.42,1.886,346,694,-22,711.333,29.876,3.908
2015-07-01,Not Available,Not Available,369.554,15.521,2.03,535,722,28,876.554,36.815,4.816
2015-08-01,Not Available,Not Available,359.534,15.1,1.975,560,879,157,762.534,32.026,4.189
2015-09-01,Not Available,Not Available,329.673,13.846,1.811,312,725,-154,795.673,33.418,4.371
2015-10-01,Not Available,Not Available,319.384,13.414,1.755,599,810,85,833.384,35.002,4.579
2015-11-01,Not Available,Not Available,301.323,12.656,1.655,472,657,-153,926.323,38.906,5.089
2015-12-01,Not Available,Not Available,317.156,13.321,1.742,483,634,-23,823.156,34.573,4.522
2016-01-01,Not Available,Not Available,279.956,11.758,1.538,258,793,159,378.956,15.916,2.082
