Month,Other Biofuels Feedstock,Other Biofuels Losses and Co-products,Other Biofuels Production,Other Biofuels Production.1,Other Biofuels Production.2,Other Biofuels Imports,Other Biofuels Stocks,Other Biofuels Stock Change,Other Biofuels Consumption,Other Biofuels Consumption.1,Other Biofuels Consumption.2
2014-01-01,Not Available,Not Available,22.098,0.928,0.118,No Data Reported,10,5.0,17.098,0.718,0.092
2014-02-01,Not Available,Not Available,21.182,0.89,0.114,No Data Reported,11,1.0,20.182,0.848,0.108
2014-03-01,Not Available,Not Available,23.977,1.007,0.128,No Data Reported,7,-4.0,27.977,1.175,0.15
2014-04-01,Not Available,Not Available,21.231,0.892,0.114,No Data Reported,7,0.0,21.231,0.892,0.114
2014-05-01,Not Available,Not Available,22.318,0.937,0.12,No Data Reported,10,3.0,19.318,0.811,0.104
2014-06-01,Not Available,Not Available,22.114,0.929,0.119,No Data Reported,11,1.0,21.114,0.887,0.113
2014-07-01,Not Available,Not Available,25.357,1.065,0.136,No Data Reported,6,-5.0,30.357,1.275,0.163
2014-08-01,Not Available,Not Available,2.784,0.117,0.015,No Data Reported,8,2.0,0.784,0.033,0.004
2014-09-01,Not Available,Not Available,16.691,0.701,0.089,No Data Reported,9,1.0,15.691,0.659,0.084
2014-10-01,Not Available,Not Available,38.086,1.6,0.204,No Data Reported,No Data Reported,-9.0,47.086,1.978,0.252
2014-11-01,Not Available,Not Available,32.53,1.366,0.174,No Data Reported,5,5.0,27.53,1.156,0.148
2014-12-01,Not Available,Not Available,42.103,1.768,0.226,No Data Reported,7,2.0,40.103,1.684,0.215
2015-01-01,Not Available,Not Available,42.17,1.771,0.226,No Data Reported,6,-1.0,43.17,1.813,0.231
2015-02-01,Not Available,Not Available,32.125,1.349,0.172,No Data Reported,8,2.0,30.125,1.265,0.161
2015-03-01,Not Available,Not Available,27.091,1.138,0.145,No Data Reported,No Data Reported,-8.0,35.091,1.474,0.188
2015-04-01,Not Available,Not Available,29.681,1.247,0.159,No Data Reported,No Data Reported,0.0,29.681,1.247,0.159
2015-05-01,Not Available,Not Available,35.916,1.508,0.192,No Data Reported,4,4.0,31.916,1.34,0.171
2015-06-01,Not Available,Not Available,27.251,1.145,0.146,No Data Reported,4,0.0,27.251,1.145,0.146
2015-07-01,Not Available,Not Available,37.414,1.571,0.201,No Data Reported,9,5.0,32.414,1.361,0.174
2015-08-01,Not Available,Not Available,36.737,1.543,0.197,No Data Reported,4,-5.0,41.737,1.753,0.224
2015-09-01,Not Available,Not Available,33.679,1.415,0.18,No Data Reported,7,3.0,30.679,1.289,0.164
2015-10-01,Not Available,Not Available,31.69,1.331,0.17,No Data Reported,10,3.0,28.69,1.205,0.154
2015-11-01,Not Available,Not Available,29.62,1.244,0.159,No Data Reported,11,1.0,28.62,1.202,0.153
2015-12-01,Not Available,Not Available,30.001,1.26,0.161,No Data Reported,4,-7.0,37.001,1.554,0.198
2016-01-01,Not Available,Not Available,30.009,1.26,0.161,No Data Reported,8,4.0,26.009,1.092,0.139
2016-02-01,Not Available,Not Available,18.142,0.762,0.097,No Data Reported,10,2.0,16.142,0.678,0.087
2016-03-01,Not Available,Not Available,36.062,1.515,0.193,No Data Reported,11,1.0,35.062,1.473,0.188
2016-04-01,Not Available,Not Available,27.757,1.166,0.149,No Data Reported,11,0.0,27.757,1.166,0.149
2016-05-01,Not Available,Not Available,43.531,1.828,0.233,No Data Reported,11,0.0,43.531,1.828,0.233
2016-06-01,Not Available,Not Available,42.042,1.766,0.225,No Data Reported,36,25.0,17.042,0.716,0.091
2016-07-01,Not Available,Not Available,39.112,1.643,0.21,No Data Reported,32,-4.0,43.112,1.811,0.231
2016-08-01,Not Available,Not Available,50.502,2.121,0.271,No Data Reported,38,6.0,44.502,1.869,0.238
2016-09-01,Not Available,Not Available,45.273,1.901,0.243,No Data Reported,50,12.0,33.273,1.397,0.178
2016-10-01,Not Available,Not Available,45.518,1.912,0.244,No Data Reported,36,-14.0,59.518,2.5,0.319
2016-11-01,Not Available,Not Available,50.917,2.139,0.273,No Data Reported,34,-2.0,52.917,2.223,0.284
2016-12-01,Not Available,Not Available,74.604,3.133,0.4,No Data Reported,43,9.0,65.604,2.755,0.352
2017-01-01,Not Available,Not Available,50.369,2.115,0.27,No Data Reported,46,3.0,47.369,1.989,0.254
2017-02-01,Not Available,Not Available,46.621,1.958,0.25,No Data Reported,43,-3.0,49.621,2.084,0.266
2017-03-01,Not Available,Not Available,29.481,1.238,0.158,No Data Reported,33,-10.0,39.481,1.658,0.212
2017-04-01,Not Available,Not Available,74.402,3.125,0.399,No Data Reported,33,0.0,74.402,3.125,0.399
2017-05-01,Not Available,Not Available,35.496,1.491,0.19,No Data Reported,39,6.0,29.496,1.239,0.158
2017-06-01,Not Available,Not Available,37.017,1.555,0.198,No Data Reported,31,-8.0,45.017,1.891,0.241
2017-07-01,Not Available,Not Available,37.971,1.595,0.203,No Data Reported,26,-5.0,42.971,1.805,0.23
2017-08-01,Not Available,Not Available,47.943,2.014,0.257,No Data Reported,24,-2.0,49.943,2.098,0.268
2017-09-01,Not Available,Not Available,49.13,2.063,0.263,No Data Reported,32,8.0,41.13,1.727,0.22
2017-10-01,Not Available,Not Available,48.315,2.029,0.259,No Data Reported,33,1.0,47.315,1.987,0.254
2017-11-01,Not Available,Not Available,49.112,2.063,0.263,No Data Reported,25,-8.0,57.112,2.399,0.306
2017-12-01,Not Available,Not Available,64.468,2.708,0.345,No Data Reported,28,3.0,61.468,2.582,0.329
2018-01-01,Not Available,Not Available,51.387,2.158,0.275,No Data Reported,31,3.0,48.387,2.032,0.259
2018-02-01,Not Available,Not Available,57.927,2.433,0.31,No Data Reported,36,5.0,52.927,2.223,0.284
