Month,"Coal, Including Coal Coke Net Imports, CO2 Emissions","Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Aviation Gasoline CO2 Emissions,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Hydrocarbon Gas Liquids CO2 Emissions,Jet Fuel CO2 Emissions,Kerosene CO2 Emissions,Lubricants CO2 Emissions,"Motor Gasoline, Excluding Ethanol, CO2 Emissions",Petroleum Coke CO2 Emissions,Residual Fuel Oil CO2 Emissions,Other Petroleum Products CO2 Emissions,"Petroleum, Excluding Biofuels, CO2 Emissions",Total Energy CO2 Emissions
1973-01-01,109.559,125.599,0.428,55.157,10.464,13.742,5.222,1.037,70.937,4.85,48.37,8.754,218.962,454.121
1973-02-01,98.839,113.788,0.431,51.771,8.849,12.193,4.475,1.025,67.412,3.992,44.686,7.674,202.509,415.136
1973-03-01,98.488,107.736,0.459,44.46,6.688,12.293,2.582,1.105,75.521,4.357,45.111,8.659,201.234,407.459
1973-04-01,94.155,97.871,0.446,33.973,5.793,12.112,2.031,0.979,73.404,4.179,35.063,8.23,176.211,368.237
1973-05-01,95.429,92.07,0.549,35.591,5.489,13.756,1.702,1.156,80.093,4.645,36.889,8.688,188.558,376.057
1973-06-01,98.894,81.684,0.471,31.175,4.503,12.039,1.464,1.006,78.143,4.872,36.914,8.846,179.432,360.01
1973-07-01,104.377,82.894,0.42,31.004,4.416,12.941,1.91,1.22,81.437,4.803,35.288,9.082,182.52,369.792
1973-08-01,106.637,84.126,0.668,34.029,5.232,12.956,1.886,1.187,84.144,5.01,40.315,9.168,194.594,385.357
1973-09-01,99.442,81.143,0.462,34.466,5.33,12.808,2.296,1.04,73.844,4.341,37.889,8.302,180.778,361.362
1973-10-01,102.23,90.692,0.55,39.032,6.644,13.631,2.308,1.28,77.422,5.142,37.895,8.591,192.496,385.418
1973-11-01,102.645,101.349,0.475,45.213,7.984,12.27,3.804,1.135,76.564,4.404,44.706,7.902,204.458,408.452
1973-12-01,110.021,116.28,0.413,49.169,8.149,13.422,3.065,1.121,72.319,4.543,43.072,8.255,203.528,429.829
1974-01-01,108.399,119.781,0.442,51.104,8.9,11.072,4.007,1.175,67.304,4.517,44.412,8.129,201.062,429.242
1974-02-01,98.044,110.146,0.304,46.322,7.244,9.608,3.264,0.979,63.886,4.04,39.528,7.398,182.574,390.763
1974-03-01,99.529,107.331,0.578,42.161,6.559,11.808,2.29,1.104,71.451,4.732,37.392,7.686,185.76,392.619
1974-04-01,94.507,90.626,0.445,36.774,5.697,11.234,1.618,1.055,72.456,4.075,34.504,8.126,175.984,361.117
1974-05-01,97.729,85.909,0.463,32.635,5.104,12.979,0.917,1.17,78.216,3.82,33.064,8.262,176.63,360.268
1974-06-01,96.075,76.846,0.527,30.639,4.803,11.353,1.428,0.919,77.644,4.123,34.05,8.597,174.082,347.004
1974-07-01,104.886,80.766,0.479,30.75,4.841,12.706,1.603,1.122,80.694,4.078,36.184,9.549,182.007,367.659
1974-08-01,105.137,80.472,0.641,30.75,5.071,12.725,1.809,1.014,81.881,4.166,37.005,9.422,184.484,370.093
1974-09-01,95.604,81.797,0.468,30.76,5.73,13.246,1.716,1.094,71.678,4.494,35.044,8.39,172.62,350.021
1974-10-01,100.224,90.866,0.557,38.462,6.759,12.484,2.475,1.126,77.831,3.838,38.204,8.857,190.593,381.683
1974-11-01,96.616,97.447,0.409,40.697,7.346,12.323,2.434,0.978,73.462,4.136,41.561,8.418,191.764,385.826
1974-12-01,102.603,112.601,0.348,51.342,8.513,12.89,3.141,0.992,76.042,4.454,43.651,8.454,209.829,425.032
1975-01-01,107.629,120.089,0.341,52.785,8.686,12.899,2.828,1.018,71.96,4.424,47.595,8.335,210.873,438.591
1975-02-01,98.981,103.839,0.365,45.765,6.934,12.006,2.937,0.716,63.847,4.026,37.645,7.004,181.246,384.066
1975-03-01,101.688,101.845,0.362,43.842,6.94,12.136,2.15,0.73,73.35,3.992,39.043,7.614,190.159,393.692
1975-04-01,94.253,84.491,0.411,39.873,5.699,12.044,1.819,0.968,75.387,4.171,31.61,7.281,179.263,358.006
1975-05-01,92.648,71.162,0.39,31.734,4.155,12.072,1.252,0.946,79.676,3.889,30.531,7.867,172.512,336.322
1975-06-01,96.172,67.04,0.423,29.234,3.834,11.842,1.644,1.005,79.405,4.029,30.825,7.942,170.181,333.393
1975-07-01,101.563,69.999,0.504,28.098,4.771,11.793,1.254,0.953,81.639,4.866,32.479,8.992,175.347,346.909
1975-08-01,104.646,72.881,0.471,28.952,5.082,12.936,1.376,1.035,81.265,4.519,31.559,8.62,175.816,353.342
1975-09-01,94.145,72.863,0.477,27.905,5.321,12.423,1.556,0.998,75.506,4.358,32.964,8.245,169.752,336.76
1975-10-01,96.016,82.06,0.471,35.658,6.116,12.309,1.879,1.091,78.59,4.929,33.188,8.252,182.483,360.559
1975-11-01,98.373,87.257,0.374,32.805,6.428,11.929,1.827,0.832,71.701,4.357,34.057,8.111,172.423,358.053
1975-12-01,108.988,109.349,0.322,50.525,8.876,11.226,3.541,0.977,78.943,4.541,42.601,8.664,210.215,428.553
1976-01-01,112.98,122.459,0.301,57.25,9.756,11.751,3.834,0.853,74.191,4.77,45.619,8.659,216.984,452.423
1976-02-01,100.132,103.723,0.292,46.083,6.76,11.168,2.621,0.914,67.943,4.072,42.111,8.433,190.395,394.251
1976-03-01,104.014,91.995,0.367,44.482,5.952,11.933,2.042,1.193,79.899,4.519,40.662,8.713,199.761,395.77
1976-04-01,99.383,80.509,0.387,35.928,4.993,12.079,1.73,1.064,80.339,4.241,35.334,8.403,184.499,364.391
1976-05-01,99.986,76.399,0.38,33.556,4.561,11.856,1.004,1.016,79.464,4.389,35.69,8.693,180.609,356.994
1976-06-01,103.533,71.074,0.523,31.412,4.234,11.626,1.501,1.123,83.958,4.128,35.524,9.059,183.088,357.695
1976-07-01,110.334,72.939,0.424,30.038,4.392,13.59,1.28,1.154,84.824,3.777,37.284,9.407,186.17,369.442
1976-08-01,111.261,69.996,0.514,29.803,4.815,11.939,1.213,1.012,83.119,5.2,39.184,8.932,185.729,366.985
1976-09-01,102.16,69.163,0.402,33.761,4.849,12.515,1.862,1.098,79.431,4.429,35.771,8.491,182.608,353.931
1976-10-01,106.265,85.977,0.396,40.361,6.829,11.268,2.002,1.031,80.345,4.118,37.266,8.381,191.997,384.239
1976-11-01,110.979,99.793,0.358,47.888,8.194,11.697,2.687,1.017,78.979,3.675,46.061,8.606,209.16,419.932
1976-12-01,120.223,119.108,0.319,62.175,9.706,12.696,3.92,1.042,82.766,4.23,53.323,9.317,239.496,478.827
1977-01-01,119.2,128.768,0.276,67.997,10.258,13.053,4.595,0.997,75.048,4.729,55.035,9.146,241.135,489.102
1977-02-01,105.954,97.557,0.322,56.646,8.59,11.576,3.076,0.784,72.263,3.988,49.143,8.851,215.239,418.75
1977-03-01,106.723,91.702,0.406,45.848,6.039,12.837,1.855,1.33,80.1,4.809,46.602,9.614,209.439,407.864
1977-04-01,98.494,76.854,0.385,37.829,4.734,12.157,1.474,1.064,82.422,4.133,40.686,9.698,194.583,369.931
1977-05-01,104.491,73.43,0.402,37.051,4.502,12.241,1.363,1.193,81.508,4.469,39.93,9.642,192.301,370.223
1977-06-01,109.776,70.981,0.52,35.701,4.6,11.809,1.223,1.183,85.202,4.14,41.876,9.606,195.861,376.617
1977-07-01,118.589,70.567,0.566,33.966,4.247,12.88,1.746,1.111,86.265,6.183,41.149,10.471,198.583,387.739
1977-08-01,115.934,72.583,0.489,35.053,4.592,13.738,1.507,1.24,86.038,4.841,44.604,10.651,202.753,391.269
1977-09-01,107.748,75.835,0.464,34.982,4.678,12.542,1.608,1.067,82.098,5.123,41.434,9.518,193.515,377.098
1977-10-01,106.912,80.704,0.373,40.435,6.045,12.565,2.438,1.107,82.681,4.893,39.605,10.147,200.29,387.907
1977-11-01,107.593,89.955,0.368,44.078,6.859,12.371,2.114,1.065,80.698,4.846,39.907,10.071,202.377,399.925
1977-12-01,114.389,112.491,0.292,56.009,8.608,13.495,3.542,0.956,85.513,4.399,49.067,10.273,232.154,459.034
1978-01-01,112.78,126.985,0.308,59.372,9.267,12.145,3.997,0.955,77.472,4.83,51.47,10.17,229.986,469.751
1978-02-01,94.305,114.317,0.31,58.322,8.148,12.383,3.708,0.981,72.019,4.001,52.513,9.298,221.683,430.306
1978-03-01,90.236,102.473,0.437,54.709,6.504,13.704,2.578,1.09,84.125,4.641,51.791,10.042,229.622,422.331
1978-04-01,97.711,82.056,0.385,40.088,4.508,12.096,1.345,1.185,80.821,3.382,42.514,10.47,196.795,376.562
1978-05-01,105.798,73.519,0.452,41.324,4.482,12.309,1.607,1.254,89.568,4.868,39.305,11.217,206.386,385.703
1978-06-01,110.883,66.553,0.451,36.566,4.183,12.507,1.133,1.304,88.796,4.318,37.17,11.121,197.548,374.984
1978-07-01,118.416,70.955,0.475,33.595,4.151,12.542,1.213,1.158,87.846,4.321,40.552,11.248,197.101,386.473
1978-08-01,122.004,68.353,0.549,37.308,4.183,13.931,1.449,1.294,91.283,4.96,42.851,11.527,209.334,399.692
1978-09-01,115.701,65.64,0.463,34.353,4.959,12.893,2.178,1.152,83.023,4.504,38.453,11.132,193.11,374.451
1978-10-01,112.133,76.425,0.46,40.991,6.289,13.2,2.226,1.248,86.363,4.657,38.345,10.748,204.528,393.086
1978-11-01,112.142,88.104,0.322,46.178,6.566,13.255,2.207,1.266,84.196,4.963,40.281,10.911,210.144,410.39
1978-12-01,122.156,110.173,0.329,55.356,7.953,12.953,2.934,1.176,86.404,4.612,45.458,11.145,228.318,460.647
1979-01-01,128.109,129.693,0.264,61.0,9.786,13.582,4.248,1.204,79.201,4.201,52.084,11.281,236.853,494.655
1979-02-01,113.972,118.152,0.269,57.884,8.743,12.855,3.926,1.051,75.978,3.861,47.513,10.255,222.336,454.46
1979-03-01,114.985,100.782,0.398,48.8,7.066,13.633,2.042,1.4,83.824,4.351,47.39,11.273,220.176,435.943
1979-04-01,108.565,85.274,0.363,38.873,6.025,11.736,1.949,1.298,79.168,3.61,35.501,10.883,189.406,383.245
