Month,Coal Residential Sector CO2 Emissions,"Natural Gas, Excluding Supplemental Gaseous Fuels, Residential Sector CO2 Emissions",Distillate Fuel Oil Residential Sector CO2 Emissions,HGL Residential Sector CO2 Emissions,Kerosene Residential Sector CO2 Emissions,Petroleum Residential Sector CO2 Emissions,Residential Share of Electric Power Sector CO2 Emissions,Total Energy Residential Sector CO2 Emissions
1973-01-01,1.142,45.638,22.796,5.792,2.65,31.238,40.774,118.793
1973-02-01,0.978,40.416,19.474,5.09,2.271,26.835,35.241,103.47
1973-03-01,0.768,35.071,15.231,3.772,1.31,20.314,33.481,89.634
1973-04-01,0.503,25.194,10.657,2.999,1.031,14.686,29.697,70.081
1973-05-01,0.51,17.647,9.038,2.117,0.864,12.019,29.731,59.907
1973-06-01,0.512,11.204,6.848,1.159,0.743,8.75,35.143,55.609
1973-07-01,0.505,8.131,6.462,1.104,0.969,8.535,42.89,60.062
1973-08-01,0.546,7.706,7.493,1.12,0.957,9.57,45.087,62.91
1973-09-01,0.736,8.619,7.747,1.394,1.165,10.307,39.804,59.466
1973-10-01,0.857,11.087,10.96,2.27,1.172,14.401,35.308,61.654
1973-11-01,0.949,21.224,13.807,3.749,1.931,19.487,32.384,74.044
1973-12-01,1.011,31.94,17.648,5.318,1.555,24.522,35.567,93.039
1974-01-01,1.06,44.354,18.465,5.007,2.019,25.491,38.771,109.675
1974-02-01,0.904,37.379,16.69,4.519,1.644,22.854,32.846,93.984
1974-03-01,0.725,32.447,13.778,3.713,1.154,18.644,33.22,85.037
1974-04-01,0.501,26.17,10.627,2.501,0.815,13.944,30.016,70.63
1974-05-01,0.432,17.152,7.741,1.866,0.462,10.07,31.338,58.991
1974-06-01,0.412,11.694,6.344,1.177,0.72,8.24,34.108,54.454
1974-07-01,0.383,9.028,6.315,1.02,0.808,8.143,42.493,60.047
1974-08-01,0.542,7.714,6.299,1.065,0.912,8.276,42.083,58.614
1974-09-01,0.662,8.406,8.156,1.455,0.865,10.476,35.2,54.744
1974-10-01,0.728,12.768,10.924,2.525,1.247,14.696,32.52,60.712
1974-11-01,0.719,19.466,12.394,3.517,1.226,17.137,32.232,69.554
1974-12-01,0.819,33.272,18.627,4.768,1.583,24.978,39.214,98.283
1975-01-01,0.841,40.599,17.782,4.749,1.38,23.911,40.077,105.428
1975-02-01,0.55,39.609,16.079,4.299,1.434,21.811,34.171,96.141
1975-03-01,0.534,36.65,13.631,4.164,1.05,18.845,33.569,89.597
1975-04-01,0.355,32.277,11.667,3.043,0.888,15.598,30.458,78.688
