Month,Coal Commercial Sector CO2 Emissions,"Natural Gas, Excluding Supplemental Gaseous Fuels, Commercial Sector CO2 Emissions",Distillate Fuel Oil Commercial Sector CO2 Emissions,HGL Commercial Sector CO2 Emissions,Kerosene Commercial Sector CO2 Emissions,"Motor Gasoline, Excluding Ethanol, Commercial Sector CO2 Emissions",Petroleum Coke Commercial Sector CO2 Emissions,Residual Fuel Oil Commercial Sector CO2 Emissions,"Petroleum, Excluding Biofuels, Commercial Sector CO2 Emissions",Commercial Share of Electric Power Sector CO2 Emissions,Total Energy Commercial Sector CO2 Emissions
1973-01-01,1.945,21.217,7.323,1.165,0.755,0.481,Not Available,7.688,17.412,27.872,68.446
1973-02-01,1.666,21.323,6.256,1.033,0.647,0.457,Not Available,6.568,14.961,24.937,62.886
1973-03-01,1.308,16.808,4.893,0.885,0.373,0.512,Not Available,5.137,11.8,25.063,54.979
1973-04-01,0.856,12.544,3.424,0.766,0.294,0.498,Not Available,3.594,8.575,23.696,45.672
1973-05-01,0.869,9.424,2.904,0.656,0.246,0.543,Not Available,3.048,7.397,25.724,43.413
1973-06-01,0.872,7.31,2.2,0.511,0.212,0.53,Not Available,2.31,5.762,29.471,43.415
1973-07-01,0.861,5.826,2.076,0.515,0.276,0.553,Not Available,2.179,5.599,32.506,44.792
1973-08-01,0.93,5.715,2.407,0.517,0.273,0.571,Not Available,2.527,6.295,33.064,46.004
1973-09-01,1.253,5.615,2.489,0.544,0.332,0.501,Not Available,2.613,6.478,29.495,42.841
1973-10-01,1.46,6.843,3.521,0.677,0.334,0.525,Not Available,3.696,8.753,28.466,45.522
1973-11-01,1.616,11.723,4.436,0.87,0.55,0.519,Not Available,4.656,11.032,27.196,51.566
1973-12-01,1.721,16.102,5.67,1.099,0.443,0.491,Not Available,5.952,13.655,26.427,57.904
1974-01-01,2.252,22.067,5.965,1.019,0.599,0.446,Not Available,6.032,14.061,25.96,64.339
1974-02-01,1.921,18.218,5.392,0.92,0.488,0.423,Not Available,5.452,12.675,23.327,56.143
1974-03-01,1.54,16.374,4.451,0.841,0.342,0.473,Not Available,4.501,10.608,24.367,52.889
1974-04-01,1.064,13.195,3.433,0.664,0.242,0.48,Not Available,3.472,8.291,23.261,45.811
1974-05-01,0.917,8.971,2.501,0.588,0.137,0.518,Not Available,2.529,6.272,26.314,42.475
1974-06-01,0.876,6.951,2.049,0.482,0.214,0.514,Not Available,2.073,5.332,27.379,40.538
1974-07-01,0.815,5.956,2.04,0.471,0.24,0.534,Not Available,2.063,5.349,31.924,44.043
1974-08-01,1.151,5.854,2.035,0.478,0.271,0.542,Not Available,2.057,5.382,30.819,43.206
