Month,Coal Industrial Sector CO2 Emissions,Coal Coke Net Imports CO2 Emissions,Natural Gas Industrial Sector CO2 Emissions,Distillate Fuel Oil Industrial Sector CO2 Emissions,HGL Industrial Sector CO2 Emissions,Kerosene Industrial Sector CO2 Emissions,Lubricants Industrial Sector CO2 Emissions,"Motor Gasoline, Excluding Ethanol, Industrial Sector CO2 Emissions",Petroleum Coke Industrial Sector CO2 Emissions,Residual Fuel Oil Industrial Sector CO2 Emissions,Other Petroleum Products Industrial Sector CO2 Emissions,"Petroleum, Excluding Biofuels, Industrial Sector CO2 Emissions",Industrial Share of Electric Power Sector CO2 Emissions,Total Industrial Sector CO2 Emissions
1973-01-01,33.481,-0.127,42.384,9.606,3.242,1.817,0.565,1.415,4.722,12.202,8.754,42.323,42.652,160.713
1973-02-01,30.834,-0.014,36.552,10.426,2.487,1.557,0.558,1.345,3.886,13.099,7.674,41.032,38.787,147.191
1973-03-01,31.625,-0.228,38.274,9.487,1.766,0.898,0.602,1.506,4.274,15.176,8.659,42.369,40.385,152.424
1973-04-01,31.12,-0.073,42.238,6.775,1.773,0.707,0.533,1.464,4.049,11.269,8.23,34.8,39.721,147.805
1973-05-01,31.643,-0.321,44.579,8.962,2.452,0.592,0.63,1.598,4.477,12.156,8.688,39.555,42.432,157.888
1973-06-01,30.006,-0.028,40.179,7.467,2.577,0.51,0.548,1.559,4.701,10.552,8.846,36.758,44.834,151.749
1973-07-01,29.437,-0.13,43.104,7.869,2.533,0.664,0.664,1.624,4.653,7.951,9.082,35.042,45.291,152.744
1973-08-01,29.03,-0.166,45.044,8.367,3.33,0.656,0.647,1.678,4.844,10.404,9.168,39.094,46.774,159.776
1973-09-01,28.177,-0.135,44.897,9.029,3.137,0.799,0.566,1.473,4.225,10.137,8.302,37.667,41.907,152.513
1973-10-01,31.043,0.197,51.826,8.78,3.434,0.803,0.697,1.544,5.04,9.403,8.591,38.292,45.26,166.619
1973-11-01,31.928,0.138,51.244,10.704,3.109,1.324,0.618,1.527,4.318,14.248,7.902,43.751,43.823,170.884
1973-12-01,35.088,0.039,52.484,9.939,1.467,1.066,0.611,1.443,4.391,12.737,8.255,39.908,42.98,170.5
1974-01-01,33.09,0.428,37.595,10.446,2.631,1.389,0.64,1.262,4.334,13.083,8.129,41.915,40.661,153.689
1974-02-01,31.043,0.335,40.021,9.183,1.585,1.132,0.533,1.198,3.892,12.061,7.398,36.983,37.672,146.054
1974-03-01,31.389,0.417,41.232,8.445,1.761,0.794,0.601,1.34,4.575,11.583,7.686,36.786,40.224,150.048
1974-04-01,31.0,0.502,34.272,7.783,2.296,0.561,0.575,1.359,3.965,11.337,8.126,36.002,38.995,140.771
1974-05-01,30.154,0.586,40.37,7.434,2.407,0.318,0.638,1.467,3.727,9.552,8.262,33.802,43.628,148.54
1974-06-01,28.719,0.383,36.893,7.285,2.908,0.495,0.501,1.456,4.043,10.246,8.597,35.531,42.236,143.762
1974-07-01,28.504,0.406,41.223,7.132,3.106,0.556,0.611,1.514,3.983,9.453,9.549,35.903,45.638,151.674
1974-08-01,29.38,0.437,43.586,7.505,3.285,0.627,0.552,1.536,4.068,10.034,9.422,37.028,44.266,154.698
1974-09-01,28.638,0.741,47.964,6.113,3.519,0.595,0.596,1.344,4.401,9.357,8.39,34.316,39.818,151.478
1974-10-01,30.536,1.032,51.175,8.277,3.312,0.858,0.613,1.46,3.542,10.758,8.857,37.677,44.266,164.686
1974-11-01,27.243,0.553,51.033,8.781,2.79,0.844,0.533,1.378,3.833,11.917,8.418,38.493,43.188,160.508
1974-12-01,26.765,0.555,47.723,10.063,2.515,1.089,0.54,1.426,4.189,10.253,8.454,38.53,41.482,155.056
1975-01-01,30.096,0.967,45.94,12.213,2.74,1.024,0.5,1.255,4.391,13.357,8.335,43.815,41.773,162.591
1975-02-01,30.164,0.925,32.138,9.816,1.553,1.063,0.352,1.114,4.002,9.787,7.004,34.69,37.466,135.382
1975-03-01,32.123,0.29,33.744,10.514,1.658,0.778,0.359,1.28,3.979,11.962,7.614,38.145,38.668,142.97
1975-04-01,30.213,-0.02,22.37,9.786,1.709,0.659,0.476,1.315,4.158,8.151,7.281,33.535,37.208,123.305
1975-05-01,28.474,0.29,26.903,7.233,1.864,0.453,0.465,1.39,3.881,8.397,7.867,31.55,39.806,127.023
1975-06-01,26.461,-0.189,30.758,6.269,2.046,0.595,0.494,1.385,4.01,7.828,7.942,30.57,41.608,129.207
1975-07-01,25.16,-0.127,33.345,6.415,3.098,0.454,0.468,1.424,4.844,7.905,8.992,33.599,42.389,134.366
1975-08-01,25.526,-0.211,37.669,6.123,3.367,0.498,0.509,1.418,4.504,5.859,8.62,30.899,44.165,138.048
