Month,Coal Transportation Sector CO2 Emissions,Natural Gas Transportation Sector CO2 Emissions,Aviation Gasoline Transportation Sector CO2 Emissions,"Distillate Fuel Oil, Excluding Biodiesel, Transportation Sector CO2 Emissions",HGL Transportation Sector CO2 Emissions,Jet Fuel Transportation Sector CO2 Emissions,Lubricants Transportation Sector CO2 Emissions,"Motor Gasoline, Excluding Ethanol, Transportation Sector CO2 Emissions",Residual Fuel Oil Transportation Sector CO2 Emissions,"Petroleum, Excluding Biofuels, Transportation Sector CO2 Emissions",Transportation Share of Electric Power Sector CO2 Emissions,Total Energy Transportation Sector CO2 Emissions
1973-01-01,0.0,4.194,0.428,13.305,0.264,13.472,0.472,69.041,4.783,101.765,0.209,106.168
1973-02-01,0.0,3.797,0.431,13.857,0.239,11.873,0.467,65.61,5.134,97.611,0.181,101.589
1973-03-01,0.004,3.599,0.459,13.877,0.264,12.083,0.503,73.502,5.949,106.637,0.181,110.421
1973-04-01,0.028,3.277,0.446,12.244,0.256,11.954,0.446,71.442,4.417,101.205,0.169,104.679
1973-05-01,0.036,3.088,0.549,13.914,0.264,13.573,0.526,77.952,4.765,111.544,0.18,114.848
1973-06-01,0.032,2.74,0.471,13.102,0.256,11.795,0.458,76.054,4.136,106.271,0.194,109.237
1973-07-01,0.028,2.783,0.42,12.915,0.264,12.64,0.555,79.26,3.117,109.171,0.212,112.194
1973-08-01,0.03,2.825,0.668,13.568,0.264,12.589,0.54,81.895,4.078,113.603,0.209,116.667
1973-09-01,0.026,2.727,0.462,13.873,0.256,12.689,0.473,71.87,3.974,103.597,0.192,106.542
1973-10-01,0.026,3.051,0.55,14.427,0.264,13.489,0.583,75.353,3.686,108.351,0.196,111.623
1973-11-01,0.024,3.402,0.475,14.866,0.256,12.118,0.517,74.517,5.585,108.334,0.198,111.958
1973-12-01,0.015,3.897,0.413,14.386,0.264,13.325,0.511,70.386,4.993,104.278,0.195,108.386
1974-01-01,0.0,3.815,0.442,14.595,0.244,10.852,0.535,65.597,5.28,97.544,0.18,101.539
1974-02-01,0.0,3.514,0.304,13.464,0.22,9.347,0.446,62.265,4.868,90.913,0.155,94.583
1974-03-01,0.006,3.427,0.578,13.772,0.244,11.637,0.503,69.638,4.675,101.046,0.166,104.645
1974-04-01,0.021,2.893,0.445,13.374,0.236,11.105,0.48,70.618,4.575,100.833,0.157,103.905
1974-05-01,0.017,2.751,0.463,13.162,0.244,12.83,0.533,76.231,3.855,107.318,0.175,110.261
1974-06-01,0.013,2.462,0.527,13.464,0.236,11.154,0.419,75.674,4.135,105.608,0.167,108.25
1974-07-01,0.015,2.59,0.479,12.94,0.244,12.461,0.511,78.647,3.815,109.097,0.194,111.895
1974-08-01,0.019,2.583,0.641,13.163,0.244,12.426,0.462,79.803,4.049,110.788,0.185,113.575
1974-09-01,0.019,2.63,0.468,12.313,0.236,13.15,0.498,69.859,3.777,100.3,0.162,103.111
1974-10-01,0.017,2.919,0.557,14.181,0.244,12.368,0.513,75.856,4.342,108.06,0.174,111.17
