Month,Coal Electric Power Sector CO2 Emissions,Natural Gas Electric Power Sector CO2 Emissions,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Petroleum Coke Electric Power Sector CO2 Emissions,Residual Fuel Oil Electric Power Sector CO2 Emissions,Petroleum Electric Power Sector CO2 Emissions,Geothermal Energy Electric Power Sector CO2 Emissions,Non-Biomass Waste Electric Power Sector CO2 Emissions,Total Energy Electric Power Sector CO2 Emissions
1973-01-01,73.118,12.167,2.397,0.128,23.698,26.223,Not Available,Not Available,111.508
1973-02-01,65.374,11.7,2.08,0.106,19.886,22.071,Not Available,Not Available,99.146
1973-03-01,65.011,13.984,1.181,0.083,18.851,20.115,Not Available,Not Available,99.11
1973-04-01,61.722,14.617,1.031,0.13,15.783,16.944,Not Available,Not Available,93.283
1973-05-01,62.691,17.332,0.957,0.167,16.92,18.044,Not Available,Not Available,98.067
1973-06-01,67.5,20.251,1.803,0.171,19.916,21.89,Not Available,Not Available,109.642
1973-07-01,73.677,23.051,1.982,0.15,22.041,24.173,Not Available,Not Available,120.9
1973-08-01,76.268,22.835,2.559,0.166,23.307,26.032,Not Available,Not Available,125.134
1973-09-01,69.386,19.284,1.446,0.116,21.166,22.728,Not Available,Not Available,111.398
1973-10-01,68.646,17.885,1.487,0.102,21.11,22.699,Not Available,Not Available,109.23
1973-11-01,67.99,13.756,1.552,0.087,20.216,21.855,Not Available,Not Available,103.601
1973-12-01,72.147,11.858,1.623,0.152,19.389,21.165,Not Available,Not Available,105.169
1974-01-01,71.57,11.951,1.852,0.183,20.016,22.051,Not Available,Not Available,105.572
1974-02-01,63.839,11.014,1.854,0.148,17.146,19.148,Not Available,Not Available,94.001
1974-03-01,65.452,13.85,1.886,0.156,16.634,18.676,Not Available,Not Available,97.978
1974-04-01,61.419,14.095,1.686,0.11,15.12,16.915,Not Available,Not Available,92.429
1974-05-01,65.623,16.665,1.946,0.093,17.128,19.168,Not Available,Not Available,101.455
1974-06-01,65.672,18.846,1.696,0.08,17.596,19.372,Not Available,Not Available,103.89
1974-07-01,74.763,21.969,2.569,0.096,20.852,23.516,Not Available,Not Available,120.248
1974-08-01,73.609,20.733,2.047,0.098,20.865,23.01,Not Available,Not Available,117.352
1974-09-01,64.135,17.015,1.639,0.093,19.245,20.977,Not Available,Not Available,102.127
1974-10-01,66.364,16.224,1.666,0.296,19.536,21.499,Not Available,Not Available,104.087
1974-11-01,66.541,12.99,1.946,0.303,20.786,23.035,Not Available,Not Available,102.565
1974-12-01,72.714,11.236,1.959,0.266,23.175,25.4,Not Available,Not Available,109.349
1975-01-01,73.759,11.157,2.266,0.034,23.023,25.323,Not Available,Not Available,110.239
1975-02-01,66.058,10.277,1.594,0.025,18.799,20.418,Not Available,Not Available,96.753
1975-03-01,67.494,11.488,1.279,0.013,17.671,18.963,Not Available,Not Available,97.945
1975-04-01,62.871,11.655,0.995,0.013,16.389,17.397,Not Available,Not Available,91.924
1975-05-01,62.928,14.965,1.399,0.009,15.921,17.329,Not Available,Not Available,95.222
1975-06-01,68.857,16.749,1.764,0.019,17.387,19.17,Not Available,Not Available,104.776
1975-07-01,75.256,19.697,1.664,0.022,19.133,20.819,Not Available,Not Available,115.772
1975-08-01,78.142,19.594,2.022,0.014,21.055,23.091,Not Available,Not Available,120.828
1975-09-01,67.112,17.183,0.811,0.017,16.594,17.422,Not Available,Not Available,101.718
1975-10-01,67.615,14.978,0.805,0.016,17.067,17.888,Not Available,Not Available,100.481
1975-11-01,68.602,12.389,0.761,0.017,16.882,17.66,Not Available,Not Available,98.652
1975-12-01,76.954,11.639,1.312,0.018,20.659,21.99,Not Available,Not Available,110.583
1976-01-01,82.439,11.202,2.112,0.017,24.152,26.281,Not Available,Not Available,119.921
1976-02-01,72.085,10.818,1.143,0.017,19.1,20.259,Not Available,Not Available,103.162
1976-03-01,74.422,12.083,1.194,0.018,19.431,20.643,Not Available,Not Available,107.148
1976-04-01,69.696,12.357,1.057,0.013,17.791,18.861,Not Available,Not Available,100.915
1976-05-01,69.983,14.462,0.951,0.014,16.832,17.797,Not Available,Not Available,102.242
1976-06-01,75.005,16.997,1.51,0.015,18.93,20.455,Not Available,Not Available,112.458
1976-07-01,82.138,18.313,1.698,0.018,20.424,22.14,Not Available,Not Available,122.592
1976-08-01,83.147,17.884,1.444,0.016,21.578,23.037,Not Available,Not Available,124.069
1976-09-01,74.004,16.004,1.055,0.015,18.084,19.154,Not Available,Not Available,109.163
1976-10-01,75.827,13.557,1.323,0.023,18.469,19.815,Not Available,Not Available,109.199
1976-11-01,80.065,11.785,2.09,0.023,22.393,24.506,Not Available,Not Available,116.356
1976-12-01,85.712,11.642,2.334,0.02,25.517,27.871,Not Available,Not Available,125.226
1977-01-01,88.476,11.188,4.078,0.014,31.338,35.43,Not Available,Not Available,135.095
1977-02-01,77.041,10.934,1.348,0.016,22.5,23.864,Not Available,Not Available,111.839
1977-03-01,76.178,12.648,1.057,0.028,21.798,22.883,Not Available,Not Available,111.709
1977-04-01,69.633,12.171,0.949,0.036,19.931,20.916,Not Available,Not Available,102.72
1977-05-01,76.0,14.174,1.638,0.024,21.141,22.803,Not Available,Not Available,112.976
1977-06-01,82.112,16.949,1.843,0.029,21.835,23.707,Not Available,Not Available,122.768
1977-07-01,91.978,18.912,3.303,0.036,25.808,29.147,Not Available,Not Available,140.037
1977-08-01,90.333,19.134,1.981,0.034,24.526,26.541,Not Available,Not Available,136.009
1977-09-01,82.146,17.707,1.07,0.025,20.441,21.536,Not Available,Not Available,121.388
1977-10-01,78.488,15.537,0.806,0.018,17.974,18.798,Not Available,Not Available,112.823
1977-11-01,79.186,12.767,1.056,0.02,19.193,20.269,Not Available,Not Available,112.222
1977-12-01,84.483,11.983,1.735,0.02,24.918,26.674,Not Available,Not Available,123.14
1978-01-01,86.422,12.565,3.536,0.03,28.927,32.494,Not Available,Not Available,131.481
