Month,Wood CO2 Emissions,Biomass Waste CO2 Emissions,"Fuel Ethanol, Excluding Denaturant, CO2 Emissions",Biodiesel CO2 Emissions,Biomass CO2 Emissions,Biomass Residential Sector CO2 Emissions,Biomass Commercial Sector CO2 Emissions,Biomass Industrial Sector CO2 Emissions,Biomass Transportation Sector CO2 Emissions,Biomass Electric Power Sector CO2 Emissions,Biomass CO2 Emissions.1
1973-01-01,12.159,0.01,Not Available,Not Available,12.169,2.821,0.053,9.28,Not Available,0.015,12.169
1973-02-01,10.993,0.009,Not Available,Not Available,11.002,2.548,0.048,8.382,Not Available,0.024,11.002
1973-03-01,12.172,0.011,Not Available,Not Available,12.182,2.821,0.053,9.28,Not Available,0.028,12.182
1973-04-01,11.768,0.011,Not Available,Not Available,11.779,2.73,0.052,8.981,Not Available,0.017,11.779
1973-05-01,12.159,0.013,Not Available,Not Available,12.171,2.821,0.053,9.28,Not Available,0.017,12.171
1973-06-01,11.766,0.011,Not Available,Not Available,11.776,2.73,0.052,8.981,Not Available,0.014,11.776
1973-07-01,12.158,0.01,Not Available,Not Available,12.168,2.821,0.053,9.28,Not Available,0.014,12.168
1973-08-01,12.169,0.011,Not Available,Not Available,12.18,2.821,0.053,9.28,Not Available,0.026,12.18
1973-09-01,11.782,0.011,Not Available,Not Available,11.792,2.73,0.052,8.981,Not Available,0.03,11.792
1973-10-01,12.172,0.012,Not Available,Not Available,12.185,2.821,0.053,9.28,Not Available,0.03,12.185
1973-11-01,11.771,0.009,Not Available,Not Available,11.78,2.73,0.052,8.981,Not Available,0.018,11.78
1973-12-01,12.165,0.008,Not Available,Not Available,12.173,2.821,0.053,9.28,Not Available,0.019,12.173
1974-01-01,12.255,0.009,Not Available,Not Available,12.265,2.955,0.056,9.234,Not Available,0.02,12.265
1974-02-01,11.064,0.009,Not Available,Not Available,11.072,2.669,0.05,8.34,Not Available,0.012,11.072
1974-03-01,12.248,0.009,Not Available,Not Available,12.257,2.955,0.056,9.234,Not Available,0.012,12.257
1974-04-01,11.86,0.009,Not Available,Not Available,11.869,2.86,0.054,8.936,Not Available,0.019,11.869
1974-05-01,12.256,0.008,Not Available,Not Available,12.264,2.955,0.056,9.234,Not Available,0.019,12.264
1974-06-01,11.859,0.011,Not Available,Not Available,11.87,2.86,0.054,8.936,Not Available,0.02,11.87
1974-07-01,12.245,0.013,Not Available,Not Available,12.258,2.955,0.056,9.234,Not Available,0.013,12.258
1974-08-01,12.248,0.011,Not Available,Not Available,12.259,2.955,0.056,9.234,Not Available,0.014,12.259
1974-09-01,11.861,0.011,Not Available,Not Available,11.872,2.86,0.054,8.936,Not Available,0.023,11.872
1974-10-01,12.247,0.01,Not Available,Not Available,12.256,2.955,0.056,9.234,Not Available,0.011,12.256
1974-11-01,11.852,0.009,Not Available,Not Available,11.861,2.86,0.054,8.936,Not Available,0.011,11.861
1974-12-01,12.246,0.007,Not Available,Not Available,12.253,2.955,0.056,9.234,Not Available,0.008,12.253
1975-01-01,11.925,0.009,Not Available,Not Available,11.933,3.389,0.064,8.471,Not Available,0.009,11.933
1975-02-01,10.771,0.007,Not Available,Not Available,10.778,3.061,0.058,7.651,Not Available,0.008,10.778
1975-03-01,11.925,0.008,Not Available,Not Available,11.932,3.389,0.064,8.471,Not Available,0.008,11.932
1975-04-01,11.539,0.007,Not Available,Not Available,11.547,3.28,0.062,8.197,Not Available,0.007,11.547
1975-05-01,11.925,0.011,Not Available,Not Available,11.935,3.389,0.064,8.471,Not Available,0.011,11.935
1975-06-01,11.542,0.012,Not Available,Not Available,11.554,3.28,0.062,8.197,Not Available,0.014,11.554
1975-07-01,11.924,0.01,Not Available,Not Available,11.934,3.389,0.064,8.471,Not Available,0.01,11.934
1975-08-01,11.925,0.011,Not Available,Not Available,11.937,3.389,0.064,8.471,Not Available,0.013,11.937
1975-09-01,11.542,0.01,Not Available,Not Available,11.552,3.28,0.062,8.197,Not Available,0.013,11.552
1975-10-01,11.927,0.01,Not Available,Not Available,11.937,3.389,0.064,8.471,Not Available,0.013,11.937
1975-11-01,11.541,0.009,Not Available,Not Available,11.55,3.28,0.062,8.197,Not Available,0.01,11.55
1975-12-01,11.926,0.008,Not Available,Not Available,11.934,3.389,0.064,8.471,Not Available,0.01,11.934
