Month,Primary Energy Consumed by the Residential Sector,Electricity Sales to Ultimate Customers in the Residential Sector,End-Use Energy Consumed by the Residential Sector,Residential Sector Electrical System Energy Losses,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Electricity Sales to Ultimate Customers in the Commercial Sector,End-Use Energy Consumed by the Commercial Sector,Commercial Sector Electrical System Energy Losses,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Electricity Sales to Ultimate Customers in the Industrial Sector,End-Use Energy Consumed by the Industrial Sector,Industrial Sector Electrical System Energy Losses,Total Energy Consumed by the Industrial Sector
1973-01-01,1339.302,180.291,1519.593,371.524,1891.117,657.982,123.242,781.224,253.965,1035.189,2024.87,188.594,2213.463,388.634,2602.097
1973-02-01,1174.916,169.24,1344.156,310.563,1654.718,623.761,119.754,743.515,219.755,963.27,1839.313,186.266,2025.579,341.807,2367.386
1973-03-01,983.386,158.027,1141.413,308.108,1449.521,492.138,118.296,610.435,230.645,841.08,1924.221,190.614,2114.835,371.644,2486.479
1973-04-01,715.392,142.693,858.085,271.515,1129.6,363.393,113.86,477.253,216.652,693.905,1911.938,190.856,2102.794,363.159,2465.953
1973-05-01,535.901,135.883,671.784,281.772,953.556,288.629,117.568,406.196,243.793,649.989,2074.338,193.93,2268.268,402.14,2670.408
1973-06-01,366.93,153.428,520.358,341.091,861.449,226.461,128.668,355.128,286.045,641.174,1956.674,195.739,2152.412,435.154,2587.566
1973-07-01,306.867,184.667,491.535,414.401,905.935,196.228,139.958,336.186,314.072,650.257,2014.98,195.004,2209.984,437.597,2647.581
1973-08-01,313.315,193.604,506.919,433.819,940.738,204.22,141.977,346.197,318.135,664.332,2133.629,200.847,2334.475,450.048,2784.523
1973-09-01,342.181,191.787,533.968,360.162,894.129,208.166,142.112,350.277,266.875,617.152,2052.72,201.917,2254.637,379.184,2633.821
1973-10-01,448.411,161.072,609.482,327.213,936.695,264.371,129.858,394.229,263.803,658.032,2243.799,206.472,2450.271,419.444,2869.715
1973-11-01,711.982,147.334,859.317,298.802,1158.119,389.107,123.731,512.839,250.934,763.772,2265.529,199.373,2464.902,404.34,2869.243
1973-12-01,987.466,158.312,1145.779,330.613,1476.392,508.53,117.629,626.159,245.651,871.81,2222.257,191.312,2413.569,399.528,2813.096
1974-01-01,1235.97,180.421,1416.391,355.519,1771.91,631.873,120.804,752.677,238.042,990.719,1931.828,189.218,2121.046,372.852,2493.898
1974-02-01,1062.885,163.023,1225.909,297.921,1523.829,536.913,115.779,652.692,211.583,864.274,1866.914,186.975,2053.889,341.691,2395.58
1974-03-01,912.14,157.279,1069.419,315.534,1384.953,470.272,115.364,585.636,231.444,817.081,1917.247,190.438,2107.685,382.058,2489.743
1974-04-01,723.895,147.376,871.271,279.953,1151.224,373.789,114.209,487.998,216.951,704.949,1784.148,191.463,1975.61,363.7,2339.311
1974-05-01,500.172,140.251,640.423,302.317,942.739,265.331,117.768,383.099,253.854,636.952,1911.169,195.256,2106.425,420.883,2527.308
1974-06-01,369.658,158.989,528.647,326.354,855.001,213.921,127.622,341.543,261.967,603.51,1865.354,196.88,2062.233,404.132,2466.365
1974-07-01,318.423,182.68,501.103,425.831,926.934,194.741,137.243,331.984,319.916,651.9,1980.919,196.201,2177.12,457.35,2634.469
1974-08-01,297.206,193.458,490.664,414.648,905.313,196.81,141.677,338.486,303.663,642.149,2049.722,203.496,2253.218,436.163,2689.381
1974-09-01,341.162,180.658,521.82,327.678,849.498,213.857,138.301,352.158,250.851,603.008,2073.063,204.356,2277.42,370.663,2648.082
1974-10-01,484.806,150.688,635.494,312.758,948.252,281.758,125.696,407.454,260.887,668.341,2219.813,205.116,2424.929,425.726,2850.655
1974-11-01,645.395,145.593,790.988,310.103,1101.091,353.427,121.79,475.218,259.404,734.621,2124.166,195.081,2319.247,415.508,2734.756
1974-12-01,1016.884,172.346,1189.23,381.975,1571.205,526.567,125.082,651.648,277.222,928.87,2015.052,182.314,2197.366,404.067,2601.433
1975-01-01,1145.436,185.31,1330.746,383.646,1714.392,546.766,130.382,677.148,269.929,947.076,2077.53,193.155,2270.685,399.889,2670.574
1975-02-01,1090.776,172.288,1263.064,316.762,1579.826,522.32,125.812,648.132,231.313,879.445,1643.004,188.899,1831.903,347.303,2179.206
1975-03-01,997.803,164.59,1162.393,329.31,1491.703,467.958,125.211,593.169,250.521,843.69,1765.069,189.596,1954.664,379.34,2334.004
1975-04-01,865.707,153.565,1019.272,294.719,1313.991,421.168,121.517,542.685,233.212,775.898,1464.567,187.596,1652.163,360.029,2012.192
1975-05-01,526.07,140.895,666.965,299.307,966.271,260.025,123.524,383.549,262.405,645.954,1545.49,190.51,1736.0,404.705,2140.706
1975-06-01,368.294,157.068,525.362,335.934,861.296,204.982,136.279,341.261,291.471,632.731,1610.661,193.752,1804.412,414.391,2218.804
1975-07-01,318.568,185.358,503.926,413.426,917.352,186.913,147.303,334.217,328.548,662.765,1721.35,192.642,1913.992,429.673,2343.665
1975-08-01,303.799,196.734,500.533,431.895,932.427,188.71,150.743,339.454,330.93,670.384,1773.548,200.67,1974.218,440.535,2414.752
1975-09-01,341.98,186.703,528.683,331.31,859.993,206.457,147.349,353.806,261.474,615.28,1817.387,203.271,2020.658,360.709,2381.367
