Month,Total Primary Energy Consumed by the Transportation Sector,Electricity Sales to Ultimate Customers in the Transportation Sector,End-Use Energy Consumed by the Transportation Sector,Electrical System Energy Losses Proportioned to the Transportation Sector,Total Energy Consumed by the Transportation Sector,Total Primary Energy Consumed by the End-Use Sectors,Electricity Sales to Ultimate Customers in the End-Use Sectors,End-Use Energy Consumed by the End-Use Sectors,Total Electrical Energy System Losses Proportioned to the End-Use Sectors,Total Energy Consumed by the End-Use-Sectors,Primary Energy Consumed by the Electric Power Sector,Primary Energy Consumption Total
1973-01-01,1504.805,0.925,1505.729,1.906,1507.635,5526.957,493.052,6020.009,1016.029,7036.038,1509.081,7039.731
1973-02-01,1438.298,0.871,1439.169,1.599,1440.768,5076.288,476.131,5552.419,873.723,6426.142,1349.854,6428.796
1973-03-01,1561.293,0.856,1562.149,1.669,1563.818,4961.039,467.793,5428.832,912.067,6340.899,1379.86,6339.964
1973-04-01,1480.403,0.811,1481.214,1.544,1482.758,4471.126,448.221,4919.346,852.87,5772.216,1301.09,5770.589
1973-05-01,1622.115,0.823,1622.938,1.707,1624.645,4520.983,448.204,4969.186,929.412,5898.599,1377.616,5895.781
1973-06-01,1541.377,0.846,1542.223,1.88,1544.103,4091.442,478.68,4570.122,1064.17,5634.292,1542.85,5633.7
1973-07-01,1584.971,0.913,1585.884,2.048,1587.932,4103.046,520.542,4623.588,1168.118,5791.706,1688.66,5792.383
1973-08-01,1646.908,0.897,1647.806,2.011,1649.816,4298.072,537.325,4835.397,1204.013,6039.409,1741.337,6041.332
1973-09-01,1503.443,0.925,1504.368,1.737,1506.105,4106.509,536.74,4643.25,1007.957,5651.207,1544.698,5651.809
1973-10-01,1577.704,0.893,1578.597,1.815,1580.412,4534.285,498.295,5032.58,1012.275,6044.855,1510.57,6044.923
1973-11-01,1581.538,0.901,1582.439,1.827,1584.266,4948.157,471.34,5419.497,955.903,6375.4,1427.243,6376.542
1973-12-01,1534.434,0.87,1535.305,1.817,1537.122,5252.688,468.123,5720.811,977.61,6698.42,1445.733,6700.965
1974-01-01,1438.094,0.838,1438.932,1.651,1440.584,5237.765,491.281,5729.046,968.065,6697.11,1459.345,6697.586
1974-02-01,1338.913,0.77,1339.683,1.407,1341.09,4805.625,466.547,5272.172,852.601,6124.774,1319.148,6124.546
1974-03-01,1480.536,0.787,1481.322,1.578,1482.9,4780.195,463.868,5244.063,930.614,6174.677,1394.481,6173.677
1974-04-01,1467.557,0.772,1468.329,1.467,1469.796,4349.389,453.82,4803.209,862.071,5665.28,1315.892,5661.961
1974-05-01,1557.263,0.785,1558.047,1.691,1559.739,4233.934,454.059,4687.993,978.745,5666.738,1432.805,5664.62
1974-06-01,1525.901,0.778,1526.678,1.596,1528.275,3974.833,484.268,4459.101,994.05,5453.151,1478.318,5451.943
1974-07-01,1579.05,0.832,1579.882,1.94,1581.822,4073.132,516.956,4590.089,1205.037,5795.126,1721.993,5797.544
1974-08-01,1601.854,0.849,1602.704,1.82,1604.524,4145.593,539.48,4685.072,1156.294,5841.366,1695.773,5843.598
1974-09-01,1456.481,0.834,1457.314,1.512,1458.826,4084.563,524.148,4608.712,950.703,5559.415,1474.852,5558.188
1974-10-01,1569.737,0.804,1570.541,1.669,1572.21,4556.114,482.304,5038.418,1001.04,6039.458,1483.344,6038.628
1974-11-01,1507.22,0.829,1508.049,1.766,1509.815,4630.208,463.294,5093.502,986.782,6080.284,1450.076,6083.982
1974-12-01,1564.631,0.844,1565.475,1.87,1567.345,5123.134,480.586,5603.72,1065.134,6668.853,1545.72,6677.062
1975-01-01,1541.567,0.887,1542.454,1.835,1544.289,5311.299,509.733,5821.033,1055.299,6876.331,1565.032,6877.68
1975-02-01,1358.921,0.826,1359.746,1.518,1361.264,4615.02,487.824,5102.845,896.896,5999.741,1384.721,5998.725
1975-03-01,1516.69,0.84,1517.53,1.68,1519.21,4747.519,480.237,5227.756,960.851,6188.607,1441.088,6184.376
1975-04-01,1508.513,0.785,1509.297,1.506,1510.803,4259.954,463.463,4723.418,889.466,5612.884,1352.929,5608.225
1975-05-01,1543.321,0.805,1544.126,1.71,1545.835,3874.907,455.734,4330.64,968.126,5298.767,1423.86,5294.079
1975-06-01,1527.739,0.802,1528.541,1.715,1530.256,3711.675,487.901,4199.577,1043.511,5243.087,1531.412,5241.803
1975-07-01,1557.676,0.841,1558.517,1.875,1560.392,3784.508,526.144,4310.652,1173.522,5484.174,1699.666,5486.849
1975-08-01,1557.841,0.85,1558.691,1.867,1560.558,3823.898,548.997,4372.895,1205.226,5578.121,1754.223,5582.4
1975-09-01,1491.082,0.89,1491.973,1.58,1493.552,3856.905,538.213,4395.119,955.073,5350.191,1493.286,5351.37
1975-10-01,1568.14,0.856,1568.995,1.749,1570.744,4273.01,483.882,4756.892,989.281,5746.173,1473.162,5746.407
1975-11-01,1442.08,0.89,1442.969,1.793,1444.763,4241.234,475.154,4716.388,957.423,5673.81,1432.576,5675.651
1975-12-01,1596.979,0.88,1597.858,1.909,1599.767,5138.893,503.791,5642.684,1093.261,6735.945,1597.052,6740.907
1976-01-01,1530.972,0.92,1531.892,1.933,1533.824,5422.831,547.759,5970.59,1151.268,7121.858,1699.027,7126.622
1976-02-01,1418.877,0.847,1419.724,1.542,1421.265,4739.682,523.908,5263.59,954.056,6217.646,1477.964,6218.654
1976-03-01,1604.907,0.863,1605.77,1.769,1607.539,4669.091,503.15,5172.241,1031.353,6203.595,1534.503,6202.396
1976-04-01,1582.55,0.779,1583.329,1.506,1584.835,4261.228,485.563,4746.791,938.903,5685.694,1424.466,5683.145
1976-05-01,1565.236,0.792,1566.028,1.61,1567.638,4147.458,483.835,4631.293,984.356,5615.649,1468.191,5611.677
1976-06-01,1611.321,0.777,1612.097,1.739,1613.836,3996.94,508.52,4505.46,1138.324,5643.784,1646.844,5642.583
1976-07-01,1649.041,0.847,1649.888,1.883,1651.771,4045.587,556.178,4601.765,1236.35,5838.115,1792.528,5839.24
1976-08-01,1606.829,0.843,1607.672,1.804,1609.476,3991.921,575.368,4567.289,1231.192,5798.481,1806.561,5800.932
1976-09-01,1579.969,0.886,1580.855,1.64,1582.494,3995.336,560.973,4556.309,1038.413,5594.722,1599.386,5594.199
1976-10-01,1599.466,0.817,1600.283,1.695,1601.978,4509.873,515.159,5025.032,1069.126,6094.158,1584.285,6094.23
1976-11-01,1598.778,0.839,1599.617,1.837,1601.454,4945.493,514.328,5459.821,1126.007,6585.827,1640.334,6588.508
1976-12-01,1718.789,0.851,1719.64,1.906,1721.546,5710.312,555.358,6265.67,1243.258,7508.928,1798.616,7513.884
1977-01-01,1580.641,0.928,1581.569,2.118,1583.687,5767.7,588.061,6355.761,1341.758,7697.519,1929.819,7702.837
1977-02-01,1525.826,0.854,1526.679,1.573,1528.252,4941.058,563.997,5505.055,1039.093,6544.149,1603.091,6545.058
1977-03-01,1656.761,0.911,1657.672,1.894,1659.566,4792.937,532.969,5325.906,1108.266,6434.172,1641.235,6430.677
1977-04-01,1638.726,0.803,1639.529,1.621,1641.15,4325.704,504.725,4830.428,1019.42,5849.848,1524.145,5844.606
1977-05-01,1618.43,0.831,1619.26,1.893,1621.153,4203.969,507.03,4710.999,1155.492,5866.491,1662.522,5862.356
1977-06-01,1675.661,0.829,1676.49,1.909,1678.4,4166.936,543.511,4710.447,1252.359,5962.806,1795.871,5961.157
1977-07-01,1667.019,0.877,1667.896,2.078,1669.974,4060.312,597.093,4657.405,1414.225,6071.63,2011.318,6073.979
1977-08-01,1713.623,0.863,1714.486,1.931,1716.416,4202.633,609.349,4811.982,1363.549,6175.532,1972.898,6179.614
1977-09-01,1645.199,0.88,1646.079,1.753,1647.832,4199.905,587.756,4787.662,1170.672,5958.334,1758.429,5961.122
1977-10-01,1666.977,0.885,1667.862,1.783,1669.645,4508.94,543.696,5052.636,1095.353,6147.989,1639.049,6147.777
1977-11-01,1646.948,0.871,1647.819,1.877,1649.695,4706.903,516.277,5223.18,1112.588,6335.768,1628.865,6337.79
1977-12-01,1750.471,0.898,1751.368,2.039,1753.407,5463.434,553.342,6016.776,1256.494,7273.27,1809.836,7277.954
1978-01-01,1647.08,0.902,1647.982,2.024,1650.006,5581.357,602.726,6184.083,1351.712,7535.796,1954.439,7543.179
1978-02-01,1575.349,0.86,1576.21,1.696,1577.906,5163.345,579.791,5743.136,1143.376,6886.512,1723.167,6894.447
1978-03-01,1762.218,0.827,1763.045,1.699,1764.744,5081.461,557.541,5639.002,1145.467,6784.469,1703.008,6790.907
1978-04-01,1669.581,0.734,1670.315,1.445,1671.76,4469.311,513.114,4982.425,1009.856,5992.281,1522.97,5990.837
1978-05-01,1785.037,0.766,1785.803,1.688,1787.49,4483.456,516.932,5000.388,1139.285,6139.672,1656.216,6134.802
1978-06-01,1742.294,0.799,1743.093,1.783,1744.877,4150.107,564.751,4714.858,1260.647,5975.505,1825.398,5971.979
1978-07-01,1722.111,0.872,1722.983,1.978,1724.96,4171.552,611.137,4782.689,1386.34,6169.028,1997.476,6166.785
1978-08-01,1800.235,0.841,1801.076,1.898,1802.974,4291.639,628.569,4920.208,1418.245,6338.452,2046.813,6338.316
1978-09-01,1654.523,0.881,1655.405,1.703,1657.108,4111.406,623.161,4734.567,1204.109,5938.677,1827.27,5936.76
1978-10-01,1734.818,0.822,1735.64,1.666,1737.306,4569.58,568.855,5138.436,1152.765,6291.201,1721.621,6286.896
1978-11-01,1722.261,0.868,1723.129,1.886,1725.015,4823.949,542.938,5366.887,1179.042,6545.928,1721.98,6543.604
1978-12-01,1767.324,0.854,1768.178,1.94,1770.117,5433.15,575.635,6008.785,1307.8,7316.585,1883.435,7317.212
1979-01-01,1735.484,0.936,1736.42,2.116,1738.536,5847.88,632.54,6480.421,1429.359,7909.779,2061.899,7914.409
1979-02-01,1668.787,0.855,1669.642,1.693,1671.335,5410.19,619.329,6029.519,1226.067,7255.586,1845.396,7259.095
1979-03-01,1833.141,0.835,1833.975,1.655,1835.63,5205.315,591.126,5796.44,1171.875,6968.315,1763.001,6966.106
1979-04-01,1650.84,0.776,1651.616,1.504,1653.12,4491.014,551.232,5042.246,1068.496,6110.743,1619.729,6107.015
1979-05-01,1738.872,0.779,1739.651,1.622,1741.273,4466.22,544.388,5010.608,1133.995,6144.604,1678.383,6141.291
1979-06-01,1675.01,0.789,1675.799,1.704,1677.503,4167.048,569.326,4736.374,1230.433,5966.808,1799.76,5965.505
1979-07-01,1659.318,0.827,1660.146,1.895,1662.041,4111.628,608.493,4720.121,1393.531,6113.652,2002.024,6114.416
1979-08-01,1743.763,0.879,1744.642,1.941,1746.583,4288.928,639.098,4928.026,1411.835,6339.862,2050.934,6341.208
1979-09-01,1629.215,0.89,1630.104,1.726,1631.83,4117.806,612.932,4730.738,1189.053,5919.791,1801.985,5917.473
1979-10-01,1735.304,0.852,1736.155,1.816,1737.972,4626.685,566.215,5192.899,1207.565,6400.464,1773.779,6399.177
1979-11-01,1642.866,0.853,1643.719,1.815,1645.534,4786.93,553.669,5340.598,1177.521,6518.119,1731.19,6519.619
1979-12-01,1724.684,0.847,1725.531,1.857,1727.388,5325.034,578.242,5903.276,1267.911,7171.187,1846.153,7175.16
1980-01-01,1679.475,0.996,1680.471,2.151,1682.622,5449.764,612.744,6062.508,1323.145,7385.653,1935.889,7384.294
1980-02-01,1625.748,0.926,1626.675,1.865,1628.54,5133.824,609.796,5743.62,1227.62,6971.24,1837.416,6970.041
1980-03-01,1687.549,0.905,1688.454,1.853,1690.307,5038.661,594.961,5633.622,1217.978,6851.6,1812.939,6847.703
1980-04-01,1675.176,0.839,1676.015,1.599,1677.615,4378.844,551.724,4930.568,1051.195,5981.763,1602.919,5974.14
1980-05-01,1653.262,0.872,1654.134,1.857,1655.99,4153.931,528.352,4682.283,1125.184,5807.467,1653.536,5800.597
1980-06-01,1587.486,0.861,1588.347,1.918,1590.265,3859.633,562.543,4422.177,1252.904,5675.08,1815.447,5674.328
1980-07-01,1641.647,0.933,1642.58,2.223,1644.803,3808.67,634.229,4442.899,1510.89,5953.789,2145.119,5959.653
1980-08-01,1598.015,0.941,1598.955,2.091,1601.046,3750.035,670.335,4420.37,1489.939,5910.31,2160.275,5916.072
1980-09-01,1591.533,0.987,1592.52,1.913,1594.433,3926.656,648.754,4575.41,1258.189,5833.599,1906.943,5836.936
1980-10-01,1676.638,0.927,1677.565,1.908,1679.473,4411.88,580.313,4992.193,1194.551,6186.744,1774.864,6187.085
1980-11-01,1541.419,0.911,1542.33,1.972,1544.302,4528.858,553.338,5082.196,1197.854,6280.05,1751.192,6281.275
1980-12-01,1699.511,0.971,1700.482,2.128,1702.61,5287.429,599.171,5886.6,1312.685,7199.285,1911.856,7203.38
1981-01-01,1704.736,0.969,1705.706,2.014,1707.72,5458.077,654.93,6113.007,1360.906,7473.913,2015.836,7476.354
