Month,Coal Consumed by the Residential Sector,Natural Gas Consumed by the Residential Sector (Excluding Supplemental Gaseous Fuels),Petroleum Consumed by the Residential Sector,Total Fossil Fuels Consumed by the Residential Sector,Geothermal Energy Consumed by the Residential Sector,Solar Energy Consumed by the Residential Sector,Biomass Energy Consumed by the Residential Sector,Total Renewable Energy Consumed by the Residential Sector,Total Primary Energy Consumed by the Residential Sector,Electricity Sales to Ultimate Customers in the Residential Sector,End-Use Energy Consumed by the Residential Sector,Electricity System Energy Losses Proportioned to the Residential Sector,Total Energy Consumed by the Residential Sector
1973-01-01,11.894,860.778,436.556,1309.228,Not Available,Not Available,30.074,30.074,1339.302,180.291,1519.593,371.524,1891.117
1973-02-01,10.188,762.278,375.287,1147.753,Not Available,Not Available,27.164,27.164,1174.916,169.24,1344.156,310.563,1654.718
1973-03-01,8,661.474,283.839,953.313,Not Available,Not Available,30.074,30.074,983.386,158.027,1141.413,308.108,1449.521
1973-04-01,5.237,475.184,205.866,686.288,Not Available,Not Available,29.104,29.104,715.392,142.693,858.085,271.515,1129.6
1973-05-01,5.313,332.839,167.675,505.827,Not Available,Not Available,30.074,30.074,535.901,135.883,671.784,281.772,953.556
1973-06-01,5.33,211.315,121.181,337.826,Not Available,Not Available,29.104,29.104,366.93,153.428,520.358,341.091,861.449
1973-07-01,5.263,153.356,118.175,276.793,Not Available,Not Available,30.074,30.074,306.867,184.667,491.535,414.401,905.935
1973-08-01,5.685,145.348,132.208,283.241,Not Available,Not Available,30.074,30.074,313.315,193.604,506.919,433.819,940.738
1973-09-01,7.662,162.566,142.849,313.077,Not Available,Not Available,29.104,29.104,342.181,191.787,533.968,360.162,894.129
1973-10-01,8.929,209.113,200.294,418.337,Not Available,Not Available,30.074,30.074,448.411,161.072,609.482,327.213,936.695
1973-11-01,9.884,400.308,272.687,682.879,Not Available,Not Available,29.104,29.104,711.982,147.334,859.317,298.802,1158.119
1973-12-01,10.526,602.414,344.453,957.393,Not Available,Not Available,30.074,30.074,987.466,158.312,1145.779,330.613,1476.392
1974-01-01,11.034,836.55,356.881,1204.465,Not Available,Not Available,31.506,31.506,1235.97,180.421,1416.391,355.519,1771.91
1974-02-01,9.416,705.001,320.011,1034.429,Not Available,Not Available,28.457,28.457,1062.885,163.023,1225.909,297.921,1523.829
