Month,Coal Consumed by the Commercial Sector,Natural Gas Consumed by the Commercial Sector (Excluding Supplemental Gaseous Fuels),Petroleum Consumed by the Commercial Sector (Excluding Biofuels),Total Fossil Fuels Consumed by the Commercial Sector,Conventional Hydroelectric Power Consumed by the Commercial Sector,Geothermal Energy Consumed by the Commercial Sector,Solar Energy Consumed by the Commercial Sector,Wind Energy Consumed by the Commercial Sector,Biomass Energy Consumed by the Commercial Sector,Total Renewable Energy Consumed by the Commercial Sector,Total Primary Energy Consumed by the Commercial Sector,Electricity Sales to Ultimate Customers in the Commercial Sector,End-Use Energy Consumed by the Commercial Sector,Electrical System Energy Losses Proportioned to the Commercial Sector,Total Energy Consumed by the Commercial Sector
1973-01-01,20.252,400.161,236.999,657.412,,,,,0.57,0.57,657.982,123.242,781.224,253.965,1035.189
1973-02-01,17.347,402.167,203.733,623.246,,,,,0.515,0.515,623.761,119.754,743.515,219.755,963.27
1973-03-01,13.621,317.015,160.932,491.568,,,,,0.57,0.57,492.138,118.296,610.435,230.645,841.08
1973-04-01,8.918,236.582,117.342,362.842,,,,,0.551,0.551,363.393,113.86,477.253,216.652,693.905
1973-05-01,9.047,177.743,101.268,288.059,,,,,0.57,0.57,288.629,117.568,406.196,243.793,649.989
1973-06-01,9.076,137.868,78.965,225.909,,,,,0.551,0.551,226.461,128.668,355.128,286.045,641.174
1973-07-01,8.961,109.883,76.814,195.658,,,,,0.57,0.57,196.228,139.958,336.186,314.072,650.257
1973-08-01,9.68,107.795,86.176,203.65,,,,,0.57,0.57,204.22,141.977,346.197,318.135,664.332
1973-09-01,13.046,105.908,88.661,207.614,,,,,0.551,0.551,208.166,142.112,350.277,266.875,617.152
1973-10-01,15.203,129.071,119.527,263.801,,,,,0.57,0.57,264.371,129.858,394.229,263.803,658.032
1973-11-01,16.829,221.097,150.63,388.556,,,,,0.551,0.551,389.107,123.731,512.839,250.934,763.772
1973-12-01,17.922,303.689,186.349,507.96,,,,,0.57,0.57,508.53,117.629,626.159,245.651,871.81
1974-01-01,23.448,416.195,191.634,631.277,,,,,0.596,0.596,631.873,120.804,752.677,238.042,990.719
1974-02-01,20.009,343.615,172.75,536.374,,,,,0.538,0.538,536.913,115.779,652.692,211.583,864.274
