Month,Coal Consumed by the Electric Power Sector,Natural Gas Consumed by the Electric Power Sector (Excluding Supplemental Gaseous Fuels),Petroleum Consumed by the Electric Power Sector,Total Fossil Fuels Consumed by the Electric Power Sector,Nuclear Electric Power Consumed by the Electric Power Sector,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector,Electric Power Sector Electricity Net Imports,Total Primary Energy Consumed by the Electric Power Sector
1973-01-01,768.746,229.478,349.393,1347.618,68.103,88.522,0.49,Not Available,Not Available,0.211,89.223,4.137,1509.081
1973-02-01,687.33,220.677,294.145,1202.152,64.634,78.582,0.448,Not Available,Not Available,0.301,79.331,3.737,1349.854
1973-03-01,683.507,263.75,267.926,1215.183,72.494,87.22,0.464,Not Available,Not Available,0.362,88.046,4.137,1379.86
1973-04-01,648.927,275.69,225.482,1150.099,64.07,82.136,0.542,Not Available,Not Available,0.24,82.917,4.004,1301.09
1973-05-01,659.121,326.899,239.991,1226.011,62.111,84.594,0.505,Not Available,Not Available,0.258,85.357,4.137,1377.616
1973-06-01,709.685,381.951,291.407,1383.043,73.968,81.042,0.579,Not Available,Not Available,0.214,81.835,4.004,1542.85
1973-07-01,774.618,434.753,321.944,1531.315,75.89,76.493,0.614,Not Available,Not Available,0.21,77.317,4.137,1688.66
1973-08-01,801.863,430.678,346.795,1579.336,84.883,72.06,0.579,Not Available,Not Available,0.341,72.98,4.137,1741.337
1973-09-01,729.505,363.711,302.614,1395.83,85.724,58.265,0.49,Not Available,Not Available,0.385,59.14,4.004,1544.698
1973-10-01,721.732,337.325,302.3,1361.356,81.971,62.134,0.578,Not Available,Not Available,0.393,63.106,4.137,1510.57
1973-11-01,714.831,259.452,291.13,1265.413,88.773,68.186,0.62,Not Available,Not Available,0.246,69.053,4.004,1427.243
1973-12-01,758.535,223.653,281.69,1263.878,87.557,89.113,0.8,Not Available,Not Available,0.248,90.161,4.137,1445.733
1974-01-01,752.467,225.403,293.501,1271.371,84.855,98.474,0.704,Not Available,Not Available,0.263,99.441,3.678,1459.345
1974-02-01,671.191,207.727,254.99,1133.908,90.577,90.539,0.621,Not Available,Not Available,0.181,91.341,3.322,1319.148
1974-03-01,688.143,261.224,248.633,1198.0,97.966,93.946,0.707,Not Available,Not Available,0.184,94.837,3.678,1394.481
1974-04-01,645.75,265.844,225.278,1136.872,79.566,94.977,0.666,Not Available,Not Available,0.25,95.894,3.56,1315.892
1974-05-01,689.943,314.313,255.402,1259.658,73.242,95.314,0.667,Not Available,Not Available,0.245,96.226,3.678,1432.805
1974-06-01,690.457,355.453,258.142,1304.052,79.015,90.766,0.645,Not Available,Not Available,0.279,91.69,3.56,1478.318
1974-07-01,786.045,414.345,313.478,1513.868,113.953,89.566,0.716,Not Available,Not Available,0.213,90.494,3.678,1721.993
1974-08-01,773.903,391.047,306.658,1471.607,137.654,81.907,0.707,Not Available,Not Available,0.22,82.834,3.678,1695.773
1974-09-01,674.306,320.915,279.405,1274.625,122.88,72.829,0.653,Not Available,Not Available,0.305,73.787,3.56,1474.852
1974-10-01,697.733,306.004,285.654,1289.391,121.248,68.189,0.663,Not Available,Not Available,0.174,69.027,3.678,1483.344
1974-11-01,699.597,244.995,306.142,1250.734,122.819,72.0,0.789,Not Available,Not Available,0.174,72.963,3.56,1450.076
1974-12-01,764.495,211.915,337.748,1314.158,148.309,78.613,0.83,Not Available,Not Available,0.13,79.573,3.678,1545.72
1975-01-01,775.487,210.428,337.641,1323.555,153.503,85.339,0.694,Not Available,Not Available,0.148,86.181,1.792,1565.032
1975-02-01,694.52,193.841,272.225,1160.586,140.232,81.498,0.662,Not Available,Not Available,0.124,82.284,1.619,1384.721
1975-03-01,709.622,216.674,252.795,1179.092,163.893,95.434,0.747,Not Available,Not Available,0.13,96.311,1.792,1441.088
1975-04-01,661.012,219.822,231.877,1112.712,146.773,90.842,0.748,Not Available,Not Available,0.119,91.709,1.734,1352.929
1975-05-01,661.613,282.25,231.073,1174.936,151.58,94.558,0.812,Not Available,Not Available,0.182,95.552,1.792,1423.86
1975-06-01,723.942,315.907,255.642,1295.491,140.348,92.611,1.007,Not Available,Not Available,0.221,93.839,1.734,1531.412
1975-07-01,791.228,371.509,277.583,1440.32,169.294,87.08,1.013,Not Available,Not Available,0.167,88.26,1.792,1699.666
1975-08-01,821.572,369.564,307.96,1499.096,174.883,77.153,1.099,Not Available,Not Available,0.2,78.452,1.792,1754.223
1975-09-01,705.604,324.09,232.144,1261.838,158.543,70.012,0.969,Not Available,Not Available,0.19,71.17,1.734,1493.286
1975-10-01,710.891,282.494,238.355,1231.74,161.078,77.244,1.117,Not Available,Not Available,0.192,78.552,1.792,1473.162
1975-11-01,721.271,233.669,235.316,1190.256,155.988,83.352,1.085,Not Available,Not Available,0.16,84.597,1.734,1432.576
1975-12-01,809.077,219.52,293.065,1321.662,183.682,88.635,1.124,Not Available,Not Available,0.156,89.916,1.792,1597.052
1976-01-01,866.74,211.279,350.444,1428.463,177.844,88.95,1.119,Not Available,Not Available,0.162,90.232,2.488,1699.027
1976-02-01,757.885,204.029,270.027,1231.94,158.824,83.664,1.053,Not Available,Not Available,0.155,84.872,2.328,1477.964
1976-03-01,782.458,227.889,275.167,1285.513,154.58,90.632,1.127,Not Available,Not Available,0.163,91.922,2.488,1534.503
1976-04-01,732.77,233.065,251.389,1217.224,121.316,82.355,1.015,Not Available,Not Available,0.149,83.519,2.408,1424.466
1976-05-01,735.782,272.763,237.183,1245.728,131.784,87.061,0.97,Not Available,Not Available,0.159,88.19,2.488,1468.191
1976-06-01,788.591,320.574,272.78,1381.945,174.072,87.22,1.008,Not Available,Not Available,0.191,88.419,2.408,1646.844
1976-07-01,863.585,345.404,295.203,1504.192,195.628,88.93,1.089,Not Available,Not Available,0.2,90.219,2.488,1792.528
1976-08-01,874.191,337.315,307.069,1518.575,202.851,81.351,1.072,Not Available,Not Available,0.223,82.646,2.488,1806.561
1976-09-01,778.066,301.851,255.294,1335.211,191.006,69.496,1.044,Not Available,Not Available,0.222,70.761,2.408,1599.386
1976-10-01,797.225,255.705,264.112,1317.042,191.723,71.792,1.014,Not Available,Not Available,0.226,73.032,2.488,1584.285
1976-11-01,841.786,222.269,326.774,1390.83,178.235,67.571,0.854,Not Available,Not Available,0.437,68.862,2.408,1640.334
1976-12-01,901.155,219.586,371.691,1492.433,233.256,68.988,0.975,Not Available,Not Available,0.476,70.439,2.488,1798.616
1977-01-01,930.221,211.021,472.774,1614.016,238.556,70.63,1.057,Not Available,Not Available,0.514,72.201,5.047,1929.819
1977-02-01,809.993,206.225,318.084,1334.302,211.078,51.691,0.923,Not Available,Not Available,0.538,53.152,4.558,1603.091
1977-03-01,800.921,238.549,304.982,1344.452,222.619,67.56,1.046,Not Available,Not Available,0.511,69.117,5.047,1641.235
1977-04-01,732.109,229.55,278.641,1240.3,213.943,63.607,0.933,Not Available,Not Available,0.478,65.018,4.884,1524.145
1977-05-01,799.044,267.332,304.053,1370.428,221.834,63.726,1.007,Not Available,Not Available,0.48,65.213,5.047,1662.522
1977-06-01,863.31,319.679,316.042,1499.031,231.72,58.776,0.991,Not Available,Not Available,0.469,60.236,4.884,1795.871
1977-07-01,967.036,356.692,388.933,1712.66,235.032,57.317,1.048,Not Available,Not Available,0.214,58.579,5.047,2011.318
1977-08-01,949.743,360.889,353.871,1664.503,244.991,57.022,0.96,Not Available,Not Available,0.375,58.357,5.047,1972.898
1977-09-01,863.662,333.961,287.03,1484.653,211.395,56.041,1.028,Not Available,Not Available,0.427,57.496,4.884,1758.429
1977-10-01,825.201,293.047,250.511,1368.759,205.053,58.649,1.075,Not Available,Not Available,0.466,60.19,5.047,1639.049
1977-11-01,832.547,240.792,270.101,1343.44,209.548,69.596,1.08,Not Available,Not Available,0.317,70.993,4.884,1628.865
1977-12-01,888.238,226.008,355.602,1469.848,255.994,77.644,1.075,Not Available,Not Available,0.229,78.948,5.047,1809.836
1978-01-01,908.626,236.98,433.488,1579.095,282.638,85.525,1.095,Not Available,Not Available,0.368,86.988,5.717,1954.439
1978-02-01,762.348,218.349,421.368,1402.065,238.869,75.783,0.94,Not Available,Not Available,0.346,77.068,5.164,1723.167
1978-03-01,723.446,240.094,402.948,1366.489,245.611,84.038,0.777,Not Available,Not Available,0.376,85.191,5.717,1703.008
1978-04-01,736.489,230.777,270.67,1237.935,192.342,86.343,0.655,Not Available,Not Available,0.162,87.16,5.533,1522.97
1978-05-01,791.418,269.669,267.173,1328.26,223.373,98.119,0.583,Not Available,Not Available,0.163,98.866,5.717,1656.216
1978-06-01,867.893,332.351,290.308,1490.552,242.728,85.714,0.718,Not Available,Not Available,0.153,86.585,5.533,1825.398
1978-07-01,938.617,374.514,320.635,1633.767,273.603,83.433,0.804,Not Available,Not Available,0.153,84.389,5.717,1997.476
1978-08-01,979.5,351.869,352.575,1683.944,280.082,75.696,0.945,Not Available,Not Available,0.429,77.07,5.717,2046.813
1978-09-01,907.295,307.079,291.071,1505.446,242.769,72.257,0.998,Not Available,Not Available,0.268,73.523,5.533,1827.27
1978-10-01,847.869,271.818,276.997,1396.685,251.605,66.462,0.742,Not Available,Not Available,0.409,67.613,5.717,1721.621
1978-11-01,845.703,235.78,293.237,1374.721,272.438,68.078,0.839,Not Available,Not Available,0.371,69.287,5.533,1721.98
1978-12-01,929.065,227.486,366.393,1522.944,278.067,75.343,1.063,Not Available,Not Available,0.301,76.707,5.717,1883.435
1979-01-01,1002.004,236.476,428.508,1666.987,302.351,85.373,1.021,Not Available,Not Available,0.273,86.668,5.893,2061.899
1979-02-01,894.97,234.838,354.542,1484.35,281.883,72.591,0.836,Not Available,Not Available,0.414,73.841,5.322,1845.396
1979-03-01,892.615,269.463,240.175,1402.253,264.739,88.442,1.121,Not Available,Not Available,0.554,90.117,5.893,1763.001
1979-04-01,832.754,270.108,222.735,1325.596,200.369,86.626,1.037,Not Available,Not Available,0.399,88.061,5.703,1619.729
1979-05-01,887.285,287.025,234.487,1408.797,163.455,98.741,1.043,Not Available,Not Available,0.455,100.238,5.893,1678.383
1979-06-01,940.189,331.402,261.02,1532.611,174.776,85.227,1.056,Not Available,Not Available,0.387,86.67,5.703,1799.76
1979-07-01,1030.095,382.244,278.087,1690.426,226.552,77.659,1.12,Not Available,Not Available,0.373,79.153,5.893,2002.024
1979-08-01,1037.204,388.507,281.772,1707.483,263.316,72.539,1.222,Not Available,Not Available,0.481,74.242,5.893,2050.934
1979-09-01,900.865,350.149,241.804,1492.818,237.204,64.754,1.06,Not Available,Not Available,0.446,66.26,5.703,1801.985
1979-10-01,918.012,334.39,217.318,1469.719,227.745,68.809,1.189,Not Available,Not Available,0.425,70.422,5.893,1773.779
1979-11-01,918.223,270.117,249.697,1438.037,209.477,76.315,1.155,Not Available,Not Available,0.504,77.973,5.703,1731.19
1979-12-01,1005.708,257.972,273.223,1536.904,223.959,77.545,1.409,Not Available,Not Available,0.444,79.397,5.893,1846.153
1980-01-01,1072.641,284.081,269.797,1626.519,215.389,86.249,1.148,Not Available,Not Available,0.537,87.934,6.047,1935.889
1980-02-01,1011.776,270.809,264.332,1546.918,210.277,72.94,1.103,Not Available,Not Available,0.521,74.564,5.657,1837.416
1980-03-01,994.155,291.402,218.069,1503.626,218.584,83.021,1.225,Not Available,Not Available,0.435,84.681,6.047,1812.939
1980-04-01,866.542,263.311,172.724,1302.578,205.0,87.852,1.284,Not Available,Not Available,0.353,89.489,5.852,1602.919
1980-05-01,882.968,289.139,174.586,1346.692,200.541,98.487,1.512,Not Available,Not Available,0.256,100.254,6.047,1653.536
1980-06-01,975.75,345.61,192.372,1513.732,199.859,94.363,1.459,Not Available,Not Available,0.183,96.004,5.852,1815.447
1980-07-01,1142.586,431.34,250.533,1824.459,229.329,83.488,1.534,Not Available,Not Available,0.262,85.284,6.047,2145.119
1980-08-01,1133.189,415.918,267.963,1817.07,265.424,69.712,1.639,Not Available,Not Available,0.382,71.733,6.047,2160.275
1980-09-01,1020.314,366.653,192.061,1579.028,257.127,63.092,1.48,Not Available,Not Available,0.364,64.936,5.852,1906.943
1980-10-01,960.237,309.117,169.049,1438.402,267.351,60.958,1.681,Not Available,Not Available,0.424,63.063,6.047,1774.864
1980-11-01,973.137,262.219,213.475,1448.831,228.892,65.569,1.643,Not Available,Not Available,0.404,67.616,5.852,1751.192
1980-12-01,1089.388,248.391,248.599,1586.379,241.396,76.053,1.602,Not Available,Not Available,0.379,78.034,6.047,1911.856
1981-01-01,1153.098,237.453,275.066,1665.616,262.28,76.219,1.725,Not Available,Not Available,0.365,78.308,9.632,2015.836
1981-02-01,1010.262,229.603,187.802,1427.667,238.196,71.99,1.525,Not Available,Not Available,0.376,73.891,8.7,1748.453
1981-03-01,1020.476,280.261,183.62,1484.356,242.709,70.193,1.71,Not Available,Not Available,0.415,72.318,9.632,1809.014
1981-04-01,920.934,296.092,160.437,1377.464,227.726,70.706,1.579,Not Available,Not Available,0.39,72.674,9.321,1687.185
1981-05-01,948.814,324.108,156.289,1429.21,217.546,82.165,1.564,Not Available,Not Available,0.253,83.982,9.632,1740.37
1981-06-01,1055.931,390.128,202.868,1648.927,233.457,89.974,1.561,Not Available,Not Available,0.16,91.695,9.321,1983.4
1981-07-01,1183.802,420.767,214.401,1818.969,254.569,85.753,1.716,Not Available,Not Available,0.212,87.681,9.632,2170.85
1981-08-01,1148.77,399.135,170.633,1718.538,297.219,73.75,1.695,Not Available,Not Available,0.248,75.693,9.632,2101.082
1981-09-01,1022.256,332.688,165.094,1520.039,269.115,60.807,1.705,Not Available,Not Available,0.403,62.915,9.321,1861.39
1981-10-01,1007.873,309.09,170.949,1487.911,226.731,61.718,1.682,Not Available,Not Available,0.402,63.802,9.632,1788.075
1981-11-01,991.286,265.174,145.565,1402.025,251.301,64.703,1.468,Not Available,Not Available,0.36,66.531,9.321,1729.179
1981-12-01,1119.96,245.373,168.939,1534.272,286.743,81.474,1.473,Not Available,Not Available,0.261,83.208,9.632,1913.855
1982-01-01,1204.359,244.121,221.391,1669.871,284.331,91.768,1.297,Not Available,Not Available,0.325,93.389,8.698,2056.289
1982-02-01,1035.912,225.953,161.646,1423.511,223.538,91.066,1.193,Not Available,Not Available,0.313,92.572,7.556,1747.176
1982-03-01,1014.857,253.141,143.629,1411.627,251.971,101.967,1.051,Not Available,Not Available,0.231,103.248,6.599,1773.446
1982-04-01,921.731,252.929,119.534,1294.193,241.222,95.29,1.06,Not Available,Not Available,0.183,96.532,6.305,1638.252
1982-05-01,966.905,264.738,106.345,1337.988,239.606,95.437,1.231,Not Available,Not Available,0.209,96.878,7.302,1681.773
1982-06-01,1005.107,303.406,110.507,1419.021,266.04,95.375,1.487,Not Available,Not Available,0.228,97.09,3.749,1785.9
1982-07-01,1170.917,362.281,143.739,1676.937,281.997,93.127,1.564,Not Available,Not Available,0.276,94.967,6.271,2060.171
1982-08-01,1162.236,371.071,125.162,1658.469,276.671,81.528,1.559,Not Available,Not Available,0.242,83.328,10.911,2029.378
1982-09-01,1026.094,301.098,109.653,1436.846,281.149,67.885,1.495,Not Available,Not Available,0.309,69.689,10.812,1798.496
1982-10-01,981.915,280.195,106.085,1368.194,257.422,67.388,1.592,Not Available,Not Available,0.447,69.427,11.455,1706.498
1982-11-01,1013.052,232.482,100.141,1345.675,257.281,79.489,1.672,Not Available,Not Available,0.309,81.47,10.72,1695.146
1982-12-01,1079.067,220.399,119.82,1419.287,269.921,94.717,1.323,Not Available,Not Available,0.283,96.323,9.647,1795.178
