Month,Crude Oil Refinery and Blender Net Input,Natural Gas Liquids Refinery and Blender Net Inputs,Other Liquids Refinery and Blender Net Inputs,Total Petroleum Refinery and Blender Net Inputs,Distillate Fuel Oil Refinery and Blender Net Production,Propane Refinery and Blender Net Production,Propylene Refinery and Blender Net Production,Propane/Propylene Refinery and Blender Net Production,Total Hydrocarbon Gas Liquids Refinery and Blender Net Production,Jet Fuel Refinery and Blender Net Production,Finished Motor Gasoline Refinery and Blender Net Production,Residual Fuel Oil Refinery and Blender Net Production,Other Petroleum Products Refinery and Blender Net Production,Total Petroleum Refinery and Blender Net Production
1973-01-01,12190.419,839.065,358.968,13388.452,3027.806,212.813,71.774,284.587,360.903,864.097,6341.0,1112.0,2140.323,13846.129
1973-02-01,12187.286,835.536,128.75,13151.571,2937.214,209.971,64.857,274.829,359.25,898.429,6855.0,1037.607,1473.929,13561.429
1973-03-01,12200.677,790.161,-157.484,12833.355,2667.065,200.123,69.806,269.929,378.194,916.968,6149.935,954.581,2168.29,13235.032
1973-04-01,12207.967,732.7,-60.8,12879.867,2510.2,208.68,66.433,275.113,373.0,887.1,6377.167,877.167,2228.733,13253.367
1973-05-01,12280.71,732.968,146.548,13160.226,2543.871,232.535,70.613,303.148,420.613,839.871,6714.419,948.129,2226.742,13693.645
1973-06-01,12862.3,756.633,242.567,13861.5,2825.3,208.967,72.7,281.667,388.133,835.833,6993.067,914.933,2398.133,14355.4
1973-07-01,12749.548,848.968,218.097,13816.613,2751.581,222.29,73.29,295.581,410.032,824.903,6986.194,882.323,2432.419,14287.452
1973-08-01,12635.452,858.065,285.323,13778.839,2801.29,210.168,69.903,280.071,390.032,844.29,6879.903,850.581,2483.032,14249.129
1973-09-01,12559.633,833.067,84.233,13476.933,2812.633,197.833,74.767,272.6,369.667,847.3,6619.333,877.933,2408.467,13935.333
1973-10-01,12757.774,834.935,125.419,13718.129,2910.645,219.477,69.065,288.542,376.806,875.129,6620.935,984.419,2453.29,14221.226
1973-11-01,12374.133,876.333,153.833,13404.3,2922.4,186.507,65.8,252.307,331.167,852.433,6375.3,1061.333,2291.9,13834.533
1973-12-01,12149.581,841.806,322.613,13314.0,3135.968,192.587,63.355,255.942,337.871,830.0,6098.968,1158.387,2184.548,13745.742
1974-01-01,11490.516,793.806,190.355,12474.677,2880.226,172.097,62.581,234.677,326.645,799.806,5900.0,1071.677,1975.452,12953.806
1974-02-01,11102.25,776.786,257.964,12137.0,2398.786,176.036,67.071,243.107,337.036,783.036,5969.286,1028.857,2052.464,12569.464
1974-03-01,11355.097,720.0,-192.581,11882.516,2226.258,171.297,75.581,246.877,340.516,831.71,5982.032,911.581,2008.226,12300.323
1974-04-01,11822.967,690.4,166.767,12680.133,2521.833,183.027,67.3,250.327,353.0,868.233,6310.967,984.633,2119.6,13158.267
1974-05-01,12333.258,678.419,15.839,13027.516,2704.452,176.161,63.258,239.419,339.677,868.032,6328.581,994.677,2206.387,13441.806
1974-06-01,12697.067,717.5,95.5,13510.067,2782.833,177.1,76.5,253.6,368.3,809.867,6663.067,1025.767,2371.867,14021.7
1974-07-01,12811.032,722.871,227.226,13761.129,2791.839,173.948,70.323,244.271,364.323,801.968,6792.677,1055.71,2471.71,14278.226
1974-08-01,12644.452,741.581,284.129,13670.161,2704.903,185.548,72.419,257.968,361.065,804.903,6814.806,1066.839,2454.935,14207.452
1974-09-01,12123.7,738.3,204.333,13066.333,2551.533,184.587,75.3,259.887,348.067,867.167,6453.0,1032.1,2311.167,13563.033
1974-10-01,12285.613,787.677,88.871,13162.161,2699.871,182.394,75.161,257.555,329.548,867.774,6336.355,1098.71,2368.71,13700.968
1974-11-01,12331.6,794.767,127.9,13254.267,2800.633,172.42,69.2,241.62,300.633,862.833,6291.7,1228.7,2253.667,13738.167
1974-12-01,12518.839,795.548,203.903,13518.29,2924.484,176.716,52.548,229.265,286.194,861.161,6419.29,1334.581,2144.129,13969.839
1975-01-01,12296.548,756.194,335.806,13388.548,2852.194,192.871,51.645,244.516,307.355,831.258,6508.645,1414.742,1993.194,13907.387
1975-02-01,12134.893,734.036,17.107,12886.036,2678.75,181.743,56.5,238.243,295.571,834.786,6275.964,1354.0,1885.25,13324.321
1975-03-01,11905.032,731.0,-66.387,12569.645,2531.613,160.077,52.484,212.561,279.774,896.452,6069.903,1298.71,1913.935,12990.387
1975-04-01,11803.467,667.3,-59.967,12410.8,2486.5,156.273,44.2,200.473,272.8,863.533,6045.9,1244.5,1878.7,12791.933
1975-05-01,11983.258,628.194,-157.484,12453.968,2431.161,166.4,53.161,219.561,298.903,860.903,6126.387,1150.903,1997.581,12865.839
1975-06-01,12416.733,659.467,160.733,13236.933,2573.867,168.147,65.467,233.613,323.367,838.833,6669.4,1152.3,2111.5,13669.267
1975-07-01,12915.355,700.903,189.581,13805.839,2589.742,172.606,63.29,235.897,336.29,883.258,7002.839,1154.774,2270.065,14236.968
1975-08-01,13046.226,690.226,6.871,13743.323,2591.806,187.787,68.903,256.69,357.0,957.935,6871.742,1145.871,2264.516,14188.871
1975-09-01,12944.8,702.767,177.233,13824.8,2811.933,184.593,67.667,252.26,325.833,907.4,6822.5,1183.333,2301.833,14352.833
1975-10-01,12365.452,728.71,114.903,13209.065,2744.613,188.097,62.806,250.903,310.097,863.581,6409.581,1165.484,2228.774,13722.129
1975-11-01,12689.3,759.4,-8.5,13440.2,2766.8,191.16,63.5,254.66,308.833,863.767,6602.333,1214.2,2178.9,13934.833
1975-12-01,12779.097,767.935,153.452,13700.484,2783.323,192.245,69.29,261.535,310.161,848.581,6786.032,1353.871,2116.871,14198.839
1976-01-01,12560.419,728.097,93.129,13381.645,2733.871,188.258,69.226,257.484,305.0,889.29,6482.516,1415.355,2029.613,13855.645
1976-02-01,12833.586,793.138,113.724,13740.448,2961.034,176.772,65.69,242.462,316.448,917.621,6472.69,1393.586,2167.621,14229.0
