Month,Petroleum Imports From Persian Gulf,Petroleum Imports From OPEC,Petroleum Imports,Petroleum Exports,Petroleum Net Imports,Petroleum Products Supplied,Petroleum Imports From Persian Gulf as Share of Products Supplied,Petroleum Imports From OPEC as Share of Products Supplied,Petroleum Imports as Share of Products Supplied,Petroleum Net Imports as Share of Products Supplied,Petroleum Imports From Persian Gulf as Share of Total Imports,Petroleum Imports From OPEC as Share of Total Imports
1973-01-01,524.839,2650.677,5857.097,210.613,5646.484,18712.645,2.8,14.2,31.3,30.2,9,45.3
1973-02-01,505.393,2636.464,6507.286,260.964,6246.321,19094.143,2.6,13.8,34.1,32.7,7.8,40.5
1973-03-01,800.161,2820.065,6610.161,224.194,6385.968,17216.226,4.6,16.4,38.4,37.1,12.1,42.7
1973-04-01,571.967,2373.4,5593.367,275.567,5317.8,15920.533,3.6,14.9,35.1,33.4,10.2,42.4
1973-05-01,798.29,2823.065,5840.935,237.387,5603.548,16625.806,4.8,17,35.1,33.7,13.7,48.3
1973-06-01,887.1,2827.133,5890.267,215.433,5674.833,16481.333,5.4,17.2,35.7,34.4,15.1,48
1973-07-01,1027.226,3335.323,6178.935,240.742,5938.194,16372.387,6.3,20.4,37.7,36.3,16.6,54
1973-08-01,1086.871,3398.839,6591.129,218.161,6372.968,17498.839,6.2,19.4,37.7,36.4,16.5,51.6
1973-09-01,1030.667,3311.767,6411.467,243.0,6168.467,16656.3,6.2,19.9,38.5,37.0,16.1,51.7
1973-10-01,1188.161,3531.871,6632.613,222.032,6410.581,17202.226,6.9,20.5,38.6,37.3,17.9,53.3
1973-11-01,1089.167,3315.733,6922.333,202.567,6719.767,18492.033,5.9,17.9,37.4,36.3,15.7,47.9
1973-12-01,660.516,2721.129,6055.774,227.806,5827.968,17538.355,3.8,15.5,34.5,33.2,10.9,44.9
1974-01-01,497.645,2308.065,5370.71,206.71,5164.0,17285.871,2.9,13.4,31.1,29.9,9.3,43
1974-02-01,377.857,2180.036,5216.036,202.857,5013.179,17365.714,2.2,12.6,30.0,28.9,7.2,41.8
1974-03-01,466.581,2582.742,5273.806,195.613,5078.194,16103.71,2.9,16,32.7,31.5,8.8,49
1974-04-01,675.8,2870.333,5979.633,243.333,5736.3,15928.5,4.2,18,37.5,36.0,11.3,48
1974-05-01,1266.613,3375.323,6493.355,246.548,6246.806,15725.677,8.1,21.5,41.3,39.7,19.5,52
1974-06-01,1424.567,3670.8,6359.967,238.4,6121.567,16117.133,8.8,22.8,39.5,38.0,22.4,57.7
1974-07-01,1351.871,3792.613,6536.516,253.194,6283.323,16348.742,8.3,23.2,40.0,38.4,20.7,58
1974-08-01,1387.226,3561.387,6361.194,247.226,6113.968,16549.71,8.4,21.5,38.4,36.9,21.8,56
1974-09-01,1150.967,3498.1,6051.8,170.867,5880.933,16023.8,7.2,21.8,37.8,36.7,19,57.8
1974-10-01,1275.355,3651.677,6175.161,220.871,5954.29,17050.032,7.5,21.4,36.2,34.9,20.7,59.1
1974-11-01,1200.7,3850.667,6798.4,186.467,6611.933,17351.267,6.9,22.2,39.2,38.1,17.7,56.6
1974-12-01,1292.032,3615.097,6666.806,231.097,6435.71,18012.968,7.2,20.1,37.0,35.7,19.4,54.2
1975-01-01,1363.452,3752.548,6860.645,228.065,6632.581,18003.903,7.6,20.8,38.1,36.8,19.9,54.7
1975-02-01,1221.929,3512.286,6176.107,248.0,5928.107,17084.357,7.2,20.6,36.2,34.7,19.8,56.9
1975-03-01,1030.484,3627.032,5730.0,213.097,5516.903,16315.355,6.3,22.2,35.1,33.8,18,63.3
1975-04-01,853.333,3050,5040.3,190.433,4849.867,16048.3,5.3,19,31.4,30.2,16.9,60.5
1975-05-01,746.871,3203.774,5214.032,202.419,5011.613,15155.258,4.9,21.1,34.4,33.1,14.3,61.4
1975-06-01,854.067,3280.967,5406.3,224.433,5181.867,15610.033,5.5,21,34.6,33.2,15.8,60.7
1975-07-01,942.613,3479.774,5958.968,185.677,5773.29,15739.871,6,22.1,37.9,36.7,15.8,58.4
1975-08-01,1282.548,3776.032,6298.258,202.871,6095.387,15806.29,8.1,23.9,39.8,38.6,20.4,60
1975-09-01,1319.933,4025.033,6804.267,205.3,6598.967,15767.833,8.4,25.5,43.2,41.9,19.4,59.2
1975-10-01,1447.194,3633.806,6329.161,186.968,6142.194,16376.613,8.8,22.2,38.6,37.5,22.9,57.4
1975-11-01,1497.733,3902.667,6419.0,165.9,6253.1,15777.233,9.5,24.7,40.7,39.6,23.3,60.8
1975-12-01,1409.258,3868.387,6425.323,261.613,6163.71,18185.0,7.7,21.3,35.3,33.9,21.9,60.2
1976-01-01,1636.452,4308.129,6713.613,155.774,6557.839,18646.903,8.8,23.1,36.0,35.2,24.4,64.2
1976-02-01,1469.172,4363.276,6711.793,241.276,6470.517,17509.276,8.4,24.9,38.3,37.0,21.9,65
1976-03-01,1619.129,4339.032,6686.677,184.677,6502.0,17302.0,9.4,25.1,38.6,37.6,24.2,64.9
1976-04-01,1561.4,4392,6595.333,222.0,6373.333,16671.533,9.4,26.3,39.6,38.2,23.7,66.6
1976-05-01,1549.935,4276.484,6323.065,179.419,6143.645,15977.387,9.7,26.8,39.6,38.5,24.5,67.6
1976-06-01,1820.633,5283.433,7474.433,212.767,7261.667,16824.567,10.8,31.4,44.4,43.2,24.4,70.7
1976-07-01,2051.935,5679.774,7883.645,242.484,7641.161,16606.742,12.4,34.2,47.5,46.0,26,72
1976-08-01,1918.161,5234.903,7382.194,220.0,7162.194,16642.032,11.5,31.5,44.4,43.0,26,70.9
1976-09-01,2080.567,5698.4,7924.1,195.9,7728.2,16836.8,12.4,33.8,47.1,45.9,26.3,71.9
1976-10-01,2064.645,5348.161,7535.903,197.774,7338.129,17090.355,12.1,31.3,44.1,42.9,27.4,71
1976-11-01,2049.4,5812.267,8060.267,347.8,7712.467,18846.933,10.9,30.8,42.8,40.9,25.4,72.1
1976-12-01,2241.419,5973.323,8447.323,279.484,8167.839,20559.935,10.9,29.1,41.1,39.7,26.5,70.7
1977-01-01,2281.419,6231.903,8903.0,192.032,8710.968,20504.323,11.1,30.4,43.4,42.5,25.6,70
1977-02-01,2265.893,6505.5,9997.321,234.393,9762.929,20481.821,11.1,31.8,48.8,47.7,22.7,65.1
1977-03-01,2562.323,6407.774,9382.71,206.806,9175.903,18123.742,14.1,35.4,51.8,50.6,27.3,68.3
1977-04-01,2444.833,6420.9,8722.633,223.367,8499.267,17579.667,13.9,36.5,49.6,48.3,28,73.6
1977-05-01,2829.129,6229.516,8571.097,288.258,8282.839,16972.323,16.7,36.7,50.5,48.8,33,72.7
1977-06-01,2691.633,6630,8937.133,224.967,8712.167,18043.333,14.9,36.7,49.5,48.3,30.1,74.2
1977-07-01,2795.581,6606.355,9095.226,253.645,8841.581,17567.903,15.9,37.6,51.8,50.3,30.7,72.6
1977-08-01,2355.387,6039.935,8574.452,229.742,8344.71,18011.871,13.1,33.5,47.6,46.3,27.5,70.4
1977-09-01,2447.367,5936.4,8566.767,294.033,8272.733,17714.4,13.8,33.5,48.4,46.7,28.6,69.3
1977-10-01,2212.71,5841.581,8364.129,255.129,8109.0,17824.097,12.4,32.8,46.9,45.5,26.5,69.8
1977-11-01,2173.3,5663.467,8134.733,235.167,7899.567,18437.333,11.8,30.7,44.1,42.8,26.7,69.6
1977-12-01,2303.258,5830.323,8524.968,274.355,8250.613,20051.71,11.5,29.1,42.5,41.1,27,68.4
1978-01-01,2380.548,5757.065,8332.387,256.548,8075.839,19752.29,12.1,29.1,42.2,40.9,28.6,69.1
1978-02-01,2121.25,5499.071,8119.143,208.25,7910.893,20900.036,10.1,26.3,38.8,37.9,26.1,67.7
1978-03-01,2139.258,5975.258,8500.968,268.645,8232.323,19652.032,10.9,30.4,43.3,41.9,25.2,70.3
1978-04-01,2062.033,5148.3,7742.7,337.0,7405.7,17747.1,11.6,29,43.6,41.7,26.6,66.5
1978-05-01,1997.419,5123.032,7530.968,312.935,7218.032,18230.355,11,28.1,41.3,39.6,26.5,68
1978-06-01,2140.2,5651.433,8108.0,398.6,7709.4,18259.733,11.7,31,44.4,42.2,26.4,69.7
