Month,"Crude Oil Imports, SPR","Crude Oil Imports, Total",Distillate Fuel Oil Imports,Propane Imports,Propylene Imports,Propane/Propylene Imports,Total Hydrocarbon Gas Liquids Imports,Jet Fuel Imports,Finished Motor Gasoline Imports,Residual Fuel Oil Imports,Other Petroleum Products Imports,Total Petroleum Imports
1973-01-01,Not Applicable,2732.032,364.161,Not Available,Not Available,130.129,312.323,230.871,59.387,2019.065,139.258,5857.097
1973-02-01,Not Applicable,2872.607,731.214,Not Available,Not Available,121.107,311.714,221.393,95.25,2146.821,128.286,6507.286
1973-03-01,Not Applicable,3161.968,602.323,Not Available,Not Available,89.0,260.161,152.387,70.742,2195.548,167.032,6610.161
1973-04-01,Not Applicable,3048.633,240.233,Not Available,Not Available,49.1,201.233,145.1,63.4,1705.333,189.433,5593.367
1973-05-01,Not Applicable,3214.645,267.774,Not Available,Not Available,51.484,216.645,210.548,101.484,1667.968,161.871,5840.935
1973-06-01,Not Applicable,3220.433,222.0,Not Available,Not Available,38.533,163.167,163.567,173.8,1760.8,186.5,5890.267
1973-07-01,Not Applicable,3500.968,318.387,Not Available,Not Available,34.839,198.548,231.516,132.581,1597.355,199.581,6178.935
1973-08-01,Not Applicable,3592.516,287.581,Not Available,Not Available,55.129,239.774,179.774,164.226,1913.323,213.935,6591.129
1973-09-01,Not Applicable,3470.567,313.3,Not Available,Not Available,42.267,205.5,234.933,127.2,1849.033,210.933,6411.467
1973-10-01,Not Applicable,3738.871,450.903,Not Available,Not Available,80.871,248.581,246.323,194.194,1597.065,156.677,6632.613
1973-11-01,Not Applicable,3452.333,492.3,Not Available,Not Available,93.767,286.133,274.7,216.4,1978.833,221.633,6922.333
1973-12-01,Not Applicable,2891.387,439.194,Not Available,Not Available,64.677,231.613,258.548,202.161,1825.613,207.258,6055.774
1974-01-01,Not Applicable,2381.903,463.774,Not Available,Not Available,123.516,304.355,135.806,162.806,1733.129,188.935,5370.71
1974-02-01,Not Applicable,2247.857,306.321,Not Available,Not Available,96.0,293.679,74.964,184.393,1904.036,204.786,5216.036
1974-03-01,Not Applicable,2462.226,286.871,Not Available,Not Available,64.871,224.323,138.742,224.516,1713.484,223.645,5273.806
1974-04-01,Not Applicable,3267.033,220.4,Not Available,Not Available,55.8,214.633,132.167,259.667,1592.833,292.9,5979.633
1974-05-01,Not Applicable,3907.71,267.903,Not Available,Not Available,72.194,181.71,205.258,250.129,1362.323,318.323,6493.355
1974-06-01,Not Applicable,3924.9,219.633,Not Available,Not Available,35.0,199.367,140.967,210.8,1499.633,164.667,6359.967
