Month,Petroleum Imports From Algeria,Petroleum Imports From Iraq,Petroleum Imports From Kuwait,Petroleum Imports From Libya,Petroleum Imports From Nigeria,Petroleum Imports From Saudi Arabia,Petroleum Imports from United Arab Emirates,Petroleum Imports From Venezuela,Petroleum Imports From Other OPEC,Petroleum Imports From Total OPEC
1973-01-01,180.065,No Data Reported,60.71,146.29,410.484,372.258,9.774,1249.903,221.194,2650.677
1973-02-01,173.679,No Data Reported,42.786,255.5,447.571,270.5,39.25,1040.071,367.107,2636.464
1973-03-01,141.323,No Data Reported,42.484,194.097,432.516,413.871,162.29,1010.645,422.839,2820.065
1973-04-01,108.867,No Data Reported,60.033,194.867,489.0,316.2,74.6,796.933,332.9,2373.4
1973-05-01,180.581,9.903,60.452,181.516,426.387,399.194,57.806,997.71,509.516,2823.065
1973-06-01,168.833,No Data Reported,53.667,84.033,421.167,473.167,79.833,981.667,564.767,2827.133
1973-07-01,172.581,No Data Reported,16.226,156.968,486.548,669.226,102.226,1161.323,570.226,3335.323
1973-08-01,131.645,11.065,57.323,193.129,476.161,675.387,63.645,1257.323,533.161,3398.839
1973-09-01,144.033,17.167,46.433,207.467,413.567,622.533,88.4,1199.233,572.933,3311.767
1973-10-01,166.839,11.742,55.613,195.645,521.097,780.71,62,1259.129,479.097,3531.871
1973-11-01,41.633,No Data Reported,63.267,148.733,444.467,646.533,106.633,1350.5,513.967,3315.733
1973-12-01,1.258,No Data Reported,No Data Reported,22.226,533.968,191.581,No Data Reported,1178,794.097,2721.129
1974-01-01,No Data Reported,No Data Reported,No Data Reported,0.935,464.323,20.968,9.806,1116.355,695.677,2308.065
1974-02-01,2.679,No Data Reported,No Data Reported,16.714,359.071,42.0,No Data Reported,972.643,786.929,2180.036
1974-03-01,7.871,No Data Reported,No Data Reported,4.581,548.452,83.548,No Data Reported,1216.29,722,2582.742
1974-04-01,117,No Data Reported,2.067,8.133,702.467,43.567,13.5,949.6,1034,2870.333
1974-05-01,235.613,No Data Reported,0.903,3.871,731.032,590.097,85.161,782.935,945.71,3375.323
1974-06-01,357.333,No Data Reported,4.333,No Data Reported,732.167,688.767,158.767,822.667,906.767,3670.8
1974-07-01,348.516,No Data Reported,3.419,No Data Reported,890.161,589.452,127.097,861.065,972.903,3792.613
1974-08-01,186.516,No Data Reported,33.032,No Data Reported,909.097,625.968,208.032,872.161,726.581,3561.387
1974-09-01,264.033,No Data Reported,No Data Reported,20.167,767.567,555.433,117.3,969.333,804.267,3498.1
1974-10-01,300.71,No Data Reported,No Data Reported,No Data Reported,722.516,748.194,58.161,1087.581,734.516,3651.677
1974-11-01,186.6,No Data Reported,20.833,No Data Reported,1039.267,735.9,25.067,1087.4,755.6,3850.667
1974-12-01,261.677,No Data Reported,No Data Reported,No Data Reported,669.258,771.839,37.935,1014.968,859.419,3615.097
1975-01-01,292.71,No Data Reported,No Data Reported,18.71,870.645,852.0,46.871,881.516,790.097,3752.548
1975-02-01,225.75,No Data Reported,19.5,82.179,860.25,795.607,105.857,707,716.143,3512.286
1975-03-01,295.387,No Data Reported,70.581,174.677,834.452,631.968,113.161,898.387,608.419,3627.032
1975-04-01,225.867,No Data Reported,3.867,124.9,618.733,427.567,70.367,823.933,754.767,3050.0
1975-05-01,345.419,6.903,12.355,211.355,643.452,335.194,124.677,801.323,723.097,3203.774
1975-06-01,346.767,No Data Reported,23.567,182.967,619.1,500.5,77.333,711.3,819.433,3280.967
1975-07-01,346.645,No Data Reported,2.065,247.968,714.935,587.677,107.226,679.032,794.226,3479.774
1975-08-01,268.806,15.903,1.161,407.032,804.129,748.452,259.516,521.806,749.226,3776.032
1975-09-01,284.1,3.7,10.567,456.633,817.0,730.7,216.067,624.433,881.833,4025.033
1975-10-01,235.645,2.677,18.581,236.258,772.548,961.129,93.323,514.935,798.71,3633.806
