Month,Petroleum Imports From Brazil,Petroleum Imports From Canada,Petroleum Imports From Colombia,Petroleum Imports from Ecuador,Petroleum Imports From Mexico,Petroleum Imports From Netherlands,Petroleum Imports From Norway,Petroleum Imports From Russia,Petroleum Imports From United Kingdom,Petroleum Imports From U.S. Virgin Islands,Petroleum Imports From Other Non-OPEC,Petroleum Imports From Total Non-OPEC Countries
1973-01-01,11.387,1370.484,30.097,0.0,16.71,74.645,No Data Reported,18.581,10.645,336.097,1337.774,3206.419
1973-02-01,15.107,1428.857,No Data Reported,0.0,22.143,98.857,No Data Reported,24.607,14.107,445.25,1821.893,3870.821
1973-03-01,14.194,1431.258,25.097,0.0,20.839,92.968,No Data Reported,23.129,13.258,418.677,1750.677,3790.097
1973-04-01,15.967,1512.233,3.733,0.0,53.767,11,1.133,25.167,8.833,269.633,1318.5,3219.967
1973-05-01,15.484,1321.968,3.645,0.0,No Data Reported,10.645,1.097,24.387,8.548,261.29,1370.806,3017.871
1973-06-01,16.033,1268.367,3.767,0.0,No Data Reported,11.033,1.133,25.267,8.867,270.7,1457.967,3063.133
1973-07-01,4.484,1230.645,3.677,0.0,No Data Reported,27.452,No Data Reported,18.129,17.29,257.806,1284.129,2843.613
1973-08-01,5.129,1245.032,4.226,0.0,No Data Reported,31.516,No Data Reported,20.839,19.839,296.161,1569.548,3192.29
1973-09-01,5.067,1280.867,4.167,0.0,20.8,31.033,No Data Reported,20.5,19.533,291.667,1426.067,3099.7
1973-10-01,1.774,1284.323,No Data Reported,0.0,49.065,67.065,2.323,29.032,17.0,316.968,1333.194,3100.742
1973-11-01,2.3,1278.3,No Data Reported,0.0,No Data Reported,86.7,3,37.533,21.967,409.8,1767.0,3606.6
1973-12-01,2.161,1117.0,26.097,0.0,No Data Reported,81.613,2.839,35.323,20.677,385.677,1663.258,3334.645
1974-01-01,No Data Reported,1198.097,3.194,0.0,16.839,75.935,No Data Reported,25.839,1.613,368.226,1372.903,3062.645
1974-02-01,No Data Reported,1133.571,3.286,0.0,17.321,78.107,No Data Reported,26.571,1.643,378.75,1396.75,3036.0
1974-03-01,No Data Reported,1131.677,2.774,0.0,14.645,66.065,No Data Reported,22.484,1.387,320.387,1131.645,2691.065
1974-04-01,5.367,1205.167,10.667,0.0,1.833,50.067,No Data Reported,7.767,14.133,333.1,1481.2,3109.3
1974-05-01,5.258,1242.387,10.452,0.0,1.806,49.065,No Data Reported,7.613,13.839,326.452,1461.161,3118.032
1974-06-01,4.733,941.767,9.433,0.0,1.633,44.333,10.733,6.867,12.5,294.9,1362.267,2689.167
1974-07-01,No Data Reported,939.387,6.161,0.0,6.032,21.484,No Data Reported,4.935,1.677,426.065,1338.161,2743.903
1974-08-01,No Data Reported,985.839,6.129,0.0,6.032,21.452,No Data Reported,4.935,1.677,425.258,1348.484,2799.806
1974-09-01,No Data Reported,998.333,5.333,0.0,5.233,18.667,No Data Reported,4.3,1.467,370.133,1150.233,2553.7
1974-10-01,2.516,981.29,0.387,0.0,No Data Reported,26.613,No Data Reported,30.806,11.387,404.355,1066.129,2523.484
1974-11-01,3.267,964.033,0.5,0.0,23.033,34.467,No Data Reported,39.9,14.733,523.6,1344.2,2947.733
