Month,Crude Oil Exports,Distillate Fuel Oil Exports,Propane Exports,Total Hydrocarbon Gas Liquids Exports,Jet Fuel Exports,Finished Motor Gasoline Exports,Residual Fuel Oil Exports,Other Petroleum Products Exports,Total Petroleum Exports
1973-01-01,No Data Reported,10.71,16.355,28.774,6.903,1.032,31.29,131.903,210.613
1973-02-01,No Data Reported,2.393,26,40.679,7.321,5.071,31.714,173.786,260.964
1973-03-01,No Data Reported,2.323,19.968,35.774,6.387,0.71,23.903,155.097,224.194
1973-04-01,No Data Reported,6.567,15.367,26.567,7.533,4.333,39.067,191.5,275.567
1973-05-01,4.129,1.742,14.806,25.065,4.323,4.871,35.194,162.065,237.387
1973-06-01,No Data Reported,8.433,12.5,23.5,4.633,0.933,6.1,171.833,215.433
1973-07-01,7.484,3.387,12.645,25.419,3.484,2.258,33.742,164.968,240.742
1973-08-01,No Data Reported,8.516,14,26.452,1.032,0.258,27.484,154.419,218.161
1973-09-01,5.333,25.367,13.333,25.533,1.933,0.9,19.767,164.167,243.0
1973-10-01,No Data Reported,23.258,12.871,24.452,3.258,8.097,18.871,144.097,222.032
1973-11-01,No Data Reported,3.233,11.3,22.767,3.433,15.3,4.833,153,202.567
1973-12-01,5.71,9.935,12.484,23.258,1.613,4.71,7.774,174.806,227.806
1974-01-01,17.226,4.032,14.968,27.097,2.129,4.065,9.419,142.742,206.71
1974-02-01,10.036,3.857,11.714,21.571,2.143,0.643,11.321,153.286,202.857
1974-03-01,No Data Reported,6.581,12.903,23.387,2.548,7.258,9.226,146.613,195.613
1974-04-01,0.5,1.367,11.9,22.767,2.233,1.367,15.633,199.467,243.333
1974-05-01,6.452,0.871,11.742,22.903,0.839,0.323,11.516,203.645,246.548
1974-06-01,1.467,1.133,12.433,23.367,3.267,0.367,14.5,194.3,238.4
1974-07-01,No Data Reported,2.71,15.129,27.226,5.161,0.677,6.935,210.484,253.194
1974-08-01,No Data Reported,0.548,13.903,24.29,2.097,5.548,30.065,184.677,247.226
1974-09-01,No Data Reported,1.367,15.9,27.2,1.333,0.5,15.033,125.433,170.867
1974-10-01,No Data Reported,0.484,13.968,25.71,5.129,0.548,16.387,172.613,220.871
1974-11-01,No Data Reported,1.833,13.667,24.8,2.4,0.433,8.033,148.967,186.467
1974-12-01,No Data Reported,3.355,15,26.484,2.484,6.323,15.032,177.419,231.097
1975-01-01,26.968,0.065,16,29.839,1.903,0.548,14.935,153.806,228.065
1975-02-01,33.643,1.786,16.536,30.25,2.214,9.5,18.857,151.75,248.0
1975-03-01,11.258,0.032,14.161,31.903,1.387,0.839,9.516,158.161,213.097
1975-04-01,0.633,1.7,14.867,29,1.3,1.267,5.933,150.6,190.433
1975-05-01,No Data Reported,0.226,13,25.29,2.194,0.452,7.935,166.323,202.419
