Month,Asphalt and Road Oil Product Supplied,Aviation Gasoline Product Supplied,Distillate Fuel Oil Product Supplied,Propane Product Supplied,Propylene Product Supplied,Propane/Propylene Product Supplied,Total Hydrocarbon Gas Liquids Product Supplied,Jet Fuel Product Supplied,Kerosene Product Supplied,Lubricants Product Supplied,Motor Gasoline Product Supplied,Petroleum Coke Product Supplied,Residual Fuel Oil Product Supplied,Other Products Supplied,Total Petroleum Products Supplied
1973-01-01,37.779,6.184,747.266,155.859,8.533,164.392,232.0,193.186,71.357,27.996,996.216,50.433,644.323,178.529,3185.268
1973-02-01,40.254,6.239,701.604,132.451,6.964,139.415,193.431,171.415,61.145,27.669,946.711,41.505,595.278,156.734,2941.986
1973-03-01,52.59,6.638,602.602,92.183,8.299,100.482,160.149,172.81,35.279,29.828,1060.586,45.325,600.968,175.711,2942.485
1973-04-01,75.199,6.446,460.391,79.688,7.643,87.332,142.646,170.275,27.749,26.443,1030.864,43.439,467.099,170.764,2621.315
1973-05-01,111.83,7.935,482.607,76.083,8.395,84.478,144.542,193.382,23.258,31.223,1124.799,48.264,491.423,177.303,2836.567
1973-06-01,141.393,6.81,422.662,64.464,8.364,72.828,125.095,169.239,20.009,27.165,1097.415,50.626,491.731,179.29,2731.435
1973-07-01,163.956,6.068,420.419,60.45,8.713,69.164,125.522,181.929,26.093,32.933,1143.667,49.921,470.041,183.991,2804.54
1973-08-01,183.572,9.657,461.387,74.901,8.31,83.211,145.949,182.13,25.776,32.054,1181.689,52.065,537.029,188.135,2999.441
1973-09-01,146.224,6.684,467.404,77.5,8.602,86.102,143.149,180.049,31.378,28.075,1037.032,45.132,504.714,171.333,2761.173
1973-10-01,144.605,7.951,529.108,93.57,8.211,101.781,173.256,191.628,31.542,34.564,1087.292,53.481,504.783,178.308,2936.519
1973-11-01,103.442,6.87,612.965,117.437,7.57,125.007,189.054,172.491,51.983,30.64,1075.231,45.813,595.561,169.579,3053.629
1973-12-01,62.876,5.967,666.345,110.809,7.532,118.341,184.604,188.686,41.879,30.283,1015.626,47.216,573.77,174.414,2991.666
1974-01-01,46.372,6.386,692.581,128.506,7.44,135.946,203.867,155.653,54.755,31.72,945.199,46.921,591.619,169.836,2944.909
1974-02-01,51.588,4.392,627.731,97.015,7.202,104.217,166.916,135.067,44.6,26.443,897.197,41.981,526.568,155.288,2677.772
1974-03-01,62.737,8.354,571.363,88.295,8.985,97.28,159.555,165.993,31.287,29.809,1003.428,49.18,498.113,160.286,2740.105
1974-04-01,82.393,6.441,498.422,76.413,7.743,84.156,146.156,157.929,22.107,28.487,1017.548,42.367,459.649,163.157,2624.656
1974-05-01,115.4,6.689,442.403,69.517,7.52,77.037,134.169,182.463,12.531,31.605,1098.439,39.722,440.448,175.107,2678.975
1974-06-01,126.476,7.628,415.387,65.468,8.801,74.27,137.34,159.597,19.516,24.824,1090.402,42.885,453.588,181.409,2659.05
1974-07-01,141.061,6.931,416.872,68.47,8.36,76.831,134.755,178.621,21.909,30.307,1133.24,42.409,481.993,205.56,2793.658
1974-08-01,142.588,9.263,416.924,74.305,8.61,82.914,138.181,178.887,24.721,27.383,1149.903,43.325,492.945,201.306,2825.426
1974-09-01,133.822,6.769,416.843,85.723,8.663,94.387,150.032,186.212,23.451,29.53,1006.622,46.746,466.81,178.093,2644.93
1974-10-01,134.91,8.052,521.314,98.363,8.936,107.298,170.416,175.499,33.816,30.404,1093.034,39.789,508.92,189.479,2905.632
1974-11-01,82.758,5.916,551.622,104.381,7.961,112.343,177.855,173.241,33.26,26.413,1031.668,42.879,553.64,180.554,2859.805
