Month,Distillate Fuel Oil Consumed by the Residential Sector,Propane Consumed by the Residential Sector,Kerosene Consumed by the Residential Sector,Total Petroleum Consumed by the Residential Sector,Distillate Fuel Oil Consumed by the Commercial Sector,Propane Consumed by the Commercial Sector,Kerosene Consumed by the Commercial Sector,Motor Gasoline Consumed by the Commercial Sector,Petroleum Coke Consumed by the Commercial Sector,Residual Fuel Oil Consumed by the Commercial Sector,Total Petroleum Consumed by the Commercial Sector
1973-01-01,308.231,92.111,36.213,436.556,99.02,18.525,10.316,6.759,,102.378,236.999
1973-02-01,263.315,80.942,31.031,375.287,84.591,16.42,8.84,6.423,,87.459,203.733
1973-03-01,205.95,59.985,17.904,283.839,66.161,14.072,5.1,7.196,,68.403,160.932
1973-04-01,144.1,47.684,14.082,205.866,46.292,12.182,4.012,6.994,,47.863,117.342
1973-05-01,122.203,33.668,11.803,167.675,39.261,10.425,3.363,7.631,,40.589,101.268
1973-06-01,92.589,18.437,10.155,121.181,29.743,8.128,2.893,7.446,,30.756,78.965
1973-07-01,87.381,17.551,13.242,118.175,28.071,8.191,3.772,7.759,,29.021,76.814
1973-08-01,101.315,17.812,13.081,132.208,32.55,8.227,3.726,8.017,,33.654,86.176
1973-09-01,104.757,22.168,15.924,142.849,33.651,8.645,4.536,7.036,,34.792,88.661
1973-10-01,148.195,36.092,16.007,200.294,47.608,10.761,4.56,7.377,,49.221,119.527
1973-11-01,186.686,59.62,26.381,272.687,59.975,13.836,7.515,7.295,,62.009,150.63
1973-12-01,238.628,84.572,21.253,344.453,76.663,17.48,6.054,6.891,,79.261,186.349
1974-01-01,249.677,79.618,27.586,356.881,80.658,16.203,8.188,6.257,,80.327,191.634
1974-02-01,225.678,71.864,22.47,320.011,72.905,14.628,6.67,5.939,,72.607,172.75
1974-03-01,186.295,59.047,15.763,261.104,60.184,13.378,4.679,6.643,,59.933,144.815
1974-04-01,143.697,39.775,11.138,194.609,46.419,10.561,3.306,6.736,,46.233,113.256
1974-05-01,104.675,29.68,6.313,140.669,33.814,9.345,1.874,7.271,,33.679,85.983
1974-06-01,85.779,18.712,9.832,114.323,27.709,7.668,2.919,7.218,,27.599,73.114
1974-07-01,85.389,16.219,11.038,112.645,27.587,7.496,3.276,7.502,,27.474,73.335
1974-08-01,85.167,16.943,12.455,114.565,27.511,7.595,3.697,7.612,,27.398,73.814
1974-09-01,110.285,23.135,11.815,145.235,35.626,8.276,3.507,6.664,,35.483,89.555
1974-10-01,147.704,40.157,17.037,204.898,47.718,10.784,5.057,7.236,,47.522,118.317
1974-11-01,167.585,55.924,16.757,240.266,54.137,12.779,4.974,6.829,,53.916,132.636
1974-12-01,251.867,75.826,21.624,349.317,81.363,15.682,6.419,7.069,,81.031,191.565
1975-01-01,240.441,75.515,18.861,334.816,78.078,15.371,5.788,7.026,,65.436,171.698
1975-02-01,217.408,68.362,19.591,305.362,70.598,13.905,6.013,6.234,,59.167,155.917
1975-03-01,184.31,66.215,14.343,264.868,59.851,14.104,4.402,7.161,,50.164,135.683
1975-04-01,157.76,48.387,12.135,218.281,51.231,11.511,3.724,7.36,,42.934,116.76
1975-05-01,110.192,24.365,8.351,142.908,35.783,8.402,2.563,7.779,,29.989,84.516
1975-06-01,93.772,17.572,10.964,122.308,30.453,7.312,3.365,7.753,,25.519,74.402
1975-07-01,83.758,15.708,8.365,107.832,27.197,7.222,2.567,7.971,,22.797,67.754
1975-08-01,92.001,16.31,9.181,117.492,29.876,7.304,2.818,7.934,,25.041,72.974
1975-09-01,111.567,22.946,10.38,144.893,36.225,8.044,3.186,7.372,,30.366,85.194
1975-10-01,127.883,33.371,12.533,173.787,41.526,9.629,3.846,7.673,,34.805,97.48
1975-11-01,143.768,49.319,12.187,205.274,46.687,11.638,3.74,7.001,,39.131,108.196
1975-12-01,243.714,74.281,23.622,341.616,79.138,15.203,7.25,7.707,,66.328,175.626
1976-01-01,282.537,86.047,27.529,396.112,93.282,17.141,6.533,7.528,,80.688,205.172
1976-02-01,226.605,59.017,18.822,304.445,74.817,13.083,4.467,6.894,,64.712,163.973
1976-03-01,191.166,55.499,14.66,261.324,63.114,12.943,3.479,8.107,,54.59,142.233
1976-04-01,127.772,38.422,12.422,178.616,42.185,10.424,2.948,8.152,,36.49,100.199
1976-05-01,119.32,29.609,7.208,156.137,39.395,9.385,1.711,8.063,,34.076,92.629
1976-06-01,107.448,17.451,10.78,135.68,35.474,7.543,2.559,8.519,,30.687,84.781
1976-07-01,90.41,16.493,9.192,116.095,29.847,7.582,2.182,8.607,,25.821,74.039
1976-08-01,91.762,17.423,8.706,117.891,30.296,7.71,2.066,8.434,,26.204,74.71
1976-09-01,102.381,21.876,13.367,137.623,33.803,8.151,3.172,8.06,,29.241,82.426
1976-10-01,134.028,43.395,14.377,191.799,44.247,11.279,3.412,8.152,,38.275,105.366
1976-11-01,218.59,64.086,19.29,301.966,72.166,13.951,4.578,8.014,,62.424,161.133
1976-12-01,294.647,83.493,28.146,406.286,97.278,16.79,6.68,8.398,,84.145,213.291
1977-01-01,349.709,100.894,28.975,479.578,118.557,19.416,9.02,7.705,,103.11,257.808
1977-02-01,270.262,68.568,19.398,358.228,91.658,14.381,6.039,7.419,,79.685,199.182
1977-03-01,181.204,54.082,11.697,246.982,61.428,12.867,3.641,8.223,,53.425,139.584
1977-04-01,127.317,35.483,9.295,172.095,43.161,10.094,2.894,8.462,,37.539,102.149
1977-05-01,122.534,24.626,8.596,155.757,41.542,8.746,2.676,8.368,,36.13,97.462
1977-06-01,105.368,17.936,7.714,131.018,35.723,7.639,2.402,8.747,,31.069,85.58
1977-07-01,93.305,15.938,11.011,120.253,31.628,7.53,3.428,8.856,,27.511,78.954
1977-08-01,101.495,16.69,9.501,127.686,34.407,7.635,2.958,8.833,,29.925,83.758
1977-09-01,109.283,19.696,10.143,139.121,37.045,7.885,3.158,8.429,,32.22,88.736
1977-10-01,138.693,37.878,15.376,191.947,47.017,10.6,4.787,8.488,,40.889,111.781
1977-11-01,152.883,51.675,13.332,217.89,51.829,12.359,4.151,8.285,,45.076,121.699
1977-12-01,242.162,76.909,22.334,341.405,82.094,16.06,6.953,8.779,,71.399,185.286
1978-01-01,237.824,83.948,22.99,344.762,81.153,16.921,8.232,8.161,,64.818,179.285
1978-02-01,235.43,75.916,21.324,332.671,80.337,15.297,7.636,7.587,,64.164,175.02
1978-03-01,214.588,59.96,14.828,289.376,73.225,13.558,5.309,8.862,,58.487,159.441
1978-04-01,121.568,38.242,7.737,167.547,41.485,10.347,2.77,8.514,,33.132,96.248
1978-05-01,128.512,26.068,9.243,163.823,43.85,8.806,3.31,9.436,,35.024,100.425
1978-06-01,110.955,16.781,6.515,134.252,37.862,7.337,2.333,9.354,,30.24,87.127
1978-07-01,97.592,15.609,6.978,120.18,33.301,7.339,2.499,9.254,,26.6,78.993
1978-08-01,125.628,15.842,8.332,149.802,42.866,7.372,2.983,9.616,,34.238,97.075
1978-09-01,122.553,18.86,12.527,153.939,41.817,7.629,4.486,8.746,,33.402,96.08
1978-10-01,152.47,34.499,12.802,199.771,52.028,9.988,4.584,9.098,,41.556,117.254
1978-11-01,172.782,48.941,12.692,234.415,58.96,11.847,4.545,8.87,,47.089,131.31
