Month,Asphalt and Road Oil Consumed by the Industrial Sector,Distillate Fuel Oil Consumed by the Industrial Sector,Propane Consumed by the Industrial Sector,Propylene Consumed by the Industrial Sector,Propane/Propylene Consumed by the Industrial Sector,Total Hydrocarbon Gas Liquids Consumed by the Industrial Sector,Kerosene Consumed by the Industrial Sector,Lubricants Consumed by the Industrial Sector,Motor Gasoline Consumed by the Industrial Sector,Petroleum Coke Consumed by the Industrial Sector,Residual Fuel Oil Consumed by the Industrial Sector,Other Petroleum Products Consumed by the Industrial Sector,Total Petroleum Consumed by the Industrial Sector
1973-01-01,37.779,131.343,41.019,8.533,49.552,117.16,24.828,15.25,19.871,49.178,162.674,178.529,736.611
1973-02-01,40.254,142.552,31.292,6.964,38.257,92.272,21.275,15.072,18.884,40.467,174.629,156.734,702.139
1973-03-01,52.59,129.721,13.922,8.299,22.221,81.887,12.275,16.248,21.155,44.51,202.32,175.711,736.417
1973-04-01,75.199,92.636,15.755,7.643,23.398,78.712,9.655,14.404,20.563,42.164,150.232,170.764,654.33
1973-05-01,111.83,122.544,27.787,8.395,36.182,96.246,8.092,17.008,22.436,46.624,162.062,177.303,764.146
1973-06-01,141.393,102.095,33.831,8.364,42.195,94.463,6.962,14.797,21.89,48.955,140.674,179.29,750.518
1973-07-01,163.956,107.601,30.505,8.713,39.218,95.577,9.079,17.939,22.813,48.452,106.006,183.991,755.413
1973-08-01,183.572,114.408,44.658,8.31,52.969,115.706,8.968,17.46,23.571,50.442,138.7,188.135,840.962
1973-09-01,146.224,123.453,42.619,8.602,51.221,108.268,10.917,15.293,20.686,43.995,135.146,171.333,775.316
1973-10-01,144.605,120.055,42.513,8.211,50.724,122.2,10.975,18.828,21.688,52.483,125.358,178.308,794.5
1973-11-01,103.442,146.365,39.913,7.57,47.484,111.53,18.087,16.69,21.448,44.963,189.959,169.579,822.063
1973-12-01,62.876,135.896,4.554,7.532,12.086,78.349,14.571,16.495,20.259,45.724,169.815,174.414,718.4
1974-01-01,46.372,142.836,28.809,7.44,36.249,104.17,18.981,17.278,17.728,45.13,174.426,169.836,736.758
1974-02-01,51.588,125.564,7.022,7.202,14.224,76.923,15.461,14.404,16.828,40.529,160.803,155.288,657.388
1974-03-01,62.737,115.466,11.994,8.985,20.979,83.255,10.846,16.238,18.82,47.648,154.424,160.286,669.719
1974-04-01,82.393,106.426,22.326,7.743,30.069,92.07,7.664,15.518,19.085,41.292,151.143,163.157,678.747
1974-05-01,115.4,101.642,26.616,7.52,34.136,91.268,4.344,17.216,20.602,38.807,127.341,175.107,691.727
1974-06-01,126.476,99.606,35.337,8.801,44.138,107.209,6.765,13.522,20.452,42.101,136.602,181.409,734.141
1974-07-01,141.061,97.513,40.88,8.36,49.24,107.165,7.595,16.509,21.255,41.474,126.032,205.56,764.163
1974-08-01,142.588,102.617,45.891,8.61,54.5,109.767,8.57,14.916,21.568,42.362,133.77,201.306,777.463
1974-09-01,133.822,83.584,50.561,8.663,59.225,114.87,8.129,16.086,18.88,45.836,124.754,178.093,724.054
