Month,Natural Gas Gross Withdrawals,Natural Gas Marketed Production (Wet),NGPL Production,Natural Gas Production (Dry),Supplemental Gaseous Fuels,Natural Gas Imports,Natural Gas Exports,Natural Gas Net Imports,Natural Gas Net Storage Withdrawals,Natural Gas Balancing Item,Natural Gas Consumption
1973-01-01,Not Available,1948.0,79.0,1869.0,Not Available,92.694,5.808,86.887,Not Available,Not Available,2348.0
1973-02-01,Not Available,1962.0,79.0,1883.0,Not Available,83.87,6.079,77.791,Not Available,Not Available,2126.0
1973-03-01,Not Available,1907.0,77.0,1830.0,Not Available,91.581,4.021,87.56,Not Available,Not Available,2015.0
1973-04-01,Not Available,1814.0,73.0,1741.0,Not Available,88.407,8.017,80.39,Not Available,Not Available,1835.0
1973-05-01,Not Available,1898.0,77.0,1821.0,Not Available,85.844,8.741,77.103,Not Available,Not Available,1729.0
1973-06-01,Not Available,1839.0,74.0,1765.0,Not Available,79.121,4.131,74.989,Not Available,Not Available,1534.0
1973-07-01,Not Available,1880.0,76.0,1804.0,Not Available,79.428,5.744,73.684,Not Available,Not Available,1558.0
1973-08-01,Not Available,1896.0,77.0,1819.0,Not Available,84.4,8.726,75.674,Not Available,Not Available,1582.0
1973-09-01,Not Available,1840.0,74.0,1766.0,Not Available,81.157,6.403,74.754,Not Available,Not Available,1527.0
1973-10-01,Not Available,1875.0,76.0,1799.0,Not Available,92.151,5.473,86.679,Not Available,Not Available,1708.0
1973-11-01,Not Available,1863.0,75.0,1788.0,Not Available,85.784,5.545,80.239,Not Available,Not Available,1905.0
1973-12-01,Not Available,1926.0,78.0,1848.0,Not Available,88.466,8.481,79.985,Not Available,Not Available,2182.0
1974-01-01,Not Available,1930.0,79.0,1851.0,Not Available,85.815,5.661,80.154,Not Available,Not Available,2230.0
1974-02-01,Not Available,1760.0,72.0,1688.0,Not Available,78.919,5.949,72.97,Not Available,Not Available,2054.0
1974-03-01,Not Available,1895.0,78.0,1817.0,Not Available,85.19,6.677,78.513,Not Available,Not Available,2003.0
1974-04-01,Not Available,1780.0,73.0,1707.0,Not Available,83.371,6.273,77.099,Not Available,Not Available,1691.0
1974-05-01,Not Available,1847.0,76.0,1771.0,Not Available,79.764,5.481,74.283,Not Available,Not Available,1608.0
1974-06-01,Not Available,1740.0,71.0,1669.0,Not Available,74.245,7.61,66.635,Not Available,Not Available,1439.0
1974-07-01,Not Available,1818.0,75.0,1743.0,Not Available,73.247,8.072,65.175,Not Available,Not Available,1514.0
1974-08-01,Not Available,1790.0,74.0,1716.0,Not Available,76.037,5.332,70.705,Not Available,Not Available,1510.0
1974-09-01,Not Available,1755.0,72.0,1683.0,Not Available,70.511,6.397,64.114,Not Available,Not Available,1537.0
1974-10-01,Not Available,1767.0,73.0,1694.0,Not Available,82.625,5.332,77.293,Not Available,Not Available,1706.0
1974-11-01,Not Available,1729.0,71.0,1658.0,Not Available,83.107,7.039,76.068,Not Available,Not Available,1827.0
1974-12-01,Not Available,1790.0,74.0,1716.0,Not Available,86.454,6.966,79.488,Not Available,Not Available,2104.0
1975-01-01,Not Available,1779.0,77.0,1702.0,Not Available,80.824,3.959,76.865,Not Available,Not Available,2248.0
1975-02-01,Not Available,1645.0,71.0,1574.0,Not Available,74.496,6.982,67.514,Not Available,Not Available,1939.0
1975-03-01,Not Available,1738.0,75.0,1663.0,Not Available,83.38,6.265,77.115,Not Available,Not Available,1903.0
1975-04-01,Not Available,1672.0,73.0,1599.0,Not Available,82.132,5.815,76.317,Not Available,Not Available,1575.0
1975-05-01,Not Available,1689.0,73.0,1616.0,Not Available,79.818,6.677,73.141,Not Available,Not Available,1331.0
1975-06-01,Not Available,1634.0,71.0,1563.0,Not Available,76.307,3.624,72.683,Not Available,Not Available,1257.0
1975-07-01,Not Available,1677.0,73.0,1604.0,Not Available,80.037,8.091,71.947,Not Available,Not Available,1313.0
1975-08-01,Not Available,1677.0,73.0,1604.0,Not Available,75.311,6.288,69.023,Not Available,Not Available,1369.0
1975-09-01,Not Available,1603.0,70.0,1533.0,Not Available,73.606,6.037,67.569,-189,-41.569,1370.0
1975-10-01,Not Available,1646.0,71.0,1575.0,Not Available,80.468,5.987,74.481,-139,33.519,1544.0
1975-11-01,Not Available,1618.0,70.0,1548.0,Not Available,80.761,5.202,75.559,48,-31.559,1640.0
1975-12-01,Not Available,1730.0,75.0,1655.0,Not Available,85.867,7.748,78.119,333,-17.119,2049.0
1976-01-01,Not Available,1751.0,75.0,1676.0,Not Available,84.395,5.323,79.072,472,63.928,2291.0
1976-02-01,Not Available,1647.0,71.0,1576.0,Not Available,78.024,5.337,72.687,186,103.313,1938.0
1976-03-01,Not Available,1714.0,73.0,1641.0,Not Available,84.91,6.007,78.903,114,-112.903,1721.0
1976-04-01,Not Available,1623.0,69.0,1554.0,Not Available,85.94,5.64,80.3,-97,-29.3,1508.0
1976-05-01,Not Available,1673.0,72.0,1601.0,Not Available,81.65,4.664,76.985,-198,-45.985,1434.0
1976-06-01,Not Available,1640.0,70.0,1570.0,Not Available,75.785,4.755,71.03,-248,-58.03,1335.0
1976-07-01,Not Available,1676.0,72.0,1604.0,Not Available,73.108,5.997,67.112,-265,-34.112,1372.0
1976-08-01,Not Available,1636.0,70.0,1566.0,Not Available,76.539,5.578,70.961,-252,-67.961,1317.0
1976-09-01,Not Available,1565.0,67.0,1498.0,Not Available,74.125,6.54,67.585,-213,-50.585,1302.0
1976-10-01,Not Available,1639.0,70.0,1569.0,Not Available,85.257,4.87,80.387,-14,-14.387,1621.0
1976-11-01,Not Available,1636.0,70.0,1566.0,Not Available,80.926,5.163,75.764,234,-0.764,1875.0
1976-12-01,Not Available,1753.0,75.0,1678.0,Not Available,83.11,4.837,78.273,447,28.727,2232.0
1977-01-01,Not Available,1740.0,75.0,1665.0,Not Available,86.944,4.785,82.159,647,12.841,2407.0
1977-02-01,Not Available,1674.0,72.0,1602.0,Not Available,91.751,4.574,87.177,136,-9.177,1816.0
1977-03-01,Not Available,1751.0,75.0,1676.0,Not Available,100.826,4.289,96.537,-50,-7.537,1715.0
1977-04-01,Not Available,1644.0,71.0,1573.0,Not Available,84.474,3.188,81.287,-204,-11.287,1439.0
1977-05-01,Not Available,1692.0,73.0,1619.0,Not Available,85.697,3.158,82.539,-301,-21.539,1379.0
1977-06-01,Not Available,1649.0,71.0,1578.0,Not Available,76.247,4.6,71.647,-294,-22.647,1333.0
1977-07-01,Not Available,1674.0,72.0,1602.0,Not Available,72.499,7.016,65.483,-321,-21.483,1325.0
1977-08-01,Not Available,1645.0,71.0,1574.0,Not Available,76.453,5.141,71.312,-259,-22.312,1364.0
1977-09-01,Not Available,1599.0,69.0,1530.0,Not Available,75.446,4.621,70.825,-251,77.175,1427.0
1977-10-01,Not Available,1628.0,70.0,1558.0,Not Available,84.828,4.622,80.207,-108,-12.207,1518.0
1977-11-01,Not Available,1606.0,69.0,1537.0,Not Available,86.3,4.735,81.565,77,-5.565,1690.0
1977-12-01,Not Available,1726.0,74.0,1652.0,Not Available,89.536,4.896,84.64,372,-0.64,2108.0
1978-01-01,Not Available,1743.0,74.0,1669.0,Not Available,85.796,5.005,80.791,641,-8.791,2382.0
1978-02-01,Not Available,1649.0,70.0,1579.0,Not Available,77.256,4.908,72.348,505,-17.348,2139.0
1978-03-01,Not Available,1748.0,75.0,1673.0,Not Available,85.621,4.775,80.846,186,-21.846,1918.0
1978-04-01,Not Available,1668.0,71.0,1597.0,Not Available,78.313,3.182,75.132,-108,-25.132,1539.0
1978-05-01,Not Available,1664.0,71.0,1593.0,Not Available,73.829,4.615,69.214,-255,-27.214,1380.0
1978-06-01,Not Available,1623.0,69.0,1554.0,Not Available,68.327,4.592,63.734,-339,-29.734,1249.0
1978-07-01,Not Available,1693.0,72.0,1621.0,Not Available,71.557,4.616,66.941,-325,-29.941,1333.0
1978-08-01,Not Available,1658.0,71.0,1587.0,Not Available,73.604,4.615,68.989,-339,-31.989,1285.0
1978-09-01,Not Available,1576.0,67.0,1509.0,Not Available,73.236,6.097,67.139,-313,-28.139,1235.0
1978-10-01,Not Available,1635.0,70.0,1565.0,Not Available,80.197,3.236,76.961,-176,-25.961,1440.0
1978-11-01,Not Available,1607.0,69.0,1538.0,Not Available,90.783,3.307,87.476,54,-21.476,1658.0
1978-12-01,Not Available,1710.0,73.0,1637.0,Not Available,107.026,3.584,103.442,349,-20.442,2069.0
1979-01-01,Not Available,1772.0,70.0,1702.0,Not Available,102.237,6.589,95.648,655,-26.648,2426.0
1979-02-01,Not Available,1656.0,65.0,1591.0,Not Available,96.612,4.899,91.714,546,-24.714,2204.0
1979-03-01,Not Available,1755.0,69.0,1686.0,Not Available,112.962,4.789,108.173,116,-29.173,1881.0
