Month,Natural Gas Imports from Algeria,Natural Gas Imports from Australia,Natural Gas Imports from Canada,Natural Gas Imports from Egypt,Natural Gas Imports from Mexico,Natural Gas Imports from Nigeria,Natural Gas Imports from Norway,Natural Gas Imports from Oman,Natural Gas Imports from Qatar,Natural Gas Imports from Trinidad and Tobago,Natural Gas Imports from United Arab Emirates,Natural Gas Imports from Yemen,Natural Gas Imports from Other Countries,Natural Gas Imports
1973-01-01,0.078,0.0,92.519,0.0,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.694
1973-02-01,0.081,0.0,83.616,0.0,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.87
1973-03-01,0.081,0.0,91.23,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.581
1973-04-01,0.081,0.0,88.107,0.0,0.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.407
1973-05-01,0.0,0.0,85.712,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.844
1973-06-01,0.0,0.0,78.993,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.121
1973-07-01,0.0,0.0,79.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.428
1973-08-01,0.0,0.0,84.36,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.4
1973-09-01,0.0,0.0,81.086,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.157
1973-10-01,2.034,0.0,89.881,0.0,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.151
1973-11-01,1.033,0.0,84.677,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.784
1973-12-01,0.0,0.0,88.274,0.0,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.466
1974-01-01,0.0,0.0,85.729,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.815
1974-02-01,0.0,0.0,78.845,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.919
