Month,Natural Gas Exports to Brazil,Natural Gas Exports to Canada,Natural Gas Exports to Chile,Natural Gas Exports to China,Natural Gas Exports to France,Natural Gas Exports to India,Natural Gas Exports to Japan,Natural Gas Exports to Mexico,Natural Gas Exports to South Korea,Natural Gas Exports to Spain,Natural Gas Exports to Turkey,Natural Gas Exports to United Kingdom,Natural Gas Exports to Other Countries,Total Natural Gas Exports
1973-01-01,0.0,0.06,0.0,0.0,0.0,0.0,4.375,1.373,0.0,0.0,0.0,0.0,0.0,5.808
1973-02-01,0.0,0.384,0.0,0.0,0.0,0.0,4.421,1.275,0.0,0.0,0.0,0.0,0.0,6.079
1973-03-01,0.0,1.167,0.0,0.0,0.0,0.0,1.463,1.391,0.0,0.0,0.0,0.0,0.0,4.021
1973-04-01,0.0,0.931,0.0,0.0,0.0,0.0,5.854,1.232,0.0,0.0,0.0,0.0,0.0,8.017
1973-05-01,0.0,1.67,0.0,0.0,0.0,0.0,5.884,1.187,0.0,0.0,0.0,0.0,0.0,8.741
1973-06-01,0.0,1.598,0.0,0.0,0.0,0.0,1.462,1.071,0.0,0.0,0.0,0.0,0.0,4.131
1973-07-01,0.0,1.758,0.0,0.0,0.0,0.0,2.929,1.057,0.0,0.0,0.0,0.0,0.0,5.744
1973-08-01,0.0,1.829,0.0,0.0,0.0,0.0,5.85,1.047,0.0,0.0,0.0,0.0,0.0,8.726
1973-09-01,0.0,1.022,0.0,0.0,0.0,0.0,4.385,0.996,0.0,0.0,0.0,0.0,0.0,6.403
1973-10-01,0.0,1.465,0.0,0.0,0.0,0.0,2.958,1.05,0.0,0.0,0.0,0.0,0.0,5.473
1973-11-01,0.0,1.483,0.0,0.0,0.0,0.0,2.925,1.138,0.0,0.0,0.0,0.0,0.0,5.545
1973-12-01,0.0,1.456,0.0,0.0,0.0,0.0,5.842,1.183,0.0,0.0,0.0,0.0,0.0,8.481
1974-01-01,0.0,0.034,0.0,0.0,0.0,0.0,4.417,1.211,0.0,0.0,0.0,0.0,0.0,5.661
1974-02-01,0.0,0.362,0.0,0.0,0.0,0.0,4.415,1.172,0.0,0.0,0.0,0.0,0.0,5.949
1974-03-01,0.0,1.059,0.0,0.0,0.0,0.0,4.456,1.161,0.0,0.0,0.0,0.0,0.0,6.677
1974-04-01,0.0,0.749,0.0,0.0,0.0,0.0,4.432,1.092,0.0,0.0,0.0,0.0,0.0,6.273
1974-05-01,0.0,1.424,0.0,0.0,0.0,0.0,2.943,1.113,0.0,0.0,0.0,0.0,0.0,5.481
1974-06-01,0.0,1.689,0.0,0.0,0.0,0.0,4.879,1.042,0.0,0.0,0.0,0.0,0.0,7.61
1974-07-01,0.0,1.532,0.0,0.0,0.0,0.0,5.543,0.997,0.0,0.0,0.0,0.0,0.0,8.072
1974-08-01,0.0,1.455,0.0,0.0,0.0,0.0,2.943,0.933,0.0,0.0,0.0,0.0,0.0,5.332
1974-09-01,0.0,1.004,0.0,0.0,0.0,0.0,4.421,0.972,0.0,0.0,0.0,0.0,0.0,6.397
1974-10-01,0.0,1.269,0.0,0.0,0.0,0.0,2.978,1.085,0.0,0.0,0.0,0.0,0.0,5.332
1974-11-01,0.0,1.349,0.0,0.0,0.0,0.0,4.419,1.271,0.0,0.0,0.0,0.0,0.0,7.039
1974-12-01,0.0,1.336,0.0,0.0,0.0,0.0,4.412,1.218,0.0,0.0,0.0,0.0,0.0,6.966
1975-01-01,0.0,0.026,0.0,0.0,0.0,0.0,2.935,0.998,0.0,0.0,0.0,0.0,0.0,3.959
1975-02-01,0.0,0.317,0.0,0.0,0.0,0.0,5.879,0.787,0.0,0.0,0.0,0.0,0.0,6.982
1975-03-01,0.0,0.968,0.0,0.0,0.0,0.0,4.44,0.856,0.0,0.0,0.0,0.0,0.0,6.265
1975-04-01,0.0,0.657,0.0,0.0,0.0,0.0,4.411,0.747,0.0,0.0,0.0,0.0,0.0,5.815
1975-05-01,0.0,1.35,0.0,0.0,0.0,0.0,4.449,0.878,0.0,0.0,0.0,0.0,0.0,6.677
1975-06-01,0.0,1.393,0.0,0.0,0.0,0.0,1.465,0.766,0.0,0.0,0.0,0.0,0.0,3.624
1975-07-01,0.0,1.422,0.0,0.0,0.0,0.0,5.897,0.772,0.0,0.0,0.0,0.0,0.0,8.091
1975-08-01,0.0,1.117,0.0,0.0,0.0,0.0,4.415,0.757,0.0,0.0,0.0,0.0,0.0,6.288
1975-09-01,0.0,0.896,0.0,0.0,0.0,0.0,4.421,0.721,0.0,0.0,0.0,0.0,0.0,6.037
1975-10-01,0.0,0.864,0.0,0.0,0.0,0.0,4.406,0.717,0.0,0.0,0.0,0.0,0.0,5.987
1975-11-01,0.0,0.139,0.0,0.0,0.0,0.0,4.411,0.652,0.0,0.0,0.0,0.0,0.0,5.202
1975-12-01,0.0,1.071,0.0,0.0,0.0,0.0,5.874,0.802,0.0,0.0,0.0,0.0,0.0,7.748
1976-01-01,0.0,0.041,0.0,0.0,0.0,0.0,4.41,0.872,0.0,0.0,0.0,0.0,0.0,5.323
1976-02-01,0.0,0.275,0.0,0.0,0.0,0.0,4.417,0.644,0.0,0.0,0.0,0.0,0.0,5.337
1976-03-01,0.0,0.868,0.0,0.0,0.0,0.0,4.413,0.726,0.0,0.0,0.0,0.0,0.0,6.007
1976-04-01,0.0,0.6,0.0,0.0,0.0,0.0,4.399,0.642,0.0,0.0,0.0,0.0,0.0,5.64
1976-05-01,0.0,1.059,0.0,0.0,0.0,0.0,2.967,0.638,0.0,0.0,0.0,0.0,0.0,4.664
1976-06-01,0.0,1.223,0.0,0.0,0.0,0.0,2.946,0.586,0.0,0.0,0.0,0.0,0.0,4.755
1976-07-01,0.0,0.964,0.0,0.0,0.0,0.0,4.414,0.619,0.0,0.0,0.0,0.0,0.0,5.997
1976-08-01,0.0,0.613,0.0,0.0,0.0,0.0,4.423,0.541,0.0,0.0,0.0,0.0,0.0,5.578
1976-09-01,0.0,0.63,0.0,0.0,0.0,0.0,5.452,0.459,0.0,0.0,0.0,0.0,0.0,6.54
1976-10-01,0.0,1.066,0.0,0.0,0.0,0.0,3.379,0.425,0.0,0.0,0.0,0.0,0.0,4.87
1976-11-01,0.0,0.162,0.0,0.0,0.0,0.0,4.4,0.6,0.0,0.0,0.0,0.0,0.0,5.163
1976-12-01,0.0,0.004,0.0,0.0,0.0,0.0,4.16,0.673,0.0,0.0,0.0,0.0,0.0,4.837
1977-01-01,0.0,0.005,0.0,0.0,0.0,0.0,4.124,0.655,0.0,0.0,0.0,0.0,0.0,4.785
1977-02-01,0.0,0.003,0.0,0.0,0.0,0.0,4.116,0.455,0.0,0.0,0.0,0.0,0.0,4.574
1977-03-01,0.0,0.004,0.0,0.0,0.0,0.0,3.875,0.411,0.0,0.0,0.0,0.0,0.0,4.289
1977-04-01,0.0,0.002,0.0,0.0,0.0,0.0,2.914,0.272,0.0,0.0,0.0,0.0,0.0,3.188
1977-05-01,0.0,0.001,0.0,0.0,0.0,0.0,2.926,0.231,0.0,0.0,0.0,0.0,0.0,3.158
1977-06-01,0.0,0.001,0.0,0.0,0.0,0.0,4.396,0.204,0.0,0.0,0.0,0.0,0.0,4.6
1977-07-01,0.0,0.001,0.0,0.0,0.0,0.0,6.824,0.192,0.0,0.0,0.0,0.0,0.0,7.016
1977-08-01,0.0,0.001,0.0,0.0,0.0,0.0,4.921,0.219,0.0,0.0,0.0,0.0,0.0,5.141
1977-09-01,0.0,0.001,0.0,0.0,0.0,0.0,4.39,0.23,0.0,0.0,0.0,0.0,0.0,4.621
1977-10-01,0.0,0.002,0.0,0.0,0.0,0.0,4.391,0.228,0.0,0.0,0.0,0.0,0.0,4.622
1977-11-01,0.0,0.004,0.0,0.0,0.0,0.0,4.388,0.343,0.0,0.0,0.0,0.0,0.0,4.735
1977-12-01,0.0,0.005,0.0,0.0,0.0,0.0,4.391,0.5,0.0,0.0,0.0,0.0,0.0,4.896
