Month,Natural Gas Consumed by the Residential Sector,Natural Gas Consumed by the Commercial Sector,"Natural Gas Consumed by the Industrial Sector, Lease and Plant Fuel","Natural Gas Consumed by the Other Industrial Sector, CHP","Natural Gas Consumed by the Other Industrial Sector, Non-CHP","Natural Gas Consumed by the Other Industrial Sector, Total","Natural Gas Consumed by the Industrial Sector, Total","Natural Gas Consumed by the Transportation Sector, Pipelines and Distribution","Natural Gas Consumed by the Transportation Sector, Vehicle Fuel","Natural Gas Consumed by the Transportation Sector, Total",Natural Gas Consumed by the Electric Power Sector,"Natural Gas Consumption, Total"
1973-01-01,843.9,392.315,0.0,Not Available,0.0,0.0,810.141,77.544,Not Available,77.544,224.1,2348.0
1973-02-01,747.331,394.281,0.0,Not Available,0.0,0.0,698.671,70.212,Not Available,70.212,215.505,2126.0
1973-03-01,648.504,310.799,0.0,Not Available,0.0,0.0,731.583,66.546,Not Available,66.546,257.568,2015.0
1973-04-01,465.867,231.943,0.0,Not Available,0.0,0.0,807.36,60.602,Not Available,60.602,269.228,1835.0
1973-05-01,326.313,174.258,0.0,Not Available,0.0,0.0,852.091,57.101,Not Available,57.101,319.237,1729.0
1973-06-01,207.172,135.165,0.0,Not Available,0.0,0.0,768.003,50.661,Not Available,50.661,372.999,1534.0
1973-07-01,150.349,107.728,0.0,Not Available,0.0,0.0,823.906,51.454,Not Available,51.454,424.563,1558.0
1973-08-01,142.498,105.681,0.0,Not Available,0.0,0.0,860.991,52.246,Not Available,52.246,420.584,1582.0
1973-09-01,159.378,103.831,0.0,Not Available,0.0,0.0,858.175,50.43,Not Available,50.43,355.186,1527.0
1973-10-01,205.013,126.54,0.0,Not Available,0.0,0.0,990.622,56.407,Not Available,56.407,329.418,1708.0
1973-11-01,392.459,216.762,0.0,Not Available,0.0,0.0,979.495,62.913,Not Available,62.913,253.371,1905.0
1973-12-01,590.602,297.734,0.0,Not Available,0.0,0.0,1003.192,72.061,Not Available,72.061,218.411,2182.0
1974-01-01,816.943,406.44,0.0,Not Available,0.0,0.0,715.793,70.273,Not Available,70.273,220.551,2230.0
1974-02-01,688.478,335.562,0.0,Not Available,0.0,0.0,761.978,64.727,Not Available,64.727,203.255,2054.0
1974-03-01,597.641,301.588,0.0,Not Available,0.0,0.0,785.05,63.12,Not Available,63.12,255.601,2003.0
1974-04-01,482.013,243.041,0.0,Not Available,0.0,0.0,652.537,53.288,Not Available,53.288,260.121,1691.0
1974-05-01,315.92,165.233,0.0,Not Available,0.0,0.0,768.628,50.672,Not Available,50.672,307.547,1608.0
1974-06-01,215.382,128.032,0.0,Not Available,0.0,0.0,702.437,45.347,Not Available,45.347,347.802,1439.0
1974-07-01,166.289,109.694,0.0,Not Available,0.0,0.0,784.882,47.71,Not Available,47.71,405.425,1514.0
1974-08-01,142.086,107.828,0.0,Not Available,0.0,0.0,829.873,47.584,Not Available,47.584,382.629,1510.0
1974-09-01,154.824,106.51,0.0,Not Available,0.0,0.0,913.224,48.435,Not Available,48.435,314.007,1537.0
1974-10-01,235.176,143.295,0.0,Not Available,0.0,0.0,974.352,53.761,Not Available,53.761,299.416,1706.0
1974-11-01,358.546,199.514,0.0,Not Available,0.0,0.0,971.645,57.574,Not Available,57.574,239.721,1827.0
1974-12-01,612.83,308.879,0.0,Not Available,0.0,0.0,908.635,66.303,Not Available,66.303,207.353,2104.0
1975-01-01,750.713,346.998,0.0,Not Available,0.0,0.0,878.12,67.074,Not Available,67.074,205.095,2248.0
1975-02-01,732.408,345.52,0.0,Not Available,0.0,0.0,614.288,57.855,Not Available,57.855,188.929,1939.0
1975-03-01,677.687,312.362,0.0,Not Available,0.0,0.0,644.986,56.781,Not Available,56.781,211.184,1903.0
1975-04-01,596.831,289.341,0.0,Not Available,0.0,0.0,427.582,46.994,Not Available,46.994,214.252,1575.0
1975-05-01,337.326,164.629,0.0,Not Available,0.0,0.0,514.234,39.714,Not Available,39.714,275.097,1331.0
1975-06-01,203.708,119.96,0.0,Not Available,0.0,0.0,587.925,37.506,Not Available,37.506,307.901,1257.0
1975-07-01,167.293,107.077,0.0,Not Available,0.0,0.0,637.359,39.176,Not Available,39.176,362.095,1313.0
1975-08-01,143.604,104.332,0.0,Not Available,0.0,0.0,720.018,40.847,Not Available,40.847,360.199,1369.0
1975-09-01,153.98,106.655,0.0,Not Available,0.0,0.0,752.611,40.877,Not Available,40.877,315.877,1370.0
1975-10-01,223.383,133.055,0.0,Not Available,0.0,0.0,866.158,46.069,Not Available,46.069,275.335,1544.0
1975-11-01,329.397,179.518,0.0,Not Available,0.0,0.0,854.404,48.933,Not Available,48.933,227.748,1640.0
1975-12-01,607.794,298.845,0.0,Not Available,0.0,0.0,867.267,61.137,Not Available,61.137,213.957,2049.0
1976-01-01,843.235,405.483,0.0,Not Available,0.0,0.0,772.774,62.98,Not Available,62.98,206.528,2291.0
1976-02-01,739.592,364.339,0.0,Not Available,0.0,0.0,581.352,53.276,Not Available,53.276,199.441,1938.0
1976-03-01,578.491,285.912,0.0,Not Available,0.0,0.0,586.521,47.311,Not Available,47.311,222.765,1721.0
1976-04-01,442.648,221.383,0.0,Not Available,0.0,0.0,574.689,41.455,Not Available,41.455,227.825,1508.0
1976-05-01,315.76,169.209,0.0,Not Available,0.0,0.0,642.979,39.421,Not Available,39.421,266.631,1434.0
1976-06-01,220.871,129.058,0.0,Not Available,0.0,0.0,635.004,36.7,Not Available,36.7,313.367,1335.0
1976-07-01,170.257,112.07,0.0,Not Available,0.0,0.0,714.317,37.717,Not Available,37.717,337.639,1372.0
1976-08-01,140.774,113.174,0.0,Not Available,0.0,0.0,697.116,36.205,Not Available,36.205,329.731,1317.0
1976-09-01,152.346,113.284,0.0,Not Available,0.0,0.0,705.514,35.792,Not Available,35.792,295.064,1302.0
1976-10-01,241.902,145.824,0.0,Not Available,0.0,0.0,938.756,44.562,Not Available,44.562,249.956,1621.0
1976-11-01,471.326,252.71,0.0,Not Available,0.0,0.0,882.148,51.544,Not Available,51.544,217.272,1875.0
1976-12-01,734.158,355.294,0.0,Not Available,0.0,0.0,866.54,61.359,Not Available,61.359,214.649,2232.0
1977-01-01,936.793,413.377,0.0,Not Available,0.0,0.0,786.076,65.68,Not Available,65.68,205.074,2407.0
1977-02-01,823.439,366.311,0.0,Not Available,0.0,0.0,376.284,49.553,Not Available,49.553,200.413,1816.0
1977-03-01,560.779,263.862,0.0,Not Available,0.0,0.0,611.736,46.797,Not Available,46.797,231.826,1715.0
1977-04-01,401.258,202.477,0.0,Not Available,0.0,0.0,572.918,39.266,Not Available,39.266,223.081,1439.0
1977-05-01,251.756,142.46,0.0,Not Available,0.0,0.0,687.357,37.629,Not Available,37.629,259.798,1379.0
1977-06-01,182.212,121.297,0.0,Not Available,0.0,0.0,682.448,36.374,Not Available,36.374,310.669,1333.0
1977-07-01,146.064,113.4,0.0,Not Available,0.0,0.0,682.742,36.155,Not Available,36.155,346.639,1325.0
1977-08-01,131.33,108.977,0.0,Not Available,0.0,0.0,735.756,37.219,Not Available,37.219,350.718,1364.0
1977-09-01,140.661,108.977,0.0,Not Available,0.0,0.0,813.874,38.939,Not Available,38.939,324.549,1427.0
1977-10-01,223.663,139.407,0.0,Not Available,0.0,0.0,828.72,41.422,Not Available,41.422,284.788,1518.0
1977-11-01,371.888,200.897,0.0,Not Available,0.0,0.0,837.094,46.115,Not Available,46.115,234.006,1690.0
1977-12-01,651.64,319.351,0.0,Not Available,0.0,0.0,859.849,57.521,Not Available,57.521,219.639,2108.0
1978-01-01,816.411,390.741,0.0,Not Available,0.0,0.0,881.283,64.377,Not Available,64.377,229.188,2382.0
1978-02-01,837.768,400.991,0.0,Not Available,0.0,0.0,631.261,57.81,Not Available,57.81,211.17,2139.0
1978-03-01,680.825,345.141,0.0,Not Available,0.0,0.0,607.998,51.837,Not Available,51.837,232.199,1918.0
1978-04-01,445.702,224.969,0.0,Not Available,0.0,0.0,603.547,41.594,Not Available,41.594,223.188,1539.0
1978-05-01,307.604,166.19,0.0,Not Available,0.0,0.0,608.107,37.297,Not Available,37.297,260.802,1380.0
1978-06-01,184.388,119.963,0.0,Not Available,0.0,0.0,589.47,33.756,Not Available,33.756,321.423,1249.0
1978-07-01,146.989,106.471,0.0,Not Available,0.0,0.0,681.315,36.026,Not Available,36.026,362.199,1333.0
1978-08-01,130.27,100.928,0.0,Not Available,0.0,0.0,678.774,34.729,Not Available,34.729,340.299,1285.0
1978-09-01,135.489,102.915,0.0,Not Available,0.0,0.0,666.236,33.378,Not Available,33.378,296.982,1235.0
1978-10-01,209.515,133.873,0.0,Not Available,0.0,0.0,794.814,38.918,Not Available,38.918,262.88,1440.0
1978-11-01,376.411,196.207,0.0,Not Available,0.0,0.0,812.545,44.81,Not Available,44.81,228.027,1658.0
1978-12-01,631.636,312.718,0.0,Not Available,0.0,0.0,848.723,55.918,Not Available,55.918,220.005,2069.0
1979-01-01,867.301,431.943,0.0,Not Available,0.0,0.0,826.248,72.029,Not Available,72.029,228.479,2426.0
1979-02-01,892.145,444.867,0.0,Not Available,0.0,0.0,574.654,65.438,Not Available,65.438,226.896,2204.0
1979-03-01,659.72,349.164,0.0,Not Available,0.0,0.0,555.917,55.848,Not Available,55.848,260.351,1881.0
1979-04-01,463.492,256.024,0.0,Not Available,0.0,0.0,566.183,47.327,Not Available,47.327,260.974,1594.0
1979-05-01,287.548,170.571,0.0,Not Available,0.0,0.0,651.135,42.428,Not Available,42.428,277.318,1429.0
1979-06-01,189.143,126.564,0.0,Not Available,0.0,0.0,634.232,38.865,Not Available,38.865,320.196,1309.0
1979-07-01,147.607,106.844,0.0,Not Available,0.0,0.0,666.743,39.488,Not Available,39.488,369.318,1330.0
1979-08-01,133.244,103.167,0.0,Not Available,0.0,0.0,690.374,39.845,Not Available,39.845,375.37,1342.0
1979-09-01,137.611,106.175,0.0,Not Available,0.0,0.0,707.447,39.459,Not Available,39.459,338.308,1329.0
1979-10-01,215.151,142.161,0.0,Not Available,0.0,0.0,830.378,46.228,Not Available,46.228,323.082,1557.0
1979-11-01,378.577,222.712,0.0,Not Available,0.0,0.0,853.236,52.493,Not Available,52.493,260.982,1768.0
1979-12-01,593.825,325.768,0.0,Not Available,0.0,0.0,841.639,61.519,Not Available,61.519,249.249,2072.0
