Month,"Natural Gas in Underground Storage, End of Period, Base Gas","Natural Gas in Underground Storage, End of Period, Working Gas","Natural Gas in Underground Storage, End of Period, Total","Change in Working Gas From Same Period Previous Year, Volume","Change in Working Gas From Same Period Previous Year, Percent","Natural Gas Storage Activity, Withdrawals","Natural Gas Storage Activity, Injections","Natural Gas Storage Activity, Net"
1973-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-12-01,2864,2034,4898,305,17.6,Not Available,Not Available,Not Available
1974-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
