Month,"Wells Drilled, Crude Oil","Wells Drilled, Natural Gas","Wells Drilled, Dry","Crude Oil, Natural Gas, and Dry Wells Drilled, Horizontal and Directional Trajectory","Crude Oil, Natural Gas, and Dry Wells Drilled, Vertical Trajectory","Crude Oil, Natural Gas, and Dry Wells Drilled, Total","Crude Oil Wells, Total Footage Drilled ","Natural Gas Wells, Total Footage Drilled  ","Dry Wells, Total Footage Drilled ","Crude Oil, Natural Gas, and Dry Wells, Horizontal and Directional Trajectory, Total Footage Drilled","Crude Oil, Natural Gas, and Dry Wells, Vertical Trajectory, Total Footage Drilled","Crude Oil, Natural Gas, and Dry Wells, Total Footage Drilled"
1973-01-01,779,519,868,Not Available,Not Available,2166,Not Available,Not Available,Not Available,Not Available,Not Available,11426
1973-02-01,695,454,747,Not Available,Not Available,1896,Not Available,Not Available,Not Available,Not Available,Not Available,10108
1973-03-01,846,494,811,Not Available,Not Available,2151,Not Available,Not Available,Not Available,Not Available,Not Available,11027
1973-04-01,679,546,658,Not Available,Not Available,1883,Not Available,Not Available,Not Available,Not Available,Not Available,10005
1973-05-01,891,598,809,Not Available,Not Available,2298,Not Available,Not Available,Not Available,Not Available,Not Available,11845
1973-06-01,915,543,821,Not Available,Not Available,2279,Not Available,Not Available,Not Available,Not Available,Not Available,11253
1973-07-01,857,615,895,Not Available,Not Available,2367,Not Available,Not Available,Not Available,Not Available,Not Available,11474
1973-08-01,978,690,1022,Not Available,Not Available,2690,Not Available,Not Available,Not Available,Not Available,Not Available,13108
1973-09-01,898,574,861,Not Available,Not Available,2333,Not Available,Not Available,Not Available,Not Available,Not Available,11402
1973-10-01,896,694,948,Not Available,Not Available,2538,Not Available,Not Available,Not Available,Not Available,Not Available,12569
1973-11-01,911,616,906,Not Available,Not Available,2433,Not Available,Not Available,Not Available,Not Available,Not Available,12089
1973-12-01,822,590,974,Not Available,Not Available,2386,Not Available,Not Available,Not Available,Not Available,Not Available,11917
1974-01-01,909,686,867,Not Available,Not Available,2462,Not Available,Not Available,Not Available,Not Available,Not Available,12015
1974-02-01,883,545,796,Not Available,Not Available,2224,Not Available,Not Available,Not Available,Not Available,Not Available,10950
1974-03-01,1077,657,895,Not Available,Not Available,2629,Not Available,Not Available,Not Available,Not Available,Not Available,12805
1974-04-01,1137,624,955,Not Available,Not Available,2716,Not Available,Not Available,Not Available,Not Available,Not Available,13188
1974-05-01,1191,604,1028,Not Available,Not Available,2823,Not Available,Not Available,Not Available,Not Available,Not Available,13147
1974-06-01,1229,595,947,Not Available,Not Available,2771,Not Available,Not Available,Not Available,Not Available,Not Available,12441
1974-07-01,1253,604,1115,Not Available,Not Available,2972,Not Available,Not Available,Not Available,Not Available,Not Available,13830
1974-08-01,1210,554,1061,Not Available,Not Available,2825,Not Available,Not Available,Not Available,Not Available,Not Available,12701
1974-09-01,1083,569,1074,Not Available,Not Available,2726,Not Available,Not Available,Not Available,Not Available,Not Available,12661
1974-10-01,1281,633,1149,Not Available,Not Available,3063,Not Available,Not Available,Not Available,Not Available,Not Available,13803
1974-11-01,1105,526,1098,Not Available,Not Available,2729,Not Available,Not Available,Not Available,Not Available,Not Available,12600
1974-12-01,1289,541,1131,Not Available,Not Available,2961,Not Available,Not Available,Not Available,Not Available,Not Available,13233
1975-01-01,1315,613,1139,Not Available,Not Available,3067,Not Available,Not Available,Not Available,Not Available,Not Available,14871
1975-02-01,1067,539,861,Not Available,Not Available,2467,Not Available,Not Available,Not Available,Not Available,Not Available,12309
1975-03-01,1314,534,1028,Not Available,Not Available,2876,Not Available,Not Available,Not Available,Not Available,Not Available,14234
1975-04-01,1333,587,1033,Not Available,Not Available,2953,Not Available,Not Available,Not Available,Not Available,Not Available,14177
1975-05-01,1352,634,1043,Not Available,Not Available,3029,Not Available,Not Available,Not Available,Not Available,Not Available,14727
1975-06-01,1434,673,1081,Not Available,Not Available,3188,Not Available,Not Available,Not Available,Not Available,Not Available,14458
1975-07-01,1450,731,1149,Not Available,Not Available,3330,Not Available,Not Available,Not Available,Not Available,Not Available,15308
1975-08-01,1615,805,1158,80,3498,3578,6228,4338,5681,761,15485,16247
1975-09-01,1638,753,1124,79,3436,3515,6423,3940,5383,685,15061,15745
1975-10-01,1740,872,1268,92,3788,3880,6784,4468,6036,798,16491,17289
1975-11-01,1537,711,1192,90,3350,3440,6175,3775,5766,839,14878,15717
1975-12-01,1654,748,1245,89,3558,3647,6725,3975,6416,775,16342,17117
1976-01-01,1748,777,1216,78,3663,3741,6708,4317,6303,732,16596,17328
1976-02-01,1384,717,996,101,2996,3097,5654,4209,5085,900,14048,14948
1976-03-01,1540,737,1121,99,3299,3398,6155,4060,5669,951,14934,15885
1976-04-01,1583,695,1049,100,3227,3327,6432,3994,5259,955,14731,15685
1976-05-01,1529,757,1016,108,3194,3302,6086,4265,4764,1047,14068,15115
1976-06-01,1625,798,1108,95,3436,3531,6666,4325,5165,874,15283,16156
1976-07-01,1647,799,1118,115,3449,3564,6430,4175,5631,1120,15115,16236
1976-08-01,1816,948,1202,104,3862,3966,6940,5042,5490,951,16522,17473
1976-09-01,1691,856,1184,89,3642,3731,6532,4588,5687,817,15990,16807
1976-10-01,1827,873,1322,119,3903,4022,7176,4760,6483,1098,17321,18419
1976-11-01,1720,874,1257,115,3736,3851,6789,4654,6126,1022,16546,17568
1976-12-01,1690,849,1278,128,3689,3817,6721,4560,6221,1111,16391,17502
1977-01-01,1524,762,1067,105,3248,3353,6295,4318,5848,911,15550,16461
1977-02-01,1504,827,1032,117,3246,3363,6272,4657,5457,1044,15342,16386
1977-03-01,1826,1038,1199,129,3934,4063,7682,5818,6219,1181,18538,19719
1977-04-01,1729,951,1149,97,3732,3829,6884,5269,5884,902,17136,18037
1977-05-01,1826,973,1188,114,3873,3987,7324,5432,6089,1065,17780,18845
1977-06-01,1810,1155,1233,111,4087,4198,7322,6173,6212,961,18746,19707
1977-07-01,1734,1052,1248,117,3917,4034,6915,5521,6143,1054,17524,18578
1977-08-01,1909,1244,1358,116,4395,4511,7612,6622,6661,958,19936,20894
1977-09-01,1816,1127,1342,109,4176,4285,7373,6093,6394,978,18883,19861
1977-10-01,1873,1252,1412,159,4378,4537,7536,6979,7026,1441,20101,21541
1977-11-01,1781,1090,1383,153,4101,4254,7067,5996,6897,1377,18582,19959
1977-12-01,1758,1142,1364,118,4146,4264,6815,5964,7170,1022,18926,19949
1978-01-01,1552,967,1225,100,3644,3744,6364,5533,6342,882,17358,18240
1978-02-01,1309,848,1031,102,3086,3188,5556,4780,5722,912,15146,16058
1978-03-01,1590,1100,1228,132,3786,3918,7053,6546,6718,1290,19028,20317
1978-04-01,1780,1146,1193,104,4015,4119,7392,6411,6093,908,18988,19896
1978-05-01,1983,1232,1341,127,4429,4556,7547,6553,7018,1196,19921,21117
1978-06-01,1999,1315,1352,126,4540,4666,7580,7159,6823,1195,20366,21562
1978-07-01,1737,1247,1359,137,4206,4343,6881,6709,7033,1267,19356,20623
1978-08-01,1923,1385,1487,128,4667,4795,7670,7386,7521,1183,21395,22578
1978-09-01,1765,1297,1486,115,4433,4548,7158,6761,7647,1014,20552,21566
1978-10-01,2128,1521,1595,142,5102,5244,8259,7896,7819,1323,22650,23974
1978-11-01,1834,1389,1444,113,4554,4667,7073,6979,7457,1004,20505,21509
1978-12-01,1822,1233,1449,142,4362,4504,7018,6435,7579,1353,19679,21032
1979-01-01,1581,1095,1127,115,3688,3803,5901,6140,6320,950,17411,18361
1979-02-01,1275,965,989,106,3123,3229,5476,5520,5439,939,15496,16435
1979-03-01,1534,1143,1131,149,3659,3808,6785,6886,6015,1388,18298,19686
1979-04-01,1544,1053,1130,119,3608,3727,6287,6070,5751,1155,16953,18108
1979-05-01,1867,1303,1292,164,4298,4462,7272,7391,6406,1571,19499,21069
1979-06-01,1983,1355,1327,137,4528,4665,7701,7104,6414,1300,19920,21219
1979-07-01,2061,1356,1397,109,4705,4814,8081,6895,6771,988,20760,21748
1979-08-01,2220,1486,1533,170,5069,5239,8868,7679,7473,1577,22443,24019
1979-09-01,2229,1306,1452,103,4884,4987,8248,6710,6993,983,20968,21951
1979-10-01,2572,1595,1650,149,5668,5817,9667,8417,7814,1353,24545,25898
1979-11-01,2411,1327,1597,140,5195,5335,8977,7069,7691,1336,22401,23737
1979-12-01,2478,1347,1639,137,5327,5464,8970,7398,8097,1304,23161,24465
1980-01-01,2569,1257,1554,135,5245,5380,9885,7140,7643,1234,23433,24667
1980-02-01,2351,1205,1332,123,4765,4888,8891,6543,6659,1057,21036,22093
1980-03-01,2615,1253,1386,148,5106,5254,10051,7211,7040,1320,22982,24302
1980-04-01,2830,1318,1466,131,5483,5614,10672,7538,6791,1187,23814,25001
1980-05-01,3058,1266,1716,132,5908,6040,11168,6949,8280,1199,25197,26396
1980-06-01,3136,1528,1804,140,6328,6468,11781,8178,8227,1250,26937,28186
1980-07-01,3245,1489,1803,157,6380,6537,11938,8022,8258,1322,26895,28218
1980-08-01,3351,1565,1986,131,6771,6902,12157,7917,8930,1132,27872,29004
1980-09-01,3457,1617,1955,142,6887,7029,12341,8724,8844,1202,28708,29909
1980-10-01,3768,1691,2069,138,7390,7528,13528,8762,9043,1171,30162,31333
1980-11-01,3246,1442,1952,135,6505,6640,11870,7541,8687,1146,26952,28097
1980-12-01,3583,1477,2102,165,6997,7162,12992,8124,9653,1388,29382,30769
1981-01-01,3784,1571,2124,157,7322,7479,13858,8463,10103,1361,31063,32424
1981-02-01,3303,1329,1852,141,6343,6484,12539,7491,8558,1197,27390,28587
1981-03-01,4009,1467,2119,148,7447,7595,14846,8362,10078,1268,32017,33285
1981-04-01,4130,1610,2203,174,7769,7943,15134,8606,10329,1513,32557,34069
1981-05-01,4158,1615,2286,176,7883,8059,15775,9069,10547,1506,33885,35391
1981-06-01,4252,1633,2353,158,8080,8238,16279,8933,11030,1353,34889,36243
1981-07-01,4593,1655,2415,192,8471,8663,16805,9083,11055,1643,35299,36942
1981-08-01,4590,1769,2620,178,8801,8979,16559,9494,12349,1402,37000,38403
1981-09-01,4486,1746,2575,206,8601,8807,16749,9368,11845,1736,36226,37962
1981-10-01,4403,1856,2736,168,8827,8995,16715,10352,12777,1494,38350,39844
1981-11-01,4075,1668,2541,161,8123,8284,15562,9037,11897,1391,35106,36497
1981-12-01,4463,1787,2727,181,8796,8977,17169,10124,13310,1670,38933,40603
1982-01-01,3756,1485,2408,158,7491,7649,15156,8805,12064,1420,34604,36024
1982-02-01,3469,1524,2096,170,6919,7089,13780,8828,10468,1484,31592,33076
1982-03-01,4356,1738,2373,206,8261,8467,17427,10529,11634,1872,37719,39591
1982-04-01,4021,1471,2242,192,7542,7734,15311,8674,10356,1643,32699,34342
1982-05-01,3812,1608,2001,180,7241,7421,13998,9392,9288,1679,31000,32679
1982-06-01,3514,1601,2079,184,7010,7194,13143,9154,9350,1648,29999,31647
1982-07-01,3639,1462,2257,185,7173,7358,13012,8687,9807,1579,29927,31505
1982-08-01,3782,1521,2268,188,7383,7571,13355,8680,10193,1651,30577,32228
1982-09-01,3403,1387,2152,157,6785,6942,11903,8061,9519,1211,28271,29482
1982-10-01,3592,1397,2299,174,7114,7288,12763,8393,10232,1528,29860,31388
1982-11-01,3427,1431,2065,166,6757,6923,11718,8101,8950,1425,27344,28769
1982-12-01,3569,1503,2223,154,7141,7295,12200,8086,9930,1251,28966,30217
1983-01-01,3613,1400,2118,157,6974,7131,12746,7758,9792,1300,28996,30295
1983-02-01,2943,1083,1792,171,5647,5818,10752,6225,7912,1503,23385,24889
1983-03-01,3202,1118,1903,153,6070,6223,12121,6459,8526,1444,25662,27106
1983-04-01,2949,933,1605,153,5334,5487,11047,5529,7293,1291,22578,23869
1983-05-01,3134,949,1828,161,5750,5911,11737,5565,8003,1439,23866,25305
1983-06-01,3443,988,1959,130,6260,6390,11905,5650,7437,1191,23801,24992
1983-07-01,3502,1081,2138,152,6569,6721,12179,5858,8577,1357,25257,26614
1983-08-01,3794,1245,2242,164,7117,7281,13057,6551,8812,1413,27008,28421
1983-09-01,3722,1219,2126,139,6928,7067,12965,6316,8586,1204,26663,27867
1983-10-01,3883,1344,2392,171,7448,7619,14034,6642,10144,1392,29428,30820
1983-11-01,3755,1259,2324,159,7179,7338,13680,6320,10035,1360,28675,30035
1983-12-01,3581,1257,2119,176,6781,6957,13191,6583,9725,1383,28115,29499
1984-01-01,4799,1253,2129,182,7999,8181,16117,6783,10163,1583,31480,33063
1984-02-01,3844,1266,1830,139,6801,6940,14364,6874,8837,1100,28975,30075
1984-03-01,3628,1174,1799,170,6431,6601,14346,7180,8840,1476,28889,30365
1984-04-01,3499,1034,1736,190,6079,6269,12786,6250,8404,1644,25795,27439
1984-05-01,4052,1331,2062,185,7260,7445,15111,7277,9412,1449,30350,31799
1984-06-01,4239,1436,2476,187,7964,8151,15156,7520,10371,1565,31482,33047
1984-07-01,4275,1416,2371,192,7870,8062,15498,7661,10147,1532,31774,33306
1984-08-01,4259,1515,2619,177,8216,8393,15045,7906,11275,1404,32822,34226
1984-09-01,4053,1404,2247,179,7525,7704,14548,7339,9926,1299,30515,31813
1984-10-01,4080,1551,2243,208,7666,7874,15505,8151,9993,1734,31915,33649
1984-11-01,4135,1561,2238,184,7750,7934,14881,7927,10199,1453,31554,33007
1984-12-01,4047,1429,2263,195,7544,7739,14466,7309,10748,1609,30915,32523
1985-01-01,3698,1333,2044,182,6893,7075,14051,7355,10231,1559,30077,31636
1985-02-01,3016,1181,1531,173,5555,5728,12363,6739,7877,1554,25425,26979
1985-03-01,3604,1217,1870,196,6495,6691,14254,6739,8945,1668,28271,29939
1985-04-01,3389,1129,1852,160,6210,6370,13007,6304,8720,1437,26595,28031
1985-05-01,3164,1042,1788,188,5806,5994,12777,5917,8288,1526,25456,26982
1985-06-01,3297,1098,1850,178,6067,6245,12099,6023,8055,1481,24695,26176
1985-07-01,3555,1242,1971,195,6573,6768,12524,6622,8997,1502,26641,28143
1985-08-01,3732,1284,2033,193,6856,7049,13540,6717,9187,1531,27913,29444
1985-09-01,3264,1259,1874,186,6211,6397,11928,6446,8580,1475,25478,26953
1985-10-01,3467,1382,1900,177,6572,6749,12722,6950,8623,1392,26903,28294
1985-11-01,2949,1052,1659,180,5480,5660,11243,5909,7984,1358,23778,25136
1985-12-01,3082,1090,1898,176,5894,6070,12068,5979,9305,1461,25891,27352
1986-01-01,3672,1165,1773,196,6414,6610,13374,6066,8671,1623,26488,28110
1986-02-01,2623,846,1320,176,4613,4789,10856,4862,6941,1529,21129,22659
1986-03-01,2548,850,1388,141,4645,4786,10262,4804,6382,1153,20294,21448
1986-04-01,1975,745,1115,160,3675,3835,8196,4320,5094,1439,16171,17610
1986-05-01,1375,568,954,112,2785,2897,5604,3113,4425,839,12303,13142
1986-06-01,1223,586,826,114,2521,2635,4784,3048,3572,1032,10372,11404
1986-07-01,1142,644,920,97,2609,2706,4666,3054,4023,866,10878,11743
1986-08-01,1145,640,880,93,2572,2665,4450,3085,3808,849,10495,11344
1986-09-01,1152,641,812,92,2513,2605,4215,3118,3789,816,10306,11122
1986-10-01,1207,773,833,102,2711,2813,4503,3838,3925,902,11364,12266
1986-11-01,1208,705,870,86,2697,2783,4532,3557,3935,671,11352,12024
1986-12-01,1266,787,1010,125,2938,3063,5114,3991,4890,1064,12931,13995
1987-01-01,1363,759,892,112,2902,3014,5638,4002,4510,927,13223,14150
1987-02-01,1246,686,698,92,2538,2630,5085,3527,3297,766,11143,11909
1987-03-01,1128,691,757,108,2468,2576,4839,3631,3477,932,11015,11947
1987-04-01,1154,587,833,97,2477,2574,4979,3266,3666,794,11116,11910
1987-05-01,1290,548,852,107,2583,2690,5249,2888,4054,835,11355,12190
1987-06-01,1392,601,848,133,2708,2841,5218,3211,3990,970,11449,12419
1987-07-01,1557,652,966,127,3048,3175,5800,3659,4293,928,12824,13752
1987-08-01,1628,761,999,150,3238,3388,6220,3778,4700,1090,13607,14697
1987-09-01,1604,750,1061,142,3273,3415,6524,3740,5070,1096,14237,15333
1987-10-01,1698,927,1184,156,3653,3809,6870,4834,5426,1220,15912,17131
1987-11-01,1633,731,981,136,3209,3345,6597,3911,4833,1059,14282,15342
1987-12-01,1514,748,1042,156,3148,3304,6467,4146,5350,1228,14735,15962
1988-01-01,1410,702,856,155,2813,2968,6456,4025,4343,1203,13620,14823
1988-02-01,1321,701,744,120,2646,2766,5784,3935,3969,1013,12675,13688
1988-03-01,1338,682,775,138,2657,2795,5870,3876,4120,1151,12715,13866
1988-04-01,1358,570,811,148,2591,2739,5739,3264,4075,1133,11945,13078
1988-05-01,1363,582,892,153,2684,2837,5421,3185,4344,1143,11807,12950
1988-06-01,1380,670,843,168,2725,2893,5487,3712,4157,1369,11987,13356
1988-07-01,1209,687,855,172,2579,2751,5071,3784,4381,1386,11849,13236
1988-08-01,1211,727,882,152,2668,2820,4792,3707,4631,1093,12038,13130
1988-09-01,1080,770,823,129,2544,2673,4811,4076,4148,1142,11893,13035
1988-10-01,1051,829,928,147,2661,2808,4508,4187,4555,1231,12019,13250
1988-11-01,867,780,732,134,2245,2379,3672,4159,3816,1189,10458,11647
1988-12-01,861,798,757,150,2266,2416,3831,4321,4007,1304,10855,12159
1989-01-01,826,784,656,113,2161,2266,4042,4146,3278,961,10505,11466
1989-02-01,578,659,466,104,1606,1703,2800,3577,2451,849,7979,8828
1989-03-01,698,681,607,121,1903,1986,3270,3670,2872,974,8837,9811
1989-04-01,884,630,680,104,2104,2194,3825,3492,3323,1066,9573,10639
1989-05-01,880,652,649,113,2094,2181,3927,3235,3054,945,9271,10216
1989-06-01,820,743,680,120,2098,2243,3810,3567,3206,1005,9577,10582
1989-07-01,871,825,689,125,2270,2385,3710,3999,3349,1164,9894,11058
1989-08-01,982,919,731,157,2533,2632,4064,4621,3606,1376,10916,12292
1989-09-01,850,894,752,132,2374,2496,4012,4249,3768,1206,10823,12029
1989-10-01,921,951,830,149,2558,2702,4191,4692,4047,1190,11740,12930
1989-11-01,958,892,757,180,2459,2607,4210,4830,3887,1553,11373,12926
1989-12-01,962,892,739,181,2380,2593,4303,4687,3899,1492,11396,12888
1990-01-01,1020,948,691,200,2395,2659,4931,4775,3758,1683,11780,13464
1990-02-01,863,786,534,176,1972,2183,4024,4118,2868,1352,9658,11010
1990-03-01,932,789,566,230,1975,2287,4494,4367,2877,2055,9683,11738
1990-04-01,863,717,600,210,1897,2180,4134,3592,3403,1816,9312,11129
1990-05-01,891,877,598,230,2008,2366,4436,4135,3002,1957,9616,11574
1990-06-01,953,945,659,214,2169,2557,4251,4072,3323,1819,9826,11645
1990-07-01,1018,1043,701,238,2387,2762,4635,4649,3453,2043,10693,12737
1990-08-01,1150,1068,761,277,2558,2979,4951,4694,3490,2194,10940,13134
1990-09-01,1135,1023,717,237,2495,2875,4688,4578,3502,1803,10965,12769
1990-10-01,1404,1187,839,284,2922,3430,5653,5081,4049,2270,12512,14782
1990-11-01,1353,896,826,270,2675,3075,5371,4330,3805,2258,11248,13506
1990-12-01,1257,967,753,273,2534,2977,5586,4479,3831,2368,11528,13896
1991-01-01,1311,773,564,280,2368,2648,5903,4097,3061,2469,10593,13062
1991-02-01,1228,681,601,225,2285,2510,5441,3869,3113,1978,10444,12422
1991-03-01,1240,651,617,264,2244,2508,5756,3900,3093,2477,10272,12749
1991-04-01,1180,625,631,232,2204,2436,5323,3788,3256,2099,10268,12367
1991-05-01,1130,654,592,230,2146,2376,4933,3601,2809,1937,9405,11342
1991-06-01,971,652,639,243,2019,2262,4399,3903,3093,2110,9284,11394
1991-07-01,1031,697,712,222,2218,2440,4591,3910,3442,2031,9912,11943
1991-08-01,1078,751,643,231,2241,2472,4673,4170,3195,2113,9925,12038
1991-09-01,940,695,596,176,2055,2231,3996,3687,2979,1468,9194,10662
1991-10-01,1089,762,671,187,2335,2522,4524,4109,3353,1692,10293,11986
1991-11-01,885,685,609,181,1998,2179,3802,4206,2941,1705,9245,10950
1991-12-01,869,655,587,193,1918,2111,4040,3725,3004,1721,9048,10769
1992-01-01,900,581,470,174,1777,1951,4393,3338,2396,1518,8610,10127
1992-02-01,695,507,389,163,1428,1591,3388,2891,2032,1550,6762,8311
1992-03-01,821,505,469,138,1657,1795,3971,2984,2443,1285,8113,9398
1992-04-01,751,442,483,143,1533,1676,3607,2773,2468,1445,7404,8848
1992-05-01,726,465,531,152,1570,1722,3672,2848,2520,1438,7601,9039
1992-06-01,746,530,451,155,1572,1727,3640,3186,2214,1532,7509,9041
1992-07-01,850,578,518,152,1794,1946,3963,3345,2458,1422,8343,9766
