Month,Coal Consumed by the Residential Sector,"Coal Consumed by the Commercial Sector, CHP","Coal Consumed by the Commercial Sector, Other","Coal Consumed by the Commercial Sector, Total","Coal Consumed by the Industrial Sector, Coke Plants","Coal Consumed by the Other Industrial Sector, CHP","Coal Consumed by the Other Industrial Sector, Non-CHP","Coal Consumed by the Other Industrial Sector, Total","Coal Consumed by the Industrial Sector, Total",Coal Consumed by the Transportation Sector,Coal Consumed by the Electric Power Sector,"Coal Consumption, Total"
1973-01-01,520.96,Not Available,887.04,887.04,7865.0,Not Available,6749.0,6749.0,14614.0,0,34556.608,50578.608
1973-02-01,446.22,Not Available,759.78,759.78,7220.0,Not Available,6242.0,6242.0,13462.0,0,30896.808,45564.808
1973-03-01,350.39,Not Available,596.61,596.61,7992.0,Not Available,5737.0,5737.0,13729.0,2,30724.955,45402.955
1973-04-01,229.4,Not Available,390.6,390.6,7763.0,Not Available,5760.0,5760.0,13523.0,13,29170.498,43326.498
1973-05-01,232.73,Not Available,396.27,396.27,8086.0,Not Available,5639.0,5639.0,13725.0,17,29628.759,43999.759
1973-06-01,233.47,Not Available,397.53,397.53,7815.0,Not Available,5180.0,5180.0,12995.0,15,31901.675,45542.675
1973-07-01,230.51,Not Available,392.49,392.49,8000.0,Not Available,4704.0,4704.0,12704.0,13,34820.561,48160.561
1973-08-01,249.01,Not Available,423.99,423.99,7932.0,Not Available,4591.0,4591.0,12523.0,14,36045.285,49255.285
1973-09-01,335.59,Not Available,571.41,571.41,7639.0,Not Available,4524.0,4524.0,12163.0,12,32792.659,45874.659
1973-10-01,391.09,Not Available,665.91,665.91,7921.0,Not Available,5545.0,5545.0,13466.0,12,32443.211,46978.211
1973-11-01,432.9,Not Available,737.1,737.1,7779.0,Not Available,6120.0,6120.0,13899.0,11,32133.008,47213.008
1973-12-01,461.02,Not Available,784.98,784.98,8089.0,Not Available,7247.0,7247.0,15336.0,7,34097.576,50686.576
1974-01-01,490.88,Not Available,1043.12,1043.12,8018.0,Not Available,6430.0,6430.0,14448.0,0,34546.945,50528.945
1974-02-01,418.88,Not Available,890.12,890.12,7343.0,Not Available,6237.0,6237.0,13580.0,0,30815.417,45704.417
1974-03-01,335.68,Not Available,713.32,713.32,7699.0,Not Available,5993.0,5993.0,13692.0,3,31593.743,46337.743
1974-04-01,232,Not Available,493.0,493.0,7807.0,Not Available,5686.0,5686.0,13493.0,10,29647.422,43875.422
1974-05-01,200,Not Available,425.0,425.0,7941.0,Not Available,5134.0,5134.0,13075.0,8,31676.372,45384.372
1974-06-01,191.04,Not Available,405.96,405.96,7716.0,Not Available,4715.0,4715.0,12431.0,6,31699.986,44733.986
1974-07-01,177.6,Not Available,377.4,377.4,7804.0,Not Available,4513.0,4513.0,12317.0,7,36088.579,48967.579
1974-08-01,250.88,Not Available,533.12,533.12,7757.0,Not Available,4980.0,4980.0,12737.0,9,35531.108,49061.108
1974-09-01,306.88,Not Available,652.12,652.12,7568.0,Not Available,4846.0,4846.0,12414.0,9,30958.435,44340.435
1974-10-01,337.28,Not Available,716.72,716.72,7747.0,Not Available,5536.0,5536.0,13283.0,8,32034.019,46379.019
1974-11-01,333.12,Not Available,707.88,707.88,6616.0,Not Available,5277.0,5277.0,11893.0,15,32119.598,45068.598
1974-12-01,379.2,Not Available,805.8,805.8,6175.0,Not Available,5556.0,5556.0,11731.0,5,35099.176,48020.176
1975-01-01,393.6,Not Available,918.4,918.4,7333.0,Not Available,5804.0,5804.0,13137.0,1,35832.501,50282.501
1975-02-01,257.1,Not Available,599.9,599.9,7060.0,Not Available,6148.0,6148.0,13208.0,1,32091.315,46157.315
1975-03-01,249.9,Not Available,583.1,583.1,7911.0,Not Available,6099.0,6099.0,14010.0,0,32789.104,47632.104
1975-04-01,165.9,Not Available,387.1,387.1,7454.0,Not Available,5721.0,5721.0,13175.0,3,30543.039,44274.039
1975-05-01,132.9,Not Available,310.1,310.1,7307.0,Not Available,5070.0,5070.0,12377.0,4,30570.793,43394.793
1975-06-01,145.5,Not Available,339.5,339.5,7022.0,Not Available,4447.0,4447.0,11469.0,3,33450.798,45407.798
1975-07-01,178.2,Not Available,415.8,415.8,6664.0,Not Available,4243.0,4243.0,10907.0,2,36559.815,48062.815
1975-08-01,166.2,Not Available,387.8,387.8,6590.0,Not Available,4500.0,4500.0,11090.0,2,37961.932,49607.932
1975-09-01,227.4,Not Available,530.6,530.6,6313.0,Not Available,4905.0,4905.0,11218.0,2,32603.458,44581.458
1975-10-01,259.5,Not Available,605.5,605.5,6688.0,Not Available,4957.0,4957.0,11645.0,3,32847.755,45360.755
1975-11-01,272.4,Not Available,635.6,635.6,6512.0,Not Available,5644.0,5644.0,12156.0,2,33327.362,46393.362
1975-12-01,374.4,Not Available,873.6,873.6,6744.0,Not Available,6108.0,6108.0,12852.0,1,37384.56,51485.56
1976-01-01,331.76,Not Available,812.24,812.24,6760.0,Not Available,5514.0,5514.0,12274.0,0,39980.648,53398.648
1976-02-01,205.61,Not Available,503.39,503.39,6633.0,Not Available,4972.0,4972.0,11605.0,0,34959.411,47273.411
1976-03-01,188.21,Not Available,460.79,460.79,7296.0,Not Available,5013.0,5013.0,12309.0,0,36092.888,49050.888
1976-04-01,216.92,Not Available,531.08,531.08,7111.0,Not Available,5189.0,5189.0,12300.0,1,33800.91,46849.91
1976-05-01,169.36,Not Available,414.64,414.64,7427.0,Not Available,5165.0,5165.0,12592.0,2,33939.843,47117.843
1976-06-01,151.67,Not Available,371.33,371.33,7186.0,Not Available,4755.0,4755.0,11941.0,1,36375.782,48840.782
1976-07-01,116.58,Not Available,285.42,285.42,7300.0,Not Available,4516.0,4516.0,11816.0,1,39835.088,52054.088
1976-08-01,155.15,Not Available,379.85,379.85,7070.0,Not Available,4513.0,4513.0,11583.0,1,40324.319,52443.319
1976-09-01,173.42,Not Available,424.58,424.58,6940.0,Not Available,4661.0,4661.0,11601.0,2,35890.319,48091.319
1976-10-01,223.59,Not Available,547.41,547.41,7072.0,Not Available,5137.0,5137.0,12209.0,2,36774.081,49756.081
1976-11-01,261.87,Not Available,641.13,641.13,6934.0,Not Available,5614.0,5614.0,12548.0,1,38829.559,52281.559
1976-12-01,391.5,Not Available,958.5,958.5,6975.0,Not Available,6738.0,6738.0,13713.0,1,41568.126,56632.126
