Month,"Coal Stocks, Producers and Distributors","Coal Stocks, Residential and Commercial Sectors","Coal Stocks, Industrial Sector, Coke Plants","Coal Stocks, Industrial Sector, Other","Coal Stocks, Industrial Sector, Total","Coal Stocks, End-Use Sectors Total","Coal Stocks, Electric Power Sector","Coal Stocks, Total"
1973-01-01,13377.0,Not Available,8568.0,7808.0,16376.0,16376.0,94744.397,124497.397
1973-02-01,13300.0,Not Available,8435.0,8041.0,16476.0,16476.0,92723.518,122499.518
1973-03-01,13223.0,Not Available,8480.0,8274.0,16754.0,16754.0,93711.934,123688.934
1973-04-01,13146.0,Not Available,8540.0,8507.0,17047.0,17047.0,94714.455,124907.455
1973-05-01,13069.0,Not Available,8869.0,8740.0,17609.0,17609.0,98460.079,129138.079
1973-06-01,12992.0,Not Available,8594.0,8973.0,17567.0,17567.0,97756.359,128315.359
1973-07-01,12915.0,Not Available,6112.0,9206.0,15318.0,15318.0,91939.593,120172.593
1973-08-01,12838.0,Not Available,6549.0,9439.0,15988.0,15988.0,91371.887,120197.887
1973-09-01,12761.0,Not Available,6636.0,9672.0,16308.0,16308.0,90044.327,119113.327
1973-10-01,12684.0,Not Available,7169.0,9905.0,17074.0,17074.0,91357.105,121115.105
1973-11-01,12607.0,Not Available,7268.0,10138.0,17406.0,17406.0,90966.574,120979.574
1973-12-01,12530.0,290,6998.0,10370.0,17368.0,17658.0,86967.204,117155.204
1974-01-01,12452.0,Not Available,6354.0,10057.0,16411.0,16411.0,82214.367,111077.367
1974-02-01,12378.0,Not Available,6180.0,9745.0,15925.0,15925.0,81393.814,109696.814
1974-03-01,12304.0,Not Available,6325.0,9431.0,15756.0,15756.0,85831.708,113891.708
1974-04-01,12230.0,Not Available,6727.0,9117.0,15844.0,15844.0,90690.776,118764.776
1974-05-01,12156.0,Not Available,7597.0,8803.0,16400.0,16400.0,95291.955,123847.955
1974-06-01,12082.0,Not Available,7473.0,8489.0,15962.0,15962.0,95586.373,123630.373
1974-07-01,12008.0,Not Available,6584.0,8175.0,14759.0,14759.0,91226.582,117993.582
1974-08-01,11934.0,Not Available,6839.0,7861.0,14700.0,14700.0,89193.78,115827.78
1974-09-01,11860.0,Not Available,7266.0,7547.0,14813.0,14813.0,92708.935,119381.935
1974-10-01,11786.0,Not Available,8509.0,7233.0,15742.0,15742.0,100335.927,127863.927
1974-11-01,11712.0,Not Available,7419.0,6919.0,14338.0,14338.0,94079.066,120129.066
1974-12-01,11634.0,280,6209.0,6605.0,12814.0,13094.0,83509.168,108237.168
1975-01-01,11673.0,Not Available,7311.0,6765.0,14076.0,14076.0,82059.27,107808.27
1975-02-01,11713.0,Not Available,8175.0,6925.0,15100.0,15100.0,80945.32,107758.32
1975-03-01,11752.0,Not Available,8824.0,7086.0,15910.0,15910.0,81857.274,109519.274
1975-04-01,11792.0,Not Available,9125.0,7246.0,16371.0,16371.0,86805.044,114968.044
1975-05-01,11831.0,Not Available,9738.0,7406.0,17144.0,17144.0,93840.279,122815.279
1975-06-01,11871.0,Not Available,10140.0,7567.0,17707.0,17707.0,97997.628,127575.628
1975-07-01,11910.0,Not Available,8251.0,7727.0,15978.0,15978.0,94243.998,122131.998
1975-08-01,11950.0,Not Available,7467.0,7888.0,15355.0,15355.0,94179.639,121484.639
1975-09-01,11989.0,Not Available,7131.0,8048.0,15179.0,15179.0,98062.763,125230.763
1975-10-01,12029.0,Not Available,7858.0,8208.0,16066.0,16066.0,105383.725,133478.725
1975-11-01,12068.0,Not Available,8601.0,8368.0,16969.0,16969.0,110346.082,139383.082
1975-12-01,12108.0,233,8797.0,8529.0,17326.0,17559.0,110724.216,140391.216
1976-01-01,12283.0,Not Available,8229.0,8409.0,16638.0,16638.0,105493.754,134414.754
1976-02-01,12459.0,Not Available,8603.0,8290.0,16893.0,16893.0,104849.732,134201.732
1976-03-01,12635.0,Not Available,9411.0,8171.0,17582.0,17582.0,108426.139,138643.139
1976-04-01,12811.0,Not Available,10015.0,8052.0,18067.0,18067.0,112837.907,143715.907
1976-05-01,12987.0,Not Available,10697.0,7933.0,18630.0,18630.0,119587.909,151204.909
1976-06-01,13163.0,Not Available,11338.0,7814.0,19152.0,19152.0,123024.701,155339.701
1976-07-01,13339.0,Not Available,8798.0,7695.0,16493.0,16493.0,115180.542,145012.542
1976-08-01,13515.0,Not Available,7349.0,7576.0,14925.0,14925.0,110728.365,139168.365
1976-09-01,13691.0,Not Available,8257.0,7457.0,15714.0,15714.0,115375.436,144780.436
1976-10-01,13867.0,Not Available,9138.0,7338.0,16476.0,16476.0,118564.652,148907.652
1976-11-01,14043.0,Not Available,9712.0,7219.0,16931.0,16931.0,119265.83,150239.83
1976-12-01,14221.0,240,9902.0,7100.0,17002.0,17242.0,117435.944,148898.944
1977-01-01,14221.0,Not Available,8190.0,7430.0,15620.0,15620.0,106151.304,135992.304
1977-02-01,14221.0,Not Available,7543.0,7760.0,15303.0,15303.0,103275.182,132799.182
1977-03-01,14221.0,Not Available,9100.0,8090.0,17190.0,17190.0,109589.313,141000.313
1977-04-01,14221.0,Not Available,9970.0,8421.0,18391.0,18391.0,115887.558,148499.558
1977-05-01,14221.0,Not Available,10694.0,8751.0,19445.0,19445.0,122802.799,156468.799
1977-06-01,14223.0,Not Available,12109.0,9081.0,21190.0,21190.0,128762.671,164175.671
1977-07-01,14223.0,Not Available,9894.0,9411.0,19305.0,19305.0,123351.664,156879.664
1977-08-01,14223.0,Not Available,9125.0,9742.0,18867.0,18867.0,123798.041,156888.041
1977-09-01,14223.0,Not Available,10506.0,10072.0,20578.0,20578.0,130313.022,165114.022
1977-10-01,14223.0,Not Available,12696.0,10402.0,23098.0,23098.0,139633.571,176954.571
1977-11-01,14223.0,Not Available,15593.0,10732.0,26325.0,26325.0,149655.911,190203.911
1977-12-01,14225.0,220,12816.0,11063.0,23879.0,24099.0,133219.397,171543.397
1978-01-01,14765.0,Not Available,8202.0,8985.0,17187.0,17187.0,105247.998,137199.998
1978-02-01,15304.0,Not Available,5144.0,7358.0,12502.0,12502.0,84555.304,112361.304
1978-03-01,15843.0,Not Available,3817.0,6570.0,10387.0,10387.0,77016.045,103246.045
1978-04-01,16382.0,Not Available,5667.0,6731.0,12398.0,12398.0,87980.21,116760.21
1978-05-01,16921.0,Not Available,7207.0,6695.0,13902.0,13902.0,100628.235,131451.235
1978-06-01,17460.0,Not Available,8378.0,7564.0,15942.0,15942.0,110751.546,144153.546
1978-07-01,17999.0,Not Available,6701.0,6927.0,13628.0,13628.0,109698.886,141325.886
1978-08-01,18538.0,Not Available,6406.0,7671.0,14077.0,14077.0,112265.797,144880.797
1978-09-01,19077.0,Not Available,6327.0,7918.0,14245.0,14245.0,115162.08,148484.08
1978-10-01,19616.0,Not Available,7413.0,8269.0,15682.0,15682.0,121596.943,156894.943
1978-11-01,20155.0,Not Available,8633.0,8804.0,17437.0,17437.0,129378.62,166970.62
1978-12-01,20695.0,360,8278.0,9048.0,17326.0,17686.0,128224.814,166605.814
1979-01-01,20705.0,Not Available,7647.0,8830.0,16477.0,16477.0,119947.758,157129.758
1979-02-01,20716.0,Not Available,6763.0,7885.0,14648.0,14648.0,114394.348,149758.348
1979-03-01,20727.0,Not Available,7561.0,7941.0,15502.0,15502.0,118542.368,154771.368
1979-04-01,20738.0,Not Available,8482.0,8070.0,16552.0,16552.0,125776.378,163066.378
1979-05-01,20749.0,Not Available,9228.0,8248.0,17476.0,17476.0,133792.614,172017.614
1979-06-01,20760.0,Not Available,10051.0,8728.0,18779.0,18779.0,136626.852,176165.852
1979-07-01,20771.0,Not Available,8306.0,8864.0,17170.0,17170.0,131095.305,169036.305
1979-08-01,20782.0,Not Available,9021.0,9509.0,18530.0,18530.0,134256.919,173568.919
1979-09-01,20793.0,Not Available,9036.0,9851.0,18887.0,18887.0,139129.133,178809.133
1979-10-01,20804.0,Not Available,9724.0,9960.0,19684.0,19684.0,149948.906,190436.906
1979-11-01,20815.0,Not Available,9983.0,10002.0,19985.0,19985.0,157736.876,198536.876
1979-12-01,20826.0,340,10155.0,11777.0,21932.0,22272.0,159713.597,202811.597
1980-01-01,22388.0,Not Available,9634.0,11099.0,20733.0,20733.0,158716.641,201837.641
1980-02-01,23949.0,Not Available,9263.0,10421.0,19684.0,19684.0,157123.871,200756.871
1980-03-01,25511.0,Not Available,9317.0,9707.0,19024.0,19024.0,157625.386,202160.386
1980-04-01,25725.0,Not Available,9579.0,9971.0,19550.0,19550.0,165817.0,211092.0
1980-05-01,25939.0,Not Available,9692.0,10199.0,19891.0,19891.0,174029.204,219859.204
1980-06-01,26152.0,Not Available,9913.0,10427.0,20340.0,20340.0,178959.42,225451.42
1980-07-01,25567.0,Not Available,8427.0,10680.0,19107.0,19107.0,168806.173,213480.173
1980-08-01,24983.0,Not Available,7866.0,10932.0,18798.0,18798.0,171890.586,215671.586
1980-09-01,24399.0,Not Available,8213.0,11167.0,19380.0,19380.0,175067.246,218846.246
1980-10-01,24392.0,Not Available,8488.0,11442.0,19930.0,19930.0,182045.479,226367.479
1980-11-01,24385.0,Not Available,8606.0,11697.0,20303.0,20303.0,184132.571,228820.571
1980-12-01,24379.0,Not Available,9067.0,11951.0,21018.0,21018.0,183009.667,228406.667
1981-01-01,24880.0,Not Available,9634.0,11994.0,21628.0,21628.0,176974.874,223482.874
1981-02-01,24311.0,Not Available,10211.0,12036.0,22247.0,22247.0,175714.695,222272.695
1981-03-01,24859.0,Not Available,10788.0,12569.0,23357.0,23357.0,183982.956,232198.956
1981-04-01,23249.0,Not Available,6952.0,10970.0,17922.0,17922.0,169221.357,210392.357
1981-05-01,22757.0,Not Available,4850.0,9861.0,14711.0,14711.0,153414.971,190882.971
1981-06-01,22265.0,Not Available,4500.0,9254.0,13754.0,13754.0,144520.206,180539.206
1981-07-01,22740.0,Not Available,5074.0,9225.0,14299.0,14299.0,140123.986,177162.986
1981-08-01,23217.0,Not Available,5648.0,9175.0,14823.0,14823.0,142318.399,180358.399
1981-09-01,23417.0,Not Available,6163.0,9281.0,15444.0,15444.0,149525.631,188386.631
1981-10-01,23846.0,Not Available,6308.0,9400.0,15708.0,15708.0,159676.151,199230.151
1981-11-01,23998.0,Not Available,6392.0,9650.0,16042.0,16042.0,167002.236,207042.236
1981-12-01,24149.0,Not Available,6475.0,9906.0,16381.0,16381.0,168893.288,209423.288
1982-01-01,27098.0,Not Available,6207.0,9255.0,15462.0,15462.0,158468.674,201028.674
1982-02-01,30047.0,Not Available,5909.0,9148.0,15057.0,15057.0,158135.798,203239.798
1982-03-01,32995.0,Not Available,5612.0,9354.0,14966.0,14966.0,164518.214,212479.214
1982-04-01,34289.0,Not Available,5931.0,9137.0,15068.0,15068.0,171389.597,220746.597
1982-05-01,36154.0,Not Available,6231.0,9234.0,15465.0,15465.0,177461.317,229080.317
1982-06-01,36876.0,Not Available,6532.0,9331.0,15863.0,15863.0,182513.282,235252.282
1982-07-01,38258.0,Not Available,6166.0,9328.0,15494.0,15494.0,174503.415,228255.415
