Month,"Electricity Net Generation From Coal, All Sectors","Electricity Net Generation From Petroleum, All Sectors","Electricity Net Generation From Natural Gas, All Sectors","Electricity Net Generation From Other Fossil Gases, All Sectors","Electricity Net Generation From Nuclear Electric Power, All Sectors","Electricity Net Generation From Hydroelectric Pumped Storage, All Sectors","Electricity Net Generation From Conventional Hydroelectric Power, All Sectors","Electricity Net Generation From Wood, All Sectors","Electricity Net Generation From Waste, All Sectors","Electricity Net Generation From Geothermal, All Sectors","Electricity Net Generation From Solar, All Sectors","Electricity Net Generation From Wind, All Sectors","Electricity Net Generation Total (including from sources not shown), All Sectors"
1973-01-01,75190.149,31183.619,21184.967,,6246.251,,26249.203,5.157,15.152,143.49,,,160217.989
1973-02-01,67797.946,26086.952,20252.525,,5928.069,,23313.025,15.138,13.874,131.171,,,143538.699
1973-03-01,67387.612,24033.245,24043.248,,6649.007,,25874.466,17.94,16.913,135.938,,,148158.37
1973-04-01,63935.049,20195.424,25030.266,,5876.392,,24370.51,6.323,16.771,158.705,,,139589.44
1973-05-01,64927.181,21741.975,29755.984,,5696.657,,25100.563,4.589,20.209,147.965,,,147395.124
1973-06-01,69592.039,25999.512,34627.356,,6784.152,,24050.316,3.707,16.938,169.654,,,161243.674
1973-07-01,75988.308,28728.259,39171.261,,6960.486,,22684.569,3.821,16.409,179.895,,,173733.007
1973-08-01,78365.191,30745.665,38890.546,,7785.326,,21376.181,15.159,17.704,169.592,,,177365.364
1973-09-01,71304.493,27109.009,33118.166,,7862.383,,17300.278,19.924,17.158,143.622,,,156875.032
1973-10-01,70104.344,27224.244,30688.93,,7518.195,,18454.449,18.564,19.288,169.452,,,154197.466
1973-11-01,69706.997,26124.562,23717.377,,8142.033,,20241.133,9.174,14.526,181.805,,,148137.609
1973-12-01,73352.161,25170.459,20377.565,,8030.511,,26415.88,10.907,12.949,234.424,,,153604.858
1974-01-01,73631.774,26198.955,20728.02,,7602.79,,29161.659,10.676,14.536,206.282,,,157554.691
1974-02-01,66116.767,22564.916,18941.924,,8115.522,,26809.987,3.687,13.603,182.051,,,142748.458
1974-03-01,67746.788,22136.383,23628.456,,8777.497,,27828.186,3.404,14.17,207.322,,,150342.206
1974-04-01,62866.281,19940.913,24029.361,,7128.892,,28126.967,10.355,13.612,195.253,,,142311.633
1974-05-01,67789.4,22682.163,28325.25,,6562.335,,28234.858,11.103,12.366,195.399,,,153812.873
1974-06-01,67470.507,23064.936,31727.856,,7079.595,,26881.343,9.564,17.154,189.133,,,156440.089
1974-07-01,76361.27,27725.762,37214.571,,10209.908,,26505.617,0.466,19.907,209.804,,,178247.304
1974-08-01,74759.54,27201.402,35350.593,,12333.452,,24245.839,2.967,18.074,207.135,,,174119.001
1974-09-01,65266.997,25047.795,29348.424,,11009.752,,21573.878,11.63,17.539,191.428,,,152467.442
1974-10-01,66953.772,25701.39,28263.526,,10863.505,,20202.545,1.738,14.972,194.383,,,152195.832
1974-11-01,66996.029,27758.192,22735.948,,11004.327,,21328.54,1.86,14.81,231.149,,,150070.855
1974-12-01,72473.794,30907.732,19771.16,,13288.168,,23312.388,1.072,11.411,243.295,,,160009.019
1975-01-01,74836.043,30632.234,19689.283,,13938.354,,25309.513,0.738,13.481,203.434,,,164623.08
1975-02-01,67285.094,24923.842,18049.671,,12733.338,,24151.196,1.018,10.864,193.978,,,147349.0
1975-03-01,69176.492,23122.664,20098.711,,14881.784,,28249.231,0.588,11.925,218.817,,,155760.211
1975-04-01,64453.298,21257.994,20323.206,,13327.245,,26902.482,0.195,11.265,219.194,,,146494.879
1975-05-01,64741.073,21050.282,25707.482,,13763.765,,28013.097,0.897,16.63,237.853,,,153531.08
1975-06-01,70346.207,23062.398,28830.399,,12743.82,,27417.825,2.721,18.527,295.063,,,162716.96
1975-07-01,76294.723,25132.477,34181.9,,15372.216,,25762.144,0.366,15.674,297.005,,,177056.505
1975-08-01,78882.011,27957.786,34041.236,,15879.687,,22828.868,1.506,17.748,322.05,,,179930.892
1975-09-01,68558.859,21426.066,30020.384,,14396.011,,20737.409,3.089,15.14,283.868,,,155440.826
1975-10-01,69042.72,21994.709,26300.474,,14626.168,,22877.953,2.9,15.509,327.31,,,155187.742
1975-11-01,70424.195,21614.561,21829.846,,14164.018,,24669.065,1.844,13.517,318.052,,,153035.097
1975-12-01,78745.507,26919.888,20705.816,,16678.669,,26233.89,1.689,13.289,329.548,,,169628.296
1976-01-01,83690.963,32230.754,19894.883,,16098.884,,26349.467,2.121,13.472,328.068,,,178608.612
1976-02-01,73516.196,24782.98,19163.451,,14377.127,,24802.606,1.858,13.099,308.483,,,156965.799
1976-03-01,76553.69,25436.579,21282.392,,13992.977,,26855.021,2.54,13.176,330.3,,,164466.676
1976-04-01,72559.403,23310.448,21867.164,,10981.808,,24436.734,2.203,12.176,297.457,,,153467.392
1976-05-01,72499.188,21806.959,25318.846,,11929.39,,25810.439,2.403,12.95,284.292,,,157664.467
1976-06-01,76925.845,25116.695,29715.292,,15757.435,,25844.753,2.887,15.519,295.294,,,173673.719
1976-07-01,83279.641,27011.425,32031.884,,17708.727,,26320.866,0.955,18.353,319.188,,,186691.04
1976-08-01,84206.526,28262.962,31393.084,,18362.58,,24077.807,2.946,18.515,314.275,,,186638.696
1976-09-01,75369.701,23621.906,28057.948,,17290.311,,20570.354,5.491,15.879,305.847,,,165237.437
1976-10-01,76932.19,24189.65,23909.086,,17355.218,,21304.322,5.042,16.784,297.154,,,164009.445
1976-11-01,81668.738,30074.971,21110.511,,16134.204,,20065.329,25.731,16.437,250.369,,,169346.291
1976-12-01,87188.912,34142.807,20879.37,,21114.871,,20486.54,30.209,15.717,285.681,,,184144.107
1977-01-01,89829.161,43378.623,19952.66,,22152.064,,20993.663,35.268,14.005,309.738,,,196665.182
1977-02-01,78734.95,29446.474,19480.517,,19600.518,,15364.523,39.087,12.481,270.536,,,162949.088
1977-03-01,77492.179,28368.708,22467.119,,20672.203,,20081.349,35.02,13.95,306.644,,,169437.171
1977-04-01,70866.254,25862.144,21296.921,,19866.564,,18906.23,31.562,14.222,273.459,,,157117.355
1977-05-01,77049.033,27963.903,24701.328,,20599.284,,18941.591,31.192,14.84,295.233,,,169596.403
1977-06-01,83116.515,28970.658,29621.145,,21517.301,,17470.321,30.069,14.904,290.299,,,181031.212
1977-07-01,92372.785,34893.219,32712.543,,21824.835,,17036.785,3.421,17.073,307.065,,,199167.726
1977-08-01,90730.454,32326.169,33290.504,,22749.668,,16949.001,19.466,16.463,281.44,,,196363.166
1977-09-01,82564.552,26365.748,30937.59,,19629.992,,16657.479,24.439,16.492,301.267,,,176497.56
1977-10-01,79382.484,23073.922,27355.603,,19041.045,,17432.504,27.979,16.679,315.065,,,166645.282
1977-11-01,79467.834,24862.747,22565.612,,19458.412,,20686.579,19.617,10.76,316.511,,,167388.072
1977-12-01,83612.396,32666.506,21123.315,,23771.398,,23078.66,10.515,11.401,315.079,,,184589.27
1978-01-01,85005.951,39264.223,22309.743,,25832.949,,25338.235,23.622,11.907,321.005,,,198107.635
1978-02-01,70569.646,38212.55,20370.197,,21832.5,,22452.024,22.747,10.607,275.46,,,173745.731
1978-03-01,66623.494,36958.018,22269.092,,22448.665,,24897.659,25.683,10.618,227.657,,,173460.887
1978-04-01,70327.333,24978.413,21339.11,,17579.902,,25580.617,5.501,10.156,191.95,,,160012.982
1978-05-01,76431.711,24368.349,25076.268,,20416.17,,29069.355,4.506,11.268,171.002,,,175548.628
1978-06-01,84033.019,26129.595,30618.31,,22185.187,,25394.161,5.058,9.748,210.307,,,188585.386
1978-07-01,89606.31,29117.394,34247.75,,25007.094,,24718.41,6.308,8.43,235.597,,,202947.293
1978-08-01,93429.682,32302.004,32583.162,,25599.306,,22426.121,24.018,17.365,277.092,,,206658.749
1978-09-01,87041.271,26640.067,28206.109,,22188.917,,21407.275,12.896,12.938,292.585,,,185802.058
1978-10-01,82082.993,25753.492,25232.611,,22996.549,,19690.414,25.758,13.709,217.591,,,176013.116
1978-11-01,81727.362,27309.782,22000.457,,24900.669,,20169.267,24.228,11.542,245.785,,,176389.093
1978-12-01,88863.313,34026.554,21138.026,,25415.16,,22321.687,16.868,12.145,311.599,,,192105.353
1979-01-01,94985.712,39474.311,22092.806,,27792.163,,25315.97,12.201,14.205,299.38,,,209986.749
1979-02-01,84747.823,32274.117,21844.013,,25910.788,,21525.673,23.648,16.35,244.898,,,186587.309
1979-03-01,85219.537,22075.574,24916.06,,24334.822,,26225.876,30.272,23.239,328.623,,,183154.004
1979-04-01,80450.173,20599.379,24763.199,,18417.942,,25687.338,25.243,13.283,303.915,,,170260.472
1979-05-01,86149.298,21470.44,26135.375,,15024.851,,29279.822,22.626,21.34,305.604,,,178409.356
1979-06-01,90817.26,24367.27,30106.952,,16065.455,,25272.522,20.957,16.46,309.504,,,186976.379
1979-07-01,97879.473,25749.925,34675.501,,20824.729,,23028.538,20.175,15.9,328.236,,,202522.477
1979-08-01,97910.027,26122.976,34948.735,,24204.083,,21510.17,30.048,16.457,358.096,,,205100.592
1979-09-01,85664.344,22509.343,31441.588,,21803.87,,19201.628,31.004,12.094,310.775,,,180974.646
1979-10-01,87527.612,20278.861,30418.982,,20934.359,,20404.071,29.302,11.732,348.445,,,179953.363
1979-11-01,87455.783,23380.251,24661.307,,19255.175,,22629.801,31.079,17.576,338.536,,,177769.508
1979-12-01,96230.048,25222.763,23480.589,,20586.386,,22994.567,23.304,19.556,412.956,,,188970.171
1980-01-01,103257.677,24985.981,26348.819,,19745.966,,25569.718,30.867,20.829,336.471,,,200296.33
1980-02-01,98150.804,24780.801,24755.111,,19277.338,,21624.05,31.482,18.624,323.169,,,188961.379
