Month,"Electricity Net Generation From Coal, Commercial Sector","Electricity Net Generation From Petroleum, Commercial Sector","Electricity Net Generation From Natural Gas, Commercial Sector","Electricity Net Generation From Waste, Commercial Sector","Electricity Net Generation Total (including from sources not shown), Commercial Sector","Electricity Net Generation From Coal, Industrial Sector","Electricity Net Generation From Petroleum, Industrial Sector","Electricity Net Generation From Natural Gas, Industrial Sector","Electricity Net Generation From Other Fossil Gases, Industrial Sector","Electricity Net Generation From Hydroelectric Power, Industrial Sector","Electricity Net Generation From Wood, Industrial Sector","Electricity Net Generation From Waste, Industrial Sector","Electricity Net Generation Total (including from sources not shown), Industrial Sector"
1973-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,304.839,Not Available,Not Available,304.839
1973-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,281.858,Not Available,Not Available,281.858
1973-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,311.823,Not Available,Not Available,311.823
1973-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,297.914,Not Available,Not Available,297.914
1973-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,307.341,Not Available,Not Available,307.341
1973-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,298.24,Not Available,Not Available,298.24
1973-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,265.668,Not Available,Not Available,265.668
1973-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,256.501,Not Available,Not Available,256.501
1973-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,223.867,Not Available,Not Available,223.867
1973-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,243.898,Not Available,Not Available,243.898
1973-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,256.866,Not Available,Not Available,256.866
1973-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,298.307,Not Available,Not Available,298.307
1974-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,300.558,Not Available,Not Available,300.558
1974-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,274.482,Not Available,Not Available,274.482
1974-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,294.231,Not Available,Not Available,294.231
1974-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,290.718,Not Available,Not Available,290.718
1974-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,299.817,Not Available,Not Available,299.817
1974-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,279.333,Not Available,Not Available,279.333
1974-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,255.407,Not Available,Not Available,255.407
1974-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,240.15,Not Available,Not Available,240.15
1974-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,228.806,Not Available,Not Available,228.806
1974-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,217.385,Not Available,Not Available,217.385
1974-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,226.501,Not Available,Not Available,226.501
1974-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,272.253,Not Available,Not Available,272.253
1975-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,298.07,Not Available,Not Available,298.07
1975-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,265.375,Not Available,Not Available,265.375
1975-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,279.12,Not Available,Not Available,279.12
1975-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,278.143,Not Available,Not Available,278.143
1975-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,299.724,Not Available,Not Available,299.724
1975-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,275.046,Not Available,Not Available,275.046
1975-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,240.598,Not Available,Not Available,240.598
1975-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,216.679,Not Available,Not Available,216.679
1975-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,218.001,Not Available,Not Available,218.001
1975-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,239.034,Not Available,Not Available,239.034
1975-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,239.862,Not Available,Not Available,239.862
1975-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,256.381,Not Available,Not Available,256.381
1976-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,279.592,Not Available,Not Available,279.592
1976-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,282.101,Not Available,Not Available,282.101
1976-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,292.345,Not Available,Not Available,292.345
1976-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,299.991,Not Available,Not Available,299.991
1976-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,294.359,Not Available,Not Available,294.359
1976-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,281.924,Not Available,Not Available,281.924
1976-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,257.027,Not Available,Not Available,257.027
1976-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,235.204,Not Available,Not Available,235.204
1976-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,202.283,Not Available,Not Available,202.283
1976-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,263.41,Not Available,Not Available,263.41
1976-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,261.526,Not Available,Not Available,261.526
1976-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,267.422,Not Available,Not Available,267.422
1977-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,293.328,Not Available,Not Available,293.328
1977-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,214.677,Not Available,Not Available,214.677
1977-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,280.581,Not Available,Not Available,280.581
1977-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,264.162,Not Available,Not Available,264.162
1977-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,264.656,Not Available,Not Available,264.656
1977-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,244.099,Not Available,Not Available,244.099
1977-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,238.042,Not Available,Not Available,238.042
1977-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,236.815,Not Available,Not Available,236.815
1977-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,232.742,Not Available,Not Available,232.742
1977-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,243.571,Not Available,Not Available,243.571
1977-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,289.038,Not Available,Not Available,289.038
1977-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,322.461,Not Available,Not Available,322.461
1978-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,272.305,Not Available,Not Available,272.305
1978-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,241.288,Not Available,Not Available,241.288
1978-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,267.57,Not Available,Not Available,267.57
1978-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,274.91,Not Available,Not Available,274.91
1978-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,312.403,Not Available,Not Available,312.403
1978-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,272.906,Not Available,Not Available,272.906
1978-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,265.644,Not Available,Not Available,265.644
1978-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,241.009,Not Available,Not Available,241.009
1978-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,230.06,Not Available,Not Available,230.06
1978-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,211.609,Not Available,Not Available,211.609
1978-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,216.755,Not Available,Not Available,216.755
1978-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,239.887,Not Available,Not Available,239.887
1979-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,294.513,Not Available,Not Available,294.513
1979-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,250.419,Not Available,Not Available,250.419
1979-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,305.099,Not Available,Not Available,305.099
1979-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,298.834,Not Available,Not Available,298.834
1979-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,340.627,Not Available,Not Available,340.627
1979-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,294.008,Not Available,Not Available,294.008
1979-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,267.902,Not Available,Not Available,267.902
1979-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,250.238,Not Available,Not Available,250.238
1979-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,223.382,Not Available,Not Available,223.382
1979-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,237.371,Not Available,Not Available,237.371
1979-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,263.264,Not Available,Not Available,263.264
1979-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,267.507,Not Available,Not Available,267.507
