Month,"Coal Consumption for Electricity Generation, Commercial Sector","Petroleum Consumption for Electricity Generation, Commercial Sector","Natural Gas Consumption for Electricity Generation, Commercial Sector","Waste Consumption for Electricity Generation, Commercial Sector","Coal Consumption for Electricity Generation, Industrial Sector","Petroleum Consumption for Electricity Generation, Industrial Sector","Natural Gas Consumption for Electricity Generation, Industrial Sector","Other Fossil Gases Consumption for Electricity Generation, Industrial Sector","Wood Consumption for Electricity Generation, Industrial Sector","Waste Consumption for Electricity Generation, Industrial Sector","Other Consumption for Electricity Generation, Industrial Sector"
1989-01-01,36.016,98.436,0.95,0.516,815.041,800.325,35.206,7.013,23.645,0.872,3.144
1989-02-01,33.868,115.561,1.113,0.499,769.165,887.871,34.701,6.334,22.0,0.843,2.839
1989-03-01,33.448,122.443,1.362,0.338,793.809,849.526,37.677,7.013,25.058,0.57,3.144
1989-04-01,30.286,57.343,1.515,0.47,802.348,608.811,36.452,6.787,21.471,0.794,3.042
1989-05-01,31.572,70.704,1.617,0.763,773.127,548.023,36.495,7.013,15.718,1.29,3.144
1989-06-01,34.327,94.089,1.678,0.777,829.708,672.654,36.229,6.787,18.907,1.313,3.042
1989-07-01,37.61,97.194,2.063,0.927,805.315,689.037,38.874,7.013,20.062,1.567,3.144
1989-08-01,38.027,72.956,1.998,0.878,878.799,626.198,39.292,7.013,24.404,1.484,3.144
1989-09-01,33.936,71.064,1.727,0.986,810.459,578.86,36.825,6.787,22.04,1.666,3.042
1989-10-01,32.669,55.782,1.64,1.026,834.935,470.463,37.721,7.013,23.468,1.735,3.144
1989-11-01,32.909,72.086,1.219,1.028,808.892,605.553,36.357,6.787,24.938,1.737,3.042
1989-12-01,39.021,236.878,1.106,0.905,785.584,1144.21,38.099,7.013,25.7,1.529,3.144
1990-01-01,35.825,85.994,1.439,1.23,889.862,1061.849,41.966,8.872,29.814,1.327,3.054
1990-02-01,31.334,68.466,1.3,1.137,850.01,1022.811,38.16,8.013,30.136,1.227,2.758
1990-03-01,32.829,68.858,1.818,1.312,869.997,1071.331,41.871,8.872,31.455,1.416,3.054
1990-04-01,31.24,73.15,1.966,1.225,882.196,1065.698,42.206,8.586,29.648,1.322,2.955
1990-05-01,31.953,74.836,2.409,1.231,849.861,1111.805,42.713,8.872,22.72,1.329,3.054
1990-06-01,35.231,103.219,2.935,1.291,915.13,1319.058,43.29,8.586,14.926,1.393,2.955
1990-07-01,38.58,104.372,3.222,1.219,902.9,1345.973,45.048,8.872,25.336,1.315,3.054
1990-08-01,39.419,97.688,3.389,1.283,984.726,1206.915,47.064,8.872,31.956,1.384,3.054
1990-09-01,36.127,76.307,2.973,1.304,901.069,1036.285,44.532,8.586,31.232,1.407,2.955
1990-10-01,34.714,68.556,2.538,1.331,926.483,1020.106,45.039,8.872,29.015,1.437,3.054
1990-11-01,32.913,55.093,1.825,1.233,893.596,807.971,41.415,8.586,26.308,1.331,2.955
1990-12-01,36.931,76.002,1.728,1.23,873.809,1032.886,43.425,8.872,32.2,1.327,3.054
1991-01-01,37.231,49.36,1.664,1.272,883.383,1106.715,45.092,10.005,35.969,1.177,4.672
1991-02-01,30.561,36.773,1.406,1.139,831.352,933.276,39.396,9.037,22.245,1.054,4.22
1991-03-01,30.904,37.458,1.854,1.314,841.472,1025.351,42.555,10.005,21.167,1.216,4.672
1991-04-01,28.908,42.268,2.073,1.329,864.061,999.74,41.725,9.682,15.692,1.231,4.521
1991-05-01,31.924,70.75,2.398,1.404,830.236,1219.81,42.23,10.005,18.65,1.299,4.672
1991-06-01,34.317,49.938,2.5,1.318,899.208,1071.15,41.338,9.682,20.846,1.22,4.521
1991-07-01,37.463,52.907,3.17,1.224,897.788,1147.702,46.103,10.005,20.478,1.133,4.672
1991-08-01,37.48,58.605,3.149,1.334,976.523,1166.746,46.932,10.005,30.709,1.235,4.672
1991-09-01,33.576,47.765,2.526,1.266,896.934,941.358,43.487,9.682,36.455,1.172,4.521
1991-10-01,32.266,36.617,2.531,1.14,926.387,776.423,45.767,10.005,31.313,1.056,4.672
1991-11-01,33.272,46.154,1.901,1.295,888.141,900.555,43.075,9.682,29.38,1.199,4.521
1991-12-01,34.756,47.466,1.633,1.223,874.212,994.348,44.216,10.005,35.559,1.132,4.672
1992-01-01,32.482,43.712,1.998,1.44,936.903,1354.734,46.591,10.868,38.525,1.329,3.124
