Month,"Coal Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Petroleum Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Waste Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Coal Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Petroleum Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Other Fossil Gases Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Wood Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Waste Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Other Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector"
1989-01-01,97.936,172.875,1.586,1.245,2069.598,2413.923,72.466,16.59,81.877,1.958,7.216
1989-02-01,92.094,201.968,1.858,1.204,2015.767,2693.586,71.545,14.984,76.182,1.893,6.518
1989-03-01,90.951,206.166,2.275,0.815,2056.951,2561.571,77.553,16.59,86.77,1.282,7.216
1989-04-01,82.353,110.673,2.53,1.134,2075.022,1843.668,75.29,16.055,74.348,1.784,6.984
1989-05-01,85.85,121.121,2.7,1.842,2040.33,1640.029,75.333,16.59,54.428,2.898,7.216
1989-06-01,93.342,158.29,2.801,1.875,2126.109,2017.932,74.694,16.055,65.471,2.95,6.984
1989-07-01,102.268,160.755,3.446,2.238,2039.229,2051.471,79.706,16.59,69.471,3.52,7.216
1989-08-01,103.402,127.62,3.337,2.119,2164.706,1870.535,80.249,16.59,84.506,3.334,7.216
1989-09-01,92.278,121.992,2.883,2.38,2090.426,1724.806,75.456,16.055,76.321,3.743,6.984
1989-10-01,88.834,96.931,2.738,2.478,2129.357,1401.326,77.515,16.59,81.266,3.898,7.216
1989-11-01,89.486,127.946,2.036,2.482,2070.983,1825.313,75.07,16.055,86.355,3.904,6.984
1989-12-01,106.105,360.944,1.846,2.184,1988.333,3399.94,78.64,16.59,88.993,3.436,7.216
