Month,"Coal Stocks, Electric Power Sector","Distillate Fuel Oil Stocks, Electric Power Sector","Residual Fuel Oil Stocks, Electric Power Sector","Other Petroleum Liquids Stocks, Electric Power Sector","Petroleum Coke Stocks, Electric Power Sector","Total Petroleum Stocks, Electric Power Sector"
1973-01-01,94744.397,4469.014,48755.751,Not Available,283.765,54643.59
1973-02-01,92723.518,4827.446,46020.36,Not Available,279.104,52243.326
1973-03-01,93711.934,5595.48,49265.421,Not Available,284.857,56285.186
1973-04-01,94714.455,5660.361,59438.944,Not Available,285.332,66525.965
1973-05-01,98460.079,6334.973,57959.872,Not Available,272.433,65657.01
1973-06-01,97756.359,6463.696,62459.743,Not Available,270.04,70273.639
1973-07-01,91939.593,6516.906,62470.182,Not Available,280.051,70387.343
1973-08-01,91371.887,6836.69,66165.851,Not Available,283.033,74417.706
1973-09-01,90044.327,8107.122,69514.128,Not Available,298.254,79112.52
1973-10-01,91357.105,9171.629,72385.518,Not Available,310.575,83110.022
1973-11-01,90966.574,9756.488,77760.588,Not Available,318.429,89109.221
1973-12-01,86967.204,10094.786,79121.222,Not Available,312.062,90776.318
1974-01-01,82214.367,10297.88,79188.109,Not Available,334.771,91159.844
1974-02-01,81393.814,10785.801,80890.345,Not Available,339.961,93375.951
1974-03-01,85831.708,10869.914,83034.767,Not Available,346.694,95638.151
1974-04-01,90690.776,11482.424,86594.391,Not Available,345.693,99805.28
1974-05-01,95291.955,12282.983,87330.798,Not Available,333.411,101280.836
1974-06-01,95586.373,12985.662,89430.806,Not Available,331.882,104075.878
1974-07-01,91226.582,12684.301,92975.588,Not Available,320.78,107263.789
1974-08-01,89193.78,13518.822,96181.691,Not Available,311.927,111260.148
1974-09-01,92708.935,15332.006,98130.084,Not Available,290.648,114915.33
1974-10-01,100335.927,15236.519,102818.053,Not Available,200.047,119054.807
1974-11-01,94079.066,14910.541,102502.969,Not Available,110.167,117964.345
1974-12-01,83509.168,15199.346,97717.722,Not Available,34.824,113091.188
1975-01-01,82059.27,15250.704,96044.68,Not Available,28.94,111440.084
1975-02-01,80945.32,15359.632,96144.297,Not Available,26.853,111638.194
1975-03-01,81857.274,15785.868,97857.86,Not Available,27.735,113782.403
1975-04-01,86805.044,15757.007,98542.211,Not Available,26.8,114433.218
1975-05-01,93840.279,15231.891,101998.864,Not Available,30.149,117381.5
1975-06-01,97997.628,15180.653,103756.053,Not Available,33.433,119103.871
1975-07-01,94243.998,15377.19,105862.528,Not Available,34.15,121410.468
1975-08-01,94179.639,15242.713,105423.18,Not Available,33.62,120833.993
