Month,"Electricity Sales to Ultimate Customers, Residential","Electricity Sales to Ultimate Customers, Commercial","Electricity Sales to Ultimate Customers, Industrial","Electricity Sales to Ultimate Customers, Transportation","Electricity Sales to Ultimate Customers, Total",Electricity Direct Use,"Electricity End Use, Total",Electric Vehicle Use
1973-01-01,52840.231,36120.264,55273.651,271.048,144505.194,Not Available,144505.194,Not Available
1973-02-01,49601.308,35097.94,54591.445,255.395,139546.088,Not Available,139546.088,Not Available
1973-03-01,46314.971,34670.714,55865.741,250.89,137102.316,Not Available,137102.316,Not Available
1973-04-01,41820.951,33370.465,55936.704,237.808,131365.928,Not Available,131365.928,Not Available
1973-05-01,39824.999,34457.084,56837.543,241.32,131360.946,Not Available,131360.946,Not Available
1973-06-01,44967.106,37710.307,57367.716,247.874,140293.003,Not Available,140293.003,Not Available
1973-07-01,54122.893,41019.38,57152.445,267.45,152562.168,Not Available,152562.168,Not Available
1973-08-01,56742.07,41611.015,58864.756,262.98,157480.821,Not Available,157480.821,Not Available
1973-09-01,56209.577,41650.51,59178.359,271.131,157309.577,Not Available,157309.577,Not Available
1973-10-01,47207.37,38059.195,60513.611,261.798,146041.974,Not Available,146041.974,Not Available
1973-11-01,43181.173,36263.555,58432.981,264.031,138141.74,Not Available,138141.74,Not Available
1973-12-01,46398.725,34475.048,56070.228,255.025,137199.026,Not Available,137199.026,Not Available
1974-01-01,52878.418,35405.495,55456.556,245.633,143986.102,Not Available,143986.102,Not Available
1974-02-01,47779.428,33932.898,54799.191,225.595,136737.112,Not Available,136737.112,Not Available
1974-03-01,46095.814,33811.287,55814.155,230.55,135951.806,Not Available,135951.806,Not Available
1974-04-01,43193.401,33472.87,56114.53,226.287,133007.088,Not Available,133007.088,Not Available
1974-05-01,41105.123,34515.766,57226.304,229.972,133077.165,Not Available,133077.165,Not Available
1974-06-01,46597.044,37403.805,57702.151,227.937,141930.937,Not Available,141930.937,Not Available
1974-07-01,53540.458,40223.55,57503.293,243.933,151511.234,Not Available,151511.234,Not Available
1974-08-01,56699.323,41523.057,59641.201,248.886,158112.467,Not Available,158112.467,Not Available
1974-09-01,52947.797,40533.614,59893.385,244.305,153619.101,Not Available,153619.101,Not Available
1974-10-01,44164.147,36839.422,60116.068,235.639,141355.276,Not Available,141355.276,Not Available
1974-11-01,42671.011,35694.656,57175.045,243.07,135783.782,Not Available,135783.782,Not Available
1974-12-01,50511.729,36659.383,53433.195,247.349,140851.656,Not Available,140851.656,Not Available
1975-01-01,54311.156,38212.68,56610.589,259.829,149394.254,Not Available,149394.254,Not Available
1975-02-01,50494.721,36873.332,55363.153,241.967,142973.173,Not Available,142973.173,Not Available
1975-03-01,48238.659,36697.367,55567.277,246.092,140749.395,Not Available,140749.395,Not Available
1975-04-01,45007.466,35614.645,54981.227,229.932,135833.27,Not Available,135833.27,Not Available
1975-05-01,41293.942,36202.773,55835.32,235.859,133567.894,Not Available,133567.894,Not Available
1975-06-01,46034.082,39941.16,56785.388,235.004,142995.634,Not Available,142995.634,Not Available
1975-07-01,54325.358,43172.082,56460.197,246.368,154204.005,Not Available,154204.005,Not Available
1975-08-01,57659.412,44180.336,58812.887,249.197,160901.832,Not Available,160901.832,Not Available
1975-09-01,54719.614,43185.498,59575.248,260.907,157741.267,Not Available,157741.267,Not Available
1975-10-01,43254.661,38421.267,59890.997,250.734,141817.659,Not Available,141817.659,Not Available
1975-11-01,42288.574,37431.713,59278.499,260.803,139259.589,Not Available,139259.589,Not Available
1975-12-01,50512.748,38363.246,58518.87,257.791,147652.655,Not Available,147652.655,Not Available
1976-01-01,60492.292,41175.712,58601.47,269.498,160538.972,Not Available,160538.972,Not Available
1976-02-01,54588.492,39537.141,59174.822,248.151,153548.606,Not Available,153548.606,Not Available
1976-03-01,47295.435,38343.325,61573.201,252.872,147464.833,Not Available,147464.833,Not Available
1976-04-01,43811.363,37083.005,61187.743,228.277,142310.388,Not Available,142310.388,Not Available
1976-05-01,41281.445,37895.447,62395.14,231.978,141804.01,Not Available,141804.01,Not Available
1976-06-01,44382.377,40591.944,63836.703,227.638,149038.662,Not Available,149038.662,Not Available
1976-07-01,54029.328,45242.142,63486.758,248.237,163006.465,Not Available,163006.465,Not Available
1976-08-01,57706.13,45664.307,65013.316,247.076,168630.829,Not Available,168630.829,Not Available
1976-09-01,53771.204,44825.581,65555.45,259.626,164411.861,Not Available,164411.861,Not Available
1976-10-01,44995.879,40509.647,65239.607,239.415,150984.548,Not Available,150984.548,Not Available
1976-11-01,46986.381,39299.302,64209.201,245.929,150740.813,Not Available,150740.813,Not Available
1976-12-01,57111.756,41609.407,63795.462,249.482,162766.107,Not Available,162766.107,Not Available
1977-01-01,65757.526,43745.552,62575.76,272.045,172350.883,Not Available,172350.883,Not Available
1977-02-01,61838.613,41764.248,61445.08,250.219,165298.16,Not Available,165298.16,Not Available
1977-03-01,51172.849,40264.695,64499.862,267.019,156204.425,Not Available,156204.425,Not Available
1977-04-01,44667.736,38486.517,64536.917,235.199,147926.369,Not Available,147926.369,Not Available
1977-05-01,41824.999,39786.912,66746.684,243.411,148602.006,Not Available,148602.006,Not Available
1977-06-01,48728.714,43157.875,67164.638,242.865,159294.092,Not Available,159294.092,Not Available
1977-07-01,61377.496,47697.352,65665.799,257.155,174997.802,Not Available,174997.802,Not Available
1977-08-01,62692.036,48218.916,67426.271,252.849,178590.072,Not Available,178590.072,Not Available
1977-09-01,57629.729,46911.193,67462.688,257.941,172261.551,Not Available,172261.551,Not Available
1977-10-01,49021.329,42507.9,67559.717,259.372,159348.318,Not Available,159348.318,Not Available
1977-11-01,45241.402,39830.354,65985.156,255.231,151312.143,Not Available,151312.143,Not Available
1977-12-01,55286.542,41657.172,64968.554,263.123,162175.391,Not Available,162175.391,Not Available
1978-01-01,65906.0,44595.518,65883.0,264.482,176649.0,Not Available,176649.0,Not Available
1978-02-01,64579.0,43634.881,61461.0,252.119,169927.0,Not Available,169927.0,Not Available
1978-03-01,58781.0,42209.595,62173.0,242.405,163406.0,Not Available,163406.0,Not Available
1978-04-01,47396.0,38882.809,63891.0,215.191,150385.0,Not Available,150385.0,Not Available
1978-05-01,44012.0,39476.537,67791.0,224.463,151504.0,Not Available,151504.0,Not Available
1978-06-01,50832.0,44817.863,69635.0,234.137,165519.0,Not Available,165519.0,Not Available
1978-07-01,61747.0,49107.469,68004.0,255.531,179114.0,Not Available,179114.0,Not Available
1978-08-01,63843.0,49745.42,70388.0,246.58,184223.0,Not Available,184223.0,Not Available
1978-09-01,61984.0,49271.659,71124.0,258.341,182638.0,Not Available,182638.0,Not Available
1978-10-01,51108.0,44114.12,71259.0,240.88,166722.0,Not Available,166722.0,Not Available
1978-11-01,47220.0,41949.512,69702.0,254.488,159126.0,Not Available,159126.0,Not Available
1978-12-01,57058.0,43633.767,67767.0,250.233,168709.0,Not Available,168709.0,Not Available
1979-01-01,69939.0,46849.598,68324.0,274.402,185387.0,Not Available,185387.0,Not Available
1979-02-01,67842.0,45790.378,67632.0,250.622,181515.0,Not Available,181515.0,Not Available
1979-03-01,59314.0,43907.343,69783.0,244.657,173249.0,Not Available,173249.0,Not Available
1979-04-01,50079.0,41306.59,69944.0,227.41,161557.0,Not Available,161557.0,Not Available
1979-05-01,45730.0,41794.738,71798.0,228.263,159551.0,Not Available,159551.0,Not Available
1979-06-01,49556.0,45153.856,71919.0,231.144,166860.0,Not Available,166860.0,Not Available
1979-07-01,58606.0,48506.494,70984.0,242.506,178339.0,Not Available,178339.0,Not Available
1979-08-01,64808.0,50287.479,71956.0,257.521,187309.0,Not Available,187309.0,Not Available
1979-09-01,59703.0,48662.274,71014.0,260.727,179640.0,Not Available,179640.0,Not Available
1979-10-01,49505.0,44721.392,71472.0,249.608,165948.0,Not Available,165948.0,Not Available
1979-11-01,49617.0,42623.905,69780.0,250.095,162271.0,Not Available,162271.0,Not Available
1979-12-01,58120.0,43807.772,67297.0,248.228,169473.0,Not Available,169473.0,Not Available
1980-01-01,65841.0,45920.104,67532.0,291.896,179585.0,Not Available,179585.0,Not Available
1980-02-01,64514.0,45427.476,68508.0,271.524,178721.0,Not Available,178721.0,Not Available
1980-03-01,60497.0,44524.768,69086.0,265.232,174373.0,Not Available,174373.0,Not Available
1980-04-01,51749.0,41797.996,67908.0,246.004,161701.0,Not Available,161701.0,Not Available
1980-05-01,45699.0,41661.492,67235.0,255.508,154851.0,Not Available,154851.0,Not Available
1980-06-01,52267.0,45613.572,66739.0,252.428,164872.0,Not Available,164872.0,Not Available
1980-07-01,68611.0,51466.54,65531.0,273.46,185882.0,Not Available,185882.0,Not Available
1980-08-01,75020.0,53753.296,67415.0,275.704,196464.0,Not Available,196464.0,Not Available
1980-09-01,67969.0,52310.832,69570.0,289.168,190139.0,Not Available,190139.0,Not Available
