Month,"Coal Electric Power Sector, Net Summer Capacity","Petroleum Electric Power Sector, Net Summer Capacity","Natural Gas Electric Power Sector, Net Summer Capacity","Fossil Fuels Electric Power Sector, Net Summer Capacity","Nuclear Electric Power Sector, Net Summer Capacity","Hydroelectric Pumped Storage Electric Power Sector, Net Summer Capacity","Conventional Hydroelectric Power Electric Power Sector, Net Summer Capacity","Wood Electric Power Sector, Net Summer Capacity","Waste Electric Power Sector, Net Summer Capacity","Geothermal Electric Power Sector, Net Summer Capacity ","Solar Electric Power Sector, Net Summer Capacity","Wind Electric Power Sector, Net Summer Capacity","Renewable Energy Electric Power Sector, Net Summer Capacity ","Battery Storage Electric Power Sector, Net Summer Capacity","Total Electric Power Sector, Net Summer Capacity"
1973-01-01,Not Available,Not Available,Not Available,Not Available,14.533,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-02-01,Not Available,Not Available,Not Available,Not Available,14.533,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-03-01,Not Available,Not Available,Not Available,Not Available,15.314,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-04-01,Not Available,Not Available,Not Available,Not Available,15.314,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-05-01,Not Available,Not Available,Not Available,Not Available,16.174,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-06-01,Not Available,Not Available,Not Available,Not Available,18.729,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-07-01,Not Available,Not Available,Not Available,Not Available,18.729,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-08-01,Not Available,Not Available,Not Available,Not Available,19.205,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-09-01,Not Available,Not Available,Not Available,Not Available,19.205,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-10-01,Not Available,Not Available,Not Available,Not Available,20.271,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-11-01,Not Available,Not Available,Not Available,Not Available,20.271,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-12-01,Not Available,Not Available,Not Available,341.245,22.683,Not Available,75.4,0.077,Not Available,0.396,Not Available,Not Available,75.873,Not Available,439.8
1974-01-01,Not Available,Not Available,Not Available,Not Available,22.683,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-02-01,Not Available,Not Available,Not Available,Not Available,23.735,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-03-01,Not Available,Not Available,Not Available,Not Available,23.675,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-04-01,Not Available,Not Available,Not Available,Not Available,24.201,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-05-01,Not Available,Not Available,Not Available,Not Available,25.461,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-06-01,Not Available,Not Available,Not Available,Not Available,26.237,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-07-01,Not Available,Not Available,Not Available,Not Available,26.237,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-08-01,Not Available,Not Available,Not Available,Not Available,28.139,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-09-01,Not Available,Not Available,Not Available,Not Available,30.032,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-10-01,Not Available,Not Available,Not Available,Not Available,30.905,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-11-01,Not Available,Not Available,Not Available,Not Available,31.356,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1974-12-01,Not Available,Not Available,Not Available,360.661,31.867,Not Available,75.5,0.077,Not Available,0.396,Not Available,Not Available,75.973,Not Available,468.5
1975-01-01,Not Available,Not Available,Not Available,Not Available,32.692,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-02-01,Not Available,Not Available,Not Available,Not Available,34.516,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-03-01,Not Available,Not Available,Not Available,Not Available,34.516,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-04-01,Not Available,Not Available,Not Available,Not Available,35.306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-05-01,Not Available,Not Available,Not Available,Not Available,35.306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1975-06-01,Not Available,Not Available,Not Available,Not Available,35.306,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
