Month,"Coal Generating Units, Capacity Factor","Petroleum Generating Units, Capacity Factor","Natural Gas Combined Cycle Plants Generating Units, Capacity Factor","Natural Gas Gas Turbine Plants Generating Units, Capacity Factor","Natural Gas Conventional Steam Plants Generating Units, Capacity Factor","Nuclear Generating Units, Capacity Factor","Hydroelectric Generating Units, Capacity Factor","Biomass Generating Units, Capacity Factor","Geothermal Generating Units, Capacity Factor","Solar Photovoltaic Generating Units, Capacity Factor","Solar Thermal Generating Units, Capacity Factor","Wind Generating Units, Capacity Factor","Hydroelectric Pumped Storage Generating Units, Usage Factor","Battery Storage Generating Units, Usage Factor"
2008-01-01,78.8,7.9,41.5,7.5,9.2,94.4,35.7,65.9,72.3,7.1,3.7,33.3,No Data Reported,No Data Reported
2008-02-01,76.8,8.0,36.7,6.3,7.6,92.9,34.5,65.2,68.9,12.4,8.9,31.0,No Data Reported,No Data Reported
2008-03-01,69.3,8.4,34.5,6.4,8.1,86.3,37.2,63.6,73.9,23.3,17.4,35.1,No Data Reported,No Data Reported
2008-04-01,65.5,9.5,36.3,6.3,8.8,79.0,39.5,64.3,74.4,28.4,22.6,38.6,No Data Reported,No Data Reported
2008-05-01,66.7,9.9,32.3,6.2,12.6,86.5,46.9,60.7,74.2,27.6,24.2,37.3,No Data Reported,No Data Reported
2008-06-01,76.1,14.1,44.4,10.0,17.4,96.9,51.9,65.3,76.9,30.0,34.0,36.2,No Data Reported,No Data Reported
2008-07-01,80.2,12.1,51.8,10.4,19.7,99.1,44.0,67.0,75.5,24.9,29.4,27.1,No Data Reported,No Data Reported
2008-08-01,77.5,11.3,52.4,9.8,18.3,96.9,36.5,65.3,75.1,23.8,29.3,21.6,No Data Reported,No Data Reported
2008-09-01,71.5,11.4,43.6,7.9,13.5,92.4,28.8,63.6,75.2,23.1,33.2,20.9,No Data Reported,No Data Reported
2008-10-01,65.3,9.1,39.5,6.8,11.1,83.8,26.6,62.2,75.5,16.6,15.9,30.2,No Data Reported,No Data Reported
