Month,"Coal Electric Power Sector Generating Units, Capacity Factor","Petroleum Electric Power Sector Generating Units, Capacity Factor","Natural Gas Combined Cycle Plants Electric Power Sector Generating Units, Capacity Factor ","Natural Gas Gas Turbine Plants Electric Power Sector Generating Units, Capacity Factor","Natural Gas Conventional Steam Plants Electric Power Sector Generating Units, Capacity Factor","Nuclear Electric Power Sector Generating Units, Capacity Factor","Hydroelectric Electric Power Sector Generating Units, Capacity Factor","Biomass Electric Power Sector Generating Units, Capacity Factor","Geothermal Electric Power Sector Generating Units, Capacity Factor","Solar Photovoltaic Electric Power Sector Generating Units, Capacity Factor","Solar Thermal Electric Power Sector Generating Units, Capacity Factor","Wind Electric Power Sector Generating Units, Capacity Factor","Hydroelectric Pumped Storage Electric Power Sector Generating Units, Usage Factor","Battery Storage Electric Power Sector Generating Units, Usage Factor"
2008-01-01,79.1,7.6,40.6,5.0,8.7,94.4,35.6,64.9,72.3,7.3,3.7,33.3,No Data Reported,No Data Reported
2008-02-01,77.1,7.6,35.7,4.0,7.0,92.9,34.4,65.0,68.9,12.7,8.9,31.0,No Data Reported,No Data Reported
2008-03-01,69.5,8.1,33.6,4.2,7.4,86.3,37.1,65.3,73.9,23.9,17.4,35.1,No Data Reported,No Data Reported
2008-04-01,65.7,9.2,35.5,4.0,8.3,79.1,39.3,64.2,74.4,29.1,22.6,38.6,No Data Reported,No Data Reported
2008-05-01,67.0,9.7,31.3,3.9,12.1,86.5,46.8,61.6,74.2,28.3,24.2,37.3,No Data Reported,No Data Reported
2008-06-01,76.4,13.9,43.8,7.5,17.0,96.9,51.9,67.7,76.9,30.8,34.0,36.2,No Data Reported,No Data Reported
2008-07-01,80.5,11.9,51.2,7.8,19.4,99.1,44.0,69.3,75.5,25.5,29.4,27.1,No Data Reported,No Data Reported
2008-08-01,77.8,11.1,51.9,7.2,18.0,96.9,36.5,67.7,75.1,24.4,29.3,21.6,No Data Reported,No Data Reported
2008-09-01,71.8,11.2,43.5,5.6,13.1,92.4,28.7,65.6,75.2,23.6,33.2,20.9,No Data Reported,No Data Reported
2008-10-01,65.5,8.9,38.8,4.5,10.7,83.8,26.6,61.4,75.5,16.9,15.9,30.2,No Data Reported,No Data Reported
2008-11-01,68.9,7.3,33.3,4.4,8.6,87.4,27.8,65.9,75.1,10.9,7.6,31.9,No Data Reported,No Data Reported
2008-12-01,72.3,6.5,34.7,4.4,8.7,97.3,35.7,67.4,74.3,7.0,6.4,37.9,No Data Reported,No Data Reported
2009-01-01,74.2,10.6,39.2,3.8,7.3,98.6,40.0,65.6,76.0,5.2,2.1,30.9,No Data Reported,No Data Reported
2009-02-01,67.4,7.7,39.2,3.7,6.5,94.6,33.5,66.6,76.2,10.4,20.6,31.9,No Data Reported,No Data Reported
2009-03-01,58.5,7.7,40.1,3.8,7.0,89.5,37.0,64.7,76.4,23.1,24.5,33.9,No Data Reported,No Data Reported
2009-04-01,56.2,8.9,36.2,3.5,7.5,81.7,45.3,63.0,72.5,28.6,25.2,35.7,No Data Reported,No Data Reported
2009-05-01,56.9,10.2,38.7,3.6,10.2,87.0,50.3,60.4,70.7,30.9,27.2,28.7,No Data Reported,No Data Reported
2009-06-01,66.2,10.6,47.9,5.4,15.1,95.9,51.5,67.5,71.5,26.6,39.1,26.1,No Data Reported,No Data Reported
2009-07-01,68.4,11.3,55.5,5.6,18.3,97.1,39.8,67.7,72.0,29.4,39.5,22.1,No Data Reported,No Data Reported
2009-08-01,70.6,12.6,58.8,7.0,19.0,96.1,33.3,67.0,71.8,31.1,37.8,24.2,No Data Reported,No Data Reported
2009-09-01,61.2,9.9,51.8,5.6,12.9,90.4,30.5,63.2,72.1,26.0,34.7,20.8,No Data Reported,No Data Reported
2009-10-01,60.3,7.6,37.9,3.8,7.8,77.2,33.5,59.8,70.0,17.5,16.8,28.7,No Data Reported,No Data Reported
2009-11-01,61.0,6.1,36.6,3.3,5.7,81.3,36.9,63.2,72.4,13.3,12.3,28.9,No Data Reported,No Data Reported
2009-12-01,71.8,5.4,39.5,4.0,7.1,94.1,42.0,66.4,75.0,7.7,3.8,27.3,No Data Reported,No Data Reported
2010-01-01,75.0,7.3,39.5,4.5,8.5,96.4,37.9,62.9,72.7,5.0,2.2,26.5,No Data Reported,No Data Reported
2010-02-01,73.4,4.9,39.6,3.2,7.4,96.0,38.5,63.6,71.1,9.7,10.6,23.1,No Data Reported,No Data Reported
2010-03-01,62.2,5.5,33.7,2.8,6.2,85.9,35.3,63.2,72.4,17.6,22.1,32.5,No Data Reported,No Data Reported
2010-04-01,56.6,6.0,35.5,3.1,6.5,79.1,33.3,60.5,71.0,24.6,23.9,38.1,No Data Reported,No Data Reported
2010-05-01,61.5,8.4,37.5,4.6,10.1,88.6,42.5,59.1,72.7,28.8,33.6,32.6,No Data Reported,No Data Reported
2010-06-01,73.6,11.4,47.9,7.0,15.0,93.8,52.4,65.3,72.3,33.2,43.6,31.1,No Data Reported,No Data Reported
2010-07-01,77.1,14.6,56.8,10.0,18.4,95.5,41.7,65.8,70.6,27.6,39.2,25.1,No Data Reported,No Data Reported
2010-08-01,76.1,11.7,60.0,10.1,21.2,95.1,34.2,65.8,71.9,28.0,37.9,24.9,No Data Reported,No Data Reported
2010-09-01,65.4,9.5,49.7,5.2,12.9,95.2,30.3,64.3,71.7,25.7,36.9,26.9,No Data Reported,No Data Reported
2010-10-01,56.4,6.1,41.1,3.6,8.2,83.4,30.0,59.3,67.6,15.9,18.2,28.6,No Data Reported,No Data Reported
2010-11-01,59.5,4.5,38.4,3.3,6.0,86.0,34.2,64.8,71.8,15.4,17.8,36.1,No Data Reported,No Data Reported
2010-12-01,71.2,6.8,41.2,4.6,6.0,97.9,39.3,65.9,73.7,11.3,7.6,31.0,No Data Reported,No Data Reported
2011-01-01,73.2,6.5,39.7,3.5,7.2,96.7,43.0,61.1,74.1,11.1,2.0,28.7,No Data Reported,No Data Reported
2011-02-01,65.5,4.9,38.0,3.5,8.9,95.3,44.9,62.3,74.1,16.7,17.4,38.0,No Data Reported,No Data Reported
2011-03-01,57.7,6.1,34.4,3.0,6.8,87.3,52.5,60.7,73.5,20.3,16.7,34.3,No Data Reported,No Data Reported
2011-04-01,55.0,8.3,36.0,3.8,9.8,74.9,54.4,57.1,70.3,24.6,25.0,41.1,No Data Reported,No Data Reported
2011-05-01,58.8,8.0,36.4,5.2,10.2,75.8,54.9,57.7,72.4,26.4,27.8,37.4,No Data Reported,No Data Reported
2011-06-01,69.8,9.0,45.3,6.6,16.0,89.5,56.1,65.6,69.0,27.7,42.5,35.7,No Data Reported,No Data Reported
2011-07-01,75.5,11.6,56.7,10.9,21.1,96.0,52.9,67.3,69.9,23.2,37.0,23.4,No Data Reported,No Data Reported
2011-08-01,73.1,8.6,58.4,8.6,21.2,94.6,43.4,66.2,70.2,23.7,39.2,23.2,No Data Reported,No Data Reported
2011-09-01,62.2,8.0,48.3,4.9,12.0,91.6,37.3,63.0,69.6,21.3,32.9,21.9,No Data Reported,No Data Reported
2011-10-01,54.1,5.2,41.4,3.2,8.1,84.0,33.3,59.9,70.4,18.4,23.5,32.4,No Data Reported,No Data Reported
2011-11-01,53.5,4.5,40.8,3.7,6.6,88.4,35.9,63.4,72.1,12.6,13.9,39.1,No Data Reported,No Data Reported
2011-12-01,56.7,4.8,46.3,3.5,5.9,95.2,39.9,66.1,72.7,10.9,8.9,31.1,No Data Reported,No Data Reported
2012-01-01,56.5,5.3,48.7,3.3,6.2,95.5,38.9,63.4,67.5,9.3,2.4,39.0,No Data Reported,No Data Reported
2012-02-01,53.4,4.8,52.1,3.4,6.9,90.1,36.5,63.4,68.3,12.2,15.0,33.5,No Data Reported,No Data Reported
2012-03-01,46.2,6.0,47.3,4.4,9.4,82.2,43.8,61.3,67.0,17.4,24.0,39.0,No Data Reported,No Data Reported
2012-04-01,43.8,7.3,47.3,6.3,15.2,76.9,46.0,58.6,67.7,22.3,30.9,36.4,No Data Reported,No Data Reported
2012-05-01,51.2,8.0,51.9,7.4,15.0,82.7,48.5,61.2,67.7,27.2,32.1,34.5,No Data Reported,No Data Reported
2012-06-01,59.6,8.2,58.1,8.1,17.7,89.6,46.7,65.5,67.6,28.3,43.4,33.6,No Data Reported,No Data Reported
2012-07-01,70.2,11.1,64.7,14.3,21.9,92.0,45.0,66.8,67.8,26.4,39.5,23.6,No Data Reported,No Data Reported
2012-08-01,66.7,9.4,63.5,8.4,22.0,92.6,38.9,66.1,66.9,23.3,35.0,22.3,No Data Reported,No Data Reported
2012-09-01,57.2,7.5,56.1,5.8,13.1,88.7,30.7,63.9,68.9,22.9,33.8,23.8,No Data Reported,No Data Reported
2012-10-01,53.6,6.5,46.5,3.5,9.9,79.5,27.8,61.4,68.1,20.4,16.1,32.6,No Data Reported,No Data Reported
2012-11-01,58.5,5.7,40.9,4.0,8.9,78.0,32.5,63.6,70.8,16.6,7.5,30.0,No Data Reported,No Data Reported
2012-12-01,59.0,4.7,43.1,3.0,6.2,91.3,38.7,65.0,70.6,15.8,3.5,34.1,No Data Reported,No Data Reported
