Month,"Coal Commercial Sector Generating Units, Capacity Factor","Petroleum Commercial Sector Generating Units, Capacity Factor","Natural Gas Combined Cycle Plants Commercial Sector Generating Units, Capacity Factor","Natural Gas Gas Turbine Plants Commercial Sector Generating Units, Capacity Factor","Natural Gas Conventional Steam Plants Commercial Sector Generating Units, Capacity Factor","Nuclear Commercial Sector Generating Units, Capacity Factor","Hydroelectric Commercial Sector Generating Units, Capacity Factor","Biomass Commercial Sector Generating Units, Capacity Factor","Geothermal Commercial Sector Generating Units, Capacity Factor","Solar Photovoltaic Commercial Sector Generating Units, Capacity Factor","Solar Thermal Commercial Sector Generating Units, Capacity Factor","Wind Commercial Sector Generating Units, Capacity Factor","Hydroelectric Pumped Storage Commercial Sector Generating Units, Usage Factor","Battery Storage Commercial Sector Generating Units, Usage Factor"
2008-01-01,40.5,4.9,56.9,53.2,46.5,No Data Reported,31.4,49.8,No Data Reported,No Data Reported,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-02-01,41.0,3.2,55.6,46.3,40.1,No Data Reported,30.7,50.8,No Data Reported,No Data Reported,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-03-01,26.9,3.0,52.8,44.6,45.9,No Data Reported,61.3,48.4,No Data Reported,No Data Reported,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-04-01,31.4,3.2,49.9,33.8,36.0,No Data Reported,62.9,60.8,No Data Reported,No Data Reported,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-05-01,32.7,2.6,44.1,33.7,29.6,No Data Reported,35.5,60.8,No Data Reported,No Data Reported,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-06-01,40.7,4.7,46.5,44.7,31.3,No Data Reported,36.0,63.6,No Data Reported,16.7,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-07-01,40.9,6.2,52.9,48.9,36.4,No Data Reported,30.5,58.7,No Data Reported,13.4,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-08-01,38.0,3.8,55.1,50.0,37.4,No Data Reported,6.5,58.3,No Data Reported,13.4,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-09-01,35.5,3.0,54.8,49.2,33.4,No Data Reported,11.6,58.8,No Data Reported,12.5,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-10-01,35.4,2.6,52.6,39.3,32.2,No Data Reported,18.4,54.1,No Data Reported,8.1,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-11-01,35.6,2.9,52.8,37.5,33.9,No Data Reported,20.4,56.5,No Data Reported,4.2,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-12-01,39.7,3.2,52.4,45.1,38.8,No Data Reported,34.2,53.6,No Data Reported,1.3,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2009-01-01,37.9,9.3,51.9,50.3,39.3,No Data Reported,53.6,50.9,No Data Reported,0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2009-02-01,31.5,4.6,50.1,48.7,37.6,No Data Reported,43.3,49.7,No Data Reported,1.5,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2009-03-01,26.3,2.5,47.7,44.8,33.1,No Data Reported,63.5,55.3,No Data Reported,5.4,No Data Reported,No Data Reported,No Data Reported,No Data Reported
