Month,"Coal Industrial Sector Generating Units, Capacity Factor","Petroleum Industrial Sector Generating Units, Capacity Factor","Natural Gas Combined Cycle Plants Industrial Sector Generating Units, Capacity Factor","Natural Gas Gas Turbine Plants Industrial Sector Generating Units, Capacity Factor","Natural Gas Conventional Steam Plants Industrial Sector Generating Units, Capacity Factor","Nuclear Industrial Sector Generating Units, Capacity Factor","Hydroelectric Industrial Sector Generating Units, Capacity Factor","Biomass Industrial Sector Generating Units, Capacity Factor","Geothermal Industrial Sector Generating Units, Capacity Factor","Solar Photovoltaic Industrial Sector Generating Units, Capacity Factor","Solar Thermal Industrial Sector Generating Units, Capacity Factor","Wind Industrial Sector Generating Units, Capacity Factor","Hydroelectric Pumped Storage Industrial Sector Generating Units, Usage Factor","Battery Storage Industrial Sector Generating Units, Usage Factor"
2008-01-01,54.6,37.4,60.3,54.7,50.7,No Data Reported,63.0,68.2,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-02-01,50.1,36.0,57.5,50.4,50.1,No Data Reported,64.9,66.6,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-03-01,52.9,31.2,53.7,49.4,55.3,No Data Reported,66.9,63.1,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-04-01,51.1,36.0,52.5,49.9,49.3,No Data Reported,69.6,64.8,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-05-01,52.1,30.1,53.9,51.4,49.7,No Data Reported,66.0,59.8,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-06-01,54.0,36.2,59.3,58.2,51.1,No Data Reported,52.0,63.0,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-07-01,55.1,29.1,64.7,62.0,41.9,No Data Reported,47.5,65.2,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-08-01,54.2,30.2,63.1,60.7,43.9,No Data Reported,45.0,63.5,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-09-01,53.5,32.2,45.3,51.3,37.0,No Data Reported,38.4,61.8,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-10-01,50.5,30.7,54.2,51.7,40.2,No Data Reported,37.2,63.7,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-11-01,47.7,30.9,48.8,48.5,39.9,No Data Reported,47.0,61.9,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2008-12-01,45.8,32.3,48.8,49.0,33.4,No Data Reported,61.7,56.7,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2009-01-01,46.4,33.1,51.4,48.7,37.8,No Data Reported,62.5,62.7,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2009-02-01,48.7,34.6,54.0,49.9,45.1,No Data Reported,61.4,62.1,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2009-03-01,45.4,31.7,50.7,49.6,42.4,No Data Reported,73.5,59.7,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2009-04-01,43.8,29.9,48.2,47.9,49.2,No Data Reported,75.4,58.2,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2009-05-01,44.5,25.6,46.8,49.8,48.0,No Data Reported,71.7,57.5,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2009-06-01,47.8,47.5,51.0,58.7,45.8,No Data Reported,66.4,60.0,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2009-07-01,47.9,32.0,56.5,63.0,52.1,No Data Reported,55.4,63.0,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2009-08-01,50.4,33.4,57.4,65.1,43.1,No Data Reported,54.1,64.1,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2009-09-01,46.8,34.3,56.3,61.0,42.2,No Data Reported,39.0,63.0,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
2009-10-01,48.5,33.6,51.5,52.4,44.5,No Data Reported,53.8,62.2,No Data Reported,0.0,No Data Reported,No Data Reported,No Data Reported,No Data Reported
