Month,Crude Oil Domestic First Purchase Price,Free on Board Cost of Crude Oil Imports,Landed Cost of Crude Oil Imports,"Refiner Acquisition Cost of Crude Oil, Domestic","Refiner Acquisition Cost of Crude Oil, Imported","Refiner Acquisition Cost of Crude Oil, Composite"
1973-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-10-01,Not Available,4.24,5.6,Not Available,Not Available,Not Available
1973-11-01,Not Available,5.28,6.36,Not Available,Not Available,Not Available
1973-12-01,Not Available,6.34,7.57,Not Available,Not Available,Not Available
1974-01-01,6.95,9.27,10.45,6.72,9.59,7.46
1974-02-01,6.87,10.74,12.6,7.08,12.45,8.57
1974-03-01,6.77,10.83,12.57,7.05,12.73,8.68
1974-04-01,6.77,11.16,12.66,7.21,12.72,9.13
1974-05-01,6.87,11.25,12.7,7.26,13.02,9.44
1974-06-01,6.85,11.45,12.92,7.2,13.06,9.45
1974-07-01,6.8,10.96,12.37,7.19,12.75,9.3
1974-08-01,6.71,11,12.4,7.2,12.68,9.17
1974-09-01,6.7,10.83,12.09,7.18,12.53,9.13
1974-10-01,6.97,10.85,12.08,7.26,12.44,9.22
1974-11-01,6.97,10.96,12.17,7.46,12.53,9.41
1974-12-01,7.09,10.87,12.3,7.39,12.82,9.28
1975-01-01,7.61,10.96,12.25,7.78,12.77,9.48
1975-02-01,7.47,10.98,12.37,8.29,13.05,10.09
1975-03-01,7.57,11.1,12.46,8.38,13.28,9.91
1975-04-01,7.55,11.09,12.4,8.23,13.26,9.83
1975-05-01,7.52,11.05,12.47,8.33,13.27,9.79
1975-06-01,7.49,10.89,12.48,8.33,14.15,10.33
1975-07-01,7.75,10.84,12.49,8.37,14.03,10.57
1975-08-01,7.73,10.93,12.51,8.48,14.25,10.81
1975-09-01,7.75,10.95,12.59,8.49,14.04,10.79
1975-10-01,7.83,11.4,13.2,8.68,14.66,10.85
1975-11-01,7.8,11.79,13.49,8.67,15.04,11.05
1975-12-01,7.93,11.93,13.37,8.66,14.81,10.98
1976-01-01,8.63,11.97,13.26,9.14,13.27,10.76
1976-02-01,7.91,12.06,13.25,8.67,13.26,10.54
1976-03-01,7.78,12.04,13.27,8.48,13.51,10.44
1976-04-01,7.86,12.07,13.29,8.66,13.39,10.63
1976-05-01,7.89,12.03,13.22,8.62,13.41,10.66
1976-06-01,8,12.2,13.37,8.6,13.48,10.88
1976-07-01,8.04,12.15,13.29,8.72,13.51,10.97
1976-08-01,8.03,12.15,13.39,8.65,13.58,10.78
1976-09-01,8.39,12.2,13.32,8.95,13.47,11.08
1976-10-01,8.46,12.22,13.32,9.13,13.49,11.2
1976-11-01,8.61,12.26,13.38,9.23,13.58,11.26
1976-12-01,8.62,12.37,13.46,9.25,13.71,11.32
1977-01-01,8.5,12.91,14.04,9.23,14.11,11.64
1977-02-01,8.56,13.07,14.27,9.24,14.5,11.8
1977-03-01,8.45,13.17,14.34,9.32,14.54,11.88
