Month,F.O.B. Cost of Crude Oil Imports From Angola,F.O.B. Cost of Crude Oil Imports From Colombia,F.O.B. Cost of Crude Oil Imports From Mexico,F.O.B. Cost of Crude Oil Imports From Nigeria,F.O.B. Cost of Crude Oil Imports From Saudi Arabia,F.O.B. Cost of Crude Oil Imports From United Kingdom,F.O.B. Cost of Crude Oil Imports From Venezuela,F.O.B. Cost of Crude Oil Imports From Persian Gulf Nations,F.O.B. Cost of Crude Oil Imports From All OPEC Countries,F.O.B. Cost of Crude Oil Imports From All Non-OPEC Countries
1973-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1973-10-01,Withheld,Not Available,Not Available,6,3.06,Not Available,4.18,3.16,4.22,4.3
1973-11-01,Withheld,Not Available,Not Available,7.84,3.67,Not Available,5.85,4.03,5.73,4.61
1973-12-01,Withheld,Withheld,Not Available,9.59,Withheld,Not Available,6.11,4.44,6.8,5.5
1974-01-01,Withheld,Not Available,Not Available,12.66,Not Available,Not Available,10.89,8.65,10.76,6.38
1974-02-01,Withheld,Not Available,Not Available,13.12,Not Available,Not Available,10.87,11.51,11.83,7.95
1974-03-01,Withheld,Withheld,Not Available,13.57,Withheld,Not Available,11.12,11.03,11.8,8.45
1974-04-01,Withheld,Not Available,Not Available,13.27,9.86,Not Available,10.86,10.49,11.72,9.65
1974-05-01,Withheld,Not Available,Not Available,13.08,10.08,Not Available,11.07,10.86,11.73,9.71
1974-06-01,Withheld,Not Available,Not Available,13.12,9.98,Not Available,10.37,10.72,11.62,10.72
1974-07-01,Withheld,Not Available,Not Available,12.05,9.97,Not Available,10.42,10.6,11.19,10.1
1974-08-01,Withheld,Not Available,Not Available,12.13,9.9,Not Available,10.73,10.5,11.28,10.17
1974-09-01,Withheld,Not Available,Not Available,11.62,10.01,Not Available,10.46,10.23,10.92,10.53
1974-10-01,Withheld,Not Available,Withheld,11.78,10.23,Not Available,10.46,10.44,11.01,10.3
1974-11-01,Withheld,Not Available,Withheld,11.72,10.66,Not Available,10.61,10.77,11.11,10.5
1974-12-01,Withheld,Not Available,Withheld,11.74,10.51,Not Available,10.9,10.63,11.11,10.09
1975-01-01,Withheld,Not Available,11.02,11.57,10.57,Not Available,10.77,10.75,11.16,10.35
1975-02-01,Withheld,Not Available,11.25,11.68,10.73,Not Available,11.07,10.74,11.23,10.26
1975-03-01,Withheld,Not Available,11.15,11.57,10.69,Not Available,11.13,10.77,11.22,10.72
1975-04-01,Withheld,Not Available,11.14,11.53,10.77,Not Available,11.05,10.76,11.19,10.73
1975-05-01,Withheld,Not Available,11.21,11.52,10.9,Not Available,10.92,10.77,11.21,10.48
1975-06-01,Withheld,Not Available,11.2,11.55,10.48,Not Available,10.81,10.63,11.16,10.03
1975-07-01,Withheld,Not Available,11.17,11.48,10.53,Not Available,10.81,10.6,10.97,10.38
1975-08-01,10.59,Not Available,11.2,11.49,10.55,Not Available,10.79,10.64,11.09,10.37
1975-09-01,10.6,Not Available,11.23,11.51,10.53,Not Available,10.78,10.63,11.11,10.43
1975-10-01,11.69,Not Available,11.79,12.33,11,Not Available,11.49,10.95,11.53,10.93
1975-11-01,11.76,Not Available,12.12,12.58,11.37,Not Available,11.58,11.4,11.91,11.33
1975-12-01,Withheld,Not Available,12.19,12.66,11.49,Not Available,11.69,11.52,12.04,11.48
1976-01-01,Not Available,Not Available,12.17,12.83,11.61,Not Available,11.13,11.63,12.08,11.3
1976-02-01,Not Available,Not Available,12.21,12.75,11.64,Not Available,11.74,11.6,12.16,11.54
1976-03-01,Not Available,Not Available,12.16,13,11.64,Not Available,11.31,11.61,12.16,11.49
1976-04-01,Not Available,Not Available,12.2,12.99,11.62,Not Available,11.21,11.64,12.15,11.66
1976-05-01,Withheld,Not Available,12.17,13,11.61,Not Available,11.13,11.63,12.12,11.48
