Month,"Refiner Price of Residual Fuel Oil, Sulfur Content Less Than or Equal to 1 Percent, Sales for Resale","Refiner Price of Residual Fuel Oil, Sulfur Content Less Than or Equal to 1 Percent, Sales to End Users","Refiner Price of Residual Fuel Oil, Sulfur Content Greater Than 1 Percent, Sales for Resale","Refiner Price of Residual Fuel Oil, Sulfur Content Greater Than 1 Percent, Sales to End Users","Refiner Price of Residual Fuel Oil, Average, Sales for Resale","Refiner Price of Residual Fuel Oil, Average, Sales to End Users"
1982-01-01,0.718,0.777,0.57,0.607,0.62,0.688
1982-02-01,0.715,0.774,0.546,0.584,0.602,0.691
1982-03-01,0.684,0.756,0.541,0.571,0.591,0.674
1982-04-01,0.668,0.735,0.546,0.578,0.585,0.651
1982-05-01,0.684,0.74,0.58,0.615,0.61,0.667
1982-06-01,0.681,0.751,0.586,0.632,0.615,0.688
1982-07-01,0.679,0.727,0.563,0.629,0.601,0.681
1982-08-01,0.671,0.718,0.587,0.615,0.607,0.662
1982-09-01,0.681,0.721,0.583,0.616,0.612,0.663
1982-10-01,0.726,0.759,0.595,0.629,0.635,0.681
1982-11-01,0.726,0.763,0.607,0.641,0.653,0.7
1982-12-01,0.692,0.72,0.582,0.619,0.617,0.664
1983-01-01,0.65,0.705,0.57,0.601,0.603,0.642
1983-02-01,0.63,0.66,0.557,0.585,0.585,0.62
1983-03-01,0.6,0.662,0.559,0.57,0.577,0.609
1983-04-01,0.601,0.643,0.565,0.587,0.577,0.61
1983-05-01,0.626,0.669,0.578,0.597,0.592,0.632
1983-06-01,0.632,0.692,0.585,0.601,0.602,0.647
1983-07-01,0.652,0.704,0.605,0.614,0.622,0.659
1983-08-01,0.667,0.716,0.62,0.632,0.638,0.677
1983-09-01,0.67,0.726,0.633,0.653,0.646,0.69
1983-10-01,0.688,0.721,0.626,0.649,0.647,0.687
1983-11-01,0.665,0.707,0.622,0.644,0.636,0.674
1983-12-01,0.673,0.72,0.602,0.631,0.623,0.672
1984-01-01,0.71,0.736,0.623,0.646,0.648,0.69
1984-02-01,0.714,0.751,0.657,0.658,0.675,0.704
1984-03-01,0.705,0.731,0.619,0.647,0.645,0.685
1984-04-01,0.692,0.731,0.647,0.665,0.662,0.691
1984-05-01,0.683,0.727,0.65,0.674,0.66,0.695
1984-06-01,0.698,0.732,0.661,0.689,0.672,0.71
1984-07-01,0.668,0.715,0.64,0.667,0.65,0.69
1984-08-01,0.656,0.695,0.627,0.65,0.636,0.671
1984-09-01,0.659,0.7,0.638,0.649,0.645,0.675
1984-10-01,0.668,0.708,0.643,0.658,0.651,0.678
1984-11-01,0.668,0.704,0.636,0.658,0.646,0.679
1984-12-01,0.675,0.705,0.633,0.656,0.646,0.677
1985-01-01,0.676,0.712,0.634,0.665,0.648,0.686
1985-02-01,0.676,0.711,0.634,0.66,0.65,0.686
1985-03-01,0.662,0.698,0.608,0.65,0.624,0.671
1985-04-01,0.63,0.675,0.588,0.619,0.603,0.641
1985-05-01,0.581,0.612,0.535,0.58,0.55,0.595
1985-06-01,0.549,0.599,0.506,0.527,0.524,0.556
1985-07-01,0.564,0.589,0.528,0.545,0.539,0.563
1985-08-01,0.552,0.571,0.52,0.538,0.532,0.556
1985-09-01,0.601,0.628,0.531,0.548,0.561,0.586
1985-10-01,0.601,0.636,0.523,0.538,0.549,0.583
1985-11-01,0.578,0.617,0.507,0.528,0.536,0.568
1985-12-01,0.607,0.626,0.523,0.544,0.551,0.582
1986-01-01,0.56,0.62,0.497,0.528,0.518,0.571
1986-02-01,0.43,0.49,0.365,0.427,0.387,0.458
1986-03-01,0.37,0.427,0.287,0.357,0.318,0.39
1986-04-01,0.31,0.368,0.26,0.301,0.28,0.33
1986-05-01,0.301,0.35,0.236,0.268,0.265,0.301
1986-06-01,0.299,0.323,0.231,0.268,0.262,0.298
1986-07-01,0.237,0.274,0.204,0.244,0.219,0.259
1986-08-01,0.265,0.293,0.217,0.232,0.234,0.265
1986-09-01,0.297,0.315,0.266,0.282,0.281,0.298
1986-10-01,0.287,0.319,0.264,0.288,0.276,0.301
1986-11-01,0.293,0.337,0.252,0.29,0.274,0.312
1986-12-01,0.34,0.377,0.277,0.316,0.304,0.348
1987-01-01,0.393,0.455,0.357,0.379,0.374,0.42
1987-02-01,0.4,0.438,0.344,0.383,0.371,0.412
1987-03-01,0.388,0.434,0.334,0.372,0.358,0.4
1987-04-01,0.397,0.439,0.355,0.399,0.371,0.42
1987-05-01,0.411,0.449,0.386,0.417,0.396,0.434
1987-06-01,0.437,0.458,0.406,0.435,0.42,0.448
1987-07-01,0.449,0.483,0.419,0.441,0.434,0.464
1987-08-01,0.446,0.46,0.414,0.44,0.429,0.45
1987-09-01,0.414,0.44,0.368,0.397,0.391,0.417
1987-10-01,0.413,0.445,0.363,0.395,0.388,0.419
1987-11-01,0.413,0.45,0.346,0.387,0.375,0.421
1987-12-01,0.392,0.414,0.282,0.33,0.339,0.378
1988-01-01,0.365,0.419,0.277,0.318,0.324,0.367
1988-02-01,0.352,0.402,0.274,0.314,0.322,0.356
1988-03-01,0.324,0.369,0.25,0.29,0.286,0.329
