Month,Refiner Price of Finished Motor Gasoline to End Users,Refiner Price of Finished Aviation Gasoline to End Users,Refiner Price of Kerosene-Type Jet Fuel to End Users,Refiner Price of Kerosene to End Users,Refiner Price of No. 2 Fuel Oil to End Users,Refiner Price of No. 2 Diesel Fuel to End Users,Refiner Price of Propane (Consumer Grade) to End Users
1982-01-01,1.108,1.32,1.01,1.112,0.944,0.987,0.578
1982-02-01,1.086,1.328,1.004,1.107,0.95,0.967,0.577
1982-03-01,1.022,1.336,0.99,1.122,0.906,0.919,0.573
1982-04-01,0.983,1.315,0.962,1.031,0.85,0.901,0.573
1982-05-01,1.021,1.315,0.949,1.051,0.844,0.915,0.578
1982-06-01,1.093,1.313,0.947,1.094,0.851,0.958,0.577
1982-07-01,1.104,1.332,0.947,1.09,0.836,0.948,0.551
1982-08-01,1.089,1.314,0.948,1.019,0.863,0.931,0.567
1982-09-01,1.077,1.288,0.945,1.027,0.862,0.935,0.599
1982-10-01,1.064,1.303,0.952,1.077,0.898,0.957,0.607
1982-11-01,1.051,1.295,0.958,1.137,0.942,0.977,0.632
1982-12-01,1.022,1.291,0.95,1.083,0.939,0.94,0.642
1983-01-01,0.971,1.292,0.945,1.045,1.009,0.892,0.727
1983-02-01,0.925,1.272,0.926,1.014,0.97,0.84,0.717
1983-03-01,0.898,1.266,0.906,0.971,0.93,0.78,0.681
1983-04-01,0.947,1.252,0.888,0.934,0.891,0.788,0.686
1983-05-01,0.966,1.254,0.878,0.938,0.895,0.818,0.722
1983-06-01,0.978,1.256,0.863,0.9,0.873,0.815,0.673
1983-07-01,0.988,1.251,0.856,0.89,0.851,0.82,0.664
1983-08-01,0.984,1.259,0.855,0.908,0.861,0.83,0.689
1983-09-01,0.969,1.242,0.861,0.927,0.88,0.848,0.749
1983-10-01,0.954,1.247,0.86,0.989,0.89,0.842,0.696
1983-11-01,0.939,1.245,0.858,1,0.901,0.835,0.728
1983-12-01,0.924,1.244,0.855,0.966,0.921,0.822,0.764
1984-01-01,0.906,1.239,0.858,1.068,0.977,0.844,0.768
1984-02-01,0.902,1.237,0.865,1.179,1.046,0.874,0.763
1984-03-01,0.907,1.238,0.856,1.113,0.947,0.832,0.764
1984-04-01,0.929,1.244,0.851,1.058,0.919,0.824,0.765
1984-05-01,0.934,1.239,0.852,1.024,0.909,0.832,0.704
1984-06-01,0.925,1.246,0.845,0.943,0.869,0.84,0.706
1984-07-01,0.904,1.243,0.841,0.906,0.843,0.813,0.696
1984-08-01,0.892,1.232,0.834,0.928,0.828,0.797,0.719
1984-09-01,0.897,1.237,0.831,0.992,0.843,0.802,0.734
1984-10-01,0.905,1.233,0.832,1.027,0.873,0.816,0.741
1984-11-01,0.899,1.193,0.824,1.061,0.877,0.807,0.738
1984-12-01,0.88,1.219,0.822,1.014,0.881,0.794,0.7
1985-01-01,0.846,1.217,0.814,1.059,0.874,0.776,0.787
1985-02-01,0.836,1.211,0.809,1.037,0.868,0.767,0.761
1985-03-01,0.871,1.214,0.804,1.031,0.86,0.77,0.746
1985-04-01,0.924,1.212,0.801,1.01,0.858,0.799,0.684
1985-05-01,0.944,1.219,0.795,0.941,0.822,0.797,0.705
1985-06-01,0.952,1.217,0.786,0.882,0.778,0.772,0.668
1985-07-01,0.954,1.202,0.785,0.86,0.723,0.745,0.629
1985-08-01,0.94,1.189,0.777,0.899,0.747,0.738,0.628
1985-09-01,0.919,1.195,0.781,0.961,0.812,0.781,0.638
1985-10-01,0.908,1.189,0.788,1.006,0.852,0.816,0.724
1985-11-01,0.917,1.183,0.801,1.068,0.913,0.855,0.74
1985-12-01,0.919,1.17,0.809,1.115,0.923,0.856,0.77
1986-01-01,0.893,1.162,0.804,1.047,0.869,0.781,0.833
1986-02-01,0.805,1.172,0.778,0.93,0.698,0.615,0.809
1986-03-01,0.654,1.115,0.689,0.849,0.629,0.512,0.801
1986-04-01,0.591,1.043,0.573,0.795,0.549,0.485,0.759
1986-05-01,0.638,1.022,0.519,0.676,0.5,0.464,0.731
1986-06-01,0.649,1.01,0.482,0.516,0.443,0.42,0.735
1986-07-01,0.58,0.982,0.434,0.482,0.384,0.365,0.703
1986-08-01,0.555,0.949,0.41,0.605,0.438,0.405,0.684
1986-09-01,0.562,0.932,0.415,0.737,0.461,0.433,0.704
1986-10-01,0.532,0.912,0.416,0.695,0.448,0.419,0.698
1986-11-01,0.532,0.872,0.424,0.745,0.483,0.432,0.696
1986-12-01,0.542,0.888,0.43,0.768,0.515,0.45,0.72
1987-01-01,0.597,0.879,0.459,0.828,0.583,0.507,0.733
1987-02-01,0.621,0.897,0.492,0.804,0.589,0.517,0.741
1987-03-01,0.627,0.903,0.5,0.82,0.551,0.51,0.725
1987-04-01,0.649,0.898,0.51,0.782,0.55,0.515,0.714
1987-05-01,0.663,0.906,0.524,0.668,0.547,0.533,0.712
1987-06-01,0.677,0.913,0.534,0.598,0.547,0.543,0.658
1987-07-01,0.696,0.915,0.557,0.604,0.566,0.563,0.646
1987-08-01,0.716,0.924,0.582,0.602,0.579,0.581,0.674
1987-09-01,0.705,0.919,0.583,0.77,0.563,0.57,0.666
1987-10-01,0.697,0.914,0.595,0.788,0.607,0.595,0.654
1987-11-01,0.694,0.91,0.599,0.831,0.632,0.604,0.711
1987-12-01,0.674,0.9,0.582,0.879,0.63,0.573,0.717
