Month,Fossil Fuels Production,Nuclear Energy Consumption,"Renewable Energy Production, Fossil Fuel Equivalent","Total Energy Production, Fossil Fuel Equivalent",Total Energy Imports,Total Energy Exports,Total Energy Net Imports,Total Energy Adjustments,Fossil Fuels Consumption,Nuclear Energy Consumption.1,"Renewable Energy Consumption, Fossil Fuel Equivalent","Total Energy Consumption, Fossil Fuel Equivalent"
1973-01-01,4932.632,68.103,403.981,5404.715,1173.08,125.781,1047.299,771.858,6747.651,68.103,403.981,7223.873
1973-02-01,4729.582,64.634,360.9,5155.115,1168.005,120.883,1047.122,390.129,6163.095,64.634,360.9,6592.366
1973-03-01,4946.902,72.494,400.161,5419.556,1309.473,139.95,1169.523,-67.64,6044.647,72.494,400.161,6521.439
1973-04-01,4716.271,64.07,380.47,5160.812,1085.169,194.185,890.984,-110.067,5493.184,64.07,380.47,5941.729
1973-05-01,4956.995,62.111,392.141,5411.246,1162.804,196.775,966.029,-305.335,5613.551,62.111,392.141,6071.94
1973-06-01,4716.096,73.968,377.232,5167.296,1129.614,178.871,950.743,-315.356,5347.479,73.968,377.232,5802.683
1973-07-01,4748.276,75.89,367.325,5191.492,1216.246,164.134,1052.112,-291.695,5504.556,75.89,367.325,5951.909
1973-08-01,5041.997,84.883,353.757,5480.638,1297.848,191.049,1106.799,-395.78,5748.879,84.883,353.757,6191.657
1973-09-01,4731.504,85.724,307.006,5124.234,1226.145,146.492,1079.652,-430.371,5376.782,85.724,307.006,5773.515
1973-10-01,4998.321,81.971,323.453,5403.745,1315.774,207.655,1108.119,-337.003,5765.3,81.971,323.453,6174.862
1973-11-01,4810.504,88.773,337.817,5237.093,1321.809,183.453,1138.356,143.584,6088.44,88.773,337.817,6519.033
1973-12-01,4880.197,87.557,406.694,5374.447,1207.179,183.859,1023.319,489.137,6388.515,87.557,406.694,6886.904
1974-01-01,4961.042,84.855,437.467,5483.364,1083.235,121.461,961.774,458.905,6378.043,84.855,437.467,6904.043
1974-02-01,4569.843,90.577,399.942,5060.362,955.624,164.831,790.793,463.145,5820.458,90.577,399.942,6314.3
1974-03-01,4881.263,97.966,423.474,5402.702,1064.548,132.223,932.325,35.739,5845.649,97.966,423.474,6370.767
1974-04-01,4775.157,79.566,422.323,5277.046,1156.477,186.646,969.831,-385.81,5355.618,79.566,422.323,5861.066
1974-05-01,4966.595,73.242,427.657,5467.495,1280.713,217.693,1063.02,-666.03,5359.907,73.242,427.657,5864.485
1974-06-01,4557.055,79.015,409.281,5045.352,1211.565,225.425,986.139,-389.243,5150.392,79.015,409.281,5642.248
1974-07-01,4716.243,113.953,409.719,5239.915,1280.33,200.632,1079.698,-334.259,5458.003,113.953,409.719,5985.353
1974-08-01,4736.135,137.654,386.101,5259.889,1260.397,190.58,1069.817,-314.204,5488.069,137.654,386.101,6015.502
1974-09-01,4614.156,122.88,353.91,5090.946,1154.422,169.578,984.844,-364.592,5230.848,122.88,353.91,5711.198
1974-10-01,4900.053,121.248,343.703,5365.003,1232.624,246.304,986.32,-169.305,5713.389,121.248,343.703,6182.018
1974-11-01,4181.238,122.819,351.633,4655.69,1305.091,225.305,1079.786,500.07,5757.535,122.819,351.633,6235.546
1974-12-01,4435.595,148.309,376.642,4960.546,1319.25,122.687,1196.563,685.55,6314.029,148.309,376.642,6842.659
1975-01-01,4731.639,153.503,392.756,5277.898,1347.568,162.773,1184.795,593.424,6508.066,153.503,392.756,7056.118
1975-02-01,4381.549,140.232,368.278,4890.059,1108.542,171.418,937.124,341.812,5658.866,140.232,368.278,6168.996
1975-03-01,4643.579,163.893,423.49,5230.962,1140.333,199.517,940.816,211.704,5794.307,163.893,423.49,6383.482
1975-04-01,4533.965,146.773,405.368,5086.106,978.05,208.831,769.22,-57.411,5244.039,146.773,405.368,5797.914
1975-05-01,4644.549,151.58,421.283,5217.412,1040.395,234.229,806.166,-531.911,4917.011,151.58,421.283,5491.667
1975-06-01,4553.746,140.348,411.622,5105.715,1033.375,215.488,817.887,-487.975,4881.923,140.348,411.622,5435.627
1975-07-01,4396.385,169.294,398.459,4964.138,1168.491,172.327,996.164,-291.195,5099.561,169.294,398.459,5669.107
1975-08-01,4518.846,174.883,368.23,5061.959,1226.702,203.021,1023.681,-341.322,5199.413,174.883,368.23,5744.318
1975-09-01,4486.607,158.543,341.957,4987.107,1275.391,168.853,1106.538,-595.252,4996.158,158.543,341.957,5498.393
1975-10-01,4700.282,161.078,368.786,5230.146,1235.454,168.08,1067.373,-388.816,5377.048,161.078,368.786,5908.704
1975-11-01,4461.868,155.988,383.196,5001.053,1215.872,238.836,977.036,-127.678,5309.492,155.988,383.196,5850.411
1975-12-01,4643.518,183.682,403.696,5230.896,1262.216,179.878,1082.337,613.458,6337.521,183.682,403.696,6926.691
1976-01-01,4594.52,177.844,421.775,5194.14,1312.7,133.918,1178.782,939.402,6710.216,177.844,421.775,7312.324
1976-02-01,4416.439,158.824,396.173,4971.436,1229.336,130.286,1099.05,322.967,5836.128,158.824,396.173,6393.452
1976-03-01,4753.379,154.58,427.044,5335.003,1305.794,148.215,1157.579,-100.949,5807.521,154.58,427.044,6391.633
1976-04-01,4543.052,121.316,396.931,5061.299,1253.496,203.014,1050.483,-256.462,5334.664,121.316,396.931,5855.319
1976-05-01,4622.377,131.784,415.728,5169.888,1236.985,193.529,1043.456,-420.022,5243.322,131.784,415.728,5793.322
1976-06-01,4575.462,174.072,411.555,5161.09,1399.163,222.274,1176.889,-513.435,5236.508,174.072,411.555,5824.544
1976-07-01,4313.708,195.628,421.425,4930.762,1511.982,183.5,1328.482,-234.563,5405.14,195.628,421.425,6024.682
1976-08-01,4487.455,202.851,398.129,5088.436,1429.463,164.321,1265.142,-382.852,5367.256,202.851,398.129,5970.726
1976-09-01,4530.889,191.006,356.984,5078.88,1476.783,197.788,1278.995,-618.356,5189.12,191.006,356.984,5739.519
1976-10-01,4600.868,191.723,369.186,5161.777,1467.472,200.412,1267.061,-184.24,5681.201,191.723,369.186,6244.598
1976-11-01,4547.319,178.235,351.386,5076.94,1508.602,214.592,1294.01,358.976,6197.897,178.235,351.386,6729.925
1976-12-01,4698.756,233.256,360.834,5292.846,1628.283,179.839,1448.444,917.189,7061.9,233.256,360.834,7658.479
1977-01-01,4316.486,238.556,378.521,4933.563,1710.226,100.279,1609.947,1308.942,7230.327,238.556,378.521,7852.451
1977-02-01,4252.271,211.078,304.328,4767.677,1738.127,127.518,1610.609,276.578,6134.899,211.078,304.328,6654.863
1977-03-01,4888.075,222.619,368.966,5479.659,1809.005,136.544,1672.461,-578.259,5977.23,222.619,368.966,6573.861
1977-04-01,4597.192,213.943,351.301,5162.437,1623.215,195.647,1427.568,-610.7,5409.177,213.943,351.301,5979.305
1977-05-01,4722.32,221.834,356.923,5301.077,1647.862,210.991,1436.871,-740.491,5413.653,221.834,356.923,5997.456
1977-06-01,4645.165,231.72,336.485,5213.369,1653.446,208.999,1444.448,-571.927,5512.801,231.72,336.485,6085.89
1977-07-01,4417.123,235.032,336.903,4989.057,1732.038,195.242,1536.797,-330.069,5618.804,235.032,336.903,6195.785
1977-08-01,4607.554,244.991,335.881,5188.426,1642.039,165.718,1476.32,-364.124,5714.704,244.991,335.881,6300.623
1977-09-01,4803.085,211.395,328.075,5342.555,1593.901,192.805,1401.096,-663.427,5535.869,211.395,328.075,6080.223
1977-10-01,4870.3,205.053,341.368,5416.721,1619.758,186.155,1433.603,-577.906,5720.95,205.053,341.368,6272.418
1977-11-01,4821.366,209.548,370.168,5401.081,1525.978,171.202,1354.776,-270.563,5900.695,209.548,370.168,6485.295
1977-12-01,4121.68,255.994,400.048,4777.722,1652.535,160.79,1491.745,1172.78,6781.158,255.994,400.048,7442.248
1978-01-01,3915.98,282.638,438.983,4637.601,1609.273,76.735,1532.539,1551.345,6994.146,282.638,438.983,7721.485
1978-02-01,3676.065,238.869,391.866,4306.8,1420.92,56.798,1364.122,1381.459,6416.481,238.869,391.866,7052.381
1978-03-01,4352.372,245.611,433.459,5031.442,1646.151,64.605,1581.546,352.515,6280.715,245.611,433.459,6965.503
1978-04-01,4705.855,192.342,434.379,5332.575,1466.543,132.187,1334.356,-497.0,5537.677,192.342,434.379,6169.931
1978-05-01,4959.267,223.373,475.883,5658.523,1479.371,181.963,1297.408,-617.937,5633.02,223.373,475.883,6337.994
1978-06-01,4796.3,242.728,432.628,5471.656,1512.571,219.68,1292.891,-614.643,5469.015,242.728,432.628,6149.904
1978-07-01,4632.517,273.603,431.461,5337.581,1600.652,160.129,1440.523,-437.914,5629.409,273.603,431.461,6340.19
1978-08-01,4841.779,280.082,408.417,5530.277,1601.528,176.105,1425.422,-459.619,5801.865,280.082,408.417,6496.081
1978-09-01,4564.316,242.769,392.287,5199.372,1682.186,183.946,1498.24,-610.06,5446.963,242.769,392.287,6087.552
1978-10-01,4959.112,251.605,379.436,5590.153,1616.595,222.759,1393.835,-558.751,5788.479,251.605,379.436,6425.237
1978-11-01,4856.22,272.438,379.078,5507.736,1666.014,236.659,1429.356,-251.623,6028.42,272.438,379.078,6685.469
1978-12-01,4770.957,278.067,407.564,5456.588,1804.366,208.871,1595.495,422.408,6783.142,278.067,407.564,7474.491
1979-01-01,4742.426,302.351,447.796,5492.573,1769.279,174.569,1594.709,1004.923,7336.166,302.351,447.796,8092.205
1979-02-01,4408.445,281.883,390.487,5080.815,1515.101,159.28,1355.821,973.569,6732.512,281.883,390.487,7410.205
1979-03-01,4952.546,264.739,457.799,5675.084,1708.567,241.045,1467.522,7.815,6421.99,264.739,457.799,7150.421
1979-04-01,4770.662,200.369,445.932,5416.962,1503.24,233.873,1269.367,-398.909,5635.417,200.369,445.932,6287.42
1979-05-01,4977.269,163.455,489.08,5629.804,1587.866,250.145,1337.721,-620.881,5688.216,163.455,489.08,6346.644
1979-06-01,4847.761,174.776,441.683,5464.221,1581.381,250.673,1330.708,-651.859,5520.908,174.776,441.683,6143.07
1979-07-01,4524.046,226.552,424.513,5175.111,1669.406,265.735,1403.67,-302.246,5619.578,226.552,424.513,6276.536
1979-08-01,4989.63,263.316,409.21,5662.156,1674.783,259.451,1415.332,-584.493,5814.576,263.316,409.21,6492.996
1979-09-01,4717.572,237.204,378.903,5333.679,1522.75,218.586,1304.164,-584.935,5431.098,237.204,378.903,6052.908
1979-10-01,5178.934,227.745,397.602,5804.281,1694.041,282.48,1411.561,-672.622,5911.981,227.745,397.602,6543.22
1979-11-01,4947.52,209.477,414.74,5571.737,1551.628,261.386,1290.242,-182.937,6049.123,209.477,414.74,6679.042
1979-12-01,4895.64,223.959,425.109,5544.708,1681.775,257.89,1423.885,369.039,6682.671,223.959,425.109,7337.632
1980-01-01,5113.77,215.389,478.943,5808.102,1679.961,225.585,1454.376,302.537,6864.636,215.389,478.943,7565.016
1980-02-01,4804.588,210.277,424.298,5439.163,1458.972,208.653,1250.319,433.663,6482.913,210.277,424.298,7123.145
1980-03-01,5147.94,218.584,469.134,5835.658,1461.064,262.475,1198.588,-12.339,6328.141,218.584,469.134,7021.907
1980-04-01,4909.243,205.0,477.356,5591.598,1325.02,285.794,1039.226,-472.372,5470.245,205.0,477.356,6158.453
1980-05-01,5010.862,200.541,517.456,5728.859,1266.758,343.299,923.459,-644.948,5283.326,200.541,517.456,6007.37
1980-06-01,4833.075,199.859,497.768,5530.702,1273.09,358.751,914.339,-572.578,5168.984,199.859,497.768,5872.463
1980-07-01,4687.391,229.329,471.331,5388.052,1195.105,322.017,873.088,-125.692,5428.74,229.329,471.331,6135.448
1980-08-01,4782.434,265.424,429.358,5477.215,1188.35,311.891,876.459,-290.075,5362.77,265.424,429.358,6063.599
1980-09-01,4775.533,257.127,401.712,5434.372,1154.368,329.056,825.311,-289.239,5305.752,257.127,401.712,5970.443
1980-10-01,4962.184,267.351,402.564,5632.099,1233.094,369.312,863.782,-179.291,5640.628,267.351,402.564,6316.59
1980-11-01,4828.384,228.892,409.876,5467.152,1212.647,341.19,871.458,81.628,5775.618,228.892,409.876,6420.238
1980-12-01,5124.584,241.396,448.546,5814.526,1347.8,336.75,1011.05,538.219,6667.805,241.396,448.546,7363.795
1981-01-01,4933.286,262.28,462.381,5657.948,1327.837,260.909,1066.928,914.377,6904.959,262.28,462.381,7639.252
1981-02-01,4710.872,238.196,427.043,5376.11,1193.052,276.662,916.391,192.008,5810.571,238.196,427.043,6484.509
1981-03-01,5201.903,242.709,443.808,5888.42,1173.761,369.183,804.578,-86.788,5910.062,242.709,443.808,6606.21
1981-04-01,4135.199,227.726,438.02,4800.945,1066.492,324.137,742.355,331.906,5200.14,227.726,438.02,5875.206
1981-05-01,4245.212,217.546,480.423,4943.181,1112.558,273.023,839.534,156.835,5231.949,217.546,480.423,5939.55
1981-06-01,4672.515,233.457,496.995,5402.967,1022.351,245.397,776.954,-184.218,5255.929,233.457,496.995,5995.702
1981-07-01,5007.101,254.569,491.304,5752.973,1121.443,392.644,728.799,-273.337,5452.931,254.569,491.304,6208.435
1981-08-01,5177.108,297.219,454.028,5928.355,1113.573,419.54,694.033,-509.471,5352.038,297.219,454.028,6112.916
1981-09-01,5063.72,269.115,407.22,5740.055,1183.724,410.856,772.868,-692.172,5135.095,269.115,407.22,5820.751
1981-10-01,5254.067,226.731,416.966,5897.764,1160.414,465.502,694.912,-448.601,5490.746,226.731,416.966,6144.075
1981-11-01,4954.065,251.301,418.476,5623.842,1090.669,439.771,650.898,-136.429,5459.212,251.301,418.476,6138.31
1981-12-01,5132.915,286.743,477.024,5896.682,1153.155,429.619,723.536,468.348,6315.167,286.743,477.024,7088.566
1982-01-01,4918.393,284.331,514.44,5717.164,1066.43,316.441,749.989,981.013,6640.697,284.331,514.44,7448.166
1982-02-01,4728.817,223.538,489.624,5441.978,872.937,373.937,499.0,530.27,5750.531,223.538,489.624,6471.248
1982-03-01,5267.363,251.971,544.724,6064.058,892.758,440.048,452.71,27.239,5740.713,251.971,544.724,6544.007
1982-04-01,4870.61,241.222,517.128,5628.96,838.66,425.018,413.643,-2.017,5275.93,241.222,517.128,6040.586
1982-05-01,4856.617,239.606,525.795,5622.018,940.268,417.923,522.345,-541.984,4829.676,239.606,525.795,5602.379
1982-06-01,4760.056,266.04,518.974,5545.07,992.314,414.798,577.516,-549.912,4783.91,266.04,518.974,5572.673
1982-07-01,4590.146,281.997,519.267,5391.41,1133.264,383.841,749.423,-304.981,5028.317,281.997,519.267,5835.852
1982-08-01,4829.2,276.671,483.203,5589.074,1016.79,356.374,660.416,-430.863,5047.842,276.671,483.203,5818.627
1982-09-01,4613.666,281.149,433.748,5328.563,1017.597,374.181,643.417,-422.708,4823.564,281.149,433.748,5549.273
1982-10-01,4764.703,257.422,439.874,5461.999,1041.527,436.056,605.471,-340.962,5017.757,257.422,439.874,5726.507
1982-11-01,4580.885,257.281,469.93,5308.096,1100.767,348.893,751.875,-81.028,5241.011,257.281,469.93,5978.943
1982-12-01,4635.404,269.921,522.93,5428.255,947.767,320.089,627.678,402.519,5655.954,269.921,522.93,6458.452
1983-01-01,4702.314,273.422,562.279,5538.015,921.274,299.176,622.098,747.39,6062.504,273.422,562.279,6907.502
1983-02-01,4289.048,242.067,523.276,5054.39,710.558,262.163,448.395,562.861,5290.891,242.067,523.276,6065.647
1983-03-01,4665.589,260.523,572.853,5498.964,761.37,316.061,445.309,487.597,5589.21,260.523,572.853,6431.871
1983-04-01,4434.922,243.561,561.458,5239.94,908.755,310.203,598.553,31.185,5055.553,243.561,561.458,5869.679
1983-05-01,4490.949,240.465,581.741,5313.155,985.75,343.613,642.137,-262.568,4862.973,240.465,581.741,5692.724
1983-06-01,4370.639,263.376,569.493,5203.508,996.939,331.364,665.575,-191.096,4836.114,263.376,569.493,5677.988
1983-07-01,4325.726,279.191,550.993,5155.909,1101.022,271.255,829.766,-44.353,5100.754,279.191,550.993,5941.322
1983-08-01,4710.642,285.725,528.288,5524.655,1174.792,346.76,828.032,-224.057,5303.409,285.725,528.288,6128.631
1983-09-01,4546.845,272.705,476.173,5295.724,1146.221,322.919,823.301,-419.217,4938.737,272.705,476.173,5699.808
1983-10-01,4699.021,281.314,474.251,5454.585,1024.738,323.607,701.13,-454.264,4933.914,281.314,474.251,5701.452
1983-11-01,4574.85,272.735,507.035,5354.621,996.576,277.961,718.614,-137.634,5145.302,272.735,507.035,5935.601
1983-12-01,4557.628,287.465,587.773,5432.865,1023.809,287.847,735.962,694.53,5977.512,287.465,587.773,6863.357
1984-01-01,4974.302,317.844,570.081,5862.227,1078.119,244.738,833.381,958.467,6755.532,317.844,570.081,7654.075
1984-02-01,4770.232,308.326,535.239,5613.797,1030.642,217.414,813.228,196.071,5770.207,308.326,535.239,6623.097
1984-03-01,5060.365,296.499,579.04,5935.904,1026.372,313.676,712.695,210.073,5973.514,296.499,579.04,6858.673
1984-04-01,4813.677,262.738,566.019,5642.434,1013.233,324.792,688.441,-60.419,5431.746,262.738,566.019,6270.456
1984-05-01,5066.725,280.471,593.504,5940.699,1146.603,363.003,783.599,-553.537,5286.097,280.471,593.504,6170.762
1984-06-01,4841.043,274.321,553.321,5668.685,1017.653,364.921,652.732,-294.932,5188.581,274.321,553.321,6026.485
1984-07-01,4924.416,306.687,547.618,5778.721,1039.496,324.437,715.059,-338.267,5288.875,306.687,547.618,6155.513
1984-08-01,5242.373,319.793,524.053,6086.219,973.125,357.832,615.294,-378.398,5464.17,319.793,524.053,6323.114
1984-09-01,4889.833,316.027,470.91,5676.77,979.169,353.487,625.682,-541.275,4961.915,316.027,470.91,5761.176
1984-10-01,4800.286,268.621,479.62,5548.527,1113.921,293.857,820.063,-407.618,5199.25,268.621,479.62,5960.973
1984-11-01,4636.625,266.462,486.11,5389.197,1062.052,268.968,793.083,-81.487,5337.341,266.462,486.11,6100.793
1984-12-01,4789.315,334.742,532.347,5656.405,990.343,359.021,631.322,378.709,5788.606,334.742,532.347,6666.436
1985-01-01,4868.823,384.371,555.205,5808.399,904.82,303.303,601.517,967.338,6427.89,384.371,555.205,7377.254
1985-02-01,4573.561,327.29,511.838,5412.689,738.96,304.13,434.83,1032.745,6033.03,327.29,511.838,6880.264
1985-03-01,4985.737,329.72,525.002,5840.459,938.271,311.093,627.179,109.915,5710.393,329.72,525.002,6577.553
1985-04-01,4805.26,281.04,512.937,5599.237,1009.283,326.78,682.503,-175.61,5302.405,281.04,512.937,6106.13
1985-05-01,4906.735,304.823,542.968,5754.526,1120.084,378.169,741.914,-491.088,5146.409,304.823,542.968,6005.352
1985-06-01,4670.048,327.55,507.33,5504.928,932.317,337.928,594.389,-218.837,5033.449,327.55,507.33,5880.48
1985-07-01,4656.111,373.727,489.577,5519.414,962.098,324.699,637.4,30.629,5309.635,373.727,489.577,6187.443
1985-08-01,4857.15,369.775,475.912,5702.836,924.128,416.556,507.572,46.579,5395.869,369.775,475.912,6256.987
1985-09-01,4673.938,366.541,454.274,5494.752,937.626,362.598,575.029,-310.781,4925.617,366.541,454.274,5759.0
1985-10-01,4929.382,331.461,475.406,5736.249,1003.525,362.454,641.071,-351.075,5207.793,331.461,475.406,6026.246
1985-11-01,4631.35,320.428,499.606,5451.384,1145.918,403.539,742.379,-134.645,5228.088,320.428,499.606,6059.118
1985-12-01,4943.628,358.837,533.96,5836.425,1163.543,364.93,798.614,584.066,6315.121,358.837,533.96,7219.105
1986-01-01,5143.178,383.159,486.064,6012.402,1118.689,317.88,800.809,582.336,6514.033,383.159,486.064,7395.548
1986-02-01,4634.737,346.156,479.122,5460.015,850.971,285.113,565.858,594.526,5785.886,346.156,479.122,6620.399
1986-03-01,4965.916,325.549,558.538,5850.002,918.255,305.316,612.939,313.024,5883.728,325.549,558.538,6775.964
1986-04-01,4664.471,322.413,539.897,5526.781,1007.339,376.285,631.055,-48.284,5239.137,322.413,539.897,6109.551
1986-05-01,4705.61,337.725,545.072,5588.407,1219.801,362.502,857.3,-346.323,5206.938,337.725,545.072,6099.383
1986-06-01,4537.852,331.481,527.412,5396.746,1255.401,313.467,941.933,-322.853,5147.695,331.481,527.412,6015.826
1986-07-01,4536.041,379.718,513.292,5429.051,1314.651,336.621,978.03,-52.872,5451.039,379.718,513.292,6354.208
1986-08-01,4667.907,396.534,482.847,5547.289,1360.371,372.569,987.802,-311.39,5331.362,396.534,482.847,6223.701
1986-09-01,4511.383,387.113,472.114,5370.61,1309.332,345.79,963.542,-515.514,4947.904,387.113,472.114,5818.638
1986-10-01,4768.518,383.103,482.113,5633.734,1243.122,348.583,894.539,-488.362,5164.399,383.103,482.113,6039.911
1986-11-01,4591.745,369.674,492.321,5453.74,1239.755,329.66,910.095,-244.57,5247.547,369.674,492.321,6119.265
1986-12-01,4811.648,417.484,532.346,5761.479,1313.714,327.693,986.021,279.762,6066.258,417.484,532.346,7027.262
1987-01-01,4931.783,417.417,521.265,5870.465,1262.434,279.001,983.433,618.435,6520.368,417.417,521.265,7472.334
1987-02-01,4528.326,382.159,452.878,5363.363,1075.84,288.662,787.178,578.527,5879.311,382.159,452.878,6729.068
1987-03-01,4875.851,389.382,498.782,5764.016,1147.062,309.288,837.773,165.247,5863.944,389.382,498.782,6767.036
1987-04-01,4617.703,349.992,477.656,5445.351,1122.68,321.842,800.839,67.679,5470.761,349.992,477.656,6313.868
1987-05-01,4619.925,358.374,509.032,5487.331,1173.728,298.087,875.641,-163.716,5319.684,358.374,509.032,6199.256
1987-06-01,4635.733,381.76,466.873,5484.367,1259.103,317.274,941.83,-145.975,5417.632,381.76,466.873,6280.222
1987-07-01,4543.756,418.26,467.691,5429.708,1455.012,304.889,1150.123,46.828,5724.864,418.26,467.691,6626.659
1987-08-01,4798.734,431.801,448.986,5679.521,1443.13,331.515,1111.615,-276.581,5618.573,431.801,448.986,6514.555
1987-09-01,4721.206,414.191,437.201,5572.598,1345.792,321.435,1024.357,-473.074,5261.35,414.191,437.201,6123.881
1987-10-01,4997.007,381.045,442.655,5820.707,1386.298,299.86,1086.438,-544.376,5527.906,381.045,442.655,6362.769
1987-11-01,4846.465,390.924,423.208,5660.598,1360.877,327.548,1033.329,-351.87,5517.998,390.924,423.208,6342.057
1987-12-01,5014.152,438.627,475.58,5928.36,1366.267,412.549,953.718,395.3,6352.849,438.627,475.58,7277.377
1988-01-01,4950.223,473.469,495.132,5918.824,1451.051,284.978,1166.073,715.419,6820.914,473.469,495.132,7800.316
1988-02-01,4752.379,447.892,446.663,5646.934,1357.434,272.704,1084.73,576.522,6402.514,447.892,446.663,7308.187
1988-03-01,5086.477,465.555,469.098,6021.131,1387.994,347.037,1040.957,234.659,6351.358,465.555,469.098,7296.746
1988-04-01,4695.146,424.786,455.993,5575.924,1381.018,361.577,1019.441,-145.559,5560.392,424.786,455.993,6449.806
1988-05-01,4744.347,430.975,486.212,5661.535,1461.137,367.61,1093.527,-364.226,5466.201,430.975,486.212,6390.836
1988-06-01,4660.775,467.326,453.891,5581.993,1382.768,388.899,993.869,-68.124,5577.641,467.326,453.891,6507.738
1988-07-01,4550.257,528.281,442.602,5521.14,1442.954,376.724,1066.231,158.659,5763.547,528.281,442.602,6746.03
1988-08-01,4994.209,519.872,437.214,5951.295,1451.522,402.504,1049.017,-12.135,6018.489,519.872,437.214,6988.178
1988-09-01,4720.908,490.56,426.312,5637.78,1420.76,393.352,1027.408,-324.311,5415.734,490.56,426.312,6340.877
1988-10-01,4865.084,451.551,422.602,5739.237,1540.071,378.123,1161.948,-314.478,5704.981,451.551,422.602,6586.707
1988-11-01,4884.987,419.662,448.903,5753.552,1481.504,357.231,1124.273,-173.6,5829.882,419.662,448.903,6704.226
1988-12-01,4941.064,467.038,472.132,5880.234,1537.717,435.713,1102.003,558.122,6596.231,467.038,472.132,7540.36
