Month,Coal Consumption,"Natural Gas, Excluding Supplemental Gaseous Fuels, Consumption","Petroleum, Excluding Ethanol, Consumption",Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,"Conventional Hydro Energy Consumption, Fossil Fuel Equivalent","Geothermal Energy Consumption, Fossil Fuel Equivalent","Solar Energy Consumption, Fossil Fuel Equivalent","Wind Energy Consumption, Fossil Fuel Equivalent",Biomass Energy Consumption,"Renewable Energy Consumption, Fossil Fuel Equivalent","Total Energy Consumption, Fossil Fuel Equivalent"
1973-01-01,1166.191,2397.308,3185.268,6747.651,68.103,272.703,1.491,Not Available,Not Available,129.787,403.981,7223.873
1973-02-01,1050.588,2170.646,2941.986,6163.095,64.634,242.199,1.363,Not Available,Not Available,117.338,360.9,6592.366
1973-03-01,1046.856,2057.315,2942.485,6044.647,72.494,268.81,1.412,Not Available,Not Available,129.938,400.161,6521.439
1973-04-01,998.979,1873.535,2621.315,5493.184,64.07,253.185,1.649,Not Available,Not Available,125.636,380.47,5941.729
1973-05-01,1014.502,1765.309,2836.567,5613.551,62.111,260.77,1.537,Not Available,Not Available,129.834,392.141,6071.94
1973-06-01,1050.077,1566.214,2731.435,5347.479,73.968,249.859,1.763,Not Available,Not Available,125.611,377.232,5802.683
1973-07-01,1110.438,1590.718,2804.54,5504.556,75.89,235.67,1.869,Not Available,Not Available,129.787,367.325,5951.909
1973-08-01,1135.679,1615.222,2999.441,5748.879,84.883,222.077,1.762,Not Available,Not Available,129.918,353.757,6191.657
1973-09-01,1057.732,1559.067,2761.173,5376.782,85.724,179.733,1.492,Not Available,Not Available,125.782,307.006,5773.515
1973-10-01,1083.177,1743.868,2936.519,5765.3,81.971,191.723,1.76,Not Available,Not Available,129.97,323.453,6174.862
1973-11-01,1088.59,1945.005,3053.629,6088.44,88.773,210.285,1.889,Not Available,Not Available,125.643,337.817,6519.033
1973-12-01,1168.68,2227.822,2991.666,6388.515,87.557,274.435,2.435,Not Available,Not Available,129.824,406.694,6886.904
1974-01-01,1145.845,2283.52,2944.909,6378.043,84.855,304.506,2.154,Not Available,Not Available,130.807,437.467,6904.043
1974-02-01,1036.439,2103.296,2677.772,5820.458,90.577,279.95,1.901,Not Available,Not Available,118.091,399.942,6314.3
1974-03-01,1050.801,2051.072,2740.105,5845.649,97.966,290.582,2.165,Not Available,Not Available,130.727,423.474,6370.767
1974-04-01,994.963,1731.584,2624.656,5355.618,79.566,293.702,2.039,Not Available,Not Available,126.583,422.323,5861.066
1974-05-01,1029.181,1646.592,2678.975,5359.907,73.242,294.828,2.04,Not Available,Not Available,130.789,427.657,5864.485
1974-06-01,1014.433,1473.536,2659.05,5150.392,79.015,280.695,1.975,Not Available,Not Available,126.611,409.281,5642.248
1974-07-01,1110.438,1550.336,2793.658,5458.003,113.953,276.772,2.191,Not Available,Not Available,130.756,409.719,5985.353
1974-08-01,1112.559,1546.24,2825.426,5488.069,137.654,253.175,2.163,Not Available,Not Available,130.763,386.101,6015.502
1974-09-01,1005.508,1573.888,2644.93,5230.848,122.88,225.274,1.999,Not Available,Not Available,126.637,353.91,5711.198
1974-10-01,1051.737,1746.944,2905.632,5713.389,121.248,210.955,2.03,Not Available,Not Available,130.718,343.703,6182.018
1974-11-01,1022.021,1870.848,2859.805,5757.535,122.819,222.713,2.414,Not Available,Not Available,126.506,351.633,6235.546
1974-12-01,1088.954,2154.496,3065.694,6314.029,148.309,243.428,2.54,Not Available,Not Available,130.674,376.642,6842.659
1975-01-01,1131.658,2295.208,3072.693,6508.066,153.503,263.371,2.117,Not Available,Not Available,127.269,392.756,7056.118
1975-02-01,1038.817,1979.719,2632.196,5658.866,140.232,251.317,2.019,Not Available,Not Available,114.942,368.278,6168.996
1975-03-01,1072.008,1942.963,2776.781,5794.307,163.893,293.961,2.277,Not Available,Not Available,127.251,423.49,6383.482
1975-04-01,996.432,1608.075,2639.706,5244.039,146.773,279.947,2.281,Not Available,Not Available,123.139,405.368,5797.914
1975-05-01,976.643,1358.951,2578.863,4917.011,151.58,291.504,2.475,Not Available,Not Available,127.303,421.283,5491.667
1975-06-01,1021.948,1283.397,2578.24,4881.923,140.348,285.31,3.07,Not Available,Not Available,123.241,411.622,5435.627
1975-07-01,1081.702,1340.573,2678.403,5099.561,169.294,268.081,3.091,Not Available,Not Available,127.288,398.459,5669.107
