Month,Number of locations with public ports only,Number of locations with private ports only,Number of locations with public and private ports,Number of locations with networked ports only,Number of locations with non-networked ports only,Number of locations with networked and non-networked ports,Total number of locations,Number of DC fast charging ports,Number of level 2 charging ports,Number of level 1 charging ports,Number of legacy charging ports,Total number of ports,Number of DC fast charging ports per location,Number of level 2 charging ports per location
2015-06-01,10873,1172,1494,8616,4320,603,13539,6027,39505,4643,639,50814,2.944,3.194
2015-07-01,10918,1187,1467,8624,4349,599,13572,6188,39213,4319,635,50355,2.985,3.166
2015-08-01,11455,1203,1477,9090,4407,638,14135,6484,40768,4347,639,52238,2.977,3.165
2015-09-01,11475,1219,1472,9061,4433,672,14166,6131,41483,4265,639,52518,3.082,3.194
2015-10-01,11815,1206,1489,9314,4452,744,14510,6302,43286,4233,616,54437,3.131,3.254
2015-11-01,12173,1233,1497,9585,4503,815,14903,6607,44798,4254,616,56275,3.155,3.285
2015-12-01,12213,1218,1454,9546,4480,859,14885,6892,45154,4178,597,56821,3.209,3.329
2016-01-01,12922,1519,1470,10343,4546,1022,15911,7253,48014,4196,597,60060,3.187,3.314
2016-02-01,13307,1533,1497,10585,4604,1148,16337,7555,49639,4209,597,62000,3.166,3.34
2016-03-01,13617,1629,1521,10877,4677,1213,16767,7740,50986,4212,597,63535,3.13,3.35
2016-04-01,13844,1659,1527,11058,4709,1263,17030,7894,51497,4168,478,64037,3.11,3.336
2016-05-01,14106,1666,1524,11252,4714,1330,17296,8179,52394,4139,376,65088,3.118,3.347
2016-06-01,14510,1690,1557,11622,4775,1360,17757,8655,53902,4157,376,67090,3.154,3.363
2016-07-01,14743,1678,1522,11749,4800,1394,17943,8809,54574,4118,380,67881,3.179,3.373
2016-08-01,14918,1711,1512,11865,4834,1442,18141,8984,55693,4070,373,69120,3.185,3.41
2016-09-01,15288,1727,1518,12185,4880,1468,18533,9249,56963,4100,373,70685,3.207,3.416
2016-10-01,15460,1706,1510,12323,4887,1466,18676,10025,57835,4049,367,72276,3.43,3.447
2016-11-01,15800,1716,1515,12573,4962,1496,19031,10265,58837,4111,367,73580,3.448,3.444
2016-12-01,16020,1716,1508,12716,4983,1545,19244,10702,60237,4054,362,75355,3.557,3.486
2017-01-01,16394,1724,1522,13034,5044,1562,19640,11069,61607,4146,362,77184,3.61,3.494
2017-02-01,16649,1743,1535,13269,5077,1581,19927,11132,62698,4214,362,78406,3.6,3.503
2017-03-01,16899,1749,1535,13377,5122,1684,20183,11257,64003,4124,611,79995,3.593,3.526
2017-04-01,17096,1764,1535,13558,5151,1686,20395,11289,64748,4114,599,80750,3.58,3.53
2017-05-01,17410,1791,1529,13867,5173,1690,20730,11368,66186,4113,571,82238,3.577,3.547
2017-06-01,17651,1812,1517,14103,5186,1691,20980,11568,67217,4080,560,83425,3.599,3.56
2017-07-01,17764,1769,1421,14171,5078,1705,20954,11788,67719,3982,536,84025,3.661,3.593
2017-08-01,18117,1776,1428,14489,5121,1711,21321,11840,69087,4020,536,85483,3.665,3.599
2017-09-01,18923,1766,1424,14951,5125,2037,22113,12225,71713,3874,511,88323,3.736,3.594
2017-10-01,19203,1764,1424,15210,5139,2042,22391,12231,72667,3801,511,89210,3.736,3.592
2017-11-01,19433,1766,1434,15412,5156,2065,22633,12342,73709,3726,458,90235,3.754,3.602
2017-12-01,19661,1782,1428,15609,5179,2083,22871,12372,74714,3733,453,91272,3.756,3.609
2018-01-01,19705,1779,1428,15641,5172,2099,22912,12418,75805,3555,441,92219,3.771,3.644
2018-02-01,19800,1782,1427,15721,5183,2105,23009,12406,76093,3534,90,92123,3.77,3.641
2018-03-01,19599,1787,1429,15517,5197,2101,22815,11646,77288,3353,90,92377,4.095,3.69
2018-04-01,19847,1842,1439,15751,5264,2113,23128,11795,78461,3351,90,93697,4.12,3.694
2018-05-01,19844,1672,1409,15762,5088,2075,22925,11260,73196,3235,80,87771,4.119,3.463
2018-06-01,20336,1680,1429,16230,5130,2085,23445,11412,75051,3250,80,89793,4.095,3.472
2018-07-01,20739,1695,1421,16613,5137,2105,23855,13390,76457,3239,80,93166,4.545,3.497
2018-08-01,20999,1698,1412,16855,5148,2106,24109,13501,77620,3183,89,94393,4.56,3.513
2018-09-01,21118,1724,1418,16942,5208,2110,24260,10698,78659,3178,94,92629,3.776,3.514
2018-10-01,21463,1739,1419,17170,5324,2127,24621,10911,79606,3121,94,93732,3.807,3.501
2018-11-01,21621,1820,1418,16873,5332,2654,24859,10937,81723,3021,109,95790,3.804,3.556
2018-12-01,21849,1848,1415,17100,5348,2664,25112,11540,82975,2873,108,97496,3.919,3.581
2019-01-01,21068,1825,1417,16282,5511,2517,24310,11703,79678,2792,106,94279,3.925,3.566
2019-02-01,21098,1923,1414,16319,5593,2523,24435,12137,80934,3301,111,96483,3.988,3.613
2019-03-01,21329,1934,1407,16461,5629,2580,24670,12775,80516,3231,111,96633,4.16,3.56
2019-04-01,21571,1953,1418,16717,5634,2591,24942,13069,81631,3178,110,97988,4.157,3.577
